ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
01/01/2007 00:00,0.0130,0.3383,22.7189,1.0000,0.0000,1.7011,0.1890,145.0385,125.5581,0.9943,5.3225,0.5474,0.0547,166.9967,425.9935,13.0714,31.1068,0.1493,0.1866,1502.9707,30.5000,0.0373,42.5993,1.9553,1.3035,1.3035,1.9553,6.5177,0.9838
02/01/2007 00:00,0.0150,0.3382,22.7043,1.0000,0.0000,1.6792,0.1866,146.2989,125.5581,0.9614,5.5369,0.6045,0.0605,168.9211,429.8421,13.0714,31.0353,0.1420,0.1776,1520.2894,30.5000,0.0355,42.9842,2.2041,1.4694,1.4694,2.2041,7.3470,1.1090
03/01/2007 00:00,0.0540,0.3381,22.6897,1.0000,0.0000,1.6572,0.1841,147.5593,125.5581,0.9284,5.7513,0.6616,0.0662,170.8454,433.6907,13.0714,30.9638,0.1348,0.1685,1537.6082,30.5000,0.0337,43.3691,2.4529,1.6353,1.6353,2.4529,8.1763,1.2342
04/01/2007 00:00,0.0350,0.3380,22.6751,1.0000,0.0000,1.6352,0.1817,148.8196,125.5581,0.8954,5.9658,0.7188,0.0719,172.7697,437.5393,13.0714,30.8924,0.1275,0.1594,1554.9270,30.5000,0.0319,43.7539,2.7017,1.8011,1.8011,2.7017,9.0056,1.3593
05/01/2007 00:00,0.0210,0.3379,22.6605,1.0000,0.0000,1.6133,0.1793,150.0800,125.5581,0.8624,6.1802,0.7759,0.0776,174.6940,441.3880,13.0714,30.8209,0.1203,0.1504,1572.2458,30.5000,0.0301,44.1388,2.9505,1.9670,1.9670,2.9505,9.8349,1.4845
06/01/2007 00:00,0.0170,0.3378,22.6459,1.0000,0.0000,1.5913,0.1768,151.3404,125.5581,0.8294,6.3946,0.8330,0.0833,176.6183,445.2366,13.0714,30.7494,0.1130,0.1413,1589.5646,30.5000,0.0283,44.5237,3.1993,2.1328,2.1328,3.1993,10.6642,1.6097
07/01/2007 00:00,0.0160,0.3376,22.6313,1.0000,0.0000,1.5693,0.1744,152.6007,125.5581,0.7964,6.6090,0.8901,0.0890,178.5426,449.0852,13.0714,30.6779,0.1058,0.1322,1606.8834,30.5000,0.0264,44.9085,3.4481,2.2987,2.2987,3.4481,11.4936,1.7349
08/01/2007 00:00,0.0150,0.3375,22.6167,1.0000,0.0000,1.5474,0.1719,153.8611,125.5581,0.7634,6.8235,0.9472,0.0947,180.4669,452.9338,13.0714,30.6065,0.0985,0.1232,1624.2022,30.5000,0.0246,45.2934,3.6969,2.4646,2.4646,3.6969,12.3229,1.8601
09/01/2007 00:00,0.0150,0.3374,22.6021,1.0000,0.0000,1.5254,0.1695,155.1215,125.5581,0.7304,7.0379,1.0043,0.1004,182.3912,456.7824,13.0714,30.5350,0.0913,0.1141,1641.5210,30.5000,0.0228,45.6782,3.9456,2.6304,2.6304,3.9456,13.1522,1.9852
10/01/2007 00:00,0.0160,0.3373,22.5875,1.0000,0.0000,1.5034,0.1670,156.3818,125.5581,0.7714,7.0338,1.0240,0.1024,182.1217,456.2434,12.9780,30.2819,0.0895,0.1118,1639.0955,30.2819,0.0224,45.6243,3.8613,2.5742,2.5742,3.8613,12.8710,1.9428
