ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
01/01/2007 00:00:00, NaN,33.674868,25.489045,1.000000,0.000000,6.137994,0.681999,158.641289,68.515173,2.198969,1.534373,0.942334,0.094233,59.518853,211.037705,8.363213,27.747303,0.282067,0.352583,535.669674,19.514164,0.070517,21.103771,1.955321,1.303548,1.303548,1.955321,6.517738,0.983809
02/01/2007 00:00:00, NaN,33.798815,25.683907,1.000000,0.000000,6.590982,0.732331,156.299193,68.515173,2.210865,1.531458,1.012178,0.101218,65.070553,222.141106,8.363213,31.188307,0.341595,0.426994,585.634976,19.514164,0.085399,22.214111,2.204112,1.469408,1.469408,2.204112,7.347040,1.108987
03/01/2007 00:00:00, NaN,33.825492,25.608853,1.000000,0.000000,7.043971,0.782663,157.435896,68.515173,2.316001,1.528543,1.012571,0.101257,63.276164,218.552328,8.363213,31.569382,0.355560,0.444450,569.485476,19.514164,0.088890,21.855233,2.452903,1.635268,1.635268,2.452903,8.176342,1.234165
04/01/2007 00:00:00, NaN,33.812850,25.424694,1.000000,0.000000,6.617843,0.735316,159.978786,68.515173,2.458759,1.525628,0.984941,0.098494,58.517564,209.035128,8.363213,30.715749,0.351139,0.438924,526.658075,19.514164,0.087785,20.903513,2.701693,1.801129,1.801129,2.701693,9.005644,1.359342
05/01/2007 00:00:00, NaN,33.800207,25.240535,1.000000,0.000000,5.729807,0.636645,162.521676,68.515173,2.601517,1.522713,0.957310,0.095731,53.758964,199.517927,8.363213,29.862116,0.346718,0.433398,483.830673,19.514164,0.086680,19.951793,2.950484,1.966989,1.966989,2.950484,9.834946,1.484520
06/01/2007 00:00:00, NaN,33.787565,25.056377,1.000000,0.000000,4.841771,0.537975,165.064565,68.515173,2.744275,1.519798,0.929680,0.092968,49.000364,190.000727,8.363213,29.008483,0.342297,0.427871,441.003272,19.514164,0.085574,19.000073,3.199274,2.132850,2.132850,3.199274,10.664248,1.609698
07/01/2007 00:00:00, NaN,33.774923,24.872218,1.000000,0.000000,3.953734,0.439304,167.607455,68.515173,2.887033,1.516883,0.902049,0.090205,44.241763,180.483527,8.363213,28.154850,0.337876,0.422345,398.175870,19.514164,0.084469,18.048353,3.448065,2.298710,2.298710,3.448065,11.493550,1.734875
08/01/2007 00:00:00, NaN,33.762281,24.688059,1.000000,0.000000,3.065698,0.340633,170.150344,68.515173,3.029791,1.513968,0.874418,0.087442,39.483163,170.966326,8.363213,27.301217,0.333455,0.416819,355.348468,19.514164,0.083364,17.096633,3.696856,2.464570,2.464570,3.696856,12.322852,1.860053
09/01/2007 00:00:00, NaN,33.749639,24.503901,1.000000,0.000000,3.157426,0.350825,172.693234,68.515173,3.172549,1.511053,0.846788,0.084679,34.724563,161.449126,8.363213,26.447584,0.329034,0.411293,312.521067,19.514164,0.082259,16.144913,3.945646,2.630431,2.630431,3.945646,13.152154,1.985231
10/01/2007 00:00:00, NaN,33.725043,24.251662,1.000000,0.000000,3.935104,0.437234,171.476891,68.515173,3.828969,1.508138,0.910559,0.091056,35.020699,162.041398,8.363213,25.802341,0.328787,0.410984,315.186289,19.514164,0.082197,16.204140,3.861296,2.574197,2.574197,3.861296,12.870987,1.942791
11/01/2007 00:00:00, NaN,33.695502,23.971253,1.000000,0.000000,4.712781,0.523642,168.704987,68.515173,4.697608,1.505223,1.012092,0.101209,37.405200,166.810399,8.363213,25.243195,0.330264,0.412830,336.646796,19.514164,0.082566,16.681040,3.536256,2.357504,2.357504,3.536256,11.787520,1.779248
12/01/2007 00:00:00, NaN,33.665960,23.690843,1.000000,0.000000,5.490459,0.610051,165.933083,68.515173,5.566248,1.502308,1.113626,0.111363,39.789700,171.579401,8.363213,24.684050,0.331741,0.414676,358.107303,19.514164,0.082935,17.157940,3.211216,2.140811,2.140811,3.211216,10.704053,1.615706
13/01/2007 00:00:00, NaN,33.636418,23.410434,1.000000,0.000000,6.268137,0.696460,163.161179,68.515173,6.434888,1.499393,1.215160,0.121516,42.174201,176.348402,8.363213,24.124904,0.333218,0.416522,379.567809,19.514164,0.083304,17.634840,2.886176,1.924117,1.924117,2.886176,9.620586,1.452164
14/01/2007 00:00:00, NaN,33.606877,23.130025,1.000000,0.000000,7.045815,0.782868,160.389275,68.515173,7.303527,1.496478,1.316693,0.131669,44.558702,181.117404,8.363213,23.565758,0.334694,0.418368,401.028316,19.514164,0.083674,18.111740,2.561136,1.707424,1.707424,2.561136,8.537119,1.288622
15/01/2007 00:00:00, NaN,33.577335,22.849615,1.000000,0.000000,7.823492,0.869277,157.617371,68.515173,8.172167,1.493563,1.418227,0.141823,46.943203,185.886405,8.363213,23.006612,0.336171,0.420214,422.488823,19.514164,0.084043,18.588641,2.236096,1.490730,1.490730,2.236096,7.453652,1.125079
16/01/2007 00:00:00, NaN,33.547794,22.569206,1.000000,0.000000,7.852582,0.872509,154.845467,68.515173,9.040806,1.490648,1.519760,0.151976,49.327703,190.655407,8.363213,22.447466,0.337648,0.422060,443.949329,19.514164,0.084412,19.065541,1.911055,1.274037,1.274037,1.911055,6.370185,0.961537
17/01/2007 00:00:00, NaN,33.683562,22.589489,1.000000,0.000000,7.468658,0.829851,156.915117,68.515173,8.582034,1.487733,1.472250,0.147225,48.289665,188.579330,8.363213,22.115991,0.326545,0.408181,434.606987,19.514164,0.081636,18.857933,1.800000,1.200000,1.200000,1.800000,6.000000,0.905660
18/01/2007 00:00:00, NaN,33.884406,22.728143,1.000000,0.000000,7.084734,0.787193,160.890698,68.515173,7.602053,1.484818,1.366217,0.136622,45.907768,183.815535,8.363213,21.873911,0.310501,0.388127,413.169909,19.514164,0.077625,18.381554,1.800000,1.200000,1.200000,1.800000,6.000000,0.905660
19/01/2007 00:00:00, NaN,34.085251,22.866797,1.000000,0.000000,6.700810,0.744534,164.866279,68.515173,6.622072,1.481902,1.260184,0.126018,43.525870,179.051740,8.363213,21.631831,0.294458,0.368073,391.732830,19.514164,0.073615,17.905174,1.800000,1.200000,1.200000,1.800000,6.000000,0.905660
20/01/2007 00:00:00, NaN,34.286095,23.005451,1.000000,0.000000,6.316886,0.701876,168.841859,68.515173,5.642092,1.478987,1.154151,0.115415,41.143972,174.287945,8.363213,21.389751,0.278415,0.348019,370.295752,19.514164,0.069604,17.428794,1.800000,1.200000,1.200000,1.800000,6.000000,0.905660
