ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0163,0.2869,26.6503,1.0000,0.0000,4.0000,179.9626,137.2393,0.6867,4.1775,0.2901,1416.6667,375.3333,30.8841,0.0000,0.2820,6.9408
02/01/2017 00:00:00,0.0180,0.2848,26.8590,1.0000,0.0000,4.0000,181.1040,137.8864,0.6749,4.0800,0.2850,1416.6667,375.3333,31.3346,0.0000,0.3275,6.6317
03/01/2017 00:00:00,0.0167,0.2827,27.0677,1.0000,0.0000,4.0000,182.2454,138.5334,0.6482,3.8920,0.2739,1416.6667,375.3333,31.0978,0.0000,0.3475,6.3226
04/01/2017 00:00:00,0.0154,0.2807,27.2764,1.0000,0.0000,4.0000,183.3868,140.9374,0.6220,3.7077,0.2631,1416.6667,375.3333,30.8725,0.0000,0.3679,6.2302
05/01/2017 00:00:00,0.0153,0.2831,27.2700,1.0000,0.0000,4.0000,181.6059,144.4957,0.6348,3.7465,0.2796,1411.7371,374.3474,30.7752,0.0000,0.3200,6.2802
06/01/2017 00:00:00,0.0172,0.2922,26.9513,1.0000,0.0000,4.0000,175.5848,148.0540,0.7084,4.1322,0.3387,1399.6647,371.9329,30.9988,0.0000,0.1784,6.3302
07/01/2017 00:00:00,0.0197,0.3013,26.6326,1.0000,0.0000,4.0000,169.5638,151.6123,0.7860,4.5400,0.4019,1387.5922,369.5184,31.2707,0.6375,0.0387,6.3802
08/01/2017 00:00:00,0.0167,0.3104,26.3138,1.0000,0.0000,4.0000,163.5428,155.1706,0.8361,4.7883,0.4534,1375.5198,367.1040,30.4218,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0155,0.3195,25.9951,1.0000,0.0000,4.0000,157.5218,158.7289,0.8941,5.0825,0.5099,1363.4474,364.6895,29.9042,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0111,0.3286,25.6764,1.0000,0.0000,4.0000,151.5007,161.6747,0.9235,5.2150,0.5514,1351.3749,362.2750,28.5161,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0133,0.3377,25.3577,1.0000,0.0000,4.0000,145.4797,164.2169,1.0096,5.6686,0.6263,1339.3025,359.8605,28.8952,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0391,0.3424,25.1062,1.0000,0.0000,4.0361,144.0791,166.7591,1.0804,6.1435,0.6838,1330.3230,358.0646,29.9025,1.0836,0.0000,7.8945
13/01/2017 00:00:00,0.0155,0.3427,24.9204,1.0000,0.0000,4.1076,147.2052,169.3013,1.0454,6.1289,0.6692,1324.3686,356.8737,29.0999,0.3850,0.0000,8.4303
14/01/2017 00:00:00,0.0123,0.3430,24.7346,1.0000,0.0000,4.1790,150.3313,171.8435,1.0057,6.0806,0.6513,1318.4141,355.6828,28.1599,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0087,0.3432,24.5488,1.0000,0.0000,4.2505,153.4574,174.3857,0.9552,5.9583,0.6262,1312.4597,354.4919,26.9106,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0132,0.3435,24.3630,1.0000,0.0000,4.3219,156.5836,176.9279,0.9918,6.3851,0.6557,1306.5052,353.3010,28.1204,1.2562,0.0000,10.0376
17/01/2017 00:00:00,0.0118,0.3438,24.1773,1.0000,0.0000,4.3934,159.7097,179.4701,0.9666,6.4248,0.6466,1300.5508,352.1102,27.5871,1.1122,0.0000,10.5733
18/01/2017 00:00:00,0.0097,0.3441,23.9915,1.0000,0.0000,4.4648,162.8358,182.0123,0.9331,6.4061,0.6321,1294.5963,350.9193,26.8144,0.4541,0.0000,11.1091
19/01/2017 00:00:00,0.0113,0.3444,23.8057,1.0000,0.0000,4.5363,165.9619,184.5545,0.9382,6.6560,0.6426,1288.6419,349.7284,27.1546,2.1806,0.0000,11.6449
20/01/2017 00:00:00,0.0088,0.3447,23.6199,1.0000,0.0000,4.6078,169.0881,187.0967,0.8994,6.5964,0.6245,1282.6874,348.5375,26.2250,1.1801,0.0000,12.1806
21/01/2017 00:00:00,0.0114,0.3450,23.4341,1.0000,0.0000,4.6792,172.2142,189.6389,0.9138,6.9320,0.6418,1276.7330,347.3466,26.8512,3.5533,0.0000,12.7164
22/01/2017 00:00:00,0.0086,0.3453,23.2483,1.0000,0.0000,4.7507,175.3403,192.1811,0.8726,6.8505,0.6220,1270.7785,346.1557,25.8489,2.3882,0.0000,13.2522
23/01/2017 00:00:00,0.0104,0.3455,23.0626,1.0000,0.0000,4.8221,178.4665,194.7233,0.8787,7.1425,0.6345,1264.8241,344.9648,26.2480,4.2987,0.0000,13.7879
24/01/2017 00:00:00,0.0084,0.3458,22.8768,1.0000,0.0000,4.8936,181.5926,202.0130,0.8441,7.1091,0.6190,1258.8696,343.7739,25.4380,3.5486,0.0000,13.7502
25/01/2017 00:00:00,0.0070,0.3461,22.6910,1.0000,0.0000,4.9650,184.7187,212.4133,0.8139,7.1061,0.6063,1252.9152,342.5830,24.7529,3.0670,0.0000,13.3368
26/01/2017 00:00:00,0.0047,0.3456,22.5345,1.0000,0.0000,5.0000,185.3516,222.8136,0.8265,6.7734,0.5833,1256.0683,343.2137,23.6532,0.6817,0.0000,12.9234
27/01/2017 00:00:00,0.0074,0.3443,22.4061,1.0000,0.0000,5.0000,183.5906,233.2139,0.9830,6.9604,0.6213,1267.9571,345.5914,25.0703,2.9959,0.0000,12.5099
28/01/2017 00:00:00,0.0038,0.3429,22.2777,1.0000,0.0000,5.0000,181.8296,243.6142,1.0146,6.2972,0.5836,1279.8459,347.9692,23.3989,0.0000,0.0000,12.0965
29/01/2017 00:00:00,0.1458,0.3416,22.1493,1.0000,0.0000,5.0000,180.0686,254.0145,1.5484,8.5175,0.8019,1291.7348,350.3470,32.6564,17.9646,0.0000,11.6831
30/01/2017 00:00:00,0.4370,0.3403,22.0209,1.0000,0.0000,5.0000,178.3076,264.4148,1.9445,9.5671,0.9164,1303.6236,352.7247,37.8557,28.3774,0.0000,11.2697
31/01/2017 00:00:00,1.4349,0.3390,21.8925,1.0000,0.0000,5.0000,176.5466,274.8151,2.5117,11.1351,1.0747,1315.5125,355.1025,45.4819,43.9292,0.0000,10.8563
01/02/2017 00:00:00,0.1866,0.3376,21.7641,1.0000,0.0000,5.0000,174.7856,285.2154,2.0099,8.0788,0.8458,1327.4013,357.4803,34.0717,18.2499,0.0000,10.4428
