ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0000,0.5607,20.5502,1.0000,0.0000,16.4980,17.0264,137.2393,3.3267,0.8764,0.3312,430.5446,178.1089,11.7847,22.2423,2.8324,6.9408
02/01/2017 00:00:00,0.0000,0.5618,20.6214,1.0000,0.0000,15.7854,15.1112,137.8864,3.4165,0.9009,0.3517,426.5857,177.3171,12.3175,21.9197,2.8322,6.6317
03/01/2017 00:00:00,0.0000,0.5629,20.6927,1.0000,0.0000,15.0728,13.1961,138.5334,3.5113,0.9267,0.3750,422.6269,176.5254,12.8791,21.5976,2.8318,6.3226
04/01/2017 00:00:00,0.0000,0.5640,20.7640,1.0000,0.0000,14.3603,11.2810,140.9374,3.6113,0.9539,0.4015,418.6681,175.7336,13.4718,21.2765,2.8314,6.2302
05/01/2017 00:00:00,0.0000,0.5640,20.7851,1.0000,0.0000,13.9813,10.4350,144.4957,3.6688,0.9700,0.4176,417.0556,175.4111,13.7851,21.0970,2.8310,6.2802
06/01/2017 00:00:00,0.0000,0.5628,20.7549,1.0000,0.0000,13.9436,10.6827,148.0540,3.6785,0.9733,0.4199,417.8421,175.5684,13.7874,21.0624,2.8308,6.3302
07/01/2017 00:00:00,0.0000,0.5617,20.7247,1.0000,0.0000,13.9058,10.9305,151.6123,3.6881,0.9768,0.4225,418.6287,175.7257,13.7899,21.0283,2.8304,6.3802
08/01/2017 00:00:00,0.0000,0.5605,20.6945,1.0000,0.0000,13.8681,11.1783,155.1706,3.6979,0.9802,0.4250,419.4152,175.8830,13.7927,20.9951,2.8300,6.4301
09/01/2017 00:00:00,0.0000,0.5593,20.6643,1.0000,0.0000,13.8303,11.4260,158.7289,3.7078,0.9837,0.4276,420.2018,176.0404,13.7957,20.9625,2.8296,6.4801
10/01/2017 00:00:00,0.0000,0.5581,20.6341,1.0000,0.0000,13.7926,11.6738,161.6747,3.7178,0.9871,0.4302,420.9884,176.1977,13.7991,20.9307,2.8292,6.8229
11/01/2017 00:00:00,0.0000,0.5569,20.6038,1.0000,0.0000,13.7548,11.9215,164.2169,3.7279,0.9906,0.4327,421.7749,176.3550,13.8026,20.8994,2.8290,7.3587
12/01/2017 00:00:00,0.0034,0.5558,20.5736,1.0000,0.0000,13.7171,12.1693,166.7591,4.8869,1.2997,0.4354,422.5615,176.5123,18.0503,33.4330,2.8286,7.8945
13/01/2017 00:00:00,0.0000,0.5546,20.5434,1.0000,0.0000,13.6793,12.4171,169.3013,3.7482,0.9977,0.4381,423.3480,176.6696,13.8106,20.8389,2.8282,8.4303
14/01/2017 00:00:00,0.0000,0.5534,20.5132,1.0000,0.0000,13.6415,12.6648,171.8435,3.7585,1.0013,0.4408,424.1346,176.8269,13.8149,20.8097,2.8278,8.9660
15/01/2017 00:00:00,0.0000,0.5522,20.4830,1.0000,0.0000,13.6038,12.9126,174.3857,3.7689,1.0049,0.4434,424.9211,176.9842,13.8195,20.7809,2.8276,9.5018
16/01/2017 00:00:00,0.0000,0.5511,20.4528,1.0000,0.0000,13.5660,13.1604,176.9279,3.7794,1.0085,0.4462,425.7077,177.1415,13.8243,20.7528,2.8272,10.0376
17/01/2017 00:00:00,0.0000,0.5499,20.4226,1.0000,0.0000,13.5283,13.4081,179.4701,3.7900,1.0122,0.4490,426.4942,177.2988,13.8293,20.7251,2.8268,10.5733
18/01/2017 00:00:00,0.0000,0.5487,20.3924,1.0000,0.0000,13.4905,13.6559,182.0123,3.8007,1.0159,0.4518,427.2808,177.4562,13.8346,20.6982,2.8264,11.1091
19/01/2017 00:00:00,0.0000,0.5475,20.3622,1.0000,0.0000,13.4528,13.9037,184.5545,3.8115,1.0196,0.4545,428.0673,177.6135,13.8401,20.6715,2.8262,11.6449
20/01/2017 00:00:00,0.0000,0.5463,20.3320,1.0000,0.0000,13.4150,14.1514,187.0967,3.8222,1.0233,0.4574,428.8539,177.7708,13.8458,20.6457,2.8258,12.1806
21/01/2017 00:00:00,0.0000,0.5452,20.3018,1.0000,0.0000,13.3773,14.3992,189.6389,3.8332,1.0271,0.4604,429.6405,177.9281,13.8517,20.6201,2.8254,12.7164
22/01/2017 00:00:00,0.0000,0.5440,20.2716,1.0000,0.0000,13.3395,14.6470,192.1811,3.8442,1.0309,0.4633,430.4270,178.0854,13.8579,20.5952,2.8250,13.2522
23/01/2017 00:00:00,0.0000,0.5428,20.2414,1.0000,0.0000,13.3017,14.8947,194.7233,3.8553,1.0347,0.4663,431.2136,178.2427,13.8642,20.5707,2.8246,13.7879
24/01/2017 00:00:00,0.0000,0.5416,20.2112,1.0000,0.0000,13.2640,15.1425,202.0130,3.8665,1.0385,0.4692,432.0001,178.4000,13.8707,20.5467,2.8244,13.7502
25/01/2017 00:00:00,0.0000,0.5404,20.1810,1.0000,0.0000,13.2262,15.3902,212.4133,3.8778,1.0424,0.4722,432.7867,178.5573,13.8775,20.5230,2.8240,13.3368
26/01/2017 00:00:00,0.0000,0.5393,20.1508,1.0000,0.0000,13.1885,15.6380,222.8136,3.8891,1.0463,0.4753,433.5732,178.7146,13.8845,20.4999,2.8236,12.9234
27/01/2017 00:00:00,0.0000,0.5381,20.1206,1.0000,0.0000,13.1507,15.8858,233.2139,3.9005,1.0502,0.4785,434.3598,178.8720,13.8917,20.4773,2.8232,12.5099
28/01/2017 00:00:00,0.0000,0.5369,20.0904,1.0000,0.0000,13.1130,16.1335,243.6142,3.9120,1.0541,0.4815,435.1463,179.0293,13.8990,20.4551,2.8230,12.0965
29/01/2017 00:00:00,0.0147,0.5357,20.0602,1.0000,0.0000,13.0752,16.3813,254.0145,5.9069,1.5930,0.4847,435.9329,179.1866,20.9360,40.8334,2.8226,11.6831
30/01/2017 00:00:00,0.1629,0.5345,20.0300,1.0000,0.0000,13.0375,16.6291,264.4148,8.5318,2.3026,0.4879,436.7195,179.3439,30.1668,67.5213,2.8222,11.2697
31/01/2017 00:00:00,0.4619,0.5334,19.9998,1.0000,0.0000,12.9997,16.8768,274.8151,10.3093,2.7846,0.4912,437.5060,179.5012,36.3638,85.3611,2.8218,10.8563
01/02/2017 00:00:00,0.0344,0.5322,19.9696,1.0000,0.0000,12.9620,17.1246,285.2154,6.6510,1.7978,0.4945,438.2926,179.6585,23.4033,47.7618,2.8214,10.4428
02/02/2017 00:00:00,0.0000,0.5310,19.9394,1.0000,0.0000,12.9242,17.3724,295.6157,4.0395,1.0928,0.4977,439.0791,179.8158,14.1800,21.0470,2.8212,10.0294
03/02/2017 00:00:00,0.0000,0.5298,19.9092,1.0000,0.0000,12.8864,17.6201,306.0160,4.0507,1.0966,0.5011,439.8657,179.9731,14.1848,21.0158,2.8208,9.6160
04/02/2017 00:00:00,0.0000,0.5286,19.8790,1.0000,0.0000,12.8487,17.8679,316.4163,4.0618,1.1006,0.5045,440.6522,180.1304,14.1899,20.9852,2.8204,9.2026
05/02/2017 00:00:00,0.0000,0.5275,19.8488,1.0000,0.0000,12.8109,18.1157,326.8166,4.0731,1.1044,0.5080,441.4388,180.2878,14.1952,20.9552,2.8200,8.7891
06/02/2017 00:00:00,0.0000,0.5263,19.8186,1.0000,0.0000,12.7732,18.3634,337.2169,4.0846,1.1084,0.5113,442.2253,180.4451,14.2009,20.9257,2.8198,8.3757
07/02/2017 00:00:00,0.0047,0.5251,19.7884,1.0000,0.0000,12.7354,18.6112,334.8182,5.7090,1.5504,0.5149,443.0119,180.6024,19.8009,36.9546,2.8194,7.9254
08/02/2017 00:00:00,0.0000,0.5239,19.7581,1.0000,0.0000,12.6977,18.8589,322.9595,4.1077,1.1164,0.5185,443.7985,180.7597,14.2128,20.8687,2.8190,7.4477
09/02/2017 00:00:00,0.0196,0.5228,19.7279,1.0000,0.0000,12.6599,19.1067,311.1008,6.3666,1.7316,0.5221,444.5850,180.9170,21.9758,43.0506,2.8186,6.9701
10/02/2017 00:00:00,0.5867,0.5216,19.6977,1.0000,0.0000,12.6222,19.3545,299.2420,11.1544,3.0361,0.5256,445.3716,181.0743,38.4096,89.9735,2.8184,6.4925
11/02/2017 00:00:00,0.1279,0.5204,19.6675,1.0000,0.0000,12.5844,19.6022,287.3833,8.5137,2.3191,0.5293,446.1581,181.2316,29.2467,63.6703,2.8180,6.0148
12/02/2017 00:00:00,0.0006,0.5192,19.6373,1.0000,0.0000,12.5467,19.8500,275.5246,4.7830,1.3039,0.5331,446.9447,181.3889,16.3915,26.9000,2.8176,5.5372
13/02/2017 00:00:00,0.0140,0.5180,19.6071,1.0000,0.0000,12.5089,20.0978,263.6658,6.2299,1.6995,0.5369,447.7312,181.5462,21.2992,40.8275,2.8172,5.0596
14/02/2017 00:00:00,0.0030,0.5169,19.5769,1.0000,0.0000,12.4711,20.3455,251.8071,5.2905,1.4444,0.5408,448.5178,181.7036,18.0440,31.4936,2.8168,4.5819
15/02/2017 00:00:00,0.0000,0.5157,19.5467,1.0000,0.0000,12.4334,20.5933,239.9483,4.3105,1.1776,0.5446,449.3043,181.8609,14.6663,21.8347,2.8166,4.1043
16/02/2017 00:00:00,0.0000,0.5145,19.5165,1.0000,0.0000,12.3956,20.8411,228.7527,4.3210,1.1814,0.5485,450.0909,182.0182,14.6670,21.7884,2.8162,3.9229
17/02/2017 00:00:00,0.0000,0.5133,19.4863,1.0000,0.0000,12.3579,21.0888,218.0528,4.3317,1.1852,0.5525,450.8774,182.1755,14.6681,21.7434,2.8158,3.9630
18/02/2017 00:00:00,0.0000,0.5121,19.4561,1.0000,0.0000,12.3201,21.3366,207.3528,4.3425,1.1891,0.5566,451.6640,182.3328,14.6696,21.6994,2.8154,4.0031
19/02/2017 00:00:00,0.0000,0.5110,19.4259,1.0000,0.0000,12.2824,21.5843,196.6529,4.3534,1.1929,0.5605,452.4506,182.4901,14.6717,21.6565,2.8152,4.0432
20/02/2017 00:00:00,0.0000,0.5098,19.3957,1.0000,0.0000,12.2446,21.8321,185.9530,4.3645,1.1968,0.5647,453.2371,182.6474,14.6740,21.6145,2.8148,4.0833
21/02/2017 00:00:00,0.0070,0.5086,19.3655,1.0000,0.0000,12.2069,22.0799,178.2250,5.9564,1.6345,0.5689,454.0237,182.8047,19.9784,36.5247,2.8144,5.9292
22/02/2017 00:00:00,0.0009,0.5074,19.3353,1.0000,0.0000,12.1691,22.3276,172.6200,4.9020,1.3462,0.5732,454.8102,182.9620,16.4025,26.3855,2.8140,9.0649
23/02/2017 00:00:00,0.0000,0.5062,19.3051,1.0000,0.0000,12.1314,22.5754,167.0149,4.3987,1.2088,0.5773,455.5968,183.1194,14.6833,21.4947,2.8138,12.2006
24/02/2017 00:00:00,0.0000,0.5051,19.2749,1.0000,0.0000,12.0936,22.8232,161.4099,4.4103,1.2129,0.5817,456.3833,183.2767,14.6872,21.4565,2.8134,15.3364
25/02/2017 00:00:00,0.0000,0.5039,19.2447,1.0000,0.0000,12.0558,23.0709,155.8048,4.4221,1.2170,0.5862,457.1699,183.4340,14.6914,21.4192,2.8130,18.4721
