ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0011,0.3721,28.0838,1.0000,0.0000,6.6577,248.8850,137.2393,8.7073,11.6042,0.6384,1111.8613,314.3723,16.0198,0.0000,0.6371,6.9408
02/01/2017 00:00:00,0.0010,0.3776,28.2545,1.0000,0.0000,6.7525,250.7524,137.8864,8.4957,11.3790,0.6300,1103.9567,312.7913,15.8367,0.0000,0.6020,6.6317
03/01/2017 00:00:00,0.0009,0.3832,28.4252,1.0000,0.0000,6.8474,252.6199,138.5334,8.3202,11.2001,0.6240,1096.0521,311.2104,15.7135,0.0000,0.5737,6.3226
04/01/2017 00:00:00,0.0008,0.3887,28.5960,1.0000,0.0000,6.9422,254.4874,140.9374,8.1286,10.9977,0.6165,1088.1475,309.6295,15.5531,0.0000,0.5416,6.2302
05/01/2017 00:00:00,0.0007,0.3918,28.5584,1.0000,0.0000,7.0000,249.5198,144.4957,7.9466,10.7961,0.6076,1083.3333,308.6667,15.4200,0.0000,0.5139,6.2802
06/01/2017 00:00:00,0.0007,0.3912,28.1962,1.0000,0.0000,7.0000,233.8992,148.0540,7.8280,10.6645,0.6008,1083.3333,308.6667,15.4317,0.0000,0.5037,6.3302
07/01/2017 00:00:00,0.0007,0.3907,27.8340,1.0000,0.0000,7.0000,218.2786,151.6123,7.7992,10.6553,0.6009,1083.3333,308.6667,15.6210,0.0000,0.5124,6.3802
08/01/2017 00:00:00,0.0008,0.3901,27.4718,1.0000,0.0000,7.0000,202.6580,155.1706,7.7266,10.5865,0.5979,1083.3333,308.6667,15.7244,0.0000,0.5118,6.4301
09/01/2017 00:00:00,0.0007,0.3895,27.1096,1.0000,0.0000,7.0000,187.0374,158.7289,7.6182,10.4685,0.5921,1083.3333,308.6667,15.7544,0.0000,0.5037,6.4801
10/01/2017 00:00:00,0.0007,0.3889,26.7473,1.0000,0.0000,7.0000,171.4168,161.6747,7.3918,10.1877,0.5772,1083.3333,308.6667,15.5348,0.0000,0.4694,6.8229
11/01/2017 00:00:00,0.0006,0.3883,26.3851,1.0000,0.0000,7.0000,155.7962,164.2169,7.2182,9.9787,0.5664,1083.3333,308.6667,15.4180,0.0000,0.4460,7.3587
12/01/2017 00:00:00,0.0013,0.3871,26.1546,1.0000,0.0000,6.9650,150.2361,166.7591,8.1351,11.1765,0.6197,1077.5029,307.5006,17.1187,0.0000,0.6598,7.8945
13/01/2017 00:00:00,0.0006,0.3851,26.0617,1.0000,0.0000,6.8936,155.1933,169.3013,7.4570,10.0863,0.5327,1065.5940,305.1188,14.9607,0.0000,0.5226,8.4303
14/01/2017 00:00:00,0.0006,0.3832,25.9688,1.0000,0.0000,6.8221,160.1504,171.8435,7.6455,10.1856,0.5108,1053.6851,302.7370,14.6209,0.0000,0.5744,8.9660
15/01/2017 00:00:00,0.0005,0.3812,25.8759,1.0000,0.0000,6.7507,165.1076,174.3857,7.6857,10.0888,0.4789,1041.7762,300.3552,14.0052,0.0000,0.5955,9.5018
16/01/2017 00:00:00,0.0005,0.3793,25.7830,1.0000,0.0000,6.6792,170.0648,176.9279,7.8702,10.1834,0.4562,1029.8673,297.9735,13.6608,0.0000,0.6467,10.0376
17/01/2017 00:00:00,0.0005,0.3773,25.6901,1.0000,0.0000,6.6078,175.0220,179.4701,8.1144,10.3530,0.4362,1017.9585,295.5917,13.4102,0.0000,0.7095,10.5733
18/01/2017 00:00:00,0.0005,0.3754,25.5972,1.0000,0.0000,6.5363,179.9792,182.0123,8.2650,10.4019,0.4105,1006.0496,293.2099,12.9988,0.0000,0.7535,11.1091
19/01/2017 00:00:00,0.0005,0.3735,25.5043,1.0000,0.0000,6.4648,184.9364,184.5545,8.4832,10.5350,0.3878,994.1407,290.8281,12.6897,0.0000,0.8100,11.6449
20/01/2017 00:00:00,0.0005,0.3715,25.4115,1.0000,0.0000,6.3934,189.8936,187.0967,8.6734,10.6320,0.3629,982.2318,288.4464,12.3322,0.0000,0.8610,12.1806
21/01/2017 00:00:00,0.0005,0.3696,25.3186,1.0000,0.0000,6.3219,194.8507,189.6389,8.8960,10.7671,0.3388,970.3229,286.0646,12.0140,0.0000,0.9174,12.7164
22/01/2017 00:00:00,0.0005,0.3676,25.2257,1.0000,0.0000,6.2505,199.8079,192.1811,9.1011,10.8795,0.3132,958.4140,283.6828,11.6649,0.0000,0.9704,13.2522
23/01/2017 00:00:00,0.0005,0.3657,25.1328,1.0000,0.0000,6.1790,204.7651,194.7233,9.3269,11.0152,0.2876,946.5051,281.3010,11.3353,0.0000,1.0266,13.7879
24/01/2017 00:00:00,0.0005,0.3637,25.0399,1.0000,0.0000,6.1076,209.7223,202.0130,9.5593,11.1568,0.2613,934.5962,278.9192,11.0051,0.0000,1.0831,13.7502
25/01/2017 00:00:00,0.0005,0.3618,24.9470,1.0000,0.0000,6.0361,214.6795,212.4133,9.6593,11.1437,0.2308,922.6873,276.5375,10.5221,0.0000,1.1178,13.3368
26/01/2017 00:00:00,0.0004,0.3605,24.8330,1.0000,0.0000,6.3527,217.6831,222.8136,9.4118,10.7902,0.2217,922.5456,276.5091,10.1285,0.0000,1.0679,12.9234
27/01/2017 00:00:00,0.0003,0.3597,24.6975,1.0000,0.0000,7.0661,218.6864,233.2139,9.0593,10.3751,0.2374,934.4356,278.8871,10.0626,0.0000,0.9699,12.5099
28/01/2017 00:00:00,0.0003,0.3590,24.5619,1.0000,0.0000,7.7795,219.6896,243.6142,8.6678,9.9163,0.2484,946.3257,281.2651,9.9226,0.0000,0.8626,12.0965
29/01/2017 00:00:00,0.0051,0.3583,24.4264,1.0000,0.0000,8.4929,220.6928,254.0145,13.8366,15.8134,0.4250,958.2157,283.6431,16.3029,0.0000,1.6508,11.6831
30/01/2017 00:00:00,0.0096,0.3576,24.2909,1.0000,0.0000,9.2063,221.6960,264.4148,15.3416,17.5157,0.5001,970.1057,286.0211,18.5814,0.0000,1.8430,11.2697
31/01/2017 00:00:00,0.0419,0.3569,24.1553,1.0000,0.0000,9.9197,222.6992,274.8151,20.2479,23.0943,0.6788,981.9957,288.3991,25.1798,14.5806,2.5190,10.8563
01/02/2017 00:00:00,0.0039,0.3562,24.0198,1.0000,0.0000,10.6331,223.7024,285.2154,12.5967,14.3534,0.4687,993.8857,290.7771,16.0666,0.0000,1.3530,10.4428
02/02/2017 00:00:00,0.0007,0.3554,23.8842,1.0000,0.0000,11.3465,224.7056,295.6157,9.3903,10.6895,0.3715,1005.7757,293.1551,12.2717,0.0000,0.7781,10.0294
03/02/2017 00:00:00,0.0007,0.3547,23.7487,1.0000,0.0000,12.0599,225.7088,306.0160,9.2914,10.5668,0.3850,1017.6658,295.5332,12.4295,0.0000,0.7178,9.6160
04/02/2017 00:00:00,0.0007,0.3540,23.6131,1.0000,0.0000,12.7733,226.7121,316.4163,9.0684,10.3036,0.3921,1029.5558,297.9112,12.4070,0.0000,0.6343,9.2026
05/02/2017 00:00:00,0.0007,0.3533,23.4776,1.0000,0.0000,13.4867,227.7153,326.8166,8.8741,10.0734,0.3992,1041.4458,300.2892,12.4068,0.0000,0.5545,8.7891
06/02/2017 00:00:00,0.0006,0.3526,23.3420,1.0000,0.0000,14.2001,228.7185,337.2169,8.7039,9.8712,0.4061,1053.3358,302.6672,12.4255,0.0000,0.4782,8.3757
07/02/2017 00:00:00,0.0006,0.3519,23.2065,1.0000,0.0000,14.9136,229.7217,334.8182,8.5645,9.7045,0.4134,1065.2258,305.0452,12.4753,0.0000,0.4066,7.9254
08/02/2017 00:00:00,0.0006,0.3511,23.0709,1.0000,0.0000,15.6270,230.7249,322.9595,8.4509,9.5672,0.4212,1077.1158,307.4232,12.5514,0.0000,0.3390,7.4477
09/02/2017 00:00:00,0.0040,0.3517,23.0543,1.0000,0.0000,15.6940,230.4327,311.1008,11.4956,13.1925,0.5936,1086.1666,309.2333,17.4567,0.0000,0.8669,6.9701
10/02/2017 00:00:00,0.1635,0.3537,23.1684,1.0000,0.0000,15.0526,228.7179,299.2420,23.7552,28.0899,1.1954,1092.1055,310.4211,37.0322,36.2232,2.8257,6.4925
11/02/2017 00:00:00,0.0400,0.3557,23.2824,1.0000,0.0000,14.4112,227.0030,287.3833,17.3675,21.1735,0.9728,1098.0443,311.6089,27.8116,2.1461,1.8513,6.0148
12/02/2017 00:00:00,0.0041,0.3576,23.3964,1.0000,0.0000,13.7698,225.2881,275.5246,10.9792,13.8093,0.6871,1103.9831,312.7966,18.0724,0.0000,0.7574,5.5372
13/02/2017 00:00:00,0.0036,0.3596,23.5105,1.0000,0.0000,13.1284,223.5733,263.6658,10.5873,13.7477,0.7080,1109.9220,313.9844,17.9266,0.0000,0.6811,5.0596
14/02/2017 00:00:00,0.0036,0.3616,23.6245,1.0000,0.0000,12.4870,221.8584,251.8071,10.3743,13.9174,0.7407,1115.8608,315.1722,18.0826,0.0000,0.6382,4.5819
