ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0050,0.7092,20.7318,1.0000,0.0000,9.7908,25.4799,137.2393,12.8746,0.1422,0.0570,881.7997,268.3599,4.7693,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0049,0.7095,20.6824,1.0000,0.0000,9.7789,25.4538,137.8864,12.8185,0.1417,0.0568,879.8156,267.9631,4.7343,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0047,0.7097,20.6330,1.0000,0.0000,9.7670,25.4278,138.5334,12.7637,0.1412,0.0565,877.8316,267.5663,4.7000,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0046,0.7099,20.5836,1.0000,0.0000,9.7551,25.4018,140.9374,12.7101,0.1407,0.0563,875.8475,267.1695,4.6663,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0044,0.7101,20.5342,1.0000,0.0000,9.7432,25.3757,144.4957,12.6576,0.1402,0.0561,873.8635,266.7727,4.6332,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0043,0.7104,20.4848,1.0000,0.0000,9.7313,25.3497,148.0540,12.6064,0.1398,0.0559,871.8794,266.3759,4.6008,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0042,0.7106,20.4354,1.0000,0.0000,9.7194,25.3236,151.6123,12.5565,0.1393,0.0557,869.8954,265.9791,4.5690,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0040,0.7108,20.3860,1.0000,0.0000,9.7075,25.2976,155.1706,12.5077,0.1389,0.0555,867.9113,265.5823,4.5378,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0039,0.7111,20.3366,1.0000,0.0000,9.6956,25.2716,158.7289,12.4601,0.1384,0.0552,865.9273,265.1855,4.5072,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0038,0.7113,20.2872,1.0000,0.0000,9.6837,25.2455,161.6747,12.4135,0.1380,0.0551,863.9432,264.7886,4.4771,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0037,0.7115,20.2378,1.0000,0.0000,9.6718,25.2195,164.2169,12.3679,0.1376,0.0549,861.9592,264.3918,4.4476,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0198,0.7117,20.1884,1.0000,0.0000,9.6599,25.1934,166.7591,20.5548,0.2288,0.0866,859.9751,263.9950,7.3699,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0035,0.7120,20.1390,1.0000,0.0000,9.6479,25.1674,169.3013,12.2799,0.1368,0.0545,857.9910,263.5982,4.3901,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0034,0.7122,20.0896,1.0000,0.0000,9.6360,25.1414,171.8435,12.2374,0.1364,0.0543,856.0070,263.2014,4.3621,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0033,0.7124,20.0402,1.0000,0.0000,9.6241,25.1153,174.3857,12.1957,0.1360,0.0541,854.0229,262.8046,4.3346,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0032,0.7126,19.9908,1.0000,0.0000,9.6122,25.0893,176.9279,12.1550,0.1356,0.0540,852.0389,262.4078,4.3076,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0032,0.7129,19.9414,1.0000,0.0000,9.6003,25.0632,179.4701,12.1152,0.1353,0.0538,850.0548,262.0110,4.2811,0.0000,0.0000,10.5733
18/01/2017 00:00:00,0.0031,0.7131,19.8920,1.0000,0.0000,9.5884,25.0372,182.0123,12.0763,0.1349,0.0536,848.0708,261.6142,4.2550,0.0000,0.0000,11.1091
19/01/2017 00:00:00,0.0030,0.7133,19.8426,1.0000,0.0000,9.5765,25.0112,184.5545,12.0383,0.1346,0.0535,846.0867,261.2173,4.2293,0.0000,0.0000,11.6449
20/01/2017 00:00:00,0.0029,0.7136,19.7932,1.0000,0.0000,9.5646,24.9851,187.0967,12.0010,0.1343,0.0533,844.1027,260.8205,4.2041,0.0000,0.0000,12.1806
21/01/2017 00:00:00,0.0029,0.7138,19.7438,1.0000,0.0000,9.5527,24.9591,189.6389,11.9646,0.1339,0.0532,842.1186,260.4237,4.1792,0.0000,0.0000,12.7164
22/01/2017 00:00:00,0.0028,0.7140,19.6944,1.0000,0.0000,9.5408,24.9330,192.1811,11.9289,0.1336,0.0530,840.1346,260.0269,4.1548,0.0000,0.0000,13.2522
23/01/2017 00:00:00,0.0027,0.7142,19.6450,1.0000,0.0000,9.5289,24.9070,194.7233,11.8940,0.1333,0.0529,838.1505,259.6301,4.1308,0.0000,0.0000,13.7879
24/01/2017 00:00:00,0.0026,0.7145,19.5956,1.0000,0.0000,9.5170,24.8809,202.0130,11.8598,0.1330,0.0528,836.1665,259.2333,4.1071,0.0000,0.0000,13.7502
25/01/2017 00:00:00,0.0026,0.7147,19.5462,1.0000,0.0000,9.5051,24.8549,212.4133,11.8263,0.1327,0.0526,834.1824,258.8365,4.0838,0.0000,0.0000,13.3368
26/01/2017 00:00:00,0.0025,0.7149,19.4968,1.0000,0.0000,9.4932,24.8289,222.8136,11.7935,0.1324,0.0525,832.1984,258.4397,4.0609,0.0000,0.0000,12.9234
27/01/2017 00:00:00,0.0025,0.7151,19.4474,1.0000,0.0000,9.4813,24.8028,233.2139,11.7613,0.1321,0.0524,830.2143,258.0429,4.0383,0.0000,0.0000,12.5099
28/01/2017 00:00:00,0.0024,0.7154,19.3980,1.0000,0.0000,9.4694,24.7768,243.6142,11.7298,0.1319,0.0522,828.2303,257.6461,4.0161,0.0000,0.0000,12.0965
29/01/2017 00:00:00,0.0319,0.7156,19.3486,1.0000,0.0000,9.4575,24.7507,254.0145,22.5720,0.2539,0.0948,826.2462,257.2492,7.7064,0.0000,0.0000,11.6831
30/01/2017 00:00:00,0.3265,0.7158,19.2992,1.0000,0.0000,9.4456,24.7247,264.4148,37.3131,0.4200,0.1458,824.2621,256.8524,12.7033,0.0000,0.0000,11.2697
31/01/2017 00:00:00,1.1615,0.7161,19.2497,1.0000,0.0000,9.4337,24.6987,274.8151,50.6509,0.5704,0.1877,822.2781,256.4556,17.1955,0.0000,0.0096,10.8563
01/02/2017 00:00:00,0.1177,0.7163,19.2003,1.0000,0.0000,9.4218,24.6726,285.2154,26.1464,0.2946,0.1077,820.2940,256.0588,8.8514,0.0000,0.0000,10.4428
02/02/2017 00:00:00,0.0040,0.7165,19.1509,1.0000,0.0000,9.4099,24.6466,295.6157,12.8379,0.1447,0.0571,818.3100,255.6620,4.3339,0.0000,0.0000,10.0294
03/02/2017 00:00:00,0.0039,0.7167,19.1015,1.0000,0.0000,9.3980,24.6205,306.0160,12.7861,0.1442,0.0569,816.3259,255.2652,4.3043,0.0000,0.0000,9.6160
04/02/2017 00:00:00,0.0038,0.7170,19.0521,1.0000,0.0000,9.3861,24.5945,316.4163,12.7356,0.1437,0.0567,814.3419,254.8684,4.2753,0.0000,0.0000,9.2026
05/02/2017 00:00:00,0.0037,0.7172,19.0027,1.0000,0.0000,9.3741,24.5685,326.8166,12.6863,0.1433,0.0565,812.3578,254.4716,4.2468,0.0000,0.0000,8.7891
06/02/2017 00:00:00,0.0036,0.7174,18.9533,1.0000,0.0000,9.3622,24.5424,337.2169,12.6382,0.1428,0.0563,810.3738,254.0748,4.2190,0.0000,0.0000,8.3757
07/02/2017 00:00:00,0.0144,0.7176,18.9039,1.0000,0.0000,9.3503,24.5164,334.8182,18.4790,0.2089,0.0797,808.3897,253.6779,6.1516,0.0000,0.0000,7.9254
08/02/2017 00:00:00,0.0034,0.7179,18.8545,1.0000,0.0000,9.3384,24.4903,322.9595,12.5455,0.1419,0.0560,806.4057,253.2811,4.1648,0.0000,0.0000,7.4477
09/02/2017 00:00:00,0.0620,0.7181,18.8051,1.0000,0.0000,9.3265,24.4643,311.1008,25.9386,0.2936,0.1075,804.4216,252.8843,8.5871,0.0000,0.0000,6.9701
10/02/2017 00:00:00,1.8173,0.7183,18.7557,1.0000,0.0000,9.3146,24.4383,299.2420,57.3568,0.6496,0.2086,802.4376,252.4875,18.9357,0.0000,0.0752,6.4925
11/02/2017 00:00:00,0.4594,0.7186,18.7063,1.0000,0.0000,9.3027,24.4122,287.3833,36.3224,0.4116,0.1428,800.4535,252.0907,11.9583,0.0000,0.0000,6.0148
12/02/2017 00:00:00,0.0148,0.7188,18.6569,1.0000,0.0000,9.2908,24.3862,275.5246,15.9844,0.1812,0.0704,798.4695,251.6939,5.2480,0.0000,0.0000,5.5372
13/02/2017 00:00:00,0.0330,0.7190,18.6075,1.0000,0.0000,9.2789,24.3601,263.6658,19.7912,0.2245,0.0851,796.4854,251.2971,6.4800,0.0000,0.0000,5.0596
14/02/2017 00:00:00,0.0263,0.7192,18.5581,1.0000,0.0000,9.2670,24.3341,251.8071,20.2741,0.2301,0.0865,794.5013,250.9003,6.6199,0.0000,0.0000,4.5819
15/02/2017 00:00:00,0.0104,0.7195,18.5087,1.0000,0.0000,9.2551,24.3081,239.9483,15.5324,0.1764,0.0687,792.5173,250.5035,5.0577,0.0000,0.0000,4.1043
16/02/2017 00:00:00,0.0099,0.7197,18.4593,1.0000,0.0000,9.2432,24.2820,228.7527,15.3945,0.1749,0.0682,790.5332,250.1066,4.9991,0.0000,0.0000,3.9229
17/02/2017 00:00:00,0.0094,0.7199,18.4099,1.0000,0.0000,9.2313,24.2560,218.0528,15.2628,0.1735,0.0676,788.5492,249.7098,4.9428,0.0000,0.0000,3.9630
18/02/2017 00:00:00,0.0090,0.7201,18.3605,1.0000,0.0000,9.2194,24.2299,207.3528,15.1370,0.1722,0.0672,786.5651,249.3130,4.8887,0.0000,0.0000,4.0031
19/02/2017 00:00:00,0.0085,0.7204,18.3111,1.0000,0.0000,9.2075,24.2039,196.6529,15.0166,0.1709,0.0667,784.5811,248.9162,4.8367,0.0000,0.0000,4.0432
20/02/2017 00:00:00,0.0082,0.7206,18.2617,1.0000,0.0000,9.1956,24.1778,185.9530,14.9012,0.1697,0.0663,782.5970,248.5194,4.7865,0.0000,0.0000,4.0833
21/02/2017 00:00:00,0.0296,0.7208,18.2123,1.0000,0.0000,9.1837,24.1518,178.2250,20.5852,0.2345,0.0884,780.6130,248.1226,6.5944,0.0000,0.0000,5.9292
22/02/2017 00:00:00,0.0085,0.7211,18.1629,1.0000,0.0000,9.1718,24.1258,172.6200,14.5853,0.1663,0.0650,778.6289,247.7258,4.6597,0.0000,0.0000,9.0649
23/02/2017 00:00:00,0.0072,0.7213,18.1135,1.0000,0.0000,9.1599,24.0997,167.0149,14.5824,0.1663,0.0651,776.6449,247.3290,4.6462,0.0000,0.0000,12.2006
24/02/2017 00:00:00,0.0069,0.7215,18.0641,1.0000,0.0000,9.1480,24.0737,161.4099,14.4842,0.1653,0.0647,774.6608,246.9322,4.6025,0.0000,0.0000,15.3364
25/02/2017 00:00:00,0.0066,0.7217,18.0147,1.0000,0.0000,9.1361,24.0476,155.8048,14.3896,0.1643,0.0644,772.6768,246.5354,4.5601,0.0000,0.0000,18.4721
