ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0534,0.6033,25.7597,1.0000,0.0000,3.0000,206.4159,33.3955,1.7803,0.5662,0.5298,583.3333,208.6667,22.8550,10.4655,0.0000,6.9408
02/01/2017 00:00:00,0.0488,0.6040,26.0104,1.0000,0.0000,3.0000,207.3694,32.8934,1.7477,0.5493,0.4989,583.3333,208.6667,22.3620,9.1689,0.0000,6.6317
03/01/2017 00:00:00,0.0454,0.6046,26.2612,1.0000,0.0000,3.0000,208.3230,32.3913,1.7231,0.5352,0.4714,583.3333,208.6667,21.9750,8.0793,0.0000,6.3226
04/01/2017 00:00:00,0.0419,0.6052,26.5119,1.0000,0.0000,3.0869,209.2766,31.8891,1.6921,0.5195,0.4435,583.3333,208.6667,21.5114,6.8500,0.0000,6.2302
05/01/2017 00:00:00,0.0390,0.6076,26.4486,1.0000,0.0000,3.2537,205.5234,31.8090,1.6744,0.5081,0.4731,583.3333,208.6667,21.1766,5.8348,0.0000,6.2802
06/01/2017 00:00:00,0.0387,0.6109,26.1474,1.0000,0.0000,3.4206,198.2060,32.0488,1.6685,0.5006,0.5458,583.3333,208.6667,20.9654,5.0332,0.0000,6.3302
07/01/2017 00:00:00,0.0389,0.6142,25.8462,1.0000,0.0000,3.5874,190.8886,32.2886,1.7399,0.5161,0.6398,583.3333,208.6667,21.7217,6.0330,0.0000,6.3802
08/01/2017 00:00:00,0.0390,0.6174,25.5450,1.0000,0.0000,3.7543,183.5713,32.5284,1.7757,0.5209,0.7256,583.3333,208.6667,22.0274,6.1864,0.0000,6.4301
09/01/2017 00:00:00,0.0383,0.6207,25.2438,1.0000,0.0000,3.9211,176.2539,32.7682,1.7978,0.5215,0.8069,583.3333,208.6667,22.1626,6.0223,0.0000,6.4801
10/01/2017 00:00:00,0.0353,0.6240,24.9426,1.0000,0.0000,3.9623,168.9365,33.0080,1.7757,0.5095,0.8679,583.3333,208.6667,21.7547,4.8696,0.0000,6.8229
11/01/2017 00:00:00,0.0336,0.6259,24.6876,1.0000,0.0000,3.8908,166.8714,33.1122,1.7471,0.4958,0.8608,579.5654,207.9131,21.0929,3.9316,0.0000,7.3587
12/01/2017 00:00:00,0.0588,0.6271,24.4593,1.0000,0.0000,3.8194,167.8533,33.1376,1.6926,0.4752,0.8161,573.6095,206.7219,20.0365,2.6409,0.0000,7.8945
13/01/2017 00:00:00,0.0337,0.6284,24.2311,1.0000,0.0000,3.7479,168.8352,33.1630,1.7903,0.4973,0.8549,567.6535,205.5307,20.7795,4.6674,0.0000,8.4303
14/01/2017 00:00:00,0.0313,0.6296,24.0029,1.0000,0.0000,3.6764,169.8171,33.1885,1.8118,0.4979,0.8169,561.6976,204.3395,20.6185,5.0299,0.0000,8.9660
15/01/2017 00:00:00,0.0283,0.6308,23.7747,1.0000,0.0000,3.6049,170.7990,33.2139,1.7703,0.4814,0.7769,555.7417,203.1483,19.7537,4.0586,0.0000,9.5018
16/01/2017 00:00:00,0.0278,0.6321,23.5464,1.0000,0.0000,3.5334,171.7809,33.2393,1.7860,0.4806,0.7616,549.7858,201.9572,19.5402,4.3105,0.0000,10.0376
17/01/2017 00:00:00,0.0282,0.6333,23.3182,1.0000,0.0000,3.4619,172.7627,33.2648,1.8229,0.4855,0.7549,543.8298,200.7660,19.5540,5.0024,0.0000,10.5733
18/01/2017 00:00:00,0.0271,0.6354,23.1686,1.0000,0.0000,3.3904,174.5075,33.2902,1.8231,0.4806,0.7346,537.8739,199.5748,19.1732,4.9306,0.0000,11.1091
19/01/2017 00:00:00,0.0271,0.6384,23.0651,1.0000,0.0000,3.3190,176.6982,33.3157,1.8518,0.4832,0.7254,531.9180,198.3836,19.0936,5.4470,0.0000,11.6449
20/01/2017 00:00:00,0.0267,0.6414,22.9615,1.0000,0.0000,3.2475,178.8889,33.3411,1.8686,0.4827,0.7122,525.9620,197.1924,18.8887,5.7184,0.0000,12.1806
21/01/2017 00:00:00,0.0264,0.6444,22.8579,1.0000,0.0000,3.1760,181.0796,33.3665,1.8872,0.4826,0.7001,520.0061,196.0012,18.7018,6.0259,0.0000,12.7164
22/01/2017 00:00:00,0.0260,0.6474,22.7543,1.0000,0.0000,3.1045,183.2703,33.3920,1.9044,0.4822,0.6881,514.0502,194.8100,18.5016,6.3070,0.0000,13.2522
23/01/2017 00:00:00,0.0259,0.6504,22.6507,1.0000,0.0000,3.0330,185.4610,33.4174,1.9281,0.4834,0.6786,508.0943,193.6189,18.3618,6.7130,0.0000,13.7879
24/01/2017 00:00:00,0.0257,0.6533,22.5472,1.0000,0.0000,3.1923,187.6517,33.4428,1.9519,0.4846,0.6692,502.1383,192.4277,18.2212,7.1201,0.0000,13.7502
25/01/2017 00:00:00,0.0242,0.6523,22.4397,1.0000,0.0000,3.5495,188.8653,34.2007,1.8872,0.4767,0.6517,500.0000,192.0000,17.8266,6.6695,0.0000,13.3368
26/01/2017 00:00:00,0.0210,0.6478,22.3301,1.0000,0.0000,3.9068,189.5324,35.3688,1.7436,0.4553,0.6189,500.0000,192.0000,16.9818,5.0927,0.0000,12.9234
27/01/2017 00:00:00,0.0190,0.6433,22.2206,1.0000,0.0000,4.2641,190.1996,36.5370,1.6296,0.4405,0.5948,500.0000,192.0000,16.3843,4.0345,0.0000,12.5099
28/01/2017 00:00:00,0.0182,0.6389,22.1110,1.0000,0.0000,4.6213,190.8667,37.7051,1.4638,0.4102,0.5369,500.0000,192.0000,15.2129,1.7752,0.0000,12.0965
29/01/2017 00:00:00,0.1019,0.6344,22.0014,1.0000,0.0000,4.9786,191.5338,38.8732,1.8524,0.5388,0.6566,500.0000,192.0000,19.9278,11.8364,0.0000,11.6831
30/01/2017 00:00:00,0.3096,0.6300,21.8918,1.0000,0.0000,5.3359,192.2009,40.0414,2.2688,0.6861,0.6321,500.0000,192.0000,25.3018,23.2725,0.0000,11.2697
31/01/2017 00:00:00,2.1537,0.6255,21.7822,1.0000,0.0000,5.6931,192.8680,41.2095,3.7026,1.1659,1.5700,500.0000,192.0000,42.8771,60.2298,0.5531,10.8563
01/02/2017 00:00:00,0.2113,0.6057,22.0893,1.0000,0.0000,6.0504,192.1903,42.3776,1.7985,0.5908,0.7224,500.0000,192.0000,21.6644,16.0423,0.0000,10.4428
02/02/2017 00:00:00,0.0295,0.5740,22.6574,1.0000,0.0000,6.4077,190.6698,43.5458,1.4694,0.5045,0.6287,500.0000,192.0000,18.4485,9.5077,0.0000,10.0294
03/02/2017 00:00:00,0.0292,0.5422,23.2255,1.0000,0.0000,6.7649,189.1493,44.7139,1.4095,0.5069,0.6246,500.0000,192.0000,18.4834,9.7724,0.0000,9.6160
04/02/2017 00:00:00,0.0271,0.5105,23.7936,1.0000,0.0000,7.1222,187.6288,45.8820,1.3166,0.4972,0.6063,500.0000,192.0000,18.0752,9.1106,0.0000,9.2026
05/02/2017 00:00:00,0.0255,0.4787,24.3618,1.0000,0.0000,7.4795,186.1083,47.0502,1.2321,0.4898,0.5908,500.0000,192.0000,17.7556,8.6344,0.0000,8.7891
06/02/2017 00:00:00,0.0242,0.4470,24.9299,1.0000,0.0000,7.8367,184.5878,48.2183,1.1549,0.4847,0.5778,500.0000,192.0000,17.5185,8.3308,0.0000,8.3757
07/02/2017 00:00:00,0.0286,0.4152,25.4980,1.0000,0.0000,9.3258,183.0673,49.3864,1.0289,0.4574,0.5076,500.0000,192.0000,16.4832,6.3598,0.0000,7.9254
08/02/2017 00:00:00,0.0252,0.3930,25.6284,1.0000,0.0000,11.7673,184.4329,57.1611,1.1789,3.4043,0.5205,559.7756,203.9551,15.1240,0.0000,0.0000,7.4477
09/02/2017 00:00:00,0.1571,0.3776,25.4983,1.0000,0.0000,14.2087,187.5162,68.8644,1.6865,8.0838,0.5919,655.0988,223.0198,16.9685,0.0000,0.0000,6.9701
10/02/2017 00:00:00,14.5574,0.3621,25.3682,1.0000,0.0000,16.6501,190.5995,80.5678,5.5087,31.8984,1.9723,750.4220,242.0844,47.4413,68.1127,2.7405,6.4925
11/02/2017 00:00:00,4.1367,0.3466,25.2381,1.0000,0.0000,19.0916,193.6828,92.2712,4.4822,28.7050,1.5691,845.7452,261.1490,34.6061,24.2019,2.0916,6.0148
12/02/2017 00:00:00,0.2387,0.3311,25.1079,1.0000,0.0000,21.5330,196.7661,103.9746,3.5398,24.1409,1.2439,941.0684,280.2137,25.1932,0.0000,1.5698,5.5372
13/02/2017 00:00:00,0.1886,0.3156,24.9778,1.0000,0.0000,23.9744,199.8495,115.6780,2.9818,21.2301,0.8995,1036.3916,299.2783,19.9219,0.0000,0.9300,5.0596
14/02/2017 00:00:00,0.1845,0.3001,24.8477,1.0000,0.0000,26.4158,202.9328,127.3814,2.7946,20.5309,0.7251,1131.7148,318.3430,17.7498,0.0000,0.6918,4.5819
15/02/2017 00:00:00,0.1419,0.3059,24.7601,1.0000,0.0000,28.8573,203.5521,128.7679,2.7580,19.2879,0.6495,1159.1090,323.8218,17.4459,0.0000,0.7433,4.1043
16/02/2017 00:00:00,0.1274,0.3283,24.6971,1.0000,0.0000,29.6786,202.7467,124.1815,2.7001,17.0784,0.5487,1147.1758,321.4352,17.4017,0.0000,0.7108,3.9229
