ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0018,0.6033,25.7597,1.0000,0.0000,3.0000,206.4159,33.3955,2.1704,0.6903,0.6923,583.3333,208.6667,27.8631,19.9912,0.2933,6.9408
02/01/2017 00:00:00,0.0016,0.6040,26.0104,1.0000,0.0000,3.0000,207.3694,32.8934,2.1461,0.6745,0.6564,583.3333,208.6667,27.4592,18.8399,0.3132,6.6317
03/01/2017 00:00:00,0.0015,0.6046,26.2612,1.0000,0.0000,3.0000,208.3230,32.3913,2.1293,0.6613,0.6236,583.3333,208.6667,27.1552,17.8835,0.3394,6.3226
04/01/2017 00:00:00,0.0014,0.6052,26.5119,1.0000,0.0000,3.0869,209.2766,31.8891,2.1078,0.6471,0.5905,583.3333,208.6667,26.7949,16.8255,0.3622,6.2302
05/01/2017 00:00:00,0.0012,0.6076,26.4486,1.0000,0.0000,3.2537,205.5234,31.8090,2.1003,0.6374,0.6332,583.3333,208.6667,26.5636,15.9569,0.2185,6.2802
06/01/2017 00:00:00,0.0012,0.6109,26.1474,1.0000,0.0000,3.4206,198.2060,32.0488,2.1180,0.6354,0.7360,583.3333,208.6667,26.6124,15.5738,0.0000,6.3302
07/01/2017 00:00:00,0.0013,0.6142,25.8462,1.0000,0.0000,3.5874,190.8886,32.2886,2.1612,0.6411,0.8480,583.3333,208.6667,26.9809,15.7852,0.0000,6.3802
08/01/2017 00:00:00,0.0013,0.6174,25.5450,1.0000,0.0000,3.7543,183.5713,32.5284,2.1939,0.6435,0.9568,583.3333,208.6667,27.2155,15.7434,0.0000,6.4301
09/01/2017 00:00:00,0.0013,0.6207,25.2438,1.0000,0.0000,3.9211,176.2539,32.7682,2.2173,0.6432,1.0618,583.3333,208.6667,27.3342,15.4864,0.0000,6.4801
10/01/2017 00:00:00,0.0011,0.6240,24.9426,1.0000,0.0000,3.9623,168.9365,33.0080,2.2104,0.6342,1.1508,583.3333,208.6667,27.0814,14.5537,0.0000,6.8229
11/01/2017 00:00:00,0.0011,0.6259,24.6876,1.0000,0.0000,3.8908,166.8714,33.1122,2.2077,0.6265,1.1593,579.5654,207.9131,26.6532,14.0774,0.0000,7.3587
12/01/2017 00:00:00,0.0011,0.6271,24.4593,1.0000,0.0000,3.8194,167.8533,33.1376,2.2588,0.6341,1.1496,573.6095,206.7219,26.7383,14.9885,0.0000,7.8945
13/01/2017 00:00:00,0.0010,0.6284,24.2311,1.0000,0.0000,3.7479,168.8352,33.1630,2.2432,0.6231,1.1073,567.6535,205.5307,26.0366,14.4482,0.0000,8.4303
