ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0075,0.7092,20.7318,1.0000,0.0000,9.7908,25.4799,137.2393,27.8518,0.3077,0.5788,881.7997,268.3599,10.3175,0.0000,1.0969,6.9408
02/01/2017 00:00:00,0.0066,0.7095,20.6824,1.0000,0.0000,9.7789,25.4538,137.8864,27.3329,0.3022,0.5680,879.8156,267.9631,10.0950,0.0000,1.0653,6.6317
03/01/2017 00:00:00,0.0059,0.7097,20.6330,1.0000,0.0000,9.7670,25.4278,138.5334,26.8936,0.2976,0.5586,877.8316,267.5663,9.9031,0.0000,1.0387,6.3226
04/01/2017 00:00:00,0.0052,0.7099,20.5836,1.0000,0.0000,9.7551,25.4018,140.9374,26.4124,0.2924,0.5482,875.8475,267.1695,9.6969,0.0000,1.0094,6.2302
05/01/2017 00:00:00,0.0047,0.7101,20.5342,1.0000,0.0000,9.7432,25.3757,144.4957,26.0261,0.2883,0.5400,873.8635,266.7727,9.5266,0.0000,0.9856,6.2802
06/01/2017 00:00:00,0.0046,0.7104,20.4848,1.0000,0.0000,9.7313,25.3497,148.0540,25.9870,0.2881,0.5391,871.8794,266.3759,9.4841,0.0000,0.9831,6.3302
07/01/2017 00:00:00,0.0050,0.7106,20.4354,1.0000,0.0000,9.7194,25.3236,151.6123,26.3516,0.2924,0.5468,869.8954,265.9791,9.5887,0.0000,1.0051,6.3802
08/01/2017 00:00:00,0.0052,0.7108,20.3860,1.0000,0.0000,9.7075,25.2976,155.1706,26.5200,0.2944,0.5505,867.9113,265.5823,9.6215,0.0000,1.0150,6.4301
09/01/2017 00:00:00,0.0051,0.7111,20.3366,1.0000,0.0000,9.6956,25.2716,158.7289,26.5005,0.2944,0.5500,865.9273,265.1855,9.5860,0.0000,1.0137,6.4801
10/01/2017 00:00:00,0.0044,0.7113,20.2872,1.0000,0.0000,9.6837,25.2455,161.6747,25.9450,0.2884,0.5381,863.9432,264.7886,9.3574,0.0000,0.9799,6.8229
11/01/2017 00:00:00,0.0040,0.7115,20.2378,1.0000,0.0000,9.6718,25.2195,164.2169,25.5827,0.2846,0.5302,861.9592,264.3918,9.1997,0.0000,0.9578,7.3587
12/01/2017 00:00:00,0.0100,0.7117,20.1884,1.0000,0.0000,9.6599,25.1934,166.7591,28.1442,0.3133,0.5846,859.9751,263.9950,10.0912,0.0000,1.1107,7.8945
13/01/2017 00:00:00,0.0040,0.7120,20.1390,1.0000,0.0000,9.6479,25.1674,169.3013,25.6582,0.2858,0.5319,857.9910,263.5982,9.1729,0.0000,0.9621,8.4303
14/01/2017 00:00:00,0.0040,0.7122,20.0896,1.0000,0.0000,9.6360,25.1414,171.8435,25.7133,0.2866,0.5330,856.0070,263.2014,9.1657,0.0000,0.9654,8.9660
15/01/2017 00:00:00,0.0034,0.7124,20.0402,1.0000,0.0000,9.6241,25.1153,174.3857,25.0867,0.2798,0.5195,854.0229,262.8046,8.9164,0.0000,0.9269,9.5018
16/01/2017 00:00:00,0.0033,0.7126,19.9908,1.0000,0.0000,9.6122,25.0893,176.9279,25.0465,0.2795,0.5186,852.0389,262.4078,8.8762,0.0000,0.9244,10.0376
17/01/2017 00:00:00,0.0035,0.7129,19.9414,1.0000,0.0000,9.6003,25.0632,179.4701,25.2680,0.2822,0.5234,850.0548,262.0110,8.9287,0.0000,0.9380,10.5733
18/01/2017 00:00:00,0.0033,0.7131,19.8920,1.0000,0.0000,9.5884,25.0372,182.0123,25.1102,0.2806,0.5201,848.0708,261.6142,8.8473,0.0000,0.9281,11.1091
19/01/2017 00:00:00,0.0033,0.7133,19.8426,1.0000,0.0000,9.5765,25.0112,184.5545,25.1569,0.2813,0.5211,846.0867,261.2173,8.8381,0.0000,0.9310,11.6449
20/01/2017 00:00:00,0.0032,0.7136,19.7932,1.0000,0.0000,9.5646,24.9851,187.0967,25.0541,0.2803,0.5188,844.1027,260.8205,8.7767,0.0000,0.9248,12.1806
21/01/2017 00:00:00,0.0033,0.7138,19.7438,1.0000,0.0000,9.5527,24.9591,189.6389,25.1123,0.2811,0.5203,842.1186,260.4237,8.7717,0.0000,0.9281,12.7164
22/01/2017 00:00:00,0.0033,0.7140,19.6944,1.0000,0.0000,9.5408,24.9330,192.1811,25.1383,0.2816,0.5208,840.1346,260.0269,8.7556,0.0000,0.9298,13.2522
23/01/2017 00:00:00,0.0033,0.7142,19.6450,1.0000,0.0000,9.5289,24.9070,194.7233,25.2160,0.2826,0.5225,838.1505,259.6301,8.7575,0.0000,0.9345,13.7879
24/01/2017 00:00:00,0.0033,0.7145,19.5956,1.0000,0.0000,9.5170,24.8809,202.0130,25.2604,0.2833,0.5237,836.1665,259.2333,8.7479,0.0000,0.9371,13.7502
25/01/2017 00:00:00,0.0030,0.7147,19.5462,1.0000,0.0000,9.5051,24.8549,212.4133,24.9110,0.2796,0.5160,834.1824,258.8365,8.6022,0.0000,0.9159,13.3368
26/01/2017 00:00:00,0.0022,0.7149,19.4968,1.0000,0.0000,9.4932,24.8289,222.8136,23.9574,0.2690,0.4949,832.1984,258.4397,8.2494,0.0000,0.8574,12.9234
27/01/2017 00:00:00,0.0019,0.7151,19.4474,1.0000,0.0000,9.4813,24.8028,233.2139,23.4218,0.2631,0.4831,830.2143,258.0429,8.0420,0.0000,0.8241,12.5099
28/01/2017 00:00:00,0.0015,0.7154,19.3980,1.0000,0.0000,9.4694,24.7768,243.6142,22.7639,0.2559,0.4682,828.2303,257.6461,7.7940,0.0000,0.7830,12.0965
29/01/2017 00:00:00,0.0458,0.7156,19.3486,1.0000,0.0000,9.4575,24.7507,254.0145,36.6849,0.4127,0.7584,826.2462,257.2492,12.5247,0.0000,1.5849,11.6831
30/01/2017 00:00:00,0.1510,0.7158,19.2992,1.0000,0.0000,9.4456,24.7247,264.4148,45.7785,0.5153,0.9301,824.2621,256.8524,15.5853,0.0000,2.0573,11.2697
31/01/2017 00:00:00,0.6644,0.7161,19.2497,1.0000,0.0000,9.4337,24.6987,274.8151,61.9562,0.6977,1.2149,822.2781,256.4556,21.0335,0.0000,2.8409,10.8563
