ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0076,0.7092,20.7318,1.0000,0.0000,9.7908,25.4799,137.2393,27.5439,0.3043,0.5620,881.7997,268.3599,10.2034,0.0000,1.0490,6.9408
02/01/2017 00:00:00,0.0067,0.7095,20.6824,1.0000,0.0000,9.7789,25.4538,137.8864,27.0355,0.2989,0.5516,879.8156,267.9631,9.9851,0.0000,1.0186,6.6317
03/01/2017 00:00:00,0.0061,0.7097,20.6330,1.0000,0.0000,9.7670,25.4278,138.5334,26.6125,0.2945,0.5426,877.8316,267.5663,9.7995,0.0000,0.9934,6.3226
04/01/2017 00:00:00,0.0054,0.7099,20.5836,1.0000,0.0000,9.7551,25.4018,140.9374,26.1348,0.2894,0.5325,875.8475,267.1695,9.5950,0.0000,0.9648,6.2302
05/01/2017 00:00:00,0.0048,0.7101,20.5342,1.0000,0.0000,9.7432,25.3757,144.4957,25.7530,0.2853,0.5245,873.8635,266.7727,9.4267,0.0000,0.9416,6.2802
06/01/2017 00:00:00,0.0047,0.7104,20.4848,1.0000,0.0000,9.7313,25.3497,148.0540,25.7102,0.2850,0.5236,871.8794,266.3759,9.3831,0.0000,0.9390,6.3302
07/01/2017 00:00:00,0.0051,0.7106,20.4354,1.0000,0.0000,9.7194,25.3236,151.6123,26.0667,0.2892,0.5310,869.8954,265.9791,9.4850,0.0000,0.9602,6.3802
08/01/2017 00:00:00,0.0053,0.7108,20.3860,1.0000,0.0000,9.7075,25.2976,155.1706,26.2277,0.2912,0.5344,867.9113,265.5823,9.5154,0.0000,0.9695,6.4301
09/01/2017 00:00:00,0.0052,0.7111,20.3366,1.0000,0.0000,9.6956,25.2716,158.7289,26.2134,0.2912,0.5340,865.9273,265.1855,9.4822,0.0000,0.9686,6.4801
10/01/2017 00:00:00,0.0046,0.7113,20.2872,1.0000,0.0000,9.6837,25.2455,161.6747,25.6703,0.2854,0.5226,863.9432,264.7886,9.2584,0.0000,0.9361,6.8229
11/01/2017 00:00:00,0.0041,0.7115,20.2378,1.0000,0.0000,9.6718,25.2195,164.2169,25.3122,0.2816,0.5149,861.9592,264.3918,9.1024,0.0000,0.9146,7.3587
12/01/2017 00:00:00,0.0083,0.7117,20.1884,1.0000,0.0000,9.6599,25.1934,166.7591,28.3242,0.3153,0.5778,859.9751,263.9950,10.1557,0.0000,1.0915,7.8945
13/01/2017 00:00:00,0.0041,0.7120,20.1390,1.0000,0.0000,9.6479,25.1674,169.3013,25.3801,0.2827,0.5164,857.9910,263.5982,9.0735,0.0000,0.9184,8.4303
14/01/2017 00:00:00,0.0042,0.7122,20.0896,1.0000,0.0000,9.6360,25.1414,171.8435,25.4301,0.2834,0.5174,856.0070,263.2014,9.0648,0.0000,0.9214,8.9660
