ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0000,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,5.5465,0.6722,4.2916,4714.3358,1034.8672,53.7062,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0000,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,5.5171,0.6775,4.2807,4724.5398,1036.9080,53.6398,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0000,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,5.4881,0.6827,4.2700,4734.7437,1038.9487,53.5746,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0000,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,5.4593,0.6878,4.2596,4744.9476,1040.9895,53.5107,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0000,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,5.4309,0.6930,4.2493,4755.1516,1043.0303,53.4480,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0000,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,5.4027,0.6981,4.2391,4765.3555,1045.0711,53.3864,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0000,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,5.3748,0.7031,4.2291,4775.5594,1047.1119,53.3261,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0000,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,5.3471,0.7082,4.2193,4785.7634,1049.1527,53.2669,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0000,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,5.3198,0.7132,4.2096,4795.9673,1051.1935,53.2087,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0000,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,5.2927,0.7182,4.2001,4806.1713,1053.2343,53.1517,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0000,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,5.2659,0.7232,4.1908,4816.3752,1055.2750,53.0957,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0027,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,8.6992,1.2089,9.4823,4826.5791,1057.3158,88.0675,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0000,1.2387,23.5760,1.0000,0.0000,6.2397,76.9731,169.3013,5.2130,0.7330,4.1725,4836.7831,1059.3566,52.9868,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0000,1.2364,23.5791,1.0000,0.0000,6.2090,76.4150,171.8435,5.1869,0.7379,4.1635,4846.9870,1061.3974,52.9338,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0000,1.2341,23.5822,1.0000,0.0000,6.1784,75.8570,174.3857,5.1610,0.7428,4.1547,4857.1909,1063.4382,52.8817,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0000,1.2318,23.5852,1.0000,0.0000,6.1478,75.2990,176.9279,5.1355,0.7476,4.1461,4867.3949,1065.4790,52.8306,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0000,1.2296,23.5883,1.0000,0.0000,6.1172,74.7409,179.4701,5.1101,0.7524,4.1375,4877.5988,1067.5198,52.7805,0.0000,0.0000,10.5733
