ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0008,0.3943,16.2513,1.0000,0.0000,7.3118,151.4071,137.2393,0.8084,5.2954,0.1675,666.6667,225.3333,7.2563,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0008,0.3942,16.2404,1.0000,0.0000,7.4011,151.7196,137.8864,0.8037,5.2773,0.1685,666.6667,225.3333,7.2211,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0008,0.3940,16.2295,1.0000,0.0000,7.4904,152.0322,138.5334,0.7991,5.2597,0.1694,666.6667,225.3333,7.1865,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0007,0.3939,16.2186,1.0000,0.0000,7.5797,152.3448,140.9374,0.7945,5.2425,0.1704,666.6667,225.3333,7.1527,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0007,0.3938,16.2077,1.0000,0.0000,7.6690,152.6573,144.4957,0.7901,5.2258,0.1714,666.6667,225.3333,7.1196,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0007,0.3936,16.1968,1.0000,0.0000,7.7583,152.9699,148.0540,0.7857,5.2095,0.1724,666.6667,225.3333,7.0872,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0007,0.3935,16.1859,1.0000,0.0000,7.8476,153.2824,151.6123,0.7814,5.1937,0.1734,666.6667,225.3333,7.0555,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0007,0.3933,16.1750,1.0000,0.0000,7.9368,153.5950,155.1706,0.7772,5.1783,0.1744,666.6667,225.3333,7.0244,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0006,0.3932,16.1641,1.0000,0.0000,8.0261,153.9076,158.7289,0.7731,5.1632,0.1754,666.6667,225.3333,6.9939,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0006,0.3931,16.1531,1.0000,0.0000,8.1154,154.2201,161.6747,0.7690,5.1486,0.1764,666.6667,225.3333,6.9641,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0006,0.3929,16.1422,1.0000,0.0000,8.2047,154.5327,164.2169,0.7650,5.1343,0.1775,666.6667,225.3333,6.9348,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0132,0.3928,16.1313,1.0000,0.0000,8.2940,154.8452,166.7591,1.6255,10.9363,0.2716,666.6667,225.3333,14.7504,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0006,0.3926,16.1204,1.0000,0.0000,8.3833,155.1578,169.3013,0.7572,5.1068,0.1796,666.6667,225.3333,6.8780,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0006,0.3925,16.1095,1.0000,0.0000,8.4726,155.4704,171.8435,0.7534,5.0936,0.1806,666.6667,225.3333,6.8504,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0006,0.3924,16.0986,1.0000,0.0000,8.5619,155.7829,174.3857,0.7497,5.0807,0.1817,666.6667,225.3333,6.8233,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0005,0.3922,16.0877,1.0000,0.0000,8.6511,156.0955,176.9279,0.7460,5.0681,0.1828,666.6667,225.3333,6.7968,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0005,0.3921,16.0768,1.0000,0.0000,8.7404,156.4080,179.4701,0.7424,5.0559,0.1839,666.6667,225.3333,6.7707,0.0000,0.0000,10.5733
18/01/2017 00:00:00,0.0005,0.3919,16.0659,1.0000,0.0000,8.8297,156.7206,182.0123,0.7389,5.0439,0.1850,666.6667,225.3333,6.7451,0.0000,0.0000,11.1091
19/01/2017 00:00:00,0.0005,0.3918,16.0550,1.0000,0.0000,8.9190,157.0332,184.5545,0.7354,5.0323,0.1861,666.6667,225.3333,6.7200,0.0000,0.0000,11.6449
20/01/2017 00:00:00,0.0005,0.3917,16.0441,1.0000,0.0000,9.0083,157.3457,187.0967,0.7320,5.0209,0.1873,666.6667,225.3333,6.6953,0.0000,0.0000,12.1806
21/01/2017 00:00:00,0.0005,0.3915,16.0332,1.0000,0.0000,9.0976,157.6583,189.6389,0.7286,5.0098,0.1884,666.6667,225.3333,6.6711,0.0000,0.0000,12.7164
22/01/2017 00:00:00,0.0005,0.3914,16.0223,1.0000,0.0000,9.1869,157.9708,192.1811,0.7252,4.9990,0.1896,666.6667,225.3333,6.6473,0.0000,0.0000,13.2522
