ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0000,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,5.4995,0.6666,4.2151,4714.3358,1034.8672,53.2511,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0000,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,5.4710,0.6718,4.2053,4724.5398,1036.9080,53.1914,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0000,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,5.4428,0.6770,4.1956,4734.7437,1038.9487,53.1327,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0000,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,5.4149,0.6822,4.1860,4744.9476,1040.9895,53.0752,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0000,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,5.3872,0.6874,4.1766,4755.1516,1043.0303,53.0186,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0000,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,5.3598,0.6925,4.1674,4765.3555,1045.0711,52.9632,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0000,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,5.3327,0.6976,4.1583,4775.5594,1047.1119,52.9088,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0000,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,5.3058,0.7027,4.1493,4785.7634,1049.1527,52.8553,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0000,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,5.2792,0.7078,4.1405,4795.9673,1051.1935,52.8029,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0000,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,5.2528,0.7128,4.1318,4806.1713,1053.2343,52.7513,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0000,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,5.2267,0.7178,4.1232,4816.3752,1055.2750,52.7007,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0007,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,6.9043,0.9595,6.8566,4826.5791,1057.3158,69.8969,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0000,1.2387,23.5760,1.0000,0.0000,6.2397,76.9731,169.3013,5.1751,0.7277,4.1065,4836.7831,1059.3566,52.6022,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0000,1.2364,23.5791,1.0000,0.0000,6.2090,76.4150,171.8435,5.1497,0.7326,4.0983,4846.9870,1061.3974,52.5543,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0000,1.2341,23.5822,1.0000,0.0000,6.1784,75.8570,174.3857,5.1245,0.7375,4.0903,4857.1909,1063.4382,52.5072,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0000,1.2318,23.5852,1.0000,0.0000,6.1478,75.2990,176.9279,5.0995,0.7424,4.0823,4867.3949,1065.4790,52.4609,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0000,1.2296,23.5883,1.0000,0.0000,6.1172,74.7409,179.4701,5.0747,0.7472,4.0745,4877.5988,1067.5198,52.4155,0.0000,0.0000,10.5733
18/01/2017 00:00:00,0.0000,1.2273,23.5913,1.0000,0.0000,6.0866,74.1829,182.0123,5.0502,0.7520,4.0668,4887.8028,1069.5605,52.3708,0.0000,0.0000,11.1091
19/01/2017 00:00:00,0.0000,1.2250,23.5944,1.0000,0.0000,6.0560,73.6249,184.5545,5.0258,0.7568,4.0592,4898.0067,1071.6013,52.3269,0.0000,0.0000,11.6449
20/01/2017 00:00:00,0.0000,1.2228,23.5975,1.0000,0.0000,6.0254,73.0668,187.0967,5.0017,0.7616,4.0517,4908.2106,1073.6421,52.2838,0.0000,0.0000,12.1806
21/01/2017 00:00:00,0.0000,1.2205,23.6005,1.0000,0.0000,5.9948,72.5088,189.6389,4.9778,0.7663,4.0443,4918.4146,1075.6829,52.2414,0.0000,0.0000,12.7164
22/01/2017 00:00:00,0.0000,1.2182,23.6036,1.0000,0.0000,5.9641,71.9508,192.1811,4.9540,0.7710,4.0370,4928.6185,1077.7237,52.1997,0.0000,0.0000,13.2522
23/01/2017 00:00:00,0.0000,1.2160,23.6066,1.0000,0.0000,5.9335,71.3928,194.7233,4.9305,0.7757,4.0298,4938.8224,1079.7645,52.1587,0.0000,0.0000,13.7879
24/01/2017 00:00:00,0.0000,1.2137,23.6097,1.0000,0.0000,5.9029,70.8347,202.0130,4.9071,0.7804,4.0227,4949.0264,1081.8053,52.1185,0.0000,0.0000,13.7502
25/01/2017 00:00:00,0.0000,1.2114,23.6128,1.0000,0.0000,5.8723,70.2767,212.4133,4.8840,0.7850,4.0158,4959.2303,1083.8461,52.0788,0.0000,0.0000,13.3368
26/01/2017 00:00:00,0.0000,1.2091,23.6158,1.0000,0.0000,5.8417,69.7187,222.8136,4.8610,0.7896,4.0089,4969.4342,1085.8869,52.0399,0.0000,0.0000,12.9234
27/01/2017 00:00:00,0.0000,1.2069,23.6189,1.0000,0.0000,5.8111,69.1606,233.2139,4.8382,0.7942,4.0021,4979.6382,1087.9276,52.0016,0.0000,0.0000,12.5099
28/01/2017 00:00:00,0.0000,1.2046,23.6220,1.0000,0.0000,5.7805,68.6026,243.6142,4.8156,0.7988,3.9954,4989.8421,1089.9684,51.9639,0.0000,0.0000,12.0965
29/01/2017 00:00:00,0.0053,1.2023,23.6250,1.0000,0.0000,5.7499,68.0446,254.0145,8.4623,1.4183,10.0938,5000.0461,1092.0092,91.6761,0.0000,0.0000,11.6831
30/01/2017 00:00:00,0.0376,1.2001,23.6281,1.0000,0.0000,5.7192,67.4866,264.4148,11.7474,1.9892,14.8821,5010.2500,1094.0500,127.7697,9.1272,0.0000,11.2697
31/01/2017 00:00:00,0.1386,1.1978,23.6311,1.0000,0.0000,5.6886,66.9285,274.8151,14.9539,2.5581,19.2517,5020.4539,1096.0908,163.2877,75.4482,0.0000,10.8563
01/02/2017 00:00:00,0.0093,1.1955,23.6342,1.0000,0.0000,5.6580,66.3705,285.2154,9.0881,1.5705,11.2088,5030.6579,1098.1316,99.6296,0.0000,0.0000,10.4428
02/02/2017 00:00:00,0.0000,1.1933,23.6373,1.0000,0.0000,5.6274,65.8125,295.6157,4.8284,0.8428,4.2023,5040.8618,1100.1724,53.1413,0.0000,0.0000,10.0294
03/02/2017 00:00:00,0.0000,1.1910,23.6403,1.0000,0.0000,5.5968,65.2544,306.0160,4.8050,0.8471,4.1937,5051.0657,1102.2131,53.0917,0.0000,0.0000,9.6160
04/02/2017 00:00:00,0.0000,1.1887,23.6434,1.0000,0.0000,5.5662,64.6964,316.4163,4.7817,0.8514,4.1853,5061.2697,1104.2539,53.0430,0.0000,0.0000,9.2026
05/02/2017 00:00:00,0.0000,1.1864,23.6464,1.0000,0.0000,5.5356,64.1384,326.8166,4.7587,0.8557,4.1770,5071.4736,1106.2947,52.9951,0.0000,0.0000,8.7891
06/02/2017 00:00:00,0.0000,1.1842,23.6495,1.0000,0.0000,5.5050,63.5804,337.2169,4.7358,0.8600,4.1689,5081.6776,1108.3355,52.9480,0.0000,0.0000,8.3757
07/02/2017 00:00:00,0.0000,1.1819,23.6526,1.0000,0.0000,5.4744,63.0223,334.8182,4.7131,0.8642,4.1608,5091.8815,1110.3763,52.9016,0.0000,0.0000,7.9254
08/02/2017 00:00:00,0.0000,1.1796,23.6556,1.0000,0.0000,5.4437,62.4643,322.9595,4.6906,0.8684,4.1528,5102.0854,1112.4171,52.8560,0.0000,0.0000,7.4477
09/02/2017 00:00:00,0.0065,1.1774,23.6587,1.0000,0.0000,5.4131,61.9063,311.1008,8.3820,1.5668,10.6037,5112.2894,1114.4579,94.8231,0.0000,0.0000,6.9701
10/02/2017 00:00:00,0.2254,1.1751,23.6617,1.0000,0.0000,5.3825,61.3482,299.2420,15.9410,3.0083,21.5030,5122.4933,1116.4987,181.0425,101.8096,0.0000,6.4925
11/02/2017 00:00:00,0.0344,1.1728,23.6648,1.0000,0.0000,5.3519,60.7902,287.3833,10.9946,2.0945,14.6995,5132.6972,1118.5394,125.3545,0.0000,0.0000,6.0148
12/02/2017 00:00:00,0.0000,1.1706,23.6679,1.0000,0.0000,5.3213,60.2322,275.5246,4.9125,0.9447,4.7412,5142.9012,1120.5802,56.2287,0.0000,0.0000,5.5372
13/02/2017 00:00:00,0.0022,1.1683,23.6709,1.0000,0.0000,5.2907,59.6742,263.6658,7.2598,1.4092,8.9850,5153.1051,1122.6210,83.4221,0.0000,0.0000,5.0596
14/02/2017 00:00:00,0.0005,1.1660,23.6740,1.0000,0.0000,5.2601,59.1161,251.8071,5.7776,1.1320,6.4491,5163.3091,1124.6618,66.6489,0.0000,0.0000,4.5819
15/02/2017 00:00:00,0.0000,1.1637,23.6771,1.0000,0.0000,5.2295,58.5581,239.9483,4.8324,0.9555,4.6976,5173.5130,1126.7026,55.9632,0.0000,0.0000,4.1043
16/02/2017 00:00:00,0.0000,1.1615,23.6801,1.0000,0.0000,5.1988,58.0001,228.7527,4.8063,0.9591,4.6835,5183.7169,1128.7434,55.8781,0.0000,0.0000,3.9229
17/02/2017 00:00:00,0.0000,1.1592,23.6832,1.0000,0.0000,5.1682,57.4420,218.0528,4.7805,0.9627,4.6697,5193.9209,1130.7842,55.7946,0.0000,0.0000,3.9630
18/02/2017 00:00:00,0.0000,1.1569,23.6862,1.0000,0.0000,5.1376,56.8840,207.3528,4.7549,0.9663,4.6561,5204.1248,1132.8250,55.7126,0.0000,0.0000,4.0031
19/02/2017 00:00:00,0.0000,1.1547,23.6893,1.0000,0.0000,5.1070,56.3260,196.6529,4.7296,0.9699,4.6427,5214.3287,1134.8657,55.6321,0.0000,0.0000,4.0432
20/02/2017 00:00:00,0.0000,1.1524,23.6924,1.0000,0.0000,5.0764,55.7680,185.9530,4.7046,0.9734,4.6295,5224.5327,1136.9065,55.5530,0.0000,0.0000,4.0833
21/02/2017 00:00:00,0.0018,1.1501,23.6954,1.0000,0.0000,5.0458,55.2099,178.2250,6.6372,1.3856,8.3323,5234.7366,1138.9473,78.6784,0.0000,0.0000,5.9292
22/02/2017 00:00:00,0.0002,1.1479,23.6985,1.0000,0.0000,5.0152,54.6519,172.6200,5.1808,1.0912,5.6596,5244.9405,1140.9881,61.6522,0.0000,0.0000,9.0649
23/02/2017 00:00:00,0.0000,1.1460,23.6564,1.0000,0.0000,4.9960,54.9683,167.0149,4.6332,0.9814,4.5880,5242.3330,1140.4666,55.3152,0.0000,0.0000,12.2006
24/02/2017 00:00:00,0.0000,1.1444,23.5699,1.0000,0.0000,4.9881,56.1461,161.4099,4.6132,0.9797,4.5693,5227.1257,1137.4251,55.2234,0.0000,0.0000,15.3364
25/02/2017 00:00:00,0.0000,1.1429,23.4835,1.0000,0.0000,4.9801,57.3238,155.8048,4.5933,0.9780,4.5508,5211.9184,1134.3837,55.1332,0.0000,0.0000,18.4721
26/02/2017 00:00:00,0.0000,1.1414,23.3970,1.0000,0.0000,4.9722,58.5015,150.1997,4.5735,0.9764,4.5325,5196.7112,1131.3422,55.0446,0.0000,0.0000,21.6078
27/02/2017 00:00:00,0.0000,1.1399,23.3105,1.0000,0.0000,4.9643,59.6793,144.5947,4.5538,0.9748,4.5144,5181.5039,1128.3008,54.9574,0.0000,0.0000,24.7435
28/02/2017 00:00:00,0.0000,1.1384,23.2240,1.0000,0.0000,4.9563,60.8570,142.6147,4.5341,0.9732,4.4966,5166.2966,1125.2593,54.8718,0.0000,0.0000,27.8680
01/03/2017 00:00:00,0.0000,1.1369,23.1375,1.0000,0.0000,4.9484,62.0348,143.0583,4.5145,0.9717,4.4791,5151.0893,1122.2179,54.7876,0.0000,0.0000,30.9848
02/03/2017 00:00:00,0.0302,1.1354,23.0510,1.0000,0.0000,4.9405,63.2125,143.5020,10.2439,2.2109,14.6827,5135.8820,1119.1764,124.6724,0.0000,0.0000,34.1017
03/03/2017 00:00:00,0.0000,1.1338,22.9646,1.0000,0.0000,4.9325,64.3902,143.9457,4.5056,0.9752,4.5092,5120.6747,1116.1349,54.9918,0.0000,0.0000,37.2186
04/03/2017 00:00:00,0.0000,1.1323,22.8781,1.0000,0.0000,4.9246,65.5680,144.3894,4.4856,0.9736,4.4914,5105.4675,1113.0935,54.9068,0.0000,0.0000,40.3355
05/03/2017 00:00:00,0.0000,1.1308,22.7916,1.0000,0.0000,4.9167,66.7457,144.8331,4.4657,0.9721,4.4738,5090.2602,1110.0520,54.8232,0.0000,0.0000,43.4524
06/03/2017 00:00:00,0.0000,1.1293,22.7051,1.0000,0.0000,4.9087,67.9234,145.2768,4.4458,0.9705,4.4565,5075.0529,1107.0106,54.7411,0.0000,0.0000,46.5693
07/03/2017 00:00:00,0.0000,1.1278,22.6186,1.0000,0.0000,4.9008,69.1012,145.7204,4.4260,0.9691,4.4393,5059.8456,1103.9691,54.6603,0.0000,0.0000,49.6861
08/03/2017 00:00:00,0.0000,1.1263,22.5322,1.0000,0.0000,4.8929,70.2789,139.7087,4.4062,0.9676,4.4224,5044.6383,1100.9277,54.5809,0.0000,0.0000,48.2904
09/03/2017 00:00:00,0.0000,1.1247,22.4457,1.0000,0.0000,4.8849,71.4566,128.9928,4.3865,0.9661,4.4057,5029.4310,1097.8862,54.5028,0.0000,0.0000,43.6064
10/03/2017 00:00:00,0.0000,1.1232,22.3592,1.0000,0.0000,4.8770,72.6344,118.2770,4.3668,0.9647,4.3892,5014.2238,1094.8448,54.4261,0.0000,0.0000,38.9224
11/03/2017 00:00:00,0.0000,1.1217,22.2727,1.0000,0.0000,4.8691,73.8121,107.5611,4.3472,0.9633,4.3728,4999.0165,1091.8033,54.3506,0.0000,0.0000,34.2384
12/03/2017 00:00:00,0.0000,1.1202,22.1862,1.0000,0.0000,4.8611,74.9899,96.8453,4.3275,0.9620,4.3567,4983.8092,1088.7618,54.2765,0.0000,0.0000,29.5544
13/03/2017 00:00:00,0.0164,1.1187,22.0997,1.0000,0.0000,4.8532,76.1676,86.1294,8.8753,1.9791,12.9103,4968.6019,1085.7204,111.6714,0.0000,0.0000,24.8704
14/03/2017 00:00:00,0.0059,1.1172,22.0133,1.0000,0.0000,4.8452,77.3453,84.2939,7.5026,1.6783,10.5807,4953.3946,1082.6789,94.7052,0.0000,0.0000,22.2276
15/03/2017 00:00:00,0.0053,1.1156,21.9268,1.0000,0.0000,4.8373,78.5231,88.3614,7.3468,1.6487,10.3399,4938.1874,1079.6375,93.0432,0.0000,0.0000,20.9418
16/03/2017 00:00:00,0.0000,1.1141,21.8403,1.0000,0.0000,4.8294,79.7008,92.4289,4.2493,0.9567,4.2942,4922.9801,1076.5960,53.9929,0.0000,0.0000,19.6559
17/03/2017 00:00:00,0.0000,1.1126,21.7538,1.0000,0.0000,4.8214,80.8785,96.4964,4.2297,0.9554,4.2789,4907.7728,1073.5546,53.9248,0.0000,0.0000,18.3701
18/03/2017 00:00:00,0.0011,1.1111,21.6673,1.0000,0.0000,4.8135,82.0563,100.5639,5.8246,1.3200,7.6112,4892.5655,1070.5131,74.5098,0.0000,0.0000,17.0842
19/03/2017 00:00:00,0.0000,1.1096,21.5808,1.0000,0.0000,4.8056,83.2340,104.6314,4.1906,0.9529,4.2490,4877.3582,1067.4716,53.7919,0.0000,0.0000,15.7984
20/03/2017 00:00:00,0.0000,1.1081,21.4944,1.0000,0.0000,4.7976,84.4117,108.6989,4.1711,0.9517,4.2343,4862.1509,1064.4302,53.7272,0.0000,0.0000,14.5126
21/03/2017 00:00:00,0.0000,1.1066,21.4079,1.0000,0.0000,4.7897,85.5895,109.2512,4.1515,0.9505,4.2197,4846.9437,1061.3887,53.6635,0.0000,0.0000,13.4378
22/03/2017 00:00:00,0.0188,1.1050,21.3214,1.0000,0.0000,4.7818,86.7672,107.4735,8.8313,2.0291,13.2383,4831.7364,1058.3473,114.5632,0.0000,0.0000,12.5030
23/03/2017 00:00:00,0.0024,1.1035,21.2349,1.0000,0.0000,4.7738,87.9450,105.6958,6.3794,1.4709,8.8622,4816.5291,1055.3058,83.0548,0.0000,0.0000,11.5681
