ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0001,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,3.9572,0.4796,3.0379,4714.3358,1034.8672,38.3169,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0001,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,3.9346,0.4831,3.0304,4724.5398,1036.9080,38.2535,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0001,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,3.9122,0.4866,3.0230,4734.7437,1038.9487,38.1912,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0000,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,3.8901,0.4901,3.0157,4744.9476,1040.9895,38.1299,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0000,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,3.8683,0.4936,3.0085,4755.1516,1043.0303,38.0697,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0000,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,3.8466,0.4970,3.0015,4765.3555,1045.0711,38.0105,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0000,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,3.8253,0.5004,2.9946,4775.5594,1047.1119,37.9524,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0000,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,3.8041,0.5038,2.9878,4785.7634,1049.1527,37.8953,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0000,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,3.7831,0.5072,2.9811,4795.9673,1051.1935,37.8391,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0000,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,3.7624,0.5106,2.9745,4806.1713,1053.2343,37.7838,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0000,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,3.7419,0.5139,2.9679,4816.3752,1055.2750,37.7295,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0018,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,5.8952,0.8193,5.7073,4826.5791,1057.3158,59.6812,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0000,1.2387,23.5760,1.0000,0.0000,6.2397,76.9731,169.3013,3.7015,0.5205,2.9552,4836.7831,1059.3566,37.6235,0.0000,0.0000,8.4303
