ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0050,0.7092,20.7318,1.0000,0.0000,9.7908,25.4799,137.2393,32.3453,0.3574,1.1313,881.7997,268.3599,11.9821,0.0000,2.6722,6.9408
02/01/2017 00:00:00,0.0049,0.7095,20.6824,1.0000,0.0000,9.7789,25.4538,137.8864,32.2656,0.3568,1.1327,879.8156,267.9631,11.9168,0.0000,2.6736,6.6317
03/01/2017 00:00:00,0.0047,0.7097,20.6330,1.0000,0.0000,9.7670,25.4278,138.5334,32.1882,0.3561,1.1337,877.8316,267.5663,11.8527,0.0000,2.6752,6.3226
04/01/2017 00:00:00,0.0046,0.7099,20.5836,1.0000,0.0000,9.7551,25.4018,140.9374,32.1129,0.3556,1.1348,875.8475,267.1695,11.7898,0.0000,2.6768,6.2302
05/01/2017 00:00:00,0.0044,0.7101,20.5342,1.0000,0.0000,9.7432,25.3757,144.4957,32.0398,0.3550,1.1361,873.8635,266.7727,11.7279,0.0000,2.6782,6.2802
06/01/2017 00:00:00,0.0043,0.7104,20.4848,1.0000,0.0000,9.7313,25.3497,148.0540,31.9689,0.3544,1.1373,871.8794,266.3759,11.6672,0.0000,2.6798,6.3302
07/01/2017 00:00:00,0.0042,0.7106,20.4354,1.0000,0.0000,9.7194,25.3236,151.6123,31.9001,0.3539,1.1384,869.8954,265.9791,11.6077,0.0000,2.6814,6.3802
08/01/2017 00:00:00,0.0040,0.7108,20.3860,1.0000,0.0000,9.7075,25.2976,155.1706,31.8335,0.3534,1.1398,867.9113,265.5823,11.5492,0.0000,2.6828,6.4301
09/01/2017 00:00:00,0.0039,0.7111,20.3366,1.0000,0.0000,9.6956,25.2716,158.7289,31.7688,0.3529,1.1409,865.9273,265.1855,11.4917,0.0000,2.6844,6.4801
10/01/2017 00:00:00,0.0038,0.7113,20.2872,1.0000,0.0000,9.6837,25.2455,161.6747,31.7060,0.3524,1.1421,863.9432,264.7886,11.4352,0.0000,2.6860,6.8229
11/01/2017 00:00:00,0.0037,0.7115,20.2378,1.0000,0.0000,9.6718,25.2195,164.2169,31.6450,0.3520,1.1432,861.9592,264.3918,11.3798,0.0000,2.6876,7.3587
12/01/2017 00:00:00,0.0198,0.7117,20.1884,1.0000,0.0000,9.6599,25.1934,166.7591,34.1073,0.3797,1.1446,859.9751,263.9950,12.2293,0.0000,2.6890,7.8945
