ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24,WQ_25,WQ_26,WQ_27,WQ_28
1,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
2,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
3,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
4,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
5,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
6,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
7,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
8,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
9,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
10,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
11,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
12,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
13,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
14,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
15,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
16,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
17,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
18,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
19,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
20,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
21,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
22,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
23,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
24,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
25,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
26,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
27,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
28,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
29,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
30,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
31,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
32,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
33,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
34,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
35,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
36,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
37,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
38,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
39,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
40,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
41,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
42,0.9400,0.0000,0.0000,36.2174,21.5783,0.0000,0.0000,2.5854,1.1080,207.1947,32.3167,1.9182,1.7354,0.3593,0.0359,66.6667,62.6667,3.7035,8.5592,0.0040,0.0051,100.0000,8.6415,0.0010,3.1333,0.2084,0.4167,2.8650,1.5627,0.0315,0.1563,1000.0000,0.0315,0.0020
