ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24,WQ_25
1,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
2,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
3,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
4,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
5,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
6,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
7,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
8,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
9,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
10,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
11,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
12,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
13,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
14,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
15,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
16,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
17,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
18,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
19,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
20,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
21,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
22,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
23,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
24,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
25,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
26,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
27,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
28,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
29,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
30,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
31,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
32,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
33,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
34,0.8900,0.0000,0.0000,37.4992,23.9619,0.0000,0.0000,2.7141,1.1632,197.8414,18.9004,1.3672,0.9344,0.2232,0.0223,100.0000,71.0000,6.5465,18.1518,0.2191,0.2739,150.0000,15.2752,0.0548,3.5500,0.4786,0.3589,0.9572,6.5806,3.5894,0.0722
