ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0033,0.5607,20.5502,1.0000,0.0000,16.4980,17.0264,137.2393,1.8930,0.4987,0.0404,430.5446,178.1089,6.7060,4.4434,0.0004,6.9408
02/01/2017 00:00:00,0.0031,0.5618,20.6214,1.0000,0.0000,15.7854,15.1112,137.8864,1.9352,0.5103,0.0427,426.5857,177.3171,6.9770,4.0311,0.0000,6.6317
03/01/2017 00:00:00,0.0031,0.5629,20.6927,1.0000,0.0000,15.0728,13.1961,138.5334,1.9799,0.5225,0.0452,422.6269,176.5254,7.2621,3.6215,0.0000,6.3226
04/01/2017 00:00:00,0.0030,0.5640,20.7640,1.0000,0.0000,14.3603,11.2810,140.9374,2.0272,0.5355,0.0481,418.6681,175.7336,7.5624,3.2148,0.0000,6.2302
05/01/2017 00:00:00,0.0029,0.5640,20.7851,1.0000,0.0000,13.9813,10.4350,144.4957,2.0505,0.5421,0.0498,417.0556,175.4111,7.7044,2.9516,0.0000,6.2802
06/01/2017 00:00:00,0.0028,0.5628,20.7549,1.0000,0.0000,13.9436,10.6827,148.0540,2.0470,0.5416,0.0497,417.8421,175.5684,7.6724,2.8353,0.0000,6.3302
07/01/2017 00:00:00,0.0027,0.5617,20.7247,1.0000,0.0000,13.9058,10.9305,151.6123,2.0437,0.5412,0.0498,418.6287,175.7257,7.6412,2.7214,0.0000,6.3802
08/01/2017 00:00:00,0.0026,0.5605,20.6945,1.0000,0.0000,13.8681,11.1783,155.1706,2.0405,0.5409,0.0498,419.4152,175.8830,7.6109,2.6103,0.0000,6.4301
09/01/2017 00:00:00,0.0025,0.5593,20.6643,1.0000,0.0000,13.8303,11.4260,158.7289,2.0376,0.5406,0.0498,420.2018,176.0404,7.5813,2.5016,0.0000,6.4801
10/01/2017 00:00:00,0.0025,0.5581,20.6341,1.0000,0.0000,13.7926,11.6738,161.6747,2.0348,0.5403,0.0498,420.9884,176.1977,7.5525,2.3952,0.0000,6.8229
11/01/2017 00:00:00,0.0024,0.5569,20.6038,1.0000,0.0000,13.7548,11.9215,164.2169,2.0322,0.5400,0.0498,421.7749,176.3550,7.5243,2.2911,0.0000,7.3587
12/01/2017 00:00:00,0.0233,0.5558,20.5736,1.0000,0.0000,13.7171,12.1693,166.7591,3.7047,0.9853,0.0919,422.5615,176.5123,13.6835,20.5051,0.2840,7.8945
13/01/2017 00:00:00,0.0023,0.5546,20.5434,1.0000,0.0000,13.6793,12.4171,169.3013,2.0274,0.5397,0.0499,423.3480,176.6696,7.4702,2.0896,0.0000,8.4303
14/01/2017 00:00:00,0.0022,0.5534,20.5132,1.0000,0.0000,13.6415,12.6648,171.8435,2.0253,0.5395,0.0500,424.1346,176.8269,7.4442,1.9921,0.0000,8.9660
15/01/2017 00:00:00,0.0022,0.5522,20.4830,1.0000,0.0000,13.6038,12.9126,174.3857,2.0233,0.5395,0.0500,424.9211,176.9842,7.4187,1.8966,0.0000,9.5018
16/01/2017 00:00:00,0.0021,0.5511,20.4528,1.0000,0.0000,13.5660,13.1604,176.9279,2.0214,0.5394,0.0501,425.7077,177.1415,7.3940,1.8030,0.0000,10.0376
17/01/2017 00:00:00,0.0020,0.5499,20.4226,1.0000,0.0000,13.5283,13.4081,179.4701,2.0198,0.5394,0.0501,426.4942,177.2988,7.3698,1.7114,0.0000,10.5733
18/01/2017 00:00:00,0.0020,0.5487,20.3924,1.0000,0.0000,13.4905,13.6559,182.0123,2.0182,0.5394,0.0502,427.2808,177.4562,7.3462,1.6217,0.0000,11.1091
19/01/2017 00:00:00,0.0019,0.5475,20.3622,1.0000,0.0000,13.4528,13.9037,184.5545,2.0168,0.5395,0.0502,428.0673,177.6135,7.3232,1.5336,0.0000,11.6449
20/01/2017 00:00:00,0.0019,0.5463,20.3320,1.0000,0.0000,13.4150,14.1514,187.0967,2.0154,0.5396,0.0503,428.8539,177.7708,7.3008,1.4475,0.0000,12.1806
21/01/2017 00:00:00,0.0019,0.5452,20.3018,1.0000,0.0000,13.3773,14.3992,189.6389,2.0143,0.5398,0.0504,429.6405,177.9281,7.2789,1.3630,0.0000,12.7164
22/01/2017 00:00:00,0.0018,0.5440,20.2716,1.0000,0.0000,13.3395,14.6470,192.1811,2.0133,0.5399,0.0505,430.4270,178.0854,7.2575,1.2803,0.0000,13.2522
23/01/2017 00:00:00,0.0018,0.5428,20.2414,1.0000,0.0000,13.3017,14.8947,194.7233,2.0124,0.5401,0.0506,431.2136,178.2427,7.2367,1.1990,0.0000,13.7879
24/01/2017 00:00:00,0.0017,0.5416,20.2112,1.0000,0.0000,13.2640,15.1425,202.0130,2.0116,0.5403,0.0506,432.0001,178.4000,7.2164,1.1194,0.0000,13.7502
25/01/2017 00:00:00,0.0017,0.5404,20.1810,1.0000,0.0000,13.2262,15.3902,212.4133,2.0109,0.5406,0.0507,432.7867,178.5573,7.1965,1.0412,0.0000,13.3368
26/01/2017 00:00:00,0.0016,0.5393,20.1508,1.0000,0.0000,13.1885,15.6380,222.8136,2.0104,0.5408,0.0508,433.5732,178.7146,7.1771,0.9645,0.0000,12.9234
27/01/2017 00:00:00,0.0016,0.5381,20.1206,1.0000,0.0000,13.1507,15.8858,233.2139,2.0099,0.5412,0.0510,434.3598,178.8720,7.1582,0.8893,0.0000,12.5099
28/01/2017 00:00:00,0.0016,0.5369,20.0904,1.0000,0.0000,13.1130,16.1335,243.6142,2.0095,0.5415,0.0510,435.1463,179.0293,7.1397,0.8155,0.0000,12.0965
29/01/2017 00:00:00,0.0089,0.5357,20.0602,1.0000,0.0000,13.0752,16.3813,254.0145,3.1168,0.8406,0.0815,435.9329,179.1866,11.0470,12.1346,0.1391,11.6831
30/01/2017 00:00:00,0.3598,0.5345,20.0300,1.0000,0.0000,13.0375,16.6291,264.4148,7.6936,2.0764,0.1885,436.7195,179.3439,27.2028,58.9300,0.8427,11.2697
31/01/2017 00:00:00,1.2515,0.5334,19.9998,1.0000,0.0000,12.9997,16.8768,274.8151,10.2805,2.7768,0.2426,437.5060,179.5012,36.2620,85.0664,1.1894,10.8563
01/02/2017 00:00:00,0.1397,0.5322,19.9696,1.0000,0.0000,12.9620,17.1246,285.2154,5.5220,1.4926,0.1411,438.2926,179.6585,19.4307,36.2748,0.5162,10.4428
02/02/2017 00:00:00,0.0030,0.5310,19.9394,1.0000,0.0000,12.9242,17.3724,295.6157,2.2908,0.6197,0.0600,439.0791,179.8158,8.0413,3.3180,0.0000,10.0294
03/02/2017 00:00:00,0.0029,0.5298,19.9092,1.0000,0.0000,12.8864,17.6201,306.0160,2.2863,0.6190,0.0600,439.8657,179.9731,8.0062,3.1932,0.0000,9.6160
04/02/2017 00:00:00,0.0028,0.5286,19.8790,1.0000,0.0000,12.8487,17.8679,316.4163,2.2820,0.6183,0.0600,440.6522,180.1304,7.9721,3.0716,0.0000,9.2026
05/02/2017 00:00:00,0.0027,0.5275,19.8488,1.0000,0.0000,12.8109,18.1157,326.8166,2.2780,0.6177,0.0601,441.4388,180.2878,7.9390,2.9529,0.0000,8.7891
06/02/2017 00:00:00,0.0027,0.5263,19.8186,1.0000,0.0000,12.7732,18.3634,337.2169,2.2742,0.6172,0.0601,442.2253,180.4451,7.9068,2.8370,0.0000,8.3757
07/02/2017 00:00:00,0.0480,0.5251,19.7884,1.0000,0.0000,12.7354,18.6112,334.8182,4.8836,1.3262,0.1290,443.0119,180.6024,16.9380,28.7367,0.4020,7.9254
08/02/2017 00:00:00,0.0025,0.5239,19.7581,1.0000,0.0000,12.6977,18.8589,322.9595,2.2674,0.6162,0.0603,443.7985,180.7597,7.8453,2.6138,0.0000,7.4477
09/02/2017 00:00:00,0.1458,0.5228,19.7279,1.0000,0.0000,12.6599,19.1067,311.1008,6.4431,1.7524,0.1671,444.5850,180.9170,22.2399,43.8068,0.6253,6.9701
10/02/2017 00:00:00,1.4773,0.5216,19.6977,1.0000,0.0000,12.6222,19.3545,299.2420,11.1095,3.0239,0.2689,445.3716,181.0743,38.2549,89.5312,1.2430,6.4925
11/02/2017 00:00:00,0.5439,0.5204,19.6675,1.0000,0.0000,12.5844,19.6022,287.3833,8.1954,2.2324,0.2074,446.1581,181.2316,28.1533,60.5474,0.8561,6.0148
12/02/2017 00:00:00,0.0179,0.5192,19.6373,1.0000,0.0000,12.5467,19.8500,275.5246,3.3512,0.9136,0.0917,446.9447,181.3889,11.4848,12.9030,0.1469,5.5372
13/02/2017 00:00:00,0.0175,0.5180,19.6071,1.0000,0.0000,12.5089,20.0978,263.6658,3.3629,0.9174,0.0924,447.7312,181.5462,11.4972,12.9016,0.1464,5.0596
14/02/2017 00:00:00,0.0090,0.5169,19.5769,1.0000,0.0000,12.4711,20.3455,251.8071,2.7939,0.7628,0.0770,448.5178,181.7036,9.5291,7.2651,0.0500,4.5819
15/02/2017 00:00:00,0.0067,0.5157,19.5467,1.0000,0.0000,12.4334,20.5933,239.9483,2.7867,0.7613,0.0770,449.3043,181.8609,9.4817,7.1009,0.0469,4.1043
16/02/2017 00:00:00,0.0064,0.5145,19.5165,1.0000,0.0000,12.3956,20.8411,228.7527,2.7708,0.7576,0.0768,450.0909,182.0182,9.4052,6.8545,0.0420,3.9229
17/02/2017 00:00:00,0.0061,0.5133,19.4863,1.0000,0.0000,12.3579,21.0888,218.0528,2.7559,0.7540,0.0766,450.8774,182.1755,9.3321,6.6181,0.0373,3.9630
18/02/2017 00:00:00,0.0058,0.5121,19.4561,1.0000,0.0000,12.3201,21.3366,207.3528,2.7418,0.7507,0.0765,451.6640,182.3328,9.2621,6.3909,0.0328,4.0031
19/02/2017 00:00:00,0.0056,0.5110,19.4259,1.0000,0.0000,12.2824,21.5843,196.6529,2.7284,0.7476,0.0763,452.4506,182.4901,9.1951,6.1724,0.0286,4.0432
20/02/2017 00:00:00,0.0053,0.5098,19.3957,1.0000,0.0000,12.2446,21.8321,185.9530,2.7158,0.7447,0.0762,453.2371,182.6474,9.1307,5.9620,0.0243,4.0833
21/02/2017 00:00:00,0.0478,0.5086,19.3655,1.0000,0.0000,12.2069,22.0799,178.2250,4.9576,1.3604,0.1378,454.0237,182.8047,16.6284,27.0775,0.3697,5.9292
22/02/2017 00:00:00,0.0049,0.5074,19.3353,1.0000,0.0000,12.1691,22.3276,172.6200,2.6926,0.7394,0.0761,454.8102,182.9620,9.0097,5.5641,0.0162,9.0649
