ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0009,0.3721,28.0838,1.0000,0.0000,6.6577,248.8850,137.2393,9.8616,13.1426,0.7332,1111.8613,314.3723,18.1435,0.0000,0.8967,6.9408
02/01/2017 00:00:00,0.0008,0.3776,28.2545,1.0000,0.0000,6.7525,250.7524,137.8864,9.6691,12.9506,0.7273,1103.9567,312.7913,18.0239,0.0000,0.8675,6.6317
03/01/2017 00:00:00,0.0008,0.3832,28.4252,1.0000,0.0000,6.8474,252.6199,138.5334,9.4985,12.7863,0.7228,1096.0521,311.2104,17.9389,0.0000,0.8422,6.3226
04/01/2017 00:00:00,0.0007,0.3887,28.5960,1.0000,0.0000,6.9422,254.4874,140.9374,9.3158,12.6039,0.7172,1088.1475,309.6295,17.8245,0.0000,0.8141,6.2302
05/01/2017 00:00:00,0.0007,0.3918,28.5584,1.0000,0.0000,7.0000,249.5198,144.4957,9.1446,12.4238,0.7100,1083.3333,308.6667,17.7449,0.0000,0.7913,6.2802
06/01/2017 00:00:00,0.0007,0.3912,28.1962,1.0000,0.0000,7.0000,233.8992,148.0540,9.0095,12.2741,0.7023,1083.3333,308.6667,17.7608,0.0000,0.7807,6.3302
07/01/2017 00:00:00,0.0007,0.3907,27.8340,1.0000,0.0000,7.0000,218.2786,151.6123,8.9557,12.2353,0.7007,1083.3333,308.6667,17.9372,0.0000,0.7868,6.3802
08/01/2017 00:00:00,0.0007,0.3901,27.4718,1.0000,0.0000,7.0000,202.6580,155.1706,8.8649,12.1461,0.6966,1083.3333,308.6667,18.0409,0.0000,0.7851,6.4301
09/01/2017 00:00:00,0.0007,0.3895,27.1096,1.0000,0.0000,7.0000,187.0374,158.7289,8.7368,12.0056,0.6896,1083.3333,308.6667,18.0676,0.0000,0.7757,6.4801
10/01/2017 00:00:00,0.0007,0.3889,26.7473,1.0000,0.0000,7.0000,171.4168,161.6747,8.5202,11.7429,0.6759,1083.3333,308.6667,17.9063,0.0000,0.7472,6.8229
11/01/2017 00:00:00,0.0006,0.3883,26.3851,1.0000,0.0000,7.0000,155.7962,164.2169,8.3393,11.5286,0.6651,1083.3333,308.6667,17.8128,0.0000,0.7257,7.3587
12/01/2017 00:00:00,0.0008,0.3871,26.1546,1.0000,0.0000,6.9650,150.2361,166.7591,8.7740,12.0543,0.6788,1077.5029,307.5006,18.4631,0.0000,0.8310,7.8945
13/01/2017 00:00:00,0.0006,0.3851,26.0617,1.0000,0.0000,6.8936,155.1933,169.3013,8.6125,11.6494,0.6255,1065.5940,305.1188,17.2791,0.0000,0.8013,8.4303
14/01/2017 00:00:00,0.0006,0.3832,25.9688,1.0000,0.0000,6.8221,160.1504,171.8435,8.8413,11.7785,0.6005,1053.6851,302.7370,16.9075,0.0000,0.8550,8.9660
15/01/2017 00:00:00,0.0005,0.3812,25.8759,1.0000,0.0000,6.7507,165.1076,174.3857,8.9331,11.7263,0.5663,1041.7762,300.3552,16.2783,0.0000,0.8809,9.5018
16/01/2017 00:00:00,0.0005,0.3793,25.7830,1.0000,0.0000,6.6792,170.0648,176.9279,9.1513,11.8410,0.5398,1029.8673,297.9735,15.8844,0.0000,0.9323,10.0376
17/01/2017 00:00:00,0.0006,0.3773,25.6901,1.0000,0.0000,6.6078,175.0220,179.4701,9.4177,12.0159,0.5151,1017.9585,295.5917,15.5642,0.0000,0.9927,10.5733
18/01/2017 00:00:00,0.0005,0.3754,25.5972,1.0000,0.0000,6.5363,179.9792,182.0123,9.6087,12.0931,0.4857,1006.0496,293.2099,15.1122,0.0000,1.0383,11.1091
19/01/2017 00:00:00,0.0005,0.3735,25.5043,1.0000,0.0000,6.4648,184.9364,184.5545,9.8458,12.2271,0.4580,994.1407,290.8281,14.7280,0.0000,1.0919,11.6449
20/01/2017 00:00:00,0.0005,0.3715,25.4115,1.0000,0.0000,6.3934,189.8936,187.0967,10.0616,12.3336,0.4285,982.2318,288.4464,14.3059,0.0000,1.1416,12.1806
21/01/2017 00:00:00,0.0005,0.3696,25.3186,1.0000,0.0000,6.3219,194.8507,189.6389,10.3047,12.4722,0.3995,970.3229,286.0646,13.9165,0.0000,1.1955,12.7164
22/01/2017 00:00:00,0.0005,0.3676,25.2257,1.0000,0.0000,6.2505,199.8079,192.1811,10.5444,12.6049,0.3694,958.4140,283.6828,13.5148,0.0000,1.2485,13.2522
23/01/2017 00:00:00,0.0005,0.3657,25.1328,1.0000,0.0000,6.1790,204.7651,194.7233,10.7911,12.7444,0.3387,946.5051,281.3010,13.1147,0.0000,1.3023,13.7879
24/01/2017 00:00:00,0.0005,0.3637,25.0399,1.0000,0.0000,6.1076,209.7223,202.0130,11.0444,12.8900,0.3073,934.5962,278.9192,12.7148,0.0000,1.3565,13.7502
25/01/2017 00:00:00,0.0005,0.3618,24.9470,1.0000,0.0000,6.0361,214.6795,212.4133,11.2021,12.9235,0.2726,922.6873,276.5375,12.2027,0.0000,1.3954,13.3368
26/01/2017 00:00:00,0.0004,0.3605,24.8330,1.0000,0.0000,6.3527,217.6831,222.8136,10.9915,12.6012,0.2641,922.5456,276.5091,11.8285,0.0000,1.3518,12.9234
27/01/2017 00:00:00,0.0004,0.3597,24.6975,1.0000,0.0000,7.0661,218.6864,233.2139,10.6530,12.2002,0.2849,934.4356,278.8871,11.8327,0.0000,1.2613,12.5099
28/01/2017 00:00:00,0.0003,0.3590,24.5619,1.0000,0.0000,7.7795,219.6896,243.6142,10.2958,11.7789,0.3018,946.3257,281.2651,11.7864,0.0000,1.1653,12.0965
29/01/2017 00:00:00,0.0025,0.3583,24.4264,1.0000,0.0000,8.4929,220.6928,254.0145,14.3077,16.3518,0.4462,958.2157,283.6431,16.8579,0.0000,1.7638,11.6831
30/01/2017 00:00:00,0.0035,0.3576,24.2909,1.0000,0.0000,9.2063,221.6960,264.4148,15.0600,17.1942,0.5007,970.1057,286.0211,18.2403,0.0000,1.8462,11.2697
31/01/2017 00:00:00,0.0176,0.3569,24.1553,1.0000,0.0000,9.9197,222.6992,274.8151,20.4148,23.2847,0.6960,981.9957,288.3991,25.3874,15.4096,2.6019,10.8563
01/02/2017 00:00:00,0.0021,0.3562,24.0198,1.0000,0.0000,10.6331,223.7024,285.2154,13.2938,15.1477,0.5016,993.8857,290.7771,16.9558,0.0000,1.5046,10.4428
02/02/2017 00:00:00,0.0008,0.3554,23.8842,1.0000,0.0000,11.3465,224.7056,295.6157,11.0099,12.5332,0.4419,1005.7757,293.1551,14.3883,0.0000,1.0907,10.0294
03/02/2017 00:00:00,0.0008,0.3547,23.7487,1.0000,0.0000,12.0599,225.7088,306.0160,10.8515,12.3411,0.4563,1017.6658,295.5332,14.5165,0.0000,1.0236,9.6160
04/02/2017 00:00:00,0.0007,0.3540,23.6131,1.0000,0.0000,12.7733,226.7121,316.4163,10.5994,12.0431,0.4653,1029.5558,297.9112,14.5017,0.0000,0.9391,9.2026
05/02/2017 00:00:00,0.0007,0.3533,23.4776,1.0000,0.0000,13.4867,227.7153,326.8166,10.3769,11.7794,0.4741,1041.4458,300.2892,14.5079,0.0000,0.8580,8.7891
06/02/2017 00:00:00,0.0007,0.3526,23.3420,1.0000,0.0000,14.2001,228.7185,337.2169,10.1793,11.5445,0.4825,1053.3358,302.6672,14.5317,0.0000,0.7804,8.3757
