ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0001,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,2.5564,0.3098,1.1252,4714.3358,1034.8672,24.7538,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0001,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,2.4974,0.3067,1.1045,4724.5398,1036.9080,24.2808,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0001,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,2.4444,0.3041,1.0860,4734.7437,1038.9487,23.8619,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0001,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,2.3892,0.3010,1.0663,4744.9476,1040.9895,23.4186,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0001,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,2.3432,0.2990,1.0504,4755.1516,1043.0303,23.0602,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0001,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,2.3300,0.3011,1.0496,4765.3555,1045.0711,23.0240,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0001,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,2.3545,0.3080,1.0662,4775.5594,1047.1119,23.3606,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0001,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,2.3635,0.3130,1.0757,4785.7634,1049.1527,23.5448,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0001,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,2.3495,0.3150,1.0745,4795.9673,1051.1935,23.4999,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0001,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,2.2848,0.3100,1.0492,4806.1713,1053.2343,22.9448,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0001,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,2.2420,0.3079,1.0340,4816.3752,1055.2750,22.6064,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0001,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,2.6075,0.3624,1.2108,4826.5791,1057.3158,26.3976,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0001,1.2387,23.5760,1.0000,0.0000,6.2397,76.9731,169.3013,2.2309,0.3137,1.0390,4836.7831,1059.3566,22.6761,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0001,1.2364,23.5791,1.0000,0.0000,6.2090,76.4150,171.8435,2.2299,0.3172,1.0436,4846.9870,1061.3974,22.7566,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0001,1.2341,23.5822,1.0000,0.0000,6.1784,75.8570,174.3857,2.1612,0.3110,1.0151,4857.1909,1063.4382,22.1442,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0001,1.2318,23.5852,1.0000,0.0000,6.1478,75.2990,176.9279,2.1483,0.3127,1.0138,4867.3949,1065.4790,22.1001,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0001,1.2296,23.5883,1.0000,0.0000,6.1172,74.7409,179.4701,2.1590,0.3179,1.0242,4877.5988,1067.5198,22.2996,0.0000,0.0000,10.5733
18/01/2017 00:00:00,0.0001,1.2273,23.5913,1.0000,0.0000,6.0866,74.1829,182.0123,2.1355,0.3180,1.0175,4887.8028,1069.5605,22.1450,0.0000,0.0000,11.1091
19/01/2017 00:00:00,0.0000,1.2250,23.5944,1.0000,0.0000,6.0560,73.6249,184.5545,2.1271,0.3203,1.0184,4898.0067,1071.6013,22.1461,0.0000,0.0000,11.6449
20/01/2017 00:00:00,0.0000,1.2228,23.5975,1.0000,0.0000,6.0254,73.0668,187.0967,2.1060,0.3207,1.0128,4908.2106,1073.6421,22.0144,0.0000,0.0000,12.1806
21/01/2017 00:00:00,0.0000,1.2205,23.6005,1.0000,0.0000,5.9948,72.5088,189.6389,2.1032,0.3238,1.0164,4918.4146,1075.6829,22.0725,0.0000,0.0000,12.7164
22/01/2017 00:00:00,0.0000,1.2182,23.6036,1.0000,0.0000,5.9641,71.9508,192.1811,2.0972,0.3264,1.0184,4928.6185,1077.7237,22.0979,0.0000,0.0000,13.2522
23/01/2017 00:00:00,0.0000,1.2160,23.6066,1.0000,0.0000,5.9335,71.3928,194.7233,2.0923,0.3292,1.0210,4938.8224,1079.7645,22.1343,0.0000,0.0000,13.7879
24/01/2017 00:00:00,0.0000,1.2137,23.6097,1.0000,0.0000,5.9029,70.8347,202.0130,2.0883,0.3321,1.0239,4949.0264,1081.8053,22.1797,0.0000,0.0000,13.7502
