FVC file = swan.fvc, Simulation Execution: 09/09/2019 19:09:21
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.38070682400000E+06, 0.64530243300000E+07, -0.1296442E+01,  0.0000000E+00,  0.2561852E+03,           1,           0,           1,           1
, 0.38075121600000E+06, 0.64529337700000E+07, -0.1633618E+02,  0.1008552E+03,  0.2561852E+03,           2,           0,           1,           1
, 0.38080034600000E+06, 0.64528677400000E+07, -0.1598446E+02,  0.1831578E+03,  0.2561852E+03,           3,           0,           1,           1
, 0.38087052700000E+06, 0.64528475500000E+07, -0.1544625E+02,  0.2561852E+03,  0.2561852E+03,,,           1,           1
, 0.40743370600000E+06, 0.64833572300000E+07,  0.2856801E+01,  0.0000000E+00,  0.2865178E+02,       13012,           0,           2,           2
, 0.40743482500000E+06, 0.64833501600000E+07,  0.2856819E+01,  0.7158007E+01,  0.2865178E+02,       13011,           0,           2,           2
, 0.40743594400000E+06, 0.64833430800000E+07,  0.2856819E+01,  0.1432589E+02,  0.2865178E+02,       13010,           0,           2,           2
, 0.40743706300000E+06, 0.64833360000000E+07,  0.2856800E+01,  0.2149377E+02,  0.2865178E+02,       13009,           0,           2,           2
, 0.40743818200000E+06, 0.64833289300000E+07,  0.2855686E+01,  0.2865178E+02,  0.2865178E+02,,,           2,           2
, 0.39808680600000E+06, 0.64567164900000E+07,  0.2890950E+00,  0.0000000E+00,  0.4643033E+02,       10659,           0,           3,           3
, 0.39808523300000E+06, 0.64567010900000E+07, -0.6665829E+00,  0.1548013E+02,  0.4643033E+02,       10657,           0,           3,           3
, 0.39808366000000E+06, 0.64566857000000E+07, -0.7094072E+00,  0.3095031E+02,  0.4643033E+02,       10627,           0,           3,           3
, 0.39808208800000E+06, 0.64566703000000E+07, -0.1376919E+00,  0.4643033E+02,  0.4643033E+02,,,           3,           3
, 0.38092083600000E+06, 0.64531692600000E+07, -0.1017365E+01,  0.0000000E+00,  0.3357542E+03,          10,          15,           4,           4
, 0.38098644800000E+06, 0.64530590600000E+07, -0.1592383E+02,  0.1282536E+03,  0.3357542E+03,          13,          16,           4,           4
, 0.38105870300000E+06, 0.64530317700000E+07, -0.1451797E+02,  0.2054904E+03,  0.3357542E+03,          14,          18,           4,           4
, 0.38112214400000E+06, 0.64530269300000E+07, -0.1031902E+02,  0.2691158E+03,  0.3357542E+03,          17,          20,           4,           4
