Date,Bannister,Bayswater_Main_Drain,Belmont_Central,Bennett_Brook,Blackadder_Creek,Bullcreek04,Bullcreek10,Bullcreek5_7,Bullcreek8_9,CBD,CBD03,Claisebrook_Main_Drain,Downstream_1_4,Downstream02,Downstream03,Downstream5_6,EllenBrook,Helena,Henley_Brook,Jane_Brook,Lower_Canning,Lower_Canning03,Maylands01,Maylands02,Maylands03,Maylands04,Maylands05,Mills_Street_Main_Drain,Perth_Airport_North03,Perth_Airport_North04,Perth_Airport_South,Saint_Leonards_Creek,South_Belmont,South_perth03,South_Perth04_Bullcreek11,South_Perth05,South_Perth06,South_Perth1_2,Susannah_Brook,Upper_Swan_5_4,Upper_Swan01,Upper_Swan6_7,Upper_Swan8_10_12,Upper_Swan9_11,
2007,1941.7885,982.8806,209.8332,2314.0084,826.6579,235.9329,369.6739,1082.6928,278.2259,687.5713,91.5488,852.8465,265.0275,129.6735,185.8581,705.3550,4069.9658,6207.3497,686.9686,11112.4242,23349.6229,88.9042,564.9526,62.9102,78.5168,146.1359,27.5414,1131.9392,11.8674,1533.2142,1044.3924,175.8849,572.5193,208.6759,386.7273,565.2646,286.2359,783.6998,5135.8038,229.8132,140622.0550,264.7522,231.4585,80.3717,
2008,3427.1694,1102.8750,276.2856,2728.8823,904.4411,327.7214,540.0023,1438.6327,374.5650,826.9917,103.0552,1175.4789,336.0475,171.5994,225.7794,903.3090,13244.1333,7825.0758,799.8007,10936.1130,30538.1543,136.3131,799.8592,85.4215,140.2851,191.5508,47.6032,3401.6133,15.4970,2334.1368,1241.1794,198.4883,825.9176,233.8052,567.5074,792.1507,400.8017,1107.5967,5745.0511,258.8671,186951.0958,292.1940,275.3186,92.9605,
2009,5718.2707,1168.6237,518.1185,2484.2893,820.3614,702.5121,1179.3787,3005.1629,798.4033,1410.5050,156.9927,2378.0775,679.0015,375.6274,431.1060,1859.2171,19012.1011,9160.0232,1161.7498,12583.5881,35125.5772,299.4332,1694.0888,174.9611,313.9527,383.6851,108.1152,2930.2373,22.0168,2857.4438,1777.2596,184.1039,1669.3934,338.8526,1245.7152,1724.2829,894.2982,2442.3112,7768.6639,215.0067,243224.5221,240.0706,243.2933,82.9530,
2010,4331.9889,1051.2906,413.8708,1711.2754,549.3237,518.5231,870.5106,2493.5534,662.7888,1380.8846,145.4895,2099.8475,624.6976,368.0032,424.4138,1705.0801,3359.1564,2497.3542,785.6780,3016.9528,16083.6681,201.8088,1381.2245,146.8048,265.5919,325.8564,91.4016,2255.0976,17.0874,2001.9762,1323.4172,122.3142,1247.4912,289.4050,952.4929,1386.1073,798.7782,2048.0587,1692.0889,153.0972,23463.6757,180.0066,156.4939,54.6126,
2011,6987.2088,2994.0377,902.8029,4562.6702,979.5073,1109.8069,1845.2670,5359.4765,1413.5489,2773.1547,305.2244,4306.8082,1269.4309,701.9029,828.1185,3414.5150,13692.3378,8509.0013,1601.2895,10487.7355,39768.7493,409.7670,3047.7620,323.8178,512.3433,705.4968,181.7312,3343.8693,39.8436,3954.3228,2939.9869,206.1013,1846.3160,644.6601,1996.5400,2894.5832,1552.5425,4119.7541,6305.2766,274.9460,137428.3121,316.3899,283.4441,96.7602,
2012,5963.8165,3444.9405,716.4471,4279.9666,782.2702,850.3775,1413.6036,4016.5038,1061.1127,2283.0060,243.5664,3453.6838,809.1528,525.2008,623.6589,2409.9439,4988.3423,5335.2129,1574.4260,5579.9682,27863.4882,310.2535,2407.5235,242.9979,391.3154,532.6087,138.1084,2782.4733,33.6117,3482.2192,2420.7107,186.9775,1731.9781,502.4896,1519.0965,2184.8623,1174.9853,3122.7952,3590.9853,221.4692,34253.7703,253.4992,243.6356,84.5520,
2013,7116.9158,5570.4088,897.5549,6777.9746,749.3703,1150.2869,1900.7095,5567.0982,1458.6985,2929.5964,333.9169,4418.9207,1338.2271,731.1188,878.7735,3549.6643,21644.4754,9504.5354,1875.4549,5547.4150,43251.1904,426.4433,3028.9305,327.6144,494.6992,700.1770,173.6390,3153.3266,41.5709,4363.4519,3183.6663,181.0676,1870.2249,676.2510,2032.3874,2936.1151,1562.0709,4120.6944,4976.0764,215.3083,150196.8861,249.1688,247.3606,80.7034,
2014,6214.6830,5159.4454,733.9432,5376.9991,866.7051,937.5311,1554.3718,4554.7829,1198.3747,2368.6758,269.1636,3645.7754,1170.1821,609.1475,728.2595,3024.5078,13712.2056,8118.2767,1633.8324,6358.2337,36888.7630,352.9741,2546.6570,268.0712,425.4467,582.0785,148.9926,2993.1000,34.0094,3735.6619,2609.9993,193.3682,1708.0175,557.5032,1671.5135,2418.2761,1318.3592,3448.8376,4447.0130,229.2993,118560.5281,259.4674,261.6357,88.4446,
2015,5100.1765,3879.6126,593.2497,3085.5228,646.1131,695.6096,1157.6490,3312.7906,875.4615,1851.6781,207.4739,2832.5150,874.5932,462.9714,549.9112,2238.0155,7064.1100,3834.3224,993.1169,2738.9424,24038.3026,260.7049,1921.1446,210.9907,343.9495,462.0232,120.5702,2504.9081,24.5030,2854.8893,2017.3017,139.2680,1431.9362,437.8431,1268.4229,1872.2270,1016.6164,2683.1813,1933.5277,177.3827,51379.2548,207.1138,173.3684,61.0400,
2016,7060.8775,6181.9237,880.0552,6676.9879,912.5188,1111.1922,1840.9972,5507.1445,1448.9331,3157.5315,340.3700,4576.7943,1483.5052,800.2175,961.1246,3825.6990,25366.7112,8529.4433,1808.3178,7021.7685,42051.8871,416.6063,2990.9763,320.2386,496.5297,695.3603,175.7604,3344.4055,39.2552,4192.1363,3060.1673,208.1013,1867.1687,668.9768,1987.7115,2893.5913,1620.9710,4167.4749,5137.3257,254.2411,494807.7681,297.9549,263.6285,91.6199,
