Date,Bayswater_Inflow (ML/day),Bennett_Inflow (ML/day),Canning_Inflow (ML/day),Ellenbrook_Inflow (ML/day),Helena_Inflow (ML/day),Jane_Inflow (ML/day),Susannah_Inflow (ML/day),Upper_Swan_Inflow (ML/day),
01/01/2007,3.6288000000,1.1232000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
02/01/2007,4.4928000000,1.2960000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
03/01/2007,11.2320000000,4.6656000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
04/01/2007,3.5424000000,3.0240000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
05/01/2007,2.8512000000,1.8144000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
06/01/2007,2.6784000000,1.4688000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
07/01/2007,2.5056000000,1.3824000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
08/01/2007,2.4192000000,1.2960000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
09/01/2007,2.5920000000,1.2960000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
10/01/2007,3.8880000000,1.3824000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
11/01/2007,3.2832000000,1.5552000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
12/01/2007,2.9376000000,1.3824000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
13/01/2007,2.9376000000,1.2960000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
14/01/2007,2.9376000000,1.2096000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
15/01/2007,3.1968000000,1.2096000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
16/01/2007,3.0240000000,1.2096000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
17/01/2007,3.4560000000,1.2096000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
18/01/2007,3.5424000000,1.1232000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
19/01/2007,3.8016000000,1.0368000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
20/01/2007,3.8016000000,1.0368000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
21/01/2007,3.8016000000,1.0368000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
22/01/2007,3.5424000000,1.1232000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
23/01/2007,3.8016000000,1.1232000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
