ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
01/01/2007 00:00,0.0000,0.5101,19.4092,1.0000,0.0000,1.3367,0.1485,215.4926,125.5581,1.1213,6.1618,0.2102,0.0210,39.3988,170.7977,3.4096,11.0871,0.0448,0.0560,354.5896,7.9557,0.0112,17.0798,1.9553,1.3035,1.3035,1.9553,6.5177,0.9838
02/01/2007 00:00,0.0000,0.5090,19.3735,1.0000,0.0000,1.3459,0.1495,215.7461,125.5581,1.1239,6.2598,0.2098,0.0210,39.5264,171.0527,3.4227,11.1010,0.0459,0.0574,355.7373,7.9863,0.0115,17.1053,2.2041,1.4694,1.4694,2.2041,7.3470,1.1090
03/01/2007 00:00,0.0000,0.5079,19.3377,1.0000,0.0000,1.3551,0.1506,215.9995,125.5581,1.1264,6.3578,0.2095,0.0210,39.6539,171.3078,3.4358,11.1148,0.0471,0.0588,356.8850,8.0169,0.0118,17.1308,2.4529,1.6353,1.6353,2.4529,8.1763,1.2342
04/01/2007 00:00,0.0000,0.5068,19.3020,1.0000,0.0000,1.3643,0.1516,216.2530,125.5581,1.1290,6.4558,0.2092,0.0209,39.7814,171.5628,3.4489,11.1286,0.0482,0.0603,358.0327,8.0475,0.0121,17.1563,2.7017,1.8011,1.8011,2.7017,9.0056,1.3593
05/01/2007 00:00,0.0000,0.5056,19.2662,1.0000,0.0000,1.3734,0.1526,216.5064,125.5581,1.1315,6.5538,0.2088,0.0209,39.9089,171.8179,3.4621,11.1425,0.0493,0.0617,359.1804,8.0781,0.0123,17.1818,2.9505,1.9670,1.9670,2.9505,9.8349,1.4845
06/01/2007 00:00,0.0000,0.5045,19.2305,1.0000,0.0000,1.3826,0.1536,216.7599,125.5581,1.1341,6.6518,0.2085,0.0209,40.0365,172.0729,3.4752,11.1563,0.0505,0.0631,360.3281,8.1087,0.0126,17.2073,3.1993,2.1328,2.1328,3.1993,10.6642,1.6097
07/01/2007 00:00,0.0000,0.5034,19.1947,1.0000,0.0000,1.3918,0.1546,217.0133,125.5581,1.1366,6.7498,0.2082,0.0208,40.1640,172.3280,3.4883,11.1702,0.0516,0.0645,361.4758,8.1394,0.0129,17.2328,3.4481,2.2987,2.2987,3.4481,11.4936,1.7349
08/01/2007 00:00,0.0000,0.5023,19.1589,1.0000,0.0000,1.4010,0.1557,217.2668,125.5581,1.1392,6.8478,0.2079,0.0208,40.2915,172.5830,3.5014,11.1840,0.0527,0.0659,362.6235,8.1700,0.0132,17.2583,3.6969,2.4646,2.4646,3.6969,12.3229,1.8601
09/01/2007 00:00,0.0000,0.5012,19.1232,1.0000,0.0000,1.4102,0.1567,217.5202,125.5581,1.1417,6.9459,0.2075,0.0208,40.4190,172.8380,3.5145,11.1979,0.0539,0.0673,363.7712,8.2006,0.0135,17.2838,3.9456,2.6304,2.6304,3.9456,13.1522,1.9852
10/01/2007 00:00,0.0000,0.5001,19.0874,1.0000,0.0000,1.4194,0.1577,217.7737,125.5581,1.1443,7.0439,0.2072,0.0207,40.5465,173.0931,3.5276,11.2117,0.0550,0.0688,364.9189,8.2312,0.0138,17.3093,3.8613,2.5742,2.5742,3.8613,12.8710,1.9428
11/01/2007 00:00,0.0000,0.4990,19.0517,1.0000,0.0000,1.4285,0.1587,218.0271,125.5581,1.1468,7.1419,0.2069,0.0207,40.6741,173.3481,3.5408,11.2256,0.0561,0.0702,366.0666,8.2618,0.0140,17.3348,3.5363,2.3575,2.3575,3.5363,11.7875,1.7792
12/01/2007 00:00,0.0000,0.4978,19.0159,1.0000,0.0000,1.4377,0.1597,218.2806,125.5581,1.1494,7.2399,0.2065,0.0207,40.8016,173.6032,3.5539,11.2394,0.0573,0.0716,367.2143,8.2924,0.0143,17.3603,3.2112,2.1408,2.1408,3.2112,10.7041,1.6157
13/01/2007 00:00,0.0000,0.4967,18.9802,1.0000,0.0000,1.4469,0.1608,218.5340,125.5581,1.1519,7.3379,0.2062,0.0206,40.9291,173.8582,3.5670,11.2533,0.0584,0.0730,368.3620,8.3230,0.0146,17.3858,2.8862,1.9241,1.9241,2.8862,9.6206,1.4522
14/01/2007 00:00,0.0000,0.4956,18.9444,1.0000,0.0000,1.4561,0.1618,218.7875,125.5581,1.1545,7.4359,0.2059,0.0206,41.0566,174.1133,3.5801,11.2671,0.0595,0.0744,369.5097,8.3536,0.0149,17.4113,2.5611,1.7074,1.7074,2.5611,8.5371,1.2886
15/01/2007 00:00,0.0000,0.4945,18.9086,1.0000,0.0000,1.4653,0.1628,219.0409,125.5581,1.1570,7.5339,0.2055,0.0206,41.1842,174.3683,3.5932,11.2809,0.0607,0.0758,370.6574,8.3842,0.0152,17.4368,2.2361,1.4907,1.4907,2.2361,7.4537,1.1251
16/01/2007 00:00,0.0000,0.4934,18.8729,1.0000,0.0000,1.4744,0.1638,219.2944,125.5581,1.1596,7.6319,0.2052,0.0205,41.3117,174.6233,3.6063,11.2948,0.0618,0.0772,371.8051,8.4148,0.0154,17.4623,1.9111,1.2740,1.2740,1.9111,6.3702,0.9615
17/01/2007 00:00,0.0000,0.4923,18.8371,1.0000,0.0000,1.4836,0.1648,219.5478,125.5581,1.1621,7.7299,0.2049,0.0205,41.4392,174.8784,3.6195,11.3086,0.0629,0.0787,372.9527,8.4454,0.0157,17.4878,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
18/01/2007 00:00,0.0000,0.4912,18.8014,1.0000,0.0000,1.4928,0.1659,219.8013,125.5581,1.1647,7.8279,0.2046,0.0205,41.5667,175.1334,3.6326,11.3225,0.0641,0.0801,374.1004,8.4760,0.0160,17.5133,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
19/01/2007 00:00,0.0000,0.4900,18.7656,1.0000,0.0000,1.5020,0.1669,220.0547,125.5581,1.1672,7.9260,0.2042,0.0204,41.6942,175.3885,3.6457,11.3363,0.0652,0.0815,375.2481,8.5066,0.0163,17.5388,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
20/01/2007 00:00,0.0000,0.4889,18.7299,1.0000,0.0000,1.5112,0.1679,220.3082,125.5581,1.1698,8.0240,0.2039,0.0204,41.8218,175.6435,3.6588,11.3502,0.0663,0.0829,376.3958,8.5372,0.0166,17.5644,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
21/01/2007 00:00,0.0000,0.4878,18.6941,1.0000,0.0000,1.5203,0.1689,220.5616,125.5581,1.1723,8.1220,0.2036,0.0204,41.9493,175.8986,3.6719,11.3640,0.0675,0.0843,377.5435,8.5678,0.0169,17.5899,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
22/01/2007 00:00,0.0000,0.4867,18.6583,1.0000,0.0000,1.5295,0.1699,220.8151,125.5581,1.1749,8.2200,0.2032,0.0203,42.0768,176.1536,3.6850,11.3779,0.0686,0.0857,378.6912,8.5984,0.0171,17.6154,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
23/01/2007 00:00,0.0000,0.4856,18.6226,1.0000,0.0000,1.5387,0.1710,221.0685,125.5581,1.1774,8.3180,0.2029,0.0203,42.2043,176.4086,3.6982,11.3917,0.0697,0.0871,379.8389,8.6290,0.0174,17.6409,1.8000,1.2000,1.2000,1.8000,6.0000,0.9057
24/01/2007 00:00,0.0000,0.4845,18.5868,1.0000,0.0000,1.5479,0.1720,221.3220,125.5581,1.1800,8.4160,0.2026,0.0203,42.3318,176.6637,3.7113,11.4056,0.0709,0.0886,380.9866,8.6596,0.0177,17.6664,1.8137,1.2091,1.2091,1.8137,6.0455,0.9125
25/01/2007 00:00,0.0000,0.4834,18.5511,1.0000,0.0000,1.5571,0.1730,221.5754,125.5581,1.1825,8.5140,0.2023,0.0202,42.4594,176.9187,3.7244,11.4194,0.0720,0.0900,382.1343,8.6902,0.0180,17.6919,1.8348,1.2232,1.2232,1.8348,6.1158,0.9231
26/01/2007 00:00,0.0000,0.4823,18.5153,1.0000,0.0000,1.5663,0.1740,221.8289,125.5581,1.1851,8.6120,0.2019,0.0202,42.5869,177.1738,3.7375,11.4332,0.0731,0.0914,383.2820,8.7209,0.0183,17.7174,1.8558,1.2372,1.2372,1.8558,6.1861,0.9338
27/01/2007 00:00,0.0000,0.4811,18.4796,1.0000,0.0000,1.5754,0.1750,222.0823,125.5581,1.1876,8.7100,0.2016,0.0202,42.7144,177.4288,3.7506,11.4471,0.0742,0.0928,384.4297,8.7515,0.0186,17.7429,1.8769,1.2513,1.2513,1.8769,6.2564,0.9444
28/01/2007 00:00,0.0000,0.4800,18.4438,1.0000,0.0000,1.5846,0.1761,222.3358,125.5581,1.1902,8.8080,0.2013,0.0201,42.8419,177.6839,3.7637,11.4609,0.0754,0.0942,385.5774,8.7821,0.0188,17.7684,1.8980,1.2653,1.2653,1.8980,6.3267,0.9550
29/01/2007 00:00,0.0000,0.4789,18.4080,1.0000,0.0000,1.5938,0.1771,222.5892,125.5581,1.1927,8.9060,0.2009,0.0201,42.9695,177.9389,3.7769,11.4748,0.0765,0.0956,386.7251,8.8127,0.0191,17.7939,1.9191,1.2794,1.2794,1.9191,6.3970,0.9656
30/01/2007 00:00,0.0000,0.4778,18.3723,1.0000,0.0000,1.6030,0.1781,222.8427,125.5581,1.1953,9.0041,0.2006,0.0201,43.0970,178.1940,3.7900,11.4886,0.0776,0.0971,387.8728,8.8433,0.0194,17.8194,1.9402,1.2935,1.2935,1.9402,6.4673,0.9762
31/01/2007 00:00,0.0000,0.4767,18.3365,1.0000,0.0000,1.6122,0.1791,223.0961,125.5581,1.1978,9.1021,0.2003,0.0200,43.2245,178.4490,3.8031,11.5025,0.0788,0.0985,389.0205,8.8739,0.0197,17.8449,1.8564,1.2376,1.2376,1.8564,6.1882,0.9341
01/02/2007 00:00,0.0000,0.4756,18.3008,1.0000,0.0000,1.6213,0.1801,223.3496,125.5581,1.2004,9.2001,0.2000,0.0200,43.3520,178.7040,3.8162,11.5163,0.0799,0.0999,390.1682,8.9045,0.0200,17.8704,1.6815,1.1210,1.1210,1.6815,5.6050,0.8460
02/02/2007 00:00,0.0000,0.4745,18.2650,1.0000,0.0000,1.6305,0.1812,223.6030,125.5581,1.2029,9.2981,0.1996,0.0200,43.4795,178.9591,3.8293,11.5302,0.0810,0.1013,391.3159,8.9351,0.0203,17.8959,1.5065,1.0044,1.0044,1.5065,5.0218,0.7580
