Year,Bayswater_Inflow,Bennet_Inflow,Canning_Inflow,Ellenbrook_Inflow,Helena_Inflow,Jane_Inflow,Susannah_Inflow,Upper_Swan_Inflow,
2007,10312.38172,8048.22590,237.21859,64726.68609,15755.74783,10506.41015,7446.65853,251650.71494,
2008,19318.25720,17406.73463,31324.59335,58305.01737,20725.58443,17377.70360,5476.65417,494829.38161,
2009,7171.76273,7454.63982,27705.65659,79714.65537,14962.82800,0.00000,6997.22296,478055.87900,
2010,5075.85144,3421.16899,4573.94897,7615.88785,794.14209,420.44383,401.03275,35494.00315,
2011,8932.95111,11682.50653,26125.14676,38920.03580,13409.53375,12794.72614,7225.94707,315480.66754,
2012,9800.92440,3822.13960,6739.15830,9423.98354,2021.56317,4384.05420,4235.73597,51568.30295,
2013,6799.09907,7220.13431,26097.09756,93766.65450,12346.86173,7587.30934,4813.75516,229150.11695,
2014,11716.18805,6288.02658,21310.65238,38902.96420,5045.38853,6897.63200,3923.66220,192704.00631,
2015,8707.19387,4794.14933,9392.34066,16530.03364,4509.28631,321.19164,417.32609,111019.14943,
2016,25229.43321,9801.32720,30240.37116,87460.19720,8741.26783,1215.63386,3177.30179,1404999.35118,
2017,54971.32902,13915.85729,23685.53731,84038.42346,9176.70851,1088.29781,3761.91225,317629.19736,
2018,74835.88386,16461.60173,34788.14272,125840.57098,9679.59242,1574.11884,6443.26990,664162.63086,
