Date,Bannister,Bayswater_Main_Drain,Belmont_Central,Bennett_Brook,Blackadder_Creek,Bullcreek04,Bullcreek10,Bullcreek5_7,Bullcreek8_9,CBD,CBD03,Claisebrook_Main_Drain,Downstream_1_4,Downstream02,Downstream03,Downstream5_6,EllenBrook,Helena,Henley_Brook,Jane_Brook,Lower_Canning,Lower_Canning03,Maylands01,Maylands02,Maylands03,Maylands04,Maylands05,Mills_Street_Main_Drain,Perth_Airport_North03,Perth_Airport_North04,Perth_Airport_South,Saint_Leonards_Creek,South_Belmont,South_perth03,South_Perth04_Bullcreek11,South_Perth05,South_Perth06,South_Perth1_2,Susannah_Brook,Upper_Swan_5_4,Upper_Swan01,Upper_Swan6_7,Upper_Swan8_10_12,Upper_Swan9_11,
2007,2507.2371,1086.9816,193.4029,3037.0252,1009.2307,252.4354,401.7635,1317.8971,291.7274,761.6942,87.1365,1008.9941,267.4787,129.1748,193.4802,822.4137,4630.4204,8718.8306,791.7769,19510.4987,31233.9456,83.2543,727.5536,60.0855,70.9659,147.2745,21.9095,1379.0602,8.8371,2168.6534,1316.2155,173.8742,566.3185,236.8489,412.3559,714.6877,310.9866,924.5098,8754.6853,229.5734,252593.8343,274.5312,235.0513,74.6182,
2008,4094.6571,1214.8953,254.9226,3608.8557,1123.7219,346.7851,579.1324,1735.4909,389.1845,906.3374,97.7103,1381.9856,338.2943,169.5561,233.4991,1046.0546,19140.5594,11638.0509,928.8110,19445.5316,41632.4162,127.4589,1020.1244,81.0769,125.5456,191.8435,37.6402,4018.8503,11.5890,3185.5398,1581.8821,197.0204,792.5098,266.6687,599.1471,991.1644,428.0697,1287.8617,9799.4400,263.5136,491659.8117,307.7865,283.7186,87.6195,
2009,7316.1517,1214.8049,487.2139,3185.3970,1005.8779,787.0373,1350.6488,3810.3063,868.1617,1552.6320,146.8563,2959.4764,704.0819,389.0177,456.4501,2241.0670,27934.1931,14040.5847,1384.2564,23140.6769,48155.4171,299.7372,2270.7352,172.7252,298.7721,395.4691,89.9209,3445.6870,16.5072,3838.6655,2243.9959,183.7704,1640.8627,378.9483,1407.5124,2304.0212,1009.8671,3017.2236,13840.2707,213.9584,477808.5031,246.4173,248.4216,77.5593,
2010,5235.5785,1072.7105,382.2246,2200.0013,678.3869,560.2319,959.0110,3093.4597,705.9295,1518.3945,135.9000,2563.2657,635.6742,379.3689,448.2676,2026.5486,3787.7296,3133.4069,915.8882,4691.2329,19944.1394,193.5399,1800.2728,142.7939,247.7962,330.4950,74.7204,2555.3999,12.7196,2684.4860,1646.4148,121.8288,1185.2820,321.1968,1038.5246,1798.4544,889.5112,2460.8647,2459.7231,153.6304,36226.7153,186.9560,160.0100,50.9847,
2011,9150.2105,3223.3281,885.4428,6136.3356,1214.7582,1301.0608,2213.7825,7273.1393,1634.0730,3278.1778,301.3864,5757.4816,1406.9648,777.6656,937.7453,4416.5865,17964.4914,12314.6411,1975.4846,18132.0896,52903.6211,418.8371,4386.8733,338.9260,511.4658,772.1696,157.7984,3960.5449,30.6556,5597.7272,3837.2358,204.7584,1821.8791,759.5259,2363.6703,4105.8292,1868.5720,5395.2033,10710.4144,277.2432,314693.3906,331.9977,289.2322,90.4554,
2012,7413.4307,3642.4407,668.2072,5688.7375,947.0822,934.7223,1587.4360,5040.7624,1142.8466,2546.5943,228.3360,4326.7624,813.3121,542.4640,658.7673,2855.0429,5642.7538,6948.7006,1906.2673,8708.2754,34659.8821,300.7993,3228.8122,239.0710,368.8106,546.3081,113.9842,3152.4673,25.2878,4659.6766,3013.1567,185.8796,1655.4729,556.5315,1683.4785,2870.5346,1318.4546,3798.3612,5456.6901,218.9631,52046.6169,258.5651,249.0670,79.0110,
2013,9372.4255,6458.5869,888.4579,10376.4208,916.1908,1367.9080,2314.0954,7669.3559,1709.7317,3488.7187,330.5812,5939.4892,1500.5230,818.7190,1006.2234,4649.4221,33082.4095,14760.4573,2390.0245,8995.2819,60016.5212,441.4706,4393.6679,345.1189,491.6835,770.5009,150.6602,3704.7991,32.4410,6288.1201,4248.5700,179.5961,1853.9264,802.2874,2434.2942,4204.1350,1884.3494,5432.2432,8304.4116,214.9964,229741.2918,257.7319,249.4177,75.0220,
2014,7959.3709,5855.0966,706.9091,7706.3205,1101.1066,1081.0067,1833.3056,6068.0662,1362.4353,2755.3338,261.8744,4769.0699,1289.1177,666.2530,814.7667,3863.4826,17691.0944,11645.9966,2053.8137,10214.9302,48695.6740,357.1436,3591.5119,275.4475,416.1279,625.0036,127.1730,3509.6989,26.1300,5209.8047,3381.8293,200.5059,1669.9585,647.8595,1943.9614,3357.0817,1555.7965,4423.4005,6997.5005,234.3921,192665.8040,275.1983,274.5536,85.0851,
2015,6348.5654,4204.3478,558.9005,4016.6028,780.8612,775.2363,1317.6453,4226.8452,956.6792,2076.8645,196.7032,3547.8525,926.4817,486.0547,591.2942,2734.3996,8697.7080,4882.0619,1143.5062,4161.2515,30388.2299,256.3084,2579.7659,211.1424,328.2811,482.3608,100.6969,2871.8060,18.3355,3899.9997,2542.0717,136.1636,1374.5101,495.5525,1425.6870,2509.2725,1157.6549,3322.2509,2771.1901,175.3765,108359.0034,212.0261,172.8921,55.5840,
2016,9199.3121,7177.6314,854.5715,9817.8263,1134.6556,1295.2562,2194.9949,7448.5492,1669.3386,3753.2218,336.1638,6092.3923,1661.7388,894.5693,1100.0609,4988.3711,35727.2852,11973.8557,2260.9320,11162.6608,55083.9105,425.1058,4256.8187,332.3558,489.8734,754.2442,151.0841,3935.7653,30.2658,5922.0724,3988.0607,210.7587,1833.0078,786.8330,2336.1847,4067.6901,1942.9329,5410.5638,8034.8665,259.5330,1411482.0206,317.0734,273.8875,86.8282,
2017,8565.1061,9161.4549,825.5699,11974.5772,972.8816,1183.3313,2006.5015,6938.8225,1553.0047,3725.2985,329.6841,6022.7106,1497.0572,842.3348,1037.4015,4587.1096,22055.9553,11023.5584,2401.9079,10481.2632,46188.6392,363.4578,4335.2189,320.1167,469.9639,722.6593,144.2966,3562.0741,30.5325,5792.1243,3892.0667,181.3002,1867.0768,754.1499,2146.4677,3771.7012,1832.9341,5039.9592,7676.2495,231.8149,319189.3522,283.9475,245.3772,77.1450,
2018,6876.9056,7624.8398,734.4883,10618.6963,876.1679,888.8613,1510.7961,6104.4859,1369.3857,2883.8065,250.1164,4938.5982,1361.7442,692.9228,848.1578,3907.9099,31600.9868,16241.3077,2194.9893,11671.2510,45585.8717,201.5356,3801.9558,268.0009,391.0324,605.0275,121.5804,2606.6879,29.8768,5359.6809,3649.8980,156.0885,1546.0002,620.4300,1625.7897,2851.4382,1436.8656,3870.8637,9220.8591,205.8345,665271.5104,245.4938,202.6062,64.0584,
