Year,Bayswater_Inflow,Bennet_Inflow,Canning_Inflow,Ellenbrook_Inflow,Helena_Inflow,Jane_Inflow,Susannah_Inflow,Upper_Swan_Inflow,
2007,313.70534,229.29405,18.12021,9495.00513,403.39118,246.16059,101.93627,3591.41705,
2008,761.41414,420.83070,1232.72072,6637.92893,245.48171,339.29022,299.08129,9763.99011,
2009,276.10382,213.04184,1261.31790,9696.01625,227.99059,0.00000,207.46106,9834.96071,
2010,192.28265,119.15852,305.02925,608.51625,12.17838,6.72562,6.74733,531.40495,
2011,325.75121,307.99364,1164.74803,4370.81548,206.66384,398.76720,74.43741,8275.77773,
2012,962.82145,135.91386,319.11329,854.03069,30.62679,182.62656,109.11935,755.35701,
2013,254.85237,232.78951,1368.75863,11413.46264,201.53467,270.84715,76.28813,3166.92777,
2014,360.34135,189.93018,981.60725,4036.44037,71.59141,224.00000,50.25564,3200.94724,
2015,260.63643,176.76423,551.45543,1278.38869,90.15778,6.12977,7.44418,3065.45779,
2016,989.56378,328.74099,1815.61587,9022.64807,176.06270,50.23473,58.74767,54662.97868,
2017,2576.10333,503.71841,1037.60157,10715.07080,306.99276,54.37243,136.50204,6248.68618,
2018,3104.19421,483.23188,1394.94052,13866.13582,200.50798,44.36054,76.06612,10053.78431,
