SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
616003,616003,Stream Gauging,Stream Gauging,AWRC,Helena River - Kalamunda Rd Bridge,Kalamunda Rd Bridge,16393 [WIN_ID]; 616003 [SITE_REF],,50,420339.00,6464179.00,-31.955569230,116.157048480,GDA94
616004,616004,Stream Gauging,Stream Gauging,AWRC,Swan River - Meadow Street Bridge,Meadow Street Bridge,16394 [WIN_ID]; 616004 [SITE_REF]; MEA [TEXT_REF],MEA,50,402829.00,6470800.00,-31.894479070,115.972448940,GDA94
616014,616014,Stream Gauging,Stream Gauging,AWRC,Piesse Brook - Furfaros Orchard,Furfaros Orchard,16404 [WIN_ID]; 616014 [SITE_REF]; HR03 [TEXT_REF],HR03,50,412589.00,6464499.00,-31.952111520,116.075077680,GDA94
616015,616015,Stream Gauging,Stream Gauging,AWRC,Poison Gully Creek - Littlefield Rd,Littlefield Rd,16405 [WIN_ID]; 616015 [SITE_REF],,50,406239.00,6464249.00,-31.953859570,116.007870240,GDA94
616018,616018,Stream Gauging,Stream Gauging,AWRC,Helena River - Craignish GS (HR02),Craignish GS (HR02),16408 [WIN_ID]; 616018 [SITE_REF]; HR02 [TEXT_REF],HR02,50,411965.00,6466315.00,-31.935681366,116.068640066,GDA94
616027,616027,Stream Gauging,Stream Gauging,AWRC,Canning River - Seaforth,Seaforth,16417 [WIN_ID]; 616027 [SITE_REF]; SWS12 [TEXT_REF]; UCANN01 [TEXT2],SWS12,50,407220.00,6448910.00,-32.092304541,116.016771762,GDA94
616028,616028,Stream Gauging,Stream Gauging,AWRC,Urban Catchment - Orangedale Rd,Orangedale Rd,16418 [WIN_ID]; 616028 [SITE_REF],,50,411339.00,6458549.00,-32.005687610,116.061306080,GDA94
616029,616029,Stream Gauging,Stream Gauging,AWRC,Stinton Creek - Moondyne Hollow,Moondyne Hollow,16419 [WIN_ID]; 616029 [SITE_REF],,50,415209.00,6445819.00,-32.120817360,116.101152600,GDA94
616031,616031,Stream Gauging,Stream Gauging,AWRC,Canning River - Araluen (Site No 2),Araluen (Site No 2),16421 [WIN_ID]; 616031 [SITE_REF],,50,415539.00,6445249.00,-32.125983890,116.104600330,GDA94
616038,616038,Stream Gauging,Stream Gauging,AWRC,Ballajura Drain - Emu Lake,Emu Lake,16428 [WIN_ID]; 616038 [SITE_REF],,50,394289.00,6477099.00,-31.836897760,115.882841210,GDA94
