Date,Depth (m),H (mAHD),Vx (m/s),Vy (m/s),D (m),Salinity (psu),Temperature (C),Water Age (days),Oxygen (mg/L),GRN (mmol/m^3),CRYPT (mmol/m^3),DIATOM (mmol/m^3),DINO (mmol/m^3),MAC (mmol/m^3),Sed Oxy Demand (mmol/m^3),Atmos Oxy Flux (mmol/m^3),Oxy Sat (%),Phy GPP (mmol/m^3),TPHYS (mmol/m^3),Phy MPB (mmol/m^3),Phy BPP (mmol/m^3),
08-03-2009 00:00:02,0,1.1646,-0.0634,-0.0131,2.2606,28.2070,28.5867,69.2159,6.0206,0.8974,57.8223,0.8510,3.3826,0.0000,0.0000,0.0000,91.2049,0.0000,63.1517,0.0000,0.0000,
08-03-2009 00:00:02,-2.26,1.1646,-0.0265,0.0002,2.2606,28.9641,28.9046,67.9538,4.8327,0.7244,44.1281,0.7671,3.0326,0.0000,-41.7852,0.3608,73.9020,-0.0079,48.8300,589.1560,0.0239,
09-03-2009 00:00:01,0,1.2680,-0.0665,-0.0125,2.3640,28.2724,28.7160,69.8645,6.0817,0.8081,50.6673,0.7472,3.2603,0.0000,0.0000,0.0000,92.3601,0.0000,55.6825,0.0000,0.0000,
09-03-2009 00:00:01,-2.36,1.2680,-0.0315,-0.0012,2.3640,29.1022,28.9719,68.2787,4.6290,0.6565,40.2089,0.6824,2.7698,0.0000,-41.2784,0.1855,70.9187,-0.0077,44.4975,588.2466,0.0257,
13-03-2009 00:00:02,0,0.9751,-0.0202,0.0011,2.0711,24.8074,26.1871,72.1166,8.5112,1.2412,96.8282,0.6660,3.6015,0.0000,0.0000,0.0000,121.4965,0.0000,102.5360,0.0000,0.0000,
13-03-2009 00:00:02,-2.07,0.9751,-0.0060,-0.0011,2.0711,30.1299,30.2295,68.0473,3.1198,0.4365,27.7075,0.4699,1.8627,0.0000,-37.9663,-7.7058,49.0565,-0.0043,30.6629,581.3057,0.0247,
26-03-2009 00:00:02,0,0.9075,-0.0229,-0.0026,2.0034,26.9200,26.4453,73.5124,5.6908,0.3654,29.8372,0.2249,1.1429,0.0000,0.0000,0.0000,82.5740,-0.0161,31.7704,0.0000,0.0000,
26-03-2009 00:00:02,-2.00,0.9075,-0.0128,-0.0009,2.0034,29.5021,29.0754,72.3931,3.2379,0.3040,27.2174,0.3148,1.3551,0.0000,-35.3933,0.3651,49.8004,-0.0069,29.3790,603.1690,0.0341,
27-03-2009 00:00:01,0,0.8153,-0.0190,-0.0015,1.9113,27.0132,26.8245,74.0198,5.5680,0.3471,29.1505,0.2212,1.0983,0.0000,0.0000,0.0000,81.3566,0.0000,31.0172,0.0000,0.0000,
27-03-2009 00:00:01,-1.91,0.8153,-0.0093,-0.0005,1.9113,29.2971,29.1619,73.0099,3.3385,0.2930,26.3332,0.3003,1.3217,0.0000,-36.1715,0.7698,51.3621,0.0000,28.4364,608.6035,0.0000,
28-03-2009 00:00:01,0,0.8079,-0.0044,0.0024,1.9039,27.2588,27.2149,74.7656,5.4952,0.3194,26.3739,0.2198,1.0350,0.0000,0.0000,0.0000,80.9359,-0.0042,28.1482,0.0000,0.0000,
28-03-2009 00:00:01,-1.90,0.8079,0.0060,0.0018,1.9039,29.2509,29.2805,73.5423,3.3629,0.2839,25.2599,0.2968,1.2427,0.0000,-36.6335,0.9202,51.8247,-0.0000,27.2718,613.4977,0.0103,
29-03-2009 00:00:02,0,0.6701,0.0010,0.0049,1.7661,27.4636,27.4578,75.3688,5.3942,0.3013,25.3732,0.2202,1.0112,0.0000,0.0000,0.0000,79.8643,-0.0154,27.1059,0.0000,0.0000,
29-03-2009 00:00:02,-1.77,0.6701,0.0233,-0.0008,1.7661,28.7523,29.0412,74.5286,4.0227,0.2807,24.4662,0.2708,1.0913,0.0000,-39.0910,16.4885,61.5803,-0.0074,26.2980,618.0009,0.0398,
31-03-2009 00:00:03,0,0.5958,0.0045,0.0056,1.6918,28.1957,26.2147,76.0860,4.9093,0.2845,26.6817,0.2418,1.0050,0.0000,0.0000,0.0000,71.4670,-0.0189,28.4130,0.0000,0.0000,
31-03-2009 00:00:03,-1.69,0.5958,0.0185,-0.0058,1.6918,28.4393,26.7316,76.0336,4.5673,0.2737,25.1618,0.2451,0.9873,0.0000,-34.5505,2.9199,67.1670,-0.0094,26.8568,610.8625,0.0445,
31-03-2009 00:00:03,0,0.5958,-0.0066,0.0063,1.6918,25.3300,23.9985,15.7793,5.6147,0.8680,3.4790,7.3808,0.5201,0.0000,0.0000,0.0000,77.3729,-0.0049,12.4479,0.0000,0.0000,
31-03-2009 00:00:03,-1.69,0.5958,0.0204,-0.0023,1.6918,28.0662,27.8535,15.8427,4.2240,0.6365,2.7187,5.5233,0.6624,0.0000,-36.4457,2.2920,63.1659,-0.0023,9.7085,360.6908,0.0476,
05-04-2009 00:00:01,0,0.8531,-0.0422,-0.0054,1.9490,27.8256,24.6161,20.8017,4.6478,0.6954,4.0288,5.7656,0.6327,0.0000,0.0000,0.0000,65.6805,-0.0030,11.3226,0.0000,0.0000,
05-04-2009 00:00:01,-1.95,0.8531,-0.0199,-0.0011,1.9490,28.2352,25.1008,20.8081,4.1820,0.6035,3.3779,5.1161,0.6358,0.0000,-29.3607,24.8194,59.7383,-0.0009,9.9030,451.0733,0.0273,
06-04-2009 00:00:03,0,0.9503,-0.0530,-0.0075,2.0462,28.1229,24.2601,21.8194,4.8126,0.6478,3.8447,5.4551,0.6061,0.0000,0.0000,0.0000,67.7018,-0.0038,10.7537,0.0000,0.0000,
06-04-2009 00:00:03,-2.05,0.9503,-0.0298,-0.0011,2.0462,28.3518,24.6226,21.8193,4.4518,0.5956,3.4607,5.0791,0.6113,0.0000,-29.0632,21.0427,63.1069,-0.0019,9.9166,467.8799,0.0360,
07-04-2009 00:00:00,0,1.0072,-0.0518,-0.0086,2.1032,28.2461,24.0141,22.8226,4.9676,0.6277,3.8734,5.3202,0.5878,0.0000,0.0000,0.0000,69.6288,-0.0038,10.6090,0.0000,0.0000,
07-04-2009 00:00:00,-2.10,1.0072,-0.0266,-0.0007,2.1032,28.5910,24.4189,22.8240,4.4547,0.5479,3.2688,4.7445,0.6015,0.0000,-28.6189,7.2753,63.0095,-0.0018,9.3346,483.6744,0.0358,
09-04-2009 00:00:00,0,0.9984,-0.0222,-0.0045,2.0944,27.9825,23.3144,24.7778,5.1580,0.6490,4.4542,5.4503,0.5028,0.0000,0.0000,0.0000,71.2992,-0.0064,11.2563,0.0000,0.0000,
09-04-2009 00:00:00,-2.09,0.9984,-0.0056,0.0014,2.0944,29.2118,24.4823,24.8052,4.4887,0.4684,3.0172,4.1486,0.5949,0.0000,-28.8503,0.2131,63.7871,-0.0027,8.4046,509.9123,0.0605,
13-04-2009 00:00:01,0,0.7878,-0.0471,0.0067,1.8838,27.5755,23.8454,28.5029,5.4961,0.6673,6.1316,5.2615,0.5526,0.0000,0.0000,0.0000,76.5123,-0.0065,12.8128,0.0000,0.0000,
13-04-2009 00:00:01,-1.88,0.7878,0.0278,-0.0003,1.8838,30.3167,24.8704,28.6936,4.0626,0.4283,3.2875,4.0798,0.5914,0.0000,-28.4819,33.2421,58.4908,-0.0025,8.5628,550.3227,0.0528,
14-04-2009 00:00:04,0,0.7921,-0.0069,0.0054,1.8880,27.6787,21.1367,29.3968,5.4066,0.6345,6.1226,4.8702,0.5886,0.0000,0.0000,0.0000,71.7147,0.0000,12.4158,0.0000,0.0000,
14-04-2009 00:00:04,-1.89,0.7921,0.0210,-0.0002,1.8880,30.0529,24.4264,29.6309,3.4874,0.4186,3.4717,3.7301,0.5349,0.0000,-25.6604,4.6431,49.7489,0.0000,8.3330,530.4995,0.0000,
15-04-2009 00:00:01,0,0.8066,-0.0242,0.0012,1.9025,27.9226,21.2422,30.3947,5.1425,0.6263,6.2815,4.8938,0.5633,0.0000,0.0000,0.0000,68.4420,0.0000,12.5651,0.0000,0.0000,
15-04-2009 00:00:01,-1.90,0.8066,0.0189,-0.0000,1.9025,30.1485,24.1266,30.5531,3.5439,0.4212,3.7658,3.6736,0.5423,0.0000,-25.2678,17.3692,50.3183,0.0000,8.5808,530.6423,0.0026,
17-04-2009 00:00:03,0,0.7980,-0.0123,0.0032,1.8939,28.4991,21.6830,32.3640,4.7371,0.6543,7.4471,5.3723,0.5291,0.0000,0.0000,0.0000,63.7723,-0.0057,14.2028,0.0000,0.0000,
17-04-2009 00:00:03,-1.89,0.7980,0.0097,-0.0018,1.8939,30.0026,23.7001,32.3195,3.5848,0.4808,5.1733,4.0259,0.5998,0.0000,-24.5847,1.0925,50.4757,-0.0026,10.4550,547.9006,0.0428,
20-04-2009 00:00:04,0,0.9496,-0.0259,-0.0033,2.0455,28.7128,21.1272,35.1401,4.4228,0.6724,8.9923,5.3618,0.5348,0.0000,0.0000,0.0000,59.0111,-0.0029,15.7608,0.0000,0.0000,
20-04-2009 00:00:04,-2.05,0.9496,-0.0060,-0.0009,2.0455,30.1948,23.0351,34.9636,3.0861,0.4795,6.0195,3.9797,0.5660,0.0000,-21.7041,0.5190,42.9927,-0.0010,11.2199,546.4354,0.0191,
22-04-2009 00:00:04,0,0.9608,-0.0372,-0.0117,2.0567,28.4495,21.0874,36.9411,4.8200,0.7089,10.5795,5.5965,0.4619,0.0000,0.0000,0.0000,64.1643,-0.0134,17.5463,0.0000,0.0000,
22-04-2009 00:00:04,-2.06,0.9608,-0.0179,-0.0001,2.0567,30.3322,23.4100,36.7399,3.0649,0.5050,6.9584,4.3424,0.5801,0.0000,-22.2609,6.5855,43.0162,-0.0061,12.5589,557.4585,0.0793,
23-04-2009 00:00:03,0,0.7526,-0.0292,-0.0021,1.8486,28.4595,20.4581,37.8356,4.7411,0.7065,11.2540,5.4751,0.5528,0.0000,0.0000,0.0000,62.3866,0.0000,18.1885,0.0000,0.0000,
