Date,Depth (m),H (mAHD),Vx (m/s),Vy (m/s),D (m),Salinity (psu),Temperature (C),Water Age (days),Oxygen (mg/L),GRN (mmol/m^3),CRYPT (mmol/m^3),DIATOM (mmol/m^3),DINO (mmol/m^3),MAC (mmol/m^3),Sed Oxy Demand (mmol/m^3),Atmos Oxy Flux (mmol/m^3),Oxy Sat (%),Phy GPP (mmol/m^3),TPHYS (mmol/m^3),Phy MPB (mmol/m^3),Phy BPP (mmol/m^3),
08-03-2009 12:00:01,0,0.8421,0.0133,-0.0076,1.6614,28.7077,23.4224,102.3459,4.1033,0.2134,47.4626,0.5307,0.2257,0.0000,0.0000,0.0000,57.0666,-22.0627,48.6288,0.0000,0.0000,
08-03-2009 12:00:01,-1.66,0.8421,0.0119,-0.0015,1.6614,28.6719,23.3060,102.4394,4.1034,0.2130,47.6284,0.5234,0.2296,0.0000,-36.2316,29.1743,56.9384,-20.1506,48.7794,677.9615,109.9462,
09-03-2009 12:00:02,0,0.9129,0.0206,0.0035,1.7322,28.8732,23.8947,102.2893,3.7627,0.2136,46.3413,0.5413,0.2288,0.0000,0.0000,0.0000,52.8190,-22.0387,47.5216,0.0000,0.0000,
09-03-2009 12:00:02,-1.73,0.9129,0.0087,0.0061,1.7322,28.8389,23.7813,102.3818,3.7665,0.2131,46.5019,0.5337,0.2323,0.0000,-36.1641,18.3721,52.7565,-20.1666,47.6663,676.5195,111.6898,
13-03-2009 12:00:04,0,0.9807,0.0190,0.0130,1.8000,28.9737,23.9430,103.4382,3.1812,0.2170,47.3623,0.5126,0.2568,0.0000,0.0000,0.0000,44.7196,-23.8758,48.5452,0.0000,0.0000,
13-03-2009 12:00:04,-1.80,0.9807,0.0104,0.0051,1.8000,28.9481,23.8324,103.5454,3.1873,0.2163,47.5152,0.5060,0.2603,0.0000,-33.5094,33.5555,44.7117,-21.4886,48.6834,665.5701,112.8172,
26-03-2009 12:00:03,0,0.8479,0.0230,0.0176,1.6673,28.4124,21.9887,108.0716,3.5727,0.2312,52.1252,0.4103,0.4231,0.0000,0.0000,0.0000,48.3418,-22.7642,53.3839,0.0000,0.0000,
26-03-2009 12:00:03,-1.67,0.8479,0.0089,0.0085,1.6673,28.4207,21.8917,108.2318,3.5644,0.2293,52.2577,0.4040,0.4294,0.0000,-30.4757,21.9406,48.1457,-20.2519,53.5076,645.3544,101.8536,
27-03-2009 12:00:01,0,0.9362,0.0217,0.0159,1.7555,28.9068,23.0992,107.5304,3.3722,0.2296,50.1881,0.4459,0.4097,0.0000,0.0000,0.0000,46.6839,-22.3467,51.4677,0.0000,0.0000,
27-03-2009 12:00:01,-1.76,0.9362,0.0087,-0.0087,1.7555,29.0002,23.0870,107.5479,3.3515,0.2273,50.0718,0.4447,0.4154,0.0000,-32.4376,30.3129,46.4120,-19.8204,51.3468,646.5204,106.8519,
28-03-2009 12:00:03,0,1.0011,0.0306,0.0344,1.8205,28.9426,23.5210,107.2044,3.4479,0.2354,49.1337,0.4574,0.4278,0.0000,0.0000,0.0000,48.1009,-23.0693,50.4514,0.0000,0.0000,
28-03-2009 12:00:03,-1.82,1.0011,0.0078,-0.0149,1.8205,29.2674,23.5300,107.7290,3.4128,0.2252,49.0192,0.4541,0.4001,0.0000,-33.8597,35.1536,47.7083,-19.3937,50.2862,647.6158,108.7634,
29-03-2009 12:00:01,0,0.9475,0.0149,0.0238,1.7668,29.0670,22.9645,108.8152,3.6492,0.2251,49.9221,0.4227,0.4035,0.0000,0.0000,0.0000,50.4436,-28.7196,51.1678,0.0000,0.0000,
29-03-2009 12:00:01,-1.77,0.9475,0.0099,-0.0154,1.7668,29.2639,23.0549,108.6605,3.6009,0.2221,49.2900,0.4285,0.3971,0.0000,-33.4905,55.7538,49.9134,-25.7117,50.5190,647.1009,102.0039,
31-03-2009 12:00:00,0,0.9019,0.0100,-0.0154,1.7213,29.2106,20.9554,109.9885,3.5555,0.2200,51.2157,0.4079,0.4065,0.0000,0.0000,0.0000,47.4269,-26.7567,52.4441,0.0000,0.0000,
