ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
01/01/2007 00:00,0.0000,1.1390,23.3868,1.0000,0.0000,4.3635,0.4848,212.0999,125.5581,1.0021,1.4736,5.3833,0.5383,237.1245,566.2490,20.2078,117.0756,8.6413,10.8016,2134.1203,47.1516,2.1603,56.6249,1.9553,1.3035,1.3035,1.9553,6.5177,0.9838
02/01/2007 00:00,0.0000,1.1385,23.3280,1.0000,0.0000,4.3796,0.4866,212.4139,125.5581,1.0082,1.4733,5.3676,0.5368,236.6780,565.3560,20.2002,118.3655,8.7849,10.9811,2130.1020,47.1338,2.1962,56.5356,2.2041,1.4694,1.4694,2.2041,7.3470,1.1090
03/01/2007 00:00,0.0000,1.1381,23.2692,1.0000,0.0000,4.3957,0.4884,212.7278,125.5581,1.0142,1.4731,5.3519,0.5352,236.2315,564.4630,20.1925,119.6555,8.9285,11.1606,2126.0837,47.1159,2.2321,56.4463,2.4529,1.6353,1.6353,2.4529,8.1763,1.2342
04/01/2007 00:00,0.0000,1.1376,23.2104,1.0000,0.0000,4.4117,0.4902,213.0417,125.5581,1.0203,1.4728,5.3362,0.5336,235.7850,563.5701,20.1849,120.9454,9.0721,11.3401,2122.0653,47.0981,2.2680,56.3570,2.7017,1.8011,1.8011,2.7017,9.0056,1.3593
05/01/2007 00:00,0.0000,1.1371,23.1516,1.0000,0.0000,4.4278,0.4920,213.3557,125.5581,1.0264,1.4726,5.3205,0.5321,235.3386,562.6771,20.1772,122.2354,9.2157,11.5196,2118.0470,47.0802,2.3039,56.2677,2.9505,1.9670,1.9670,2.9505,9.8349,1.4845
06/01/2007 00:00,0.0000,1.1366,23.0928,1.0000,0.0000,4.4439,0.4938,213.6696,125.5581,1.0324,1.4723,5.3048,0.5305,234.8921,561.7841,20.1696,123.5253,9.3593,11.6992,2114.0286,47.0623,2.3398,56.1784,3.1993,2.1328,2.1328,3.1993,10.6642,1.6097
07/01/2007 00:00,0.0000,1.1361,23.0340,1.0000,0.0000,4.4600,0.4956,213.9835,125.5581,1.0385,1.4721,5.2891,0.5289,234.4456,560.8912,20.1619,124.8153,9.5029,11.8787,2110.0103,47.0445,2.3757,56.0891,3.4481,2.2987,2.2987,3.4481,11.4936,1.7349
08/01/2007 00:00,0.0000,1.1357,22.9752,1.0000,0.0000,4.4760,0.4973,214.2974,125.5581,1.0445,1.4718,5.2734,0.5273,233.9991,559.9982,20.1543,126.1052,9.6466,12.0582,2105.9919,47.0266,2.4116,55.9998,3.6969,2.4646,2.4646,3.6969,12.3229,1.8601
09/01/2007 00:00,0.0000,1.1352,22.9164,1.0000,0.0000,4.4921,0.4991,214.6114,125.5581,1.0506,1.4715,5.2577,0.5258,233.5526,559.1052,20.1466,127.3952,9.7902,12.2377,2101.9736,47.0088,2.4475,55.9105,3.9456,2.6304,2.6304,3.9456,13.1522,1.9852
10/01/2007 00:00,0.0000,1.1347,22.8576,1.0000,0.0000,4.5082,0.5009,214.9253,125.5581,1.0567,1.4713,5.2420,0.5242,233.1061,558.2123,20.1390,128.6852,9.9338,12.4172,2097.9552,46.9909,2.4834,55.8212,3.8613,2.5742,2.5742,3.8613,12.8710,1.9428
11/01/2007 00:00,0.0000,1.1342,22.7988,1.0000,0.0000,4.5243,0.5027,215.2392,125.5581,1.0627,1.4710,5.2263,0.5226,232.6597,557.3193,20.1313,129.9751,10.0774,12.5967,2093.9369,46.9731,2.5193,55.7319,3.5363,2.3575,2.3575,3.5363,11.7875,1.7792
12/01/2007 00:00,0.0000,1.1338,22.7400,1.0000,0.0000,4.5403,0.5045,215.5532,125.5581,1.0688,1.4708,5.2106,0.5211,232.2132,556.4263,20.1237,131.2651,10.2210,12.7763,2089.9186,46.9552,2.5553,55.6426,3.2112,2.1408,2.1408,3.2112,10.7041,1.6157
13/01/2007 00:00,0.0000,1.1333,22.6812,1.0000,0.0000,4.5564,0.5063,215.8671,125.5581,1.0748,1.4705,5.1949,0.5195,231.7667,555.5334,20.1160,132.5550,10.3646,12.9558,2085.9002,46.9373,2.5912,55.5533,2.8862,1.9241,1.9241,2.8862,9.6206,1.4522
14/01/2007 00:00,0.0000,1.1328,22.6224,1.0000,0.0000,4.5725,0.5081,216.1810,125.5581,1.0809,1.4703,5.1792,0.5179,231.3202,554.6404,20.1083,133.8450,10.5082,13.1353,2081.8819,46.9195,2.6271,55.4640,2.5611,1.7074,1.7074,2.5611,8.5371,1.2886
15/01/2007 00:00,0.0000,1.1323,22.5636,1.0000,0.0000,4.5885,0.5098,216.4950,125.5581,1.0870,1.4700,5.1635,0.5164,230.8737,553.7475,20.1007,135.1349,10.6518,13.3148,2077.8635,46.9016,2.6630,55.3747,2.2361,1.4907,1.4907,2.2361,7.4537,1.1251
