ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24,WQ_25
1,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
2,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
3,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
4,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
5,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
6,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
7,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
8,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
9,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
10,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
11,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
12,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
13,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
14,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
15,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
16,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
17,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
18,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
19,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
20,1.2300,0.0000,0.0000,29.3769,21.8259,0.0000,0.0000,2.0360,0.8726,232.2903,79.2683,3.0744,1.6171,0.2903,0.0290,503.0489,171.7622,18.4583,59.3198,0.4183,0.5228,754.5734,43.0694,0.1046,8.5881,1.2840,0.9630,2.5681,17.6556,9.6303,0.1938
