ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24,WQ_25
1,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
2,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
3,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
4,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
5,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
6,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
7,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
8,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
9,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
10,0.7300,0.0000,0.0000,26.8320,18.9522,0.0000,0.0000,2.1795,0.9341,246.2459,25.6149,0.9448,1.3006,0.4833,0.0483,162.8812,86.7203,5.5228,14.2124,-0.0220,-0.0275,244.3218,12.8864,-0.0055,4.3360,0.1856,0.1392,0.3713,2.5525,1.3923,0.0280
