Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,6.9144,24.4270,1.0000,0.0000,15.0000,282.8125,18.1495,2.5286,1.5143,0.1613,2333.3333,279.3333,114.2857,24.5286,2.4145,2.7850,142.8571,2.5919
-0.5000,6.9490,24.3490,1.0000,0.0000,15.0000,276.5625,18.6833,2.5714,1.5357,0.1613,2333.3333,279.3333,114.2857,24.4643,2.3831,5.0125,142.8571,2.5605
-1.0000,6.9520,24.3440,1.0000,0.0000,15.0000,269.3750,19.5730,2.6429,1.5714,0.1613,2333.3333,279.3333,114.2857,24.3571,2.3306,8.7250,142.8571,2.5081
-1.5000,6.9897,24.1010,1.0000,0.0000,15.0000,245.9375,20.4626,2.7143,1.6071,0.1613,2333.3333,279.3333,114.2857,24.2500,2.2782,12.4375,142.8571,2.4556
-2.0000,6.9959,24.0200,1.0000,0.0000,15.0000,225.0000,21.3523,2.7857,1.6429,0.1613,2333.3333,279.3333,114.2857,24.1429,2.2258,16.1500,142.8571,2.4032
-2.5000,7.0014,24.0040,1.0000,0.0000,15.0000,221.2500,22.2420,2.8571,1.6786,0.1613,2333.3333,279.3333,114.2857,24.0357,2.1734,19.8625,142.8571,2.3508
-3.0000,7.0045,24.0030,1.0000,0.0000,15.0000,222.5000,23.1317,2.9286,1.7143,0.1613,2333.3333,279.3333,114.2857,23.9286,2.1210,23.5750,142.8571,2.2984
-3.5000,7.0076,24.0000,1.0000,0.0000,15.0000,225.0000,24.0214,3.0000,1.7500,0.1613,2333.3333,279.3333,114.2857,23.8214,2.0685,27.2875,142.8571,2.2460
-4.0000,7.0131,23.9960,1.0000,0.0000,15.0000,225.9375,24.9110,3.0714,1.7857,0.1613,2333.3333,279.3333,114.2857,23.7143,2.0161,31.0000,142.8571,2.1935
-4.3000,7.0156,23.9960,1.0000,0.0000,15.0000,225.0000,21.3523,2.7857,1.6429,0.1613,2333.3333,279.3333,114.2857,24.1429,2.2258,16.1500,142.8571,2.4032
