station_id,name,latitude,longitude,station_owner,start_date,end_date
MP,Manypeaks,-34.76794444,118.2245556,Department of Agriculture and Food,4/05/1993,
RA,Ravensthorpe,-33.435863,119.730175,Department of Agriculture and Food,16/12/1999,
SG,Salmon Gums,-32.997093,121.622136,Department of Agriculture and Food,29/04/1994,
WE,Wellstead,-34.49166667,118.6191667,Department of Agriculture and Food,18/09/1996,
DB,Donnybrook,-33.550086,115.820249,Department of Agriculture and Food,14/02/2007,
EW,Wickepin East,-32.743018,117.863876,Department of Agriculture and Food,2/10/2005,
FL,Floreat Park,-31.951181,115.792334,Department of Agriculture and Food,7/09/1998,
KA,Katanning,-33.683085,117.611931,Department of Agriculture and Food,19/05/2004,
MD,Medina,-32.220729,115.807593,Department of Agriculture and Food,26/09/1995,
MY,Myalup,-33.095181,115.718887,Department of Agriculture and Food,14/03/2007,
PM,Pemberton,-34.40913889,115.9105,Department of Agriculture and Food,15/02/2007,
SP,South Perth,-31.991043,115.886068,Department of Agriculture and Food,27/04/2001,
VA,Vasse,-33.752861,115.359807,Department of Agriculture and Food,28/08/1990,
WI,Wickepin,-32.892121,117.767422,Department of Agriculture and Food,8/12/1997,
WN,Wanneroo,-31.583153,115.694155,Department of Agriculture and Food,1/03/2006,
NB001,Narembeen,-32.10805,118.40635,Department of Agriculture and Food,29/03/2012,
CO001,Corrigin,-32.34565,117.8078,Department of Agriculture and Food,17/04/2012,
WR,Waroona,-32.856145,115.894339,Harvey Water,3/01/2010,
FR,Frankland,-34.36490058,116.9806311,Department of Agriculture and Food,13/08/2009,
DA,Dardanup,-33.33677,115.783505,Harvey Water,15/03/2010,
HV,Harvey,-33.062245,115.854561,Harvey Water,15/03/2010,
ST,Styles Tower,-33.912288,115.89987,Department of Parks and Wildlife DPaW,22/05/2012,
ES001,Erangy Springs,-28.84754,115.27215,Department of Agriculture and Food,20/06/2012,
ROGR,Rolling Green,-31.69527,116.3184,Department of Parks and Wildlife,12/02/2014,
PO001,Popanyinning,-32.65273683,117.088849,Department of Agriculture and Food,2/07/2012,
CA,Carnarvon 1,-24.858472,113.7168817,Department of Agriculture and Food,29/12/2001,
BU,Mount Buraminya,-33.30968,123.07455,Department of Agriculture and Food,24/11/1994,
EN001,Eneabba,-29.77764,115.31929,Department of Agriculture and Food,14/06/2012,
LK,Lake King,-33.025421,119.800027,Department of Agriculture and Food,1/01/1989,
MO,Morawa,-29.220353,115.997377,Department of Agriculture and Food,10/04/1991,
QA001,Qualeup,-33.8821,116.84215,Department of Agriculture and Food,9/07/2012,
MI,Mingenew,-29.28453,115.391097,Department of Agriculture and Food,21/07/1993,
MZ,Moora,-30.659595,116.00015,Department of Agriculture and Food,0020-12-17,
SB001,Burracoppin South,-31.58752,118.6972,Department of Agriculture and Food,5/06/2012,
SC,Scaddan,-33.428789,121.584967,Department of Agriculture and Food,8/10/1997,
LA001,Latham,-29.7974,116.5539,Department of Agriculture and Food,22/06/2012,
NA001,Narrogin,-32.92622,117.07455,Department of Agriculture and Food,3/07/2012,
