Sites: BLA,,Summer,Autumn,Winter,Spring
,,Thalassiosira (WQ_PHY_MDIAT) 16.92%,Skeletonema costatum (WQ_PHY_MDIAT) 61.81%,Skeletonema costatum (WQ_PHY_MDIAT) 85.38%,Skeletonema costatum (WQ_PHY_MDIAT) 57.58%)
,,Chlamydomonas  (WQ_PHY_GRN) 11.10%,Chaetoceros (chains ) (WQ_PHY_MDIAT) 13.62%,Cyclotella (WQ_PHY_MDIAT) 4.38%,Chaetoceros (chains ) (WQ_PHY_MDIAT) 15.58%)
,,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 9.10%,Chaetoceros curvateus (WQ_PHY_MDIAT) 7.14%,Plagioselmis  (Other) 3.22%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 8.10%)
,,Gymnodinium (small) (WQ_PHY_DINO) 8.69%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 4.78%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.40%,Gymnodinium (small) (WQ_PHY_DINO) 6.11%)
,,Chaetoceros (single ) (WQ_PHY_MDIAT) 7.01%,Plagioselmis  (Other) 2.61%,small cryptophytes  (Other) 1.20%,Cyclotella (WQ_PHY_MDIAT) 2.78%)
,,Skeletonema costatum (WQ_PHY_MDIAT) 6.73%,Gymnodinium (small) (WQ_PHY_DINO) 1.82%,Gymnodinium (small) (WQ_PHY_DINO) 1.01%,small cryptophytes  (Other) 2.11%)
,,Heterocapsa (<10um) (WQ_PHY_DINO) 4.34%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.18%,Heterocapsa (<10um) (WQ_PHY_DINO) 0.51%,Plagioselmis  (Other) 1.65%)
,,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 3.94%,passive chlorophyte (<3um) (WQ_PHY_GRN) 1.04%,Pyramimonas  (WQ_PHY_GRN) 0.37%,Chaetoceros (single ) (WQ_PHY_MDIAT) 1.33%)
,,Thalassionema (WQ_PHY_MDIAT) 3.67%,Naviculoid (>10um) (WQ_PHY_FDIAT) 0.79%,Heterocapsa (>10um) (WQ_PHY_DINO) 0.32%,Gymnodinium (Medium) (WQ_PHY_DINO) 0.96%)
,,Katodinium (small) (WQ_PHY_DINO) 3.41%,small cryptophytes  (Other) 0.69%,Apedinella spinifera (Other) 0.31%,Ankistrodesmus  (WQ_PHY_GRN) 0.83%)


Sites: ARM,,Summer,Autumn,Winter,Spring
,,Thalassionema (WQ_PHY_MDIAT) 17.54%,Skeletonema costatum (WQ_PHY_MDIAT) 64.62%,Skeletonema costatum (WQ_PHY_MDIAT) 71.95%,Skeletonema costatum (WQ_PHY_MDIAT) 48.99%)
,,Gymnodinium (small) (WQ_PHY_DINO) 11.97%,Chaetoceros (chains ) (WQ_PHY_MDIAT) 11.11%,Cyclotella (WQ_PHY_MDIAT) 7.78%,Chaetoceros (chains ) (WQ_PHY_MDIAT) 17.77%)
,,Chlamydomonas  (WQ_PHY_GRN) 9.82%,Gymnodinium (small) (WQ_PHY_DINO) 2.69%,Plagioselmis  (Other) 5.75%,others (Hetero/Gymno - shrunk) (WQ_PHY_DINO) 9.54%)
,,Skeletonema costatum (WQ_PHY_MDIAT) 8.52%,Prorocentrum dentatum (WQ_PHY_DINO) 2.50%,Pyramimonas  (WQ_PHY_GRN) 2.62%,Gymnodinium (small) (WQ_PHY_DINO) 5.46%)
,,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 6.96%,Chaetoceros curvateus (WQ_PHY_MDIAT) 2.46%,Heterocapsa (<10um) (WQ_PHY_DINO) 2.60%,Cyclotella (WQ_PHY_MDIAT) 5.14%)
,,Chaetoceros (single ) (WQ_PHY_MDIAT) 6.05%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 2.22%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.96%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 2.73%)
,,Thalassiosira (WQ_PHY_MDIAT) 5.60%,others (Hetero/Gymno - shrunk) (WQ_PHY_DINO) 2.14%,Gymnodinium (small) (WQ_PHY_DINO) 1.77%,Plagioselmis  (Other) 2.25%)
,,Prorocentrum dentatum (WQ_PHY_DINO) 5.19%,Plagioselmis  (Other) 1.96%,small cryptophytes  (Other) 0.89%,small cryptophytes  (Other) 2.00%)
,,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 4.28%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.45%,Scrippsiella  trochoidea (WQ_PHY_DINO) 0.61%,Ankistrodesmus  (WQ_PHY_GRN) 1.09%)
,,Ceratium furca (WQ_PHY_DINO) 2.56%,Heterocapsa (<10um) (WQ_PHY_DINO) 1.10%,Apedinella spinifera (Other) 0.59%,Gymnodinium (Medium) (WQ_PHY_DINO) 0.65%)


Sites: NAR,,Summer,Autumn,Winter,Spring
,,Skeletonema costatum (WQ_PHY_MDIAT) 84.90%,Prorocentrum dentatum (WQ_PHY_DINO) 59.56%,Skeletonema costatum (WQ_PHY_MDIAT) 33.61%,Gymnodinium (small) (WQ_PHY_DINO) 35.12%)
,,Gymnodinium (small) (WQ_PHY_DINO) 2.48%,Gymnodinium (small) (WQ_PHY_DINO) 7.56%,small cryptophytes  (Other) 17.91%,Skeletonema costatum (WQ_PHY_MDIAT) 28.81%)
