BLA	15/12/2008	12	2008	Grab	S	0.557	NaN     3.5	49450	97.1	32380	32.38	22.75	8.01	0.0013	0.23	0.01	0.29	0.3	0.018	0.029	0.005	0.43	120	1
BLA	15/12/2008	12	2008	Insitu	B	15.662	16.7	NaN	53340	97.3	35250	35.25	22.1	8.1     NaN	0.14	0.014	0.18	0.19	0.026	0.022	0.005	0.19	NaN	NaN
BLA	22/12/2008	12	2008	Grab	S	0.512	NaN     2.7	49560	99.2	32470	32.47	22.08	8.09	0.0042	0.19	0.038	0.3	0.33	0.01	0.035	0.005	0.67	130	5
BLA	22/12/2008	12	2008	Grab	B	15.700	16.2	NaN	53650	91.2	35480	35.48	22.19	8.13	NaN	0.12	0.015	0.15	0.17	0.021	0.025	0.005	0.3	NaN	NaN
BLA	29/12/2008	12	2008	Grab	S	0.519	NaN	3.2	50340	97.2	33030	33.03	22.76	7.98	0.003	0.23	0.015	0.38	0.39	0.026	0.034	0.005	0.7	130	2
BLA	29/12/2008	12	2008	Grab	B	15.500	16	NaN	54130	93.6	35830	35.83	22.33	8.04	NaN	0.21	0.01	0.21	0.22	0.01	0.02	0.005	0.2	NaN	NaN
BLA	05/01/2009	01	2009	Grab	S	0.570	NaN	4.9	51230	104.5	33650	33.65	24.57	8.37	0.004	0.19	0.01	0.33	0.33	0.01	0.036	0.005	0.58	120	1
BLA	05/01/2009	01	2009	Grab	B	14.500	15	NaN	51230	104.5	35600	35.6	24.57	8.37	NaN	0.14	0.01	0.21	0.22	0.01	0.025	0.005	0.24	NaN	NaN
BLA	12/01/2009	01	2009	Grab	S	0.524	NaN	3	52070	98.5	34250	34.25	25.21	7.99	0.0021	0.28	0.01	0.32	0.32	0.01	0.029	0.007	0.57	130	1
BLA	12/01/2009	01	2009	Grab	B	15.500	16	NaN	53500	97.5	35310	35.31	25.08	8.02	NaN	0.2	0.01	0.26	0.26	0.01	0.026	0.005	0.44	NaN	NaN
BLA	19/01/2009	01	2009	Grab	S	0.512	NaN	4	52690	101.9	34740	34.74	24.19	7.98	0.0019	0.22	0.01	0.24	0.24	0.01	0.026	0.005	0.74	130	9
BLA	19/01/2009	01	2009	Grab	B	16.500	17	NaN	54360	86.7	35970	35.97	24.31	8.07	NaN	0.15	0.01	0.18	0.19	0.014	0.016	0.005	0.32	NaN	NaN
BLA	27/01/2009	01	2009	Grab	S	0.584	NaN	2.9	53240	96.7	35140	35.14	24.51	8.09	0.0019	0.17	0.013	0.29	0.31	0.01	0.024	0.005	0.62	120	8
BLA	27/01/2009	01	2009	Grab	B	16.500	17	NaN	54270	87.9	35900	35.9	24.57	8.11	NaN	0.12	0.01	0.14	0.14	0.011	0.02	0.005	0.33	NaN	NaN
BLA	02/02/2009	02	2009	Grab	S	0.500	NaN	3.3	53620	109.7	35380	35.38	26.11	8.14	0.0019	0.17	0.01	0.22	0.22	0.01	0.022	0.005	0.61	130	2
BLA	02/02/2009	02	2009	Grab	B	15.000	15.5	NaN	54530	82.1	36090	36.09	24.66	8.05	NaN	0.1	0.01	0.16	0.17	0.032	0.019	0.005	0.48	NaN	NaN
BLA	09/02/2009	02	2009	Grab	S	0.553	NaN	2.7	53560	100.6	35400	35.4	23.63	8.1	0.0023	0.16	0.01	0.21	0.22	0.01	0.026	0.005	0.75	130	5
BLA	09/02/2009	02	2009	Grab	B	15.500	16	NaN	54120	97.1	35810	35.81	23.47	8.11	NaN	0.15	0.01	0.19	0.19	0.01	0.021	0.005	0.57	NaN	NaN
BLA	16/02/2009	02	2009	Grab	S	0.534	NaN	3	54010	65.2	35730	35.73	23.75	8.11	0.003	0.15	0.01	0.26	0.26	0.01	0.026	0.005	0.86	130	3
BLA	16/02/2009	02	2009	Grab	B	16.000	16.8	NaN	54630	55.4	36190	36.19	23.59	8.1	NaN	0.11	0.015	0.14	0.15	0.023	0.019	0.005	0.5	NaN	NaN
BLA	23/02/2009	02	2009	Grab	S	0.506	NaN	NaN	53440	96.5	35310	35.31	23.37	7.99	0.0022	0.16	0.051	0.2	0.25	0.01	0.03	0.005	0.95	130	5
BLA	23/02/2009	02	2009	Grab	B	16.000	17	NaN	54270	92.4	35930	35.93	23.31	8.01	NaN	0.14	0.01	0.18	0.18	0.01	0.022	0.005	0.8	NaN	NaN
BLA	02/03/2009	03	2009	Grab	S	0.538	NaN	2.7	54430	96.7	36060	36.06	22.6	8.08	0.0028	0.21	0.01	0.23	0.23	0.01	0.023	0.005	0.75	130	2
BLA	02/03/2009	03	2009	Grab	B	15.500	16	NaN	54450	94.2	36070	36.07	22.59	8.07	NaN	0.19	0.01	0.21	0.22	0.01	0.022	0.005	0.76	NaN	NaN
BLA	09/03/2009	03	2009	Grab	S	0.499	NaN	3.1	54080	104.2	35800	35.8	22.41	8.01	0.0008	0.19	0.048	0.24	0.28	0.013	0.021	0.005	0.65	130	1
BLA	09/03/2009	03	2009	Grab	B	15.500	16	NaN	54600	97.8	36190	36.19	22.32	8.05	NaN	0.12	0.01	0.18	0.18	0.012	0.016	0.005	0.39	NaN	NaN
BLA	16/03/2009	03	2009	Grab	S	0.505	NaN	2.4	54270	97	35940	35.94	22.51	8	0.0015	0.23	0.01	0.26	0.27	0.01	0.024	0.007	0.47	130	1
BLA	16/03/2009	03	2009	Grab	B	16.500	16.5	NaN	54590	85.9	36170	36.17	22.51	8	NaN	0.19	0.01	0.22	0.23	0.01	0.018	0.007	0.32	NaN	NaN
BLA	23/03/2009	03	2009	Grab	S	0.503	NaN	3	54470	95.8	36100	36.1	21.96	8.02	0.0023	0.21	0.012	0.25	0.26	0.01	0.026	0.005	0.14	130	1
BLA	23/03/2009	03	2009	Grab	B	16.000	16.5	NaN	54760	93.8	36310	36.31	22.02	8.04	NaN	0.17	0.01	0.2	0.2	0.011	0.025	0.005	0.16	NaN	NaN
BLA	30/03/2009	03	2009	Grab	S	0.534	NaN	3	54390	90.7	36040	36.04	21.86	7.94	0.0017	0.21	0.012	0.3	0.31	0.01	0.025	0.021	0.16	130	2
BLA	30/03/2009	03	2009	Grab	B	16.000	16.5	NaN	54710	83.9	36270	36.27	21.82	7.99	NaN	0.18	0.018	0.21	0.23	0.018	0.023	0.018	0.16	NaN	NaN
BLA	06/04/2009	04	2009	Grab	S	0.591	NaN	3.5	54360	99.9	36030	36.03	20.55	8.07	0.0021	0.19	0.017	0.28	0.3	0.01	0.021	0.005	0.27	130	2
BLA	06/04/2009	04	2009	Grab	B	16.000	16.5	NaN	54590	96.3	36200	36.2	20.47	8.08	NaN	0.16	0.01	0.18	0.19	0.01	0.019	0.005	0.24	NaN	NaN
BLA	14/04/2009	04	2009	Grab	S	0.000	NaN	4	54510	91.4	36140	36.14	20.66	7.94	0.0005	0.13	0.022	0.15	0.17	0.02	0.019	0.009	0.2	120	1
BLA	14/04/2009	04	2009	Grab	B	16.500	16.8	NaN	54630	90.3	36220	36.22	20.66	7.97	NaN	0.12	0.015	0.15	0.17	0.021	0.02	0.01	0.22	NaN	NaN
BLA	20/04/2009	04	2009	Grab	S	0.530	NaN	3.2	54630	89.5	36230	36.23	20.66	7.95	0.0018	0.16	0.01	0.2	0.21	0.016	0.022	0.008	0.28	120	2
BLA	20/04/2009	04	2009	Grab	B	16.000	16.5	NaN	54730	86.7	36300	36.3	20.59	7.95	NaN	0.14	0.01	0.18	0.19	0.033	0.023	0.011	0.37	NaN	NaN
BLA	27/04/2009	04	2009	Grab	S	0.510	NaN	3	54640	89.3	36240	36.24	20.15	7.99	0.0005	0.025	0.019	0.14	0.16	0.13	0.018	0.018	0.28	130	7
BLA	27/04/2009	04	2009	Grab	B	15.500	16	NaN	54660	87	36250	36.25	20.15	7.98	NaN	0.09	0.017	0.22	0.24	0.054	0.02	0.019	0.31	NaN	NaN
BLA	04/05/2009	05	2009	Grab	S	0.504	NaN	3.5	54820	94.9	36380	36.38	19.43	7.87	0.0017	0.16	0.022	0.19	0.21	0.01	0.019	0.009	0.38	120	3
BLA	04/05/2009	05	2009	Grab	B	15.500	16	NaN	54940	89.9	36460	36.46	19.41	7.91	NaN	0.17	0.028	0.27	0.3	0.016	0.02	0.011	0.4	NaN	NaN
BLA	11/05/2009	05	2009	Grab	S	0.000	NaN	5.5	54440	80.4	36090	36.09	19.4	8	0.0011	0.031	0.016	0.055	0.071	0.012	0.013	0.009	0.15	120	2
BLA	11/05/2009	05	2009	Grab	B	17.000	17.5	NaN	54480	72.8	36120	36.12	19.26	7.98	NaN	0.055	0.018	0.083	0.1	0.016	0.014	0.01	0.18	NaN	NaN
BLA	18/05/2009	05	2009	Grab	S	0.502	NaN	4.2	56370	88.3	37530	37.53	18.46	7.99	0.0013	0.11	0.011	0.13	0.14	0.01	0.017	0.008	0.15	140	4
BLA	18/05/2009	05	2009	Grab	B	15.500	16	NaN	56670	87.7	37750	37.75	18.48	8	NaN	0.18	0.011	0.2	0.21	0.013	0.025	0.009	0.3	NaN	NaN
BLA	25/05/2009	05	2009	Grab	S	0.507	NaN	3.3	54240	90.5	35930	35.93	17.5	7.95	0.0006	0.14	0.013	0.19	0.2	0.018	0.019	0.005	0.26	130	2
BLA	25/05/2009	05	2009	Grab	B	16.500	17	NaN	54150	53.9	35860	35.86	17.48	7.89	NaN	0.11	0.014	0.15	0.17	0.018	0.019	0.006	0.29	NaN	NaN
BLA	02/06/2009	06	2009	Grab	S	0.536	NaN	6	53610	94.1	35450	35.45	16.89	7.9	0.0016	0.15	0.039	0.16	0.2	0.01	0.02	0.011	0.4	130	2
BLA	02/06/2009	06	2009	Grab	B	16.000	16.5	NaN	54140	82.1	35830	35.83	16.54	7.9	NaN	0.16	0.01	0.2	0.21	0.032	0.023	0.011	0.61	NaN	NaN
BLA	08/06/2009	06	2009	Grab	S	0.509	NaN	4.5	53990	97.1	35740	35.74	17.13	8.05	0.0005	0.15	0.019	0.17	0.19	0.014	0.019	0.005	0.24	120	1
BLA	08/06/2009	06	2009	Grab	B	15.500	16	NaN	53980	93.2	35730	35.73	17.02	8	NaN	0.13	0.028	0.16	0.18	0.016	0.019	0.006	0.29	NaN	NaN
