Zone1
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,323.0323,573.8342,433.8230,9125.8877,3557.2435,7894.2038,68885.3808,83295.2246,14137.4246,10016.0410,4575.1046,1075.1270,581.4547,3654.1498,1263.4186,484.5917,993.5741,6153.8486,95448.0240,89092.0253,56503.7597,10745.6890,3853.4054,793.0915,325.8835,292.4640,1150.9258,1678.4410,1835.1533,3022.2720,11427.1603,7979.3251,4343.6131,1145.9318,499.0723,474.0941,409.1645,236.8051,259.3210,451.1203,964.4227,2931.9408,22932.8323,76731.2870,23408.0237,11633.8982,7073.6544,2869.3440,2217.1190,775.7165,290.6842,884.0016,818.6832,9592.2144,5342.2330,10508.7283,10129.9248,2537.5334,1801.7424,2798.9539,844.8192,209.5459,1140.5059,756.7430,2835.5098,2419.4333,10947.1046,44405.6947,92303.7293,16621.4938,1910.9866,487.0022,285.1027,219.7498,327.6288,616.2653,5956.7616,13717.5206,49413.8880,27384.4454,25662.2861,7428.5251,1915.4362,640.1290,294.9264,669.1680,693.6624,933.4310,1371.9370,2199.4848,4592.7043,34344.4579,8904.4963,1788.7997,839.2118,504.4032,780.1402,1621.7107,5340.9629,8526.9715,15761.2608,20006.7494,70607.6179,71850.7066,37644.2208,13178.8253,2028.8275,747.1440,961.5283,249271.2317,30816.6768,2535.6413,3519.4954,4006.5494,20255.5555,115284.8333,32441.0573,12429.5386,2242.4947,1194.5923,8763.3101,1411.8710,1159.1165,705.8362,
Capped_44,Upstream + Local,323.0323,573.8342,433.8230,9125.8877,3557.2435,7894.2038,68885.3808,83295.2246,14137.4246,10016.0410,4575.1046,1075.1270,581.4547,3654.1498,1263.4186,484.5917,993.5741,6153.8486,95448.0240,89092.0253,56503.7597,10745.6890,3853.4054,793.0915,325.8835,292.4640,1150.9258,1678.4410,1835.1533,3022.2720,11427.1603,7979.3251,4343.6131,1145.9318,499.0723,474.0941,409.1645,236.8051,259.3210,451.1203,964.4227,2931.9408,22932.8323,76731.2870,23408.0237,11633.8982,7073.6544,2869.3440,2217.1190,775.7165,290.6842,884.0016,818.6832,9592.2144,5342.2330,10508.7283,10129.9248,2537.5334,1801.7424,2798.9539,844.8192,209.5459,1140.5059,756.7430,2835.5098,2419.4333,10947.1046,44405.6947,92303.7293,16621.4938,1910.9866,487.0022,285.1027,219.7498,327.6288,616.2653,5956.7616,13717.5206,49413.8880,27384.4454,25662.2861,7428.5251,1915.4362,640.1290,294.9264,669.1680,693.6624,933.4310,1371.9370,2199.4848,4592.7043,34344.4579,8904.4963,1788.7997,839.2118,504.4032,780.1402,1621.7107,5340.9629,8526.9715,15761.2608,20006.7494,70607.6179,71850.7066,37644.2208,13178.8253,2028.8275,747.1440,961.5283,249271.2317,30816.6768,2535.6413,3519.4954,4006.5494,20255.5555,115284.8333,32441.0573,12429.5386,2242.4947,1194.5923,8763.3101,1411.8710,1159.1165,705.8362,
Dry_44,Local,95.0400,237.8074,207.9302,643.5504,748.4400,1741.5648,9469.2672,6318.2765,1927.0310,1130.3366,569.1600,296.5248,788.7888,210.1162,183.6000,172.1261,491.2013,2877.9494,10155.0758,15625.5696,11202.1229,1996.6522,532.5869,164.7734,100.9152,95.4634,615.2458,256.6339,826.2691,775.7683,2219.0458,1713.5971,942.0883,259.7962,170.8214,232.1654,241.7040,74.1139,94.2106,174.6835,571.6483,1303.6810,4255.7789,9619.8019,5510.1686,1749.6864,761.4000,1741.0637,277.6723,254.0419,84.9830,365.4720,454.9133,3032.9338,731.5402,2124.3946,2218.8816,301.0435,450.7315,369.3773,199.3766,43.7530,727.2720,181.0944,1197.4522,465.8861,2534.2330,9331.2259,19718.6486,3729.9053,336.2774,146.3702,90.4781,61.5168,128.9174,282.5107,1626.9120,1975.2163,3852.8266,3224.4739,3789.4781,804.5222,342.1872,135.0173,92.1197,242.5594,364.9968,388.9555,699.1315,839.9376,1434.5338,4452.9437,1340.6774,284.0918,178.7789,329.2099,1318.4208,105.4426,1188.6048,1433.8080,1828.8029,1976.5469,5150.4941,8818.7530,6178.5850,1731.8621,290.8310,361.0915,2943.0778,24589.3277,1724.9933,259.9862,720.1786,695.4077,2559.6173,13931.1533,4320.6394,1050.2352,218.6438,413.3894,2902.5043,157.1702,124.5197,231.2410,
Dry_44,Upstream + Local,95.0400,237.8074,207.9302,643.5504,748.4400,1741.5648,9469.2672,6318.2765,1927.0310,1130.3366,569.1600,296.5248,788.7888,210.1162,183.6000,172.1261,491.2013,2877.9494,10155.0758,15625.5696,11202.1229,1996.6522,532.5869,164.7734,100.9152,95.4634,615.2458,256.6339,826.2691,775.7683,2219.0458,1713.5971,942.0883,259.7962,170.8214,232.1654,241.7040,74.1139,94.2106,174.6835,571.6483,1303.6810,4255.7789,9619.8019,5510.1686,1749.6864,761.4000,1741.0637,277.6723,254.0419,84.9830,365.4720,454.9133,3032.9338,731.5402,2124.3946,2218.8816,301.0435,450.7315,369.3773,199.3766,43.7530,727.2720,181.0944,1197.4522,465.8861,2534.2330,9331.2259,19718.6486,3729.9053,336.2774,146.3702,90.4781,61.5168,128.9174,282.5107,1626.9120,1975.2163,3852.8266,3224.4739,3789.4781,804.5222,342.1872,135.0173,92.1197,242.5594,364.9968,388.9555,699.1315,839.9376,1434.5338,4452.9437,1340.6774,284.0918,178.7789,329.2099,1318.4208,105.4426,1188.6048,1433.8080,1828.8029,1976.5469,5150.4941,8818.7530,6178.5850,1731.8621,290.8310,361.0915,2943.0778,24589.3277,1724.9933,259.9862,720.1786,695.4077,2559.6173,13931.1533,4320.6394,1050.2352,218.6438,413.3894,2902.5043,157.1702,124.5197,231.2410,
Flow_Catch,Local,323.0323,573.8342,433.8230,9125.8877,3557.2435,7894.2038,68885.3808,83295.2246,14137.4246,10016.0410,4575.1046,1075.1270,581.4547,3654.1498,1263.4186,484.5917,993.5741,6153.8486,95448.0240,89092.0253,56503.7597,10745.6890,3853.4054,793.0915,325.8835,292.4640,1150.9258,1678.4410,1835.1533,3022.2720,11427.1603,7979.3251,4343.6131,1145.9318,499.0723,474.0941,409.1645,236.8051,259.3210,451.1203,964.4227,2931.9408,22932.8323,76731.2870,23408.0237,11633.8982,7073.6544,2869.3440,2217.1190,775.7165,290.6842,884.0016,818.6832,9592.2144,5342.2330,10508.7283,10129.9248,2537.5334,1801.7424,2798.9539,844.8192,209.5459,1140.5059,756.7430,2835.5098,2419.4333,10947.1046,44405.6947,92303.7293,16621.4938,1910.9866,487.0022,285.1027,219.7498,327.6288,616.2653,5956.7616,13717.5206,49413.8880,27384.4454,25662.2861,7428.5251,1915.4362,640.1290,294.9264,669.1680,693.6624,933.4310,1371.9370,2199.4848,4592.7043,34344.4579,8904.4963,1788.7997,839.2118,504.4032,780.1402,1621.7107,5340.9629,8526.9715,15761.2608,20006.7494,70607.6179,71850.7066,37644.2208,13178.8253,2028.8275,747.1440,961.5283,249271.2317,30816.6768,2535.6413,3519.4954,4006.5494,20255.5555,115284.8333,32441.0573,12429.5386,2242.4947,1194.5923,8763.3101,1411.8710,1159.1165,705.8362,
Flow_Catch,Upstream + Local,323.0323,573.8342,433.8230,9125.8877,3557.2435,7894.2038,68885.3808,83295.2246,14137.4246,10016.0410,4575.1046,1075.1270,581.4547,3654.1498,1263.4186,484.5917,993.5741,6153.8486,95448.0240,89092.0253,56503.7597,10745.6890,3853.4054,793.0915,325.8835,292.4640,1150.9258,1678.4410,1835.1533,3022.2720,11427.1603,7979.3251,4343.6131,1145.9318,499.0723,474.0941,409.1645,236.8051,259.3210,451.1203,964.4227,2931.9408,22932.8323,76731.2870,23408.0237,11633.8982,7073.6544,2869.3440,2217.1190,775.7165,290.6842,884.0016,818.6832,9592.2144,5342.2330,10508.7283,10129.9248,2537.5334,1801.7424,2798.9539,844.8192,209.5459,1140.5059,756.7430,2835.5098,2419.4333,10947.1046,44405.6947,92303.7293,16621.4938,1910.9866,487.0022,285.1027,219.7498,327.6288,616.2653,5956.7616,13717.5206,49413.8880,27384.4454,25662.2861,7428.5251,1915.4362,640.1290,294.9264,669.1680,693.6624,933.4310,1371.9370,2199.4848,4592.7043,34344.4579,8904.4963,1788.7997,839.2118,504.4032,780.1402,1621.7107,5340.9629,8526.9715,15761.2608,20006.7494,70607.6179,71850.7066,37644.2208,13178.8253,2028.8275,747.1440,961.5283,249271.2317,30816.6768,2535.6413,3519.4954,4006.5494,20255.5555,115284.8333,32441.0573,12429.5386,2242.4947,1194.5923,8763.3101,1411.8710,1159.1165,705.8362,
Targets_44,Local,323.0323,573.8342,433.8230,9125.8877,3557.2435,7894.2038,68885.3808,83295.2246,14137.4246,10016.0410,4575.1046,1075.1270,581.4547,3654.1498,1263.4186,484.5917,993.5741,6153.8486,95448.0240,89092.0253,56503.7597,10745.6890,3853.4054,793.0915,325.8835,292.4640,1150.9258,1678.4410,1835.1533,3022.2720,11427.1603,7979.3251,4343.6131,1145.9318,499.0723,474.0941,409.1645,236.8051,259.3210,451.1203,964.4227,2931.9408,22932.8323,76731.2870,23408.0237,11633.8982,7073.6544,2869.3440,2217.1190,775.7165,290.6842,884.0016,818.6832,9592.2144,5342.2330,10508.7283,10129.9248,2537.5334,1801.7424,2798.9539,844.8192,209.5459,1140.5059,756.7430,2835.5098,2419.4333,10947.1046,44405.6947,92303.7293,16621.4938,1910.9866,487.0022,285.1027,219.7498,327.6288,616.2653,5956.7616,13717.5206,49413.8880,27384.4454,25662.2861,7428.5251,1915.4362,640.1290,294.9264,669.1680,693.6624,933.4310,1371.9370,2199.4848,4592.7043,34344.4579,8904.4963,1788.7997,839.2118,504.4032,780.1402,1621.7107,5340.9629,8526.9715,15761.2608,20006.7494,70607.6179,71850.7066,37644.2208,13178.8253,2028.8275,747.1440,961.5283,249271.2317,30816.6768,2535.6413,3519.4954,4006.5494,20255.5555,115284.8333,32441.0573,12429.5386,2242.4947,1194.5923,8763.3101,1411.8710,1159.1165,705.8362,
Targets_44,Upstream + Local,323.0323,573.8342,433.8230,9125.8877,3557.2435,7894.2038,68885.3808,83295.2246,14137.4246,10016.0410,4575.1046,1075.1270,581.4547,3654.1498,1263.4186,484.5917,993.5741,6153.8486,95448.0240,89092.0253,56503.7597,10745.6890,3853.4054,793.0915,325.8835,292.4640,1150.9258,1678.4410,1835.1533,3022.2720,11427.1603,7979.3251,4343.6131,1145.9318,499.0723,474.0941,409.1645,236.8051,259.3210,451.1203,964.4227,2931.9408,22932.8323,76731.2870,23408.0237,11633.8982,7073.6544,2869.3440,2217.1190,775.7165,290.6842,884.0016,818.6832,9592.2144,5342.2330,10508.7283,10129.9248,2537.5334,1801.7424,2798.9539,844.8192,209.5459,1140.5059,756.7430,2835.5098,2419.4333,10947.1046,44405.6947,92303.7293,16621.4938,1910.9866,487.0022,285.1027,219.7498,327.6288,616.2653,5956.7616,13717.5206,49413.8880,27384.4454,25662.2861,7428.5251,1915.4362,640.1290,294.9264,669.1680,693.6624,933.4310,1371.9370,2199.4848,4592.7043,34344.4579,8904.4963,1788.7997,839.2118,504.4032,780.1402,1621.7107,5340.9629,8526.9715,15761.2608,20006.7494,70607.6179,71850.7066,37644.2208,13178.8253,2028.8275,747.1440,961.5283,249271.2317,30816.6768,2535.6413,3519.4954,4006.5494,20255.5555,115284.8333,32441.0573,12429.5386,2242.4947,1194.5923,8763.3101,1411.8710,1159.1165,705.8362,
Wet_44,Local,322.4880,1218.6115,360.4608,1518.4368,2937.0384,8508.1968,119211.9379,102781.2931,11924.1590,6211.2787,3217.4237,1377.5011,451.9584,398.6928,391.5216,414.6077,1316.2435,8410.0896,139763.5776,81068.8003,42280.7126,9501.5290,4332.5798,649.1491,318.4877,276.9120,897.6269,537.1920,2282.3856,2246.5296,20995.5283,10398.1450,3758.8147,679.6138,453.3754,509.9328,407.2032,264.2285,227.6640,363.6749,1247.5037,3680.0266,44186.0659,70949.6410,18235.8518,8652.1997,7118.8157,6006.7872,650.3414,2213.2310,302.8406,715.0810,2127.1075,13723.1194,6119.7466,9385.8480,5686.7530,1058.5555,3772.1722,2599.1626,1113.2208,172.7050,988.4506,437.6765,7157.7907,5886.8294,29731.4582,56914.7731,55059.7910,12495.1334,848.8627,362.6035,245.3501,177.6211,248.0803,495.7546,9088.6320,26711.7610,68612.6938,26642.1398,16081.2778,4732.0675,1509.9869,591.6413,276.8861,1050.2698,518.8493,799.7443,3393.5760,3577.1674,8138.3962,45774.6854,6888.9139,820.9814,785.9117,2274.8515,5671.5984,685.6877,2262.6432,3900.2602,12838.8845,20902.9421,97617.4330,51419.1197,22877.8992,6615.2506,904.8326,988.8912,1266.5894,573035.1869,16352.6861,779.3712,3004.9661,3266.3088,29554.8134,77534.6861,14423.1235,4275.7373,840.2659,994.4899,19893.7814,679.6397,395.0726,526.5043,
Wet_44,Upstream + Local,322.4880,1218.6115,360.4608,1518.4368,2937.0384,8508.1968,119211.9379,102781.2931,11924.1590,6211.2787,3217.4237,1377.5011,451.9584,398.6928,391.5216,414.6077,1316.2435,8410.0896,139763.5776,81068.8003,42280.7126,9501.5290,4332.5798,649.1491,318.4877,276.9120,897.6269,537.1920,2282.3856,2246.5296,20995.5283,10398.1450,3758.8147,679.6138,453.3754,509.9328,407.2032,264.2285,227.6640,363.6749,1247.5037,3680.0266,44186.0659,70949.6410,18235.8518,8652.1997,7118.8157,6006.7872,650.3414,2213.2310,302.8406,715.0810,2127.1075,13723.1194,6119.7466,9385.8480,5686.7530,1058.5555,3772.1722,2599.1626,1113.2208,172.7050,988.4506,437.6765,7157.7907,5886.8294,29731.4582,56914.7731,55059.7910,12495.1334,848.8627,362.6035,245.3501,177.6211,248.0803,495.7546,9088.6320,26711.7610,68612.6938,26642.1398,16081.2778,4732.0675,1509.9869,591.6413,276.8861,1050.2698,518.8493,799.7443,3393.5760,3577.1674,8138.3962,45774.6854,6888.9139,820.9814,785.9117,2274.8515,5671.5984,685.6877,2262.6432,3900.2602,12838.8845,20902.9421,97617.4330,51419.1197,22877.8992,6615.2506,904.8326,988.8912,1266.5894,573035.1869,16352.6861,779.3712,3004.9661,3266.3088,29554.8134,77534.6861,14423.1235,4275.7373,840.2659,994.4899,19893.7814,679.6397,395.0726,526.5043,
