Zone1
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,315.9014,374.2844,333.1263,16088.3420,4782.1897,9711.4943,215705.9450,209046.2732,16745.2360,12015.6468,5443.4185,934.1411,1132.2834,11533.6952,2536.2004,438.1979,790.6099,7016.6009,232805.7231,163880.7597,69184.2360,10515.7261,3700.4060,779.1701,313.4020,285.1875,3463.1942,4850.2900,1867.6289,4861.3651,16899.3283,8060.5389,3510.4564,1009.5685,414.0128,344.2917,294.9344,206.2803,231.0525,312.0718,559.6046,4333.4234,54642.8878,198684.0955,30191.8056,15071.7568,10808.8223,3433.9159,4047.5166,703.3426,280.9197,538.7246,565.2173,16009.5274,6503.0133,12434.4427,11474.6301,2472.9662,1434.7592,5319.7026,1259.4463,232.3953,822.8839,1083.6586,4665.8405,4217.6276,14836.5409,77556.5760,120331.6870,19769.9455,2220.1064,526.1204,269.9622,214.0169,276.3322,424.9938,12645.3510,24409.6713,80769.2469,41115.4436,30509.2040,8352.4369,2089.0180,692.2639,273.6798,421.1255,462.5427,584.0966,932.0333,1879.6480,4691.2602,59754.7339,11771.8123,2001.0124,850.0032,383.6605,788.9115,6391.6126,25410.5504,24836.6616,29117.0880,29720.1635,145439.4416,104763.1767,48859.1163,13436.9011,2455.8075,729.6692,544.4292,928685.4047,101097.4253,5208.3545,4840.3816,4722.0765,23722.7860,207566.6678,44043.6274,14278.0835,2644.6799,1173.7286,19792.7743,2961.2171,2477.2699,671.4371,
Capped_44,Total,315.9014,374.2844,333.1263,16088.3420,4782.1897,9711.4943,215705.9450,209046.2732,16745.2360,12015.6468,5443.4185,934.1411,1132.2834,11533.6952,2536.2004,438.1979,790.6099,7016.6009,232805.7231,163880.7597,69184.2360,10515.7261,3700.4060,779.1701,313.4020,285.1875,3463.1942,4850.2900,1867.6289,4861.3651,16899.3283,8060.5389,3510.4564,1009.5685,414.0128,344.2917,294.9344,206.2803,231.0525,312.0718,559.6046,4333.4234,54642.8878,198684.0955,30191.8056,15071.7568,10808.8223,3433.9159,4047.5166,703.3426,280.9197,538.7246,565.2173,16009.5274,6503.0133,12434.4427,11474.6301,2472.9662,1434.7592,5319.7026,1259.4463,232.3953,822.8839,1083.6586,4665.8405,4217.6276,14836.5409,77556.5760,120331.6870,19769.9455,2220.1064,526.1204,269.9622,214.0169,276.3322,424.9938,12645.3510,24409.6713,80769.2469,41115.4436,30509.2040,8352.4369,2089.0180,692.2639,273.6798,421.1255,462.5427,584.0966,932.0333,1879.6480,4691.2602,59754.7339,11771.8123,2001.0124,850.0032,383.6605,788.9115,6391.6126,25410.5504,24836.6616,29117.0880,29720.1635,145439.4416,104763.1767,48859.1163,13436.9011,2455.8075,729.6692,544.4292,928685.4047,101097.4253,5208.3545,4840.3816,4722.0765,23722.7860,207566.6678,44043.6274,14278.0835,2644.6799,1173.7286,19792.7743,2961.2171,2477.2699,671.4371,
Dry_44,Local,137.6694,238.3959,236.3054,637.5952,764.9417,1637.0444,10777.2395,6292.4206,1671.9370,1037.9406,566.2384,338.5365,1367.0230,249.0274,216.2616,220.9705,537.9454,3106.9326,12340.9704,18411.7019,11558.4773,1767.4453,549.7526,222.4387,145.2784,141.7345,706.7067,317.0231,860.5445,825.0284,2177.2325,1600.0009,924.0248,323.4972,217.4803,249.4714,245.2890,93.3287,119.5266,193.5436,576.1168,1277.1328,4065.0214,10635.7188,5384.2473,1494.2121,697.5954,1381.6046,277.5545,258.0473,124.3681,389.3836,501.4299,2902.0582,724.6776,1919.7259,2035.1546,338.8936,433.1676,353.0857,193.7812,61.0204,690.0794,223.3336,1094.2850,482.4977,2263.4656,9220.8672,23204.6427,3209.0417,331.2852,183.0798,123.3963,87.7879,150.3784,305.9780,1540.3797,1993.5233,3383.8411,3036.4482,3481.2339,753.9083,375.2847,189.4618,119.7720,243.7635,345.9990,425.1626,743.0452,855.2606,1373.7867,4306.2467,1233.8853,338.4634,225.8989,313.0350,1356.2211,121.3635,979.0516,1157.9053,1679.6949,1723.0846,4728.9816,8216.5575,5391.5875,1457.7907,316.8692,364.8349,5883.4887,57884.9821,1574.6181,296.3619,724.7883,713.7758,2204.1977,15407.3014,3726.7979,940.8549,265.3029,422.6304,3493.3708,199.6724,177.1658,293.5821,
Dry_44,Total,137.6694,238.3959,236.3054,637.5952,764.9417,1637.0444,10777.2395,6292.4206,1671.9370,1037.9406,566.2384,338.5365,1367.0230,249.0274,216.2616,220.9705,537.9454,3106.9326,12340.9704,18411.7019,11558.4773,1767.4453,549.7526,222.4387,145.2784,141.7345,706.7067,317.0231,860.5445,825.0284,2177.2325,1600.0009,924.0248,323.4972,217.4803,249.4714,245.2890,93.3287,119.5266,193.5436,576.1168,1277.1328,4065.0214,10635.7188,5384.2473,1494.2121,697.5954,1381.6046,277.5545,258.0473,124.3681,389.3836,501.4299,2902.0582,724.6776,1919.7259,2035.1546,338.8936,433.1676,353.0857,193.7812,61.0204,690.0794,223.3336,1094.2850,482.4977,2263.4656,9220.8672,23204.6427,3209.0417,331.2852,183.0798,123.3963,87.7879,150.3784,305.9780,1540.3797,1993.5233,3383.8411,3036.4482,3481.2339,753.9083,375.2847,189.4618,119.7720,243.7635,345.9990,425.1626,743.0452,855.2606,1373.7867,4306.2467,1233.8853,338.4634,225.8989,313.0350,1356.2211,121.3635,979.0516,1157.9053,1679.6949,1723.0846,4728.9816,8216.5575,5391.5875,1457.7907,316.8692,364.8349,5883.4887,57884.9821,1574.6181,296.3619,724.7883,713.7758,2204.1977,15407.3014,3726.7979,940.8549,265.3029,422.6304,3493.3708,199.6724,177.1658,293.5821,
Flow_Catch,Local,507.7732,713.0541,606.9694,17046.4490,5589.3884,11137.1559,235526.9062,217761.5444,18012.1392,13120.0620,6232.0839,1361.6119,1332.3969,11734.6468,2806.5540,742.2389,1388.1392,8378.1389,237044.2770,183489.6765,83485.6199,11432.6184,4517.2703,1113.6309,547.2091,501.8450,3853.2595,5272.7423,2822.3771,5668.7504,18548.7009,9146.2458,4373.2666,1425.9525,717.7562,629.0166,529.3025,342.1779,389.6160,569.5697,1154.7464,5480.1955,56354.1118,200504.8288,31959.6583,16164.3913,11496.7043,4162.2842,4336.3263,1114.6541,480.8739,1102.6314,1136.0486,17706.9576,7220.9479,13711.4982,12584.8490,2888.6159,2117.9913,5720.0913,1459.0272,336.8671,1488.3180,1370.4021,5614.9252,4673.8328,16152.8730,84143.1506,159381.1315,20920.7408,2594.5824,781.6945,457.3816,356.1828,480.1160,830.1314,14150.9416,25921.6171,82921.3519,43904.8941,34665.5420,9179.6247,2661.1285,988.0793,465.3093,832.1213,884.1834,1209.3856,1797.3293,2783.7961,5996.6132,61189.2379,12754.8923,2472.4018,1198.1662,674.4734,1128.0022,6546.4473,26105.2637,25566.5997,30231.7229,30912.4982,157103.6452,128307.0402,54544.9210,15990.2827,2904.5036,1085.9403,1172.5612,929951.6113,101577.9460,5551.9261,5627.4271,5462.4956,25669.2874,234260.2633,47430.6997,15260.3984,3034.2934,1683.0628,20897.6536,3195.2058,2732.3360,1060.7204,
Flow_Catch,Total,507.7732,713.0541,606.9694,17046.4490,5589.3884,11137.1559,235526.9062,217761.5444,18012.1392,13120.0620,6232.0839,1361.6119,1332.3969,11734.6468,2806.5540,742.2389,1388.1392,8378.1389,237044.2770,183489.6765,83485.6199,11432.6184,4517.2703,1113.6309,547.2091,501.8450,3853.2595,5272.7423,2822.3771,5668.7504,18548.7009,9146.2458,4373.2666,1425.9525,717.7562,629.0166,529.3025,342.1779,389.6160,569.5697,1154.7464,5480.1955,56354.1118,200504.8288,31959.6583,16164.3913,11496.7043,4162.2842,4336.3263,1114.6541,480.8739,1102.6314,1136.0486,17706.9576,7220.9479,13711.4982,12584.8490,2888.6159,2117.9913,5720.0913,1459.0272,336.8671,1488.3180,1370.4021,5614.9252,4673.8328,16152.8730,84143.1506,159381.1315,20920.7408,2594.5824,781.6945,457.3816,356.1828,480.1160,830.1314,14150.9416,25921.6171,82921.3519,43904.8941,34665.5420,9179.6247,2661.1285,988.0793,465.3093,832.1213,884.1834,1209.3856,1797.3293,2783.7961,5996.6132,61189.2379,12754.8923,2472.4018,1198.1662,674.4734,1128.0022,6546.4473,26105.2637,25566.5997,30231.7229,30912.4982,157103.6452,128307.0402,54544.9210,15990.2827,2904.5036,1085.9403,1172.5612,929951.6113,101577.9460,5551.9261,5627.4271,5462.4956,25669.2874,234260.2633,47430.6997,15260.3984,3034.2934,1683.0628,20897.6536,3195.2058,2732.3360,1060.7204,
Targets_44,Local,397.1098,494.5536,435.0138,16367.3458,5022.4949,10155.2315,217763.2622,210235.6824,17158.4265,12348.7010,5714.7067,1094.0598,1216.6577,11615.3391,2639.0774,547.3204,973.6512,7379.1144,233572.2005,166570.9421,71565.8035,10789.2840,3952.1018,899.2543,406.0479,369.9329,3595.8680,4989.7579,2130.8746,5088.2473,17363.4777,8382.0234,3774.0244,1158.6982,526.3308,452.4970,389.1779,266.7131,302.0012,409.4191,745.5910,4643.3659,55136.4661,199247.8516,30870.4875,15415.5006,11042.2755,3651.7323,4162.3311,838.3452,364.0577,716.7034,747.4315,16515.6606,6755.2195,12889.9652,11883.9547,2638.9010,1670.5823,5460.1069,1342.5914,282.5488,1012.4586,1189.1720,4951.7373,4378.5603,15249.8287,78558.2092,124194.6774,20177.0157,2364.8961,629.4386,349.8781,277.4009,359.1585,559.2921,13020.5815,24795.9133,81361.8043,41715.6357,31252.2368,8630.5351,2282.9783,803.6973,354.5949,555.9701,599.9935,779.8700,1154.6133,2144.3814,5055.7748,60143.3246,12060.8628,2164.9485,976.4546,492.4993,905.1181,6458.9042,25579.6563,25048.7243,29421.9445,30035.8830,146646.5461,106988.5030,49717.9469,13881.9604,2611.5155,856.2770,727.2616,928986.4038,101253.8893,5326.1336,5079.6406,4942.9257,24307.4403,209950.6997,44701.4252,14584.8461,2782.5271,1342.5936,20075.0323,3051.3475,2575.3918,804.1521,
Targets_44,Total,397.1098,494.5536,435.0138,16367.3458,5022.4949,10155.2315,217763.2622,210235.6824,17158.4265,12348.7010,5714.7067,1094.0598,1216.6577,11615.3391,2639.0774,547.3204,973.6512,7379.1144,233572.2005,166570.9421,71565.8035,10789.2840,3952.1018,899.2543,406.0479,369.9329,3595.8680,4989.7579,2130.8746,5088.2473,17363.4777,8382.0234,3774.0244,1158.6982,526.3308,452.4970,389.1779,266.7131,302.0012,409.4191,745.5910,4643.3659,55136.4661,199247.8516,30870.4875,15415.5006,11042.2755,3651.7323,4162.3311,838.3452,364.0577,716.7034,747.4315,16515.6606,6755.2195,12889.9652,11883.9547,2638.9010,1670.5823,5460.1069,1342.5914,282.5488,1012.4586,1189.1720,4951.7373,4378.5603,15249.8287,78558.2092,124194.6774,20177.0157,2364.8961,629.4386,349.8781,277.4009,359.1585,559.2921,13020.5815,24795.9133,81361.8043,41715.6357,31252.2368,8630.5351,2282.9783,803.6973,354.5949,555.9701,599.9935,779.8700,1154.6133,2144.3814,5055.7748,60143.3246,12060.8628,2164.9485,976.4546,492.4993,905.1181,6458.9042,25579.6563,25048.7243,29421.9445,30035.8830,146646.5461,106988.5030,49717.9469,13881.9604,2611.5155,856.2770,727.2616,928986.4038,101253.8893,5326.1336,5079.6406,4942.9257,24307.4403,209950.6997,44701.4252,14584.8461,2782.5271,1342.5936,20075.0323,3051.3475,2575.3918,804.1521,
Wet_44,Local,454.9895,1484.0931,515.2685,1595.7454,3105.9963,8540.8899,306513.3330,275780.2340,12351.3751,5897.9472,2861.0025,1361.0102,623.9486,529.2855,562.6568,608.1089,1582.4213,10248.9916,365459.7219,145296.4474,65236.4475,10760.1887,4061.1138,826.3729,509.5739,455.3708,1056.0002,763.6041,2595.5014,2381.8093,29036.3496,10180.8141,3666.5576,881.0077,628.8302,641.4370,513.7456,346.3677,351.7028,479.0648,1406.6092,3813.4583,67878.1454,126859.2552,19607.2620,7953.2098,6335.1511,5902.3806,744.0497,2326.5490,479.3732,913.6243,2378.1411,16608.6995,5756.5953,9272.9971,5715.5680,1148.0367,3055.6224,2153.8102,1120.5323,249.6469,953.2096,555.7167,7326.2115,6036.7007,49831.0904,86227.0592,92700.3138,13216.6419,903.7789,511.4698,376.1811,279.0995,367.4832,639.1852,13864.5771,51701.1924,116676.6042,34400.2196,19200.6775,4552.2627,1508.4622,731.0203,423.8241,1269.4387,687.5372,997.9787,3845.0793,3650.7941,9108.7237,85538.8345,6882.3356,1026.9632,886.1863,3328.6080,7984.6292,762.8513,2168.6705,3345.7082,16063.5485,24750.4935,233916.9187,80134.4997,28035.9967,6611.5868,1034.3265,1091.8314,1412.6179,2815360.9608,34435.0695,979.7024,3142.0266,3272.5234,38218.4302,153838.5440,15555.5533,4198.8040,1041.0133,1210.4160,50290.8656,806.6535,616.2458,784.5128,
Wet_44,Total,454.9895,1484.0931,515.2685,1595.7454,3105.9963,8540.8899,306513.3330,275780.2340,12351.3751,5897.9472,2861.0025,1361.0102,623.9486,529.2855,562.6568,608.1089,1582.4213,10248.9916,365459.7219,145296.4474,65236.4475,10760.1887,4061.1138,826.3729,509.5739,455.3708,1056.0002,763.6041,2595.5014,2381.8093,29036.3496,10180.8141,3666.5576,881.0077,628.8302,641.4370,513.7456,346.3677,351.7028,479.0648,1406.6092,3813.4583,67878.1454,126859.2552,19607.2620,7953.2098,6335.1511,5902.3806,744.0497,2326.5490,479.3732,913.6243,2378.1411,16608.6995,5756.5953,9272.9971,5715.5680,1148.0367,3055.6224,2153.8102,1120.5323,249.6469,953.2096,555.7167,7326.2115,6036.7007,49831.0904,86227.0592,92700.3138,13216.6419,903.7789,511.4698,376.1811,279.0995,367.4832,639.1852,13864.5771,51701.1924,116676.6042,34400.2196,19200.6775,4552.2627,1508.4622,731.0203,423.8241,1269.4387,687.5372,997.9787,3845.0793,3650.7941,9108.7237,85538.8345,6882.3356,1026.9632,886.1863,3328.6080,7984.6292,762.8513,2168.6705,3345.7082,16063.5485,24750.4935,233916.9187,80134.4997,28035.9967,6611.5868,1034.3265,1091.8314,1412.6179,2815360.9608,34435.0695,979.7024,3142.0266,3272.5234,38218.4302,153838.5440,15555.5533,4198.8040,1041.0133,1210.4160,50290.8656,806.6535,616.2458,784.5128,
