Zone1
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,24.1308,32.2297,29.1324,447.2755,149.0778,276.6220,4214.9816,4937.6627,330.8148,260.0924,177.7485,52.2049,35.1746,158.4059,50.7876,34.9827,52.4850,174.1691,5519.4409,3497.8741,1401.5261,204.9953,103.9740,43.6144,29.7815,27.5864,113.9674,134.0792,80.4535,122.9988,334.8595,173.5514,109.8879,53.5050,34.9165,29.5912,22.8896,15.3029,17.0948,25.1725,48.9996,141.9203,1510.6890,5148.9510,649.3928,368.7704,901.3786,85.2826,55.4137,41.1600,24.8078,48.4648,52.7748,419.6263,135.9480,227.1749,217.2377,62.4644,59.9197,90.6962,25.6224,11.2229,50.6432,39.8403,150.8528,99.5560,361.2355,1316.6253,2294.5701,279.3778,64.7554,43.1212,22.9878,16.7464,22.8091,38.9697,383.6978,474.0558,1017.0330,830.3083,926.1691,212.6269,72.5403,37.2744,23.2909,37.3009,42.8389,53.1070,65.6953,85.9779,158.1287,1389.7250,317.7911,68.5503,41.0634,31.0517,37.5110,401.1711,957.1586,791.8090,656.8240,548.8018,3257.7539,2102.8762,818.8893,388.2367,76.1835,45.6690,44.0694,44137.4984,3309.8085,113.9264,120.7676,104.2419,486.9903,5281.0344,529.3009,237.2215,67.4442,53.7911,428.2601,54.2131,49.1529,42.9739,
Capped_44,Upstream + Local,24.1308,32.2297,29.1324,447.2755,149.0778,276.6220,4214.9816,4937.6627,330.8148,260.0924,177.7485,52.2049,35.1746,158.4059,50.7876,34.9827,52.4850,174.1691,5519.4409,3497.8741,1401.5261,204.9953,103.9740,43.6144,29.7815,27.5864,113.9674,134.0792,80.4535,122.9988,334.8595,173.5514,109.8879,53.5050,34.9165,29.5912,22.8896,15.3029,17.0948,25.1725,48.9996,141.9203,1510.6890,5148.9510,649.3928,368.7704,901.3786,85.2826,55.4137,41.1600,24.8078,48.4648,52.7748,419.6263,135.9480,227.1749,217.2377,62.4644,59.9197,90.6962,25.6224,11.2229,50.6432,39.8403,150.8528,99.5560,361.2355,1316.6253,2294.5701,279.3778,64.7554,43.1212,22.9878,16.7464,22.8091,38.9697,383.6978,474.0558,1017.0330,830.3083,926.1691,212.6269,72.5403,37.2744,23.2909,37.3009,42.8389,53.1070,65.6953,85.9779,158.1287,1389.7250,317.7911,68.5503,41.0634,31.0517,37.5110,401.1711,957.1586,791.8090,656.8240,548.8018,3257.7539,2102.8762,818.8893,388.2367,76.1835,45.6690,44.0694,44137.4984,3309.8085,113.9264,120.7676,104.2419,486.9903,5281.0344,529.3009,237.2215,67.4442,53.7911,428.2601,54.2131,49.1529,42.9739,
Dry_44,Local,3.6392,37.1492,35.8663,152.3628,161.4709,342.7443,705.6126,217.1062,211.9218,109.4074,81.7646,44.0929,35.6121,9.4324,29.6114,21.8929,110.1268,368.4326,689.0787,822.0145,531.1890,70.4724,72.6190,8.2932,3.9217,4.0624,64.7773,34.7996,191.8422,129.8426,351.8069,209.6044,126.4476,31.9657,19.1780,44.0323,52.6789,3.1673,10.6932,30.5541,131.1237,286.9607,463.7972,562.2327,356.7959,136.0652,64.1066,136.0227,38.3920,37.8056,3.2464,79.5457,90.9806,473.1314,98.7925,328.9341,260.5871,31.3263,93.9606,74.5368,29.9158,2.2605,170.6285,23.1997,236.7475,61.7072,341.2487,672.3730,984.4299,144.9054,22.7429,8.4505,3.3681,1.7672,16.9420,43.8156,326.2500,275.8042,376.7178,360.4715,275.3883,78.2711,51.9009,6.8954,5.5929,49.5850,63.5595,83.6259,148.5363,170.4525,273.6205,333.5929,153.9140,38.1454,21.3632,43.3983,116.9822,3.7475,171.4617,110.2957,240.6153,233.8371,396.8735,569.5142,274.9428,109.2708,24.6317,40.8467,331.9109,1932.4459,83.9349,9.2975,146.8251,105.9676,423.9693,786.7135,324.2303,85.8272,12.5946,86.2426,294.6417,6.4754,7.8620,33.3341,
Dry_44,Upstream + Local,3.6392,37.1492,35.8663,152.3628,161.4709,342.7443,705.6126,217.1062,211.9218,109.4074,81.7646,44.0929,35.6121,9.4324,29.6114,21.8929,110.1268,368.4326,689.0787,822.0145,531.1890,70.4724,72.6190,8.2932,3.9217,4.0624,64.7773,34.7996,191.8422,129.8426,351.8069,209.6044,126.4476,31.9657,19.1780,44.0323,52.6789,3.1673,10.6932,30.5541,131.1237,286.9607,463.7972,562.2327,356.7959,136.0652,64.1066,136.0227,38.3920,37.8056,3.2464,79.5457,90.9806,473.1314,98.7925,328.9341,260.5871,31.3263,93.9606,74.5368,29.9158,2.2605,170.6285,23.1997,236.7475,61.7072,341.2487,672.3730,984.4299,144.9054,22.7429,8.4505,3.3681,1.7672,16.9420,43.8156,326.2500,275.8042,376.7178,360.4715,275.3883,78.2711,51.9009,6.8954,5.5929,49.5850,63.5595,83.6259,148.5363,170.4525,273.6205,333.5929,153.9140,38.1454,21.3632,43.3983,116.9822,3.7475,171.4617,110.2957,240.6153,233.8371,396.8735,569.5142,274.9428,109.2708,24.6317,40.8467,331.9109,1932.4459,83.9349,9.2975,146.8251,105.9676,423.9693,786.7135,324.2303,85.8272,12.5946,86.2426,294.6417,6.4754,7.8620,33.3341,
Flow_Catch,Local,24.8120,104.9678,69.0806,757.8176,365.5028,737.2612,10421.0597,7539.8668,635.1117,489.4362,356.2566,110.3857,36.7024,167.9693,83.0959,70.2954,195.1181,602.8399,6808.6609,9454.5340,5771.5484,312.5058,258.7801,52.4019,30.4566,28.3378,181.0018,194.5025,337.1577,286.7301,798.3089,407.8432,273.2864,103.7383,68.0275,81.0595,71.1406,18.5653,28.0706,82.8317,218.7768,504.5945,2068.9864,5596.9031,1095.6612,602.5940,1034.2863,246.7242,89.7286,116.7685,25.5953,204.6521,172.7246,1019.1450,276.7611,601.5170,536.6282,115.6134,266.4473,184.6544,53.1751,14.5683,261.2804,78.5191,466.2000,175.1620,796.9162,3478.4470,14130.2088,522.1557,101.6456,50.7420,24.1246,16.8990,40.8947,119.6361,824.7312,833.7170,1578.5853,1582.6867,2151.8433,355.5436,181.5919,44.7041,26.7074,138.4756,119.0261,218.7052,265.5183,308.6165,525.5411,1727.8892,529.1581,134.2972,81.7176,81.0357,128.2168,404.4102,1164.6879,990.7801,970.1923,852.0365,6931.3946,9718.1644,2548.3890,1103.4005,124.0698,92.6152,218.1337,44431.6440,3387.4956,122.1723,319.7418,241.9952,1093.1869,13411.4837,1533.5979,417.5284,87.2563,161.7544,669.4799,57.4462,53.7947,100.3811,
Flow_Catch,Upstream + Local,24.8120,104.9678,69.0806,757.8176,365.5028,737.2612,10421.0597,7539.8668,635.1117,489.4362,356.2566,110.3857,36.7024,167.9693,83.0959,70.2954,195.1181,602.8399,6808.6609,9454.5340,5771.5484,312.5058,258.7801,52.4019,30.4566,28.3378,181.0018,194.5025,337.1577,286.7301,798.3089,407.8432,273.2864,103.7383,68.0275,81.0595,71.1406,18.5653,28.0706,82.8317,218.7768,504.5945,2068.9864,5596.9031,1095.6612,602.5940,1034.2863,246.7242,89.7286,116.7685,25.5953,204.6521,172.7246,1019.1450,276.7611,601.5170,536.6282,115.6134,266.4473,184.6544,53.1751,14.5683,261.2804,78.5191,466.2000,175.1620,796.9162,3478.4470,14130.2088,522.1557,101.6456,50.7420,24.1246,16.8990,40.8947,119.6361,824.7312,833.7170,1578.5853,1582.6867,2151.8433,355.5436,181.5919,44.7041,26.7074,138.4756,119.0261,218.7052,265.5183,308.6165,525.5411,1727.8892,529.1581,134.2972,81.7176,81.0357,128.2168,404.4102,1164.6879,990.7801,970.1923,852.0365,6931.3946,9718.1644,2548.3890,1103.4005,124.0698,92.6152,218.1337,44431.6440,3387.4956,122.1723,319.7418,241.9952,1093.1869,13411.4837,1533.5979,417.5284,87.2563,161.7544,669.4799,57.4462,53.7947,100.3811,
Targets_44,Local,24.3383,37.2544,31.3177,472.9066,175.1494,325.2929,4475.7373,5093.9012,378.0915,298.9424,207.9366,62.2536,35.5517,159.3284,52.8656,37.9575,66.3944,216.8077,5611.6257,3855.8963,1715.9084,241.6543,134.5612,49.6147,30.0513,27.7969,120.3465,143.7605,110.1158,153.8101,389.8121,214.9557,141.9207,63.4229,38.5045,32.7406,25.8806,15.4840,18.1013,28.6247,62.1382,175.9527,1570.4667,5215.5299,727.3842,409.7511,925.7333,104.2355,58.4841,48.4199,24.9530,60.2888,69.4778,476.8163,163.4302,275.5195,256.6740,72.5991,77.4210,97.5256,27.4361,11.5055,64.2210,42.3368,178.7591,111.5803,401.1032,1431.8625,2803.5851,321.1721,72.9828,44.9567,23.2488,16.8095,23.8941,45.9103,429.3827,520.0235,1084.7946,898.2388,1017.1346,246.4619,90.2374,41.4398,23.6386,44.3686,50.8033,69.4606,90.2728,117.2447,204.2263,1441.4891,354.1863,81.9691,47.3673,34.2469,42.8389,401.4023,973.0029,814.4731,694.1580,591.5937,3425.4401,2410.9991,930.8098,445.8651,89.2680,50.5465,55.8840,44173.1893,3321.9426,121.0680,147.7910,129.2260,554.4647,5590.1010,605.7617,275.8058,77.9222,65.4786,449.2134,55.0836,50.0375,50.5146,
Targets_44,Upstream + Local,24.3383,37.2544,31.3177,472.9066,175.1494,325.2929,4475.7373,5093.9012,378.0915,298.9424,207.9366,62.2536,35.5517,159.3284,52.8656,37.9575,66.3944,216.8077,5611.6257,3855.8963,1715.9084,241.6543,134.5612,49.6147,30.0513,27.7969,120.3465,143.7605,110.1158,153.8101,389.8121,214.9557,141.9207,63.4229,38.5045,32.7406,25.8806,15.4840,18.1013,28.6247,62.1382,175.9527,1570.4667,5215.5299,727.3842,409.7511,925.7333,104.2355,58.4841,48.4199,24.9530,60.2888,69.4778,476.8163,163.4302,275.5195,256.6740,72.5991,77.4210,97.5256,27.4361,11.5055,64.2210,42.3368,178.7591,111.5803,401.1032,1431.8625,2803.5851,321.1721,72.9828,44.9567,23.2488,16.8095,23.8941,45.9103,429.3827,520.0235,1084.7946,898.2388,1017.1346,246.4619,90.2374,41.4398,23.6386,44.3686,50.8033,69.4606,90.2728,117.2447,204.2263,1441.4891,354.1863,81.9691,47.3673,34.2469,42.8389,401.4023,973.0029,814.4731,694.1580,591.5937,3425.4401,2410.9991,930.8098,445.8651,89.2680,50.5465,55.8840,44173.1893,3321.9426,121.0680,147.7910,129.2260,554.4647,5590.1010,605.7617,275.8058,77.9222,65.4786,449.2134,55.0836,50.0375,50.5146,
Wet_44,Local,20.8574,191.2837,44.5467,255.8269,367.1423,658.7917,17133.7644,11197.1944,504.9658,293.7397,236.3305,112.8271,27.6680,42.8180,43.9069,53.6108,242.6542,697.2334,13997.0262,8102.4476,3609.3762,322.9926,235.8171,44.0175,26.7377,24.7649,70.6286,75.8627,413.3060,243.5299,1267.2331,427.8940,230.9124,78.5796,59.0935,87.8552,69.6293,21.4597,20.5849,58.1878,273.9298,479.6030,2373.3425,3782.4250,738.1929,351.6272,252.4255,324.3177,65.6196,215.4598,24.5579,143.8062,229.1187,1010.7248,297.1242,521.2963,394.6262,82.6370,253.3234,163.0770,58.1922,15.4177,134.9705,49.4230,582.0963,218.3244,1851.6437,2773.3323,8179.9517,425.9738,63.6274,30.4172,17.6746,11.5526,24.8538,80.1413,945.8416,1835.6307,3889.6938,1283.0077,983.7482,221.1569,146.0857,38.5265,23.2708,245.3534,71.3111,151.1857,361.9988,327.7031,656.8156,2652.2226,322.1816,95.2407,71.9786,151.5479,288.6132,30.1761,159.4316,210.0330,782.3471,859.0720,9189.1357,5967.5040,1387.4152,295.0694,80.3686,92.0665,217.8671,113121.7698,1086.2581,53.7436,357.8287,240.8893,2467.9495,12857.4114,719.8612,234.9287,62.9512,175.9884,1811.7775,38.8215,35.5288,78.0000,
Wet_44,Upstream + Local,20.8574,191.2837,44.5467,255.8269,367.1423,658.7917,17133.7644,11197.1944,504.9658,293.7397,236.3305,112.8271,27.6680,42.8180,43.9069,53.6108,242.6542,697.2334,13997.0262,8102.4476,3609.3762,322.9926,235.8171,44.0175,26.7377,24.7649,70.6286,75.8627,413.3060,243.5299,1267.2331,427.8940,230.9124,78.5796,59.0935,87.8552,69.6293,21.4597,20.5849,58.1878,273.9298,479.6030,2373.3425,3782.4250,738.1929,351.6272,252.4255,324.3177,65.6196,215.4598,24.5579,143.8062,229.1187,1010.7248,297.1242,521.2963,394.6262,82.6370,253.3234,163.0770,58.1922,15.4177,134.9705,49.4230,582.0963,218.3244,1851.6437,2773.3323,8179.9517,425.9738,63.6274,30.4172,17.6746,11.5526,24.8538,80.1413,945.8416,1835.6307,3889.6938,1283.0077,983.7482,221.1569,146.0857,38.5265,23.2708,245.3534,71.3111,151.1857,361.9988,327.7031,656.8156,2652.2226,322.1816,95.2407,71.9786,151.5479,288.6132,30.1761,159.4316,210.0330,782.3471,859.0720,9189.1357,5967.5040,1387.4152,295.0694,80.3686,92.0665,217.8671,113121.7698,1086.2581,53.7436,357.8287,240.8893,2467.9495,12857.4114,719.8612,234.9287,62.9512,175.9884,1811.7775,38.8215,35.5288,78.0000,
