Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8666,4.8397,5.6697,0.0000,3.8666,4.8397,5.6697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7395,22.6595,23.9624,0.0000,17.7395,22.6595,23.9624,0.0000,8.3309,10.2205,14.1778,0.0000,8.3309,10.2205,14.1778,
15/03/2015 04:00:01,0.0000,1.3837,1.7020,2.4577,0.0000,1.3410,1.5843,2.4458,0.0000,0.1420,0.1504,0.2958,0.0000,0.1338,0.1305,0.2945,0.0000,4.2156,5.2785,6.2028,0.0000,3.9841,5.2731,6.2028,0.0000,5.3133,7.1678,8.3400,0.0000,5.1728,7.0075,8.0922,0.0000,2.9361,3.3529,5.5296,0.0000,2.8251,3.0890,5.4997,0.0000,17.3903,22.2318,23.0584,0.0000,17.6244,22.2347,24.7960,0.0000,7.8097,10.1487,11.8419,0.0000,8.5013,10.1539,17.2517,
15/03/2015 08:00:02,0.0000,1.3477,1.6613,2.4104,0.0000,1.2937,1.4606,2.4041,0.0000,0.1396,0.1432,0.2875,0.0000,0.1291,0.1122,0.2870,0.0000,4.8374,6.0859,7.5530,0.0000,4.4357,6.0859,7.5530,0.0000,4.9509,6.5280,8.2954,0.0000,4.8029,6.3925,8.0478,0.0000,2.9166,3.2870,5.3716,0.0000,2.7772,2.8657,5.3258,0.0000,17.5827,22.0441,23.3034,0.0000,17.9064,22.0441,24.9676,0.0000,7.8543,9.6032,12.4726,0.0000,8.8614,9.6003,18.0423,
15/03/2015 12:00:02,0.0000,1.3557,1.5856,2.6013,0.0000,1.3077,1.4698,2.5917,0.0000,0.1372,0.1299,0.3300,0.0000,0.1277,0.1183,0.3292,0.0000,5.5168,5.9463,8.1572,0.0000,4.9638,5.9141,8.1572,0.0000,5.0234,6.2768,7.4875,0.0000,4.8192,6.1590,7.3686,0.0000,2.9364,3.1278,5.9588,0.0000,2.8088,2.9676,5.9419,0.0000,19.0444,22.8116,24.1486,0.0000,19.2791,22.8114,24.9595,0.0000,8.8167,9.8684,14.2280,0.0000,9.7960,9.8629,18.1026,
15/03/2015 16:00:00,0.0000,1.4222,1.5360,2.5576,0.0000,1.3825,1.4858,2.5508,0.0000,0.1439,0.1215,0.3488,0.0000,0.1360,0.1127,0.3481,0.0000,5.9751,6.9194,8.0757,0.0000,5.3322,6.9202,8.0757,0.0000,5.5021,6.4182,7.8640,0.0000,5.1607,6.2096,7.7478,0.0000,3.1329,3.0122,6.9508,0.0000,3.0209,2.9097,6.9346,0.0000,21.0383,24.1783,24.8990,0.0000,21.0940,24.1681,24.9955,0.0000,9.5261,10.1434,14.2669,0.0000,10.3582,10.1487,18.0664,
15/03/2015 20:00:03,0.0000,1.4490,1.5146,2.2576,0.0000,1.4150,1.4834,2.2496,0.0000,0.1507,0.1163,0.3445,0.0000,0.1436,0.1117,0.3445,0.0000,6.0104,6.8460,7.7419,0.0000,5.2663,6.7862,7.7419,0.0000,5.5497,6.2373,7.8415,0.0000,5.1162,5.9151,7.7091,0.0000,3.3538,2.9577,8.3124,0.0000,3.2370,2.8994,8.2992,0.0000,21.5712,23.9538,24.6986,0.0000,21.7049,24.0206,24.9896,0.0000,9.7406,10.2081,14.5056,0.0000,10.5248,10.5856,18.0642,
16/03/2015 00:00:01,0.0000,1.4571,1.5473,2.1528,0.0000,1.4260,1.5460,2.1513,0.0000,0.1690,0.1745,0.3221,0.0000,0.1624,0.1741,0.3216,0.0000,5.8867,6.5246,7.4686,0.0000,5.1433,6.5057,7.4666,0.0000,5.1502,5.7383,7.4914,0.0000,4.7414,5.5255,7.2782,0.0000,3.9372,3.8466,10.1978,0.0000,3.8185,3.8352,10.1850,0.0000,21.2027,23.1514,24.2900,0.0000,21.4085,23.1981,24.9734,0.0000,8.9770,9.2198,14.4747,0.0000,9.6864,9.4327,18.0280,
16/03/2015 04:00:04,0.0000,1.3681,1.6649,2.1528,0.0000,1.2980,1.3585,2.1372,0.0000,0.1990,0.2360,0.3170,0.0000,0.1839,0.2354,0.3156,0.0000,5.9403,6.3725,7.4584,0.0000,5.1085,6.3701,7.4584,0.0000,4.5474,5.1761,6.9768,0.0000,4.3036,4.9945,6.8866,0.0000,5.1361,4.6910,11.2105,0.0000,4.8703,4.6805,11.1936,0.0000,20.3170,21.6699,23.7810,0.0000,20.6978,21.7172,24.9534,0.0000,6.7779,6.9516,14.3839,0.0000,7.7965,7.0449,17.9779,
16/03/2015 08:00:04,0.0000,1.2628,1.6990,2.1528,0.0000,1.1726,1.3383,2.1372,0.0000,0.2136,0.2592,0.3170,0.0000,0.1910,0.2582,0.3156,0.0000,5.8216,6.1022,7.4582,0.0000,4.9248,5.9994,7.4582,0.0000,4.1850,4.6866,6.6537,0.0000,4.0000,4.5418,6.3326,0.0000,5.9737,5.3539,11.3116,0.0000,5.5709,5.3051,11.2913,0.0000,19.5887,20.9268,23.4260,0.0000,20.1954,21.0237,24.9307,0.0000,5.4962,4.9374,12.4375,0.0000,6.9152,5.2140,17.9203,
16/03/2015 12:00:01,0.0000,1.2048,1.6150,2.1528,0.0000,1.1317,1.3314,2.1372,0.0000,0.1881,0.1742,0.3170,0.0000,0.1724,0.1738,0.3156,0.0000,5.8126,6.3079,7.4582,0.0000,4.9537,6.3011,7.4582,0.0000,4.2967,4.6290,6.6537,0.0000,3.9965,4.5169,6.3403,0.0000,5.3966,3.8308,11.2012,0.0000,5.1286,3.8194,11.1873,0.0000,20.7964,22.0936,23.7718,0.0000,21.0519,22.0873,24.9045,0.0000,6.8501,6.0239,13.0469,0.0000,7.8743,6.0900,17.7083,
