Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2803,6.3024,6.5335,0.0000,6.2803,6.3024,6.5335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.4213,24.4867,24.7313,0.0000,24.4213,24.4867,24.7313,0.0000,36.2417,36.3573,36.5491,0.0000,36.2417,36.3573,36.5491,
15/03/2015 04:00:02,0.0000,0.4941,0.4727,0.8225,0.0000,0.4919,0.4722,0.8222,0.0000,0.0366,0.0365,0.0526,0.0000,0.0361,0.0364,0.0465,0.0000,6.2542,6.2707,6.4035,0.0000,6.2410,6.2620,6.3931,0.0000,5.2555,4.4998,12.4578,0.0000,5.1973,4.4323,12.3694,0.0000,1.3078,1.1156,2.2975,0.0000,1.2800,1.0610,2.2748,0.0000,24.2767,24.3482,24.5922,0.0000,24.3148,24.3924,24.6354,0.0000,36.2195,36.3196,36.4413,0.0000,36.2411,36.3456,36.5445,
15/03/2015 08:00:00,0.0000,0.4923,0.4705,0.7747,0.0000,0.4922,0.4710,0.7958,0.0000,0.0363,0.0366,0.0473,0.0000,0.0360,0.0366,0.0469,0.6266,6.2664,6.2742,6.4750,0.6266,6.2547,6.2614,6.4750,0.0000,5.1544,4.4070,11.1235,0.0000,5.1215,4.3831,11.4734,0.0000,1.2877,1.0982,2.2025,0.0000,1.2687,1.0802,2.1957,2.5575,24.1826,24.2836,24.5227,2.5575,24.2023,24.3014,24.5508,3.5540,36.2461,36.3299,36.4592,3.5540,36.2500,36.3286,36.5402,
15/03/2015 12:00:04,0.0000,0.4665,0.4508,0.7582,0.0000,0.4724,0.4543,0.7599,0.0000,0.0343,0.0353,0.0466,0.0000,0.0345,0.0357,0.0468,3.0382,6.3546,6.3391,6.8142,3.0382,6.3232,6.2988,6.8142,0.0000,4.8356,4.3466,10.8188,0.0000,4.8837,4.3204,10.6950,0.0000,1.2124,1.0808,2.0215,0.0000,1.2125,1.0767,2.0247,12.3859,24.3100,24.3523,24.5877,12.3859,24.2930,24.3256,24.6031,16.8578,36.3068,36.3471,36.5068,16.8578,36.3058,36.3424,36.5309,
15/03/2015 16:00:02,0.0000,0.4355,0.4259,0.7018,0.0000,0.4553,0.4378,0.7419,0.0000,0.0319,0.0331,0.0443,0.0000,0.0330,0.0340,0.0460,4.5444,6.4245,6.3861,6.8229,4.5444,6.3537,6.2963,6.8229,0.0000,4.5339,4.3697,10.1870,0.0000,4.7472,4.3628,10.4411,0.0000,1.1301,1.0617,1.8296,0.0000,1.1693,1.0701,1.8298,18.2121,24.6067,24.5986,24.9412,18.2121,24.4827,24.4940,24.9517,24.5897,36.3544,36.3701,36.5403,24.5897,36.3438,36.3564,36.5347,
15/03/2015 20:00:00,0.0000,0.4296,0.4247,0.6649,0.0000,0.4408,0.4188,0.7306,0.0000,0.0313,0.0327,0.0435,0.0000,0.0317,0.0327,0.0448,6.2199,6.4063,6.3661,6.7691,5.9268,6.3413,6.3090,6.7685,0.0000,4.4401,4.3638,9.3590,0.0000,4.5528,4.2086,9.8644,0.0000,1.0970,1.0570,1.7189,0.0000,1.1358,1.0628,1.7342,22.6644,24.4969,24.4924,24.7442,22.6644,24.4842,24.4931,24.7669,36.0020,36.3701,36.3695,36.5471,35.9953,36.3739,36.3703,36.5460,
16/03/2015 00:00:03,0.0000,0.4480,0.4324,0.7955,0.0000,0.4448,0.4202,0.7943,0.0000,0.0327,0.0332,0.0506,0.0000,0.0322,0.0327,0.0505,6.1679,6.3486,6.3190,6.6938,5.7338,6.3059,6.2901,6.6924,0.0000,4.7113,4.3437,11.7885,0.0000,4.5802,4.1660,11.7106,0.0000,1.1462,1.0687,1.8969,0.0000,1.1466,1.0589,1.8953,22.4207,24.3555,24.3650,24.6470,22.4207,24.3697,24.3782,24.6696,34.7909,36.3574,36.3642,36.5276,35.2160,36.3683,36.3720,36.5276,
16/03/2015 04:00:00,0.0000,0.4758,0.4480,0.8317,0.0000,0.4616,0.4378,0.8307,0.0000,0.0348,0.0344,0.0535,0.0000,0.0337,0.0336,0.0535,6.1068,6.2955,6.2670,6.6541,5.6485,6.2738,6.2505,6.6541,0.0000,5.1497,4.4475,11.8355,0.0000,4.8225,4.2887,11.7560,0.0000,1.2153,1.0968,1.9453,0.0000,1.1872,1.0743,1.9341,22.3181,24.2257,24.2943,24.5522,22.3181,24.2525,24.3017,24.6320,34.4797,36.3285,36.3508,36.5457,34.4797,36.3459,36.3574,36.5457,
16/03/2015 08:00:01,0.0000,0.4842,0.4487,0.8306,0.0000,0.4640,0.4346,0.8296,0.0000,0.0354,0.0346,0.0535,0.0000,0.0340,0.0335,0.0535,6.1233,6.2494,6.2236,6.6314,5.9796,6.2371,6.2130,6.6314,0.0000,5.1946,4.4305,11.4866,0.0000,4.7813,4.1827,11.4126,0.0000,1.2234,1.0980,1.9410,0.0000,1.1895,1.0734,1.8664,22.3678,24.1212,24.2245,24.4771,22.3678,24.1448,24.2353,24.5700,34.1268,36.3142,36.3476,36.5104,35.1736,36.3411,36.3576,36.5077,
16/03/2015 12:00:01,0.0000,0.4625,0.4384,0.8009,0.0000,0.4501,0.4235,0.8005,0.0000,0.0338,0.0338,0.0520,0.0000,0.0328,0.0323,0.0520,6.1812,6.3001,6.2740,6.6703,5.9984,6.2543,6.2409,6.6739,0.0000,4.9925,4.4548,11.5196,0.0000,4.6035,4.0755,11.4606,0.0000,1.1605,1.0828,1.8359,0.0000,1.1595,1.0526,1.8153,23.2944,24.2659,24.3207,24.5405,23.2944,24.2096,24.2386,24.5292,35.8672,36.3453,36.3562,36.5341,35.8615,36.3544,36.3637,36.5317,
