Date,NIT (mg/L) Surface MIN,NIT (mg/L) Surface MEAN,NIT (mg/L) Surface MEDIAN,NIT (mg/L) Surface MAX,NIT (mg/L) Bottom MIN,NIT (mg/L) Bottom MEAN,NIT (mg/L) Bottom MEDIAN,NIT (mg/L) Bottom MAX,AMM (mg/L) Surface MIN,AMM (mg/L) Surface MEAN,AMM (mg/L) Surface MEDIAN,AMM (mg/L) Surface MAX,AMM (mg/L) Bottom MIN,AMM (mg/L) Bottom MEAN,AMM (mg/L) Bottom MEDIAN,AMM (mg/L) Bottom MAX,FRP (mg/L) Surface MIN,FRP (mg/L) Surface MEAN,FRP (mg/L) Surface MEDIAN,FRP (mg/L) Surface MAX,FRP (mg/L) Bottom MIN,FRP (mg/L) Bottom MEAN,FRP (mg/L) Bottom MEDIAN,FRP (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0170,0.0000,0.0593,0.0000,0.0170,0.0000,0.0593,0.0000,0.0224,0.0000,0.0828,0.0000,0.0224,0.0000,0.0828,0.0000,0.0489,0.0000,0.2054,0.0000,0.0489,0.0000,0.2054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4452,0.0000,22.6071,0.0000,6.4452,0.0000,22.6071,0.0000,2.1441,0.0000,10.8847,0.0000,2.1441,0.0000,10.8847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9141,0.0000,7.3506,0.0000,1.9141,0.0000,7.3506,
15/03/2015 04:00:00,0.0000,0.0183,0.0000,0.0757,0.0000,0.0183,0.0000,0.0757,0.0000,0.0231,0.0000,0.0842,0.0000,0.0231,0.0000,0.0842,0.0000,0.0553,0.0000,0.2038,0.0000,0.0553,0.0000,0.2038,0.0000,1.9923,0.0000,8.5798,0.0000,1.9346,0.0000,8.3300,0.0000,2.2452,0.0000,11.6270,0.0000,2.2402,0.0000,11.6122,0.0000,8.3944,0.0000,22.3086,0.0000,8.3946,0.0000,22.3112,0.0000,2.3251,0.0000,10.6662,0.0000,2.3259,0.0000,10.6662,0.0000,0.5427,0.0000,3.0405,0.0000,0.5405,0.0000,3.0317,0.0000,0.0928,0.0000,0.4326,0.0000,0.0925,0.0000,0.4310,0.0000,2.8860,0.0000,8.7937,0.0000,2.8858,0.0000,8.7937,
15/03/2015 08:00:01,0.0000,0.0206,0.0002,0.0826,0.0000,0.0206,0.0002,0.0826,0.0000,0.0245,0.0003,0.0886,0.0000,0.0246,0.0003,0.0886,0.0000,0.0595,0.0008,0.2025,0.0000,0.0596,0.0008,0.2025,0.0000,2.0363,0.0000,8.5897,0.0000,1.9816,0.0000,8.3361,0.0000,2.5699,0.0000,11.6242,0.0000,2.5624,0.0000,11.6094,0.0000,9.8038,0.1260,22.1412,0.0000,9.8037,0.1260,22.1412,0.0000,2.5052,0.0182,10.6203,0.0000,2.5089,0.0182,10.6203,0.0000,0.5311,0.0000,2.8524,0.0000,0.5304,0.0000,2.8430,0.0000,0.0992,0.0000,0.4089,0.0000,0.0991,0.0000,0.4074,0.0000,3.5951,0.0429,8.7913,0.0000,3.5939,0.0429,8.7913,
15/03/2015 12:00:02,0.0000,0.0215,0.0070,0.0819,0.0000,0.0216,0.0070,0.0819,0.0000,0.0234,0.0117,0.0857,0.0000,0.0235,0.0117,0.0857,0.0000,0.0607,0.0343,0.2015,0.0000,0.0609,0.0343,0.2015,0.0000,2.4271,0.0000,8.5745,0.0000,2.3653,0.0000,8.3187,0.0000,3.1088,0.0000,11.6175,0.0000,3.1061,0.0000,11.6029,0.0000,11.3143,19.9828,22.7653,0.0000,11.3182,19.9703,22.7653,0.0000,2.4536,1.7406,9.7268,0.0000,2.4647,1.7406,9.7508,0.0000,0.5436,0.0000,2.7244,0.0000,0.5448,0.0000,2.7184,0.0000,0.1108,0.0000,0.3798,0.0000,0.1109,0.0000,0.3790,0.0000,4.2241,7.0860,8.7892,0.0000,4.2238,7.0860,8.7892,
15/03/2015 16:00:04,0.0000,0.0255,0.0070,0.0816,0.0000,0.0255,0.0070,0.0835,0.0000,0.0257,0.0118,0.0826,0.0000,0.0257,0.0118,0.0835,0.0000,0.0669,0.0348,0.2008,0.0000,0.0669,0.0348,0.2008,0.0000,2.6525,0.0000,8.5761,0.0000,2.5957,0.0000,8.3138,0.0000,3.5285,0.0000,11.6140,0.0000,3.5186,0.0000,11.5989,0.0000,13.5804,20.9208,24.2083,0.0000,13.5753,20.9208,24.2083,0.0000,2.9048,1.7423,8.5429,0.0000,2.9101,1.7423,8.5429,0.0000,0.5939,0.0000,2.5622,0.0000,0.5930,0.0000,2.5571,0.0000,0.1231,0.0000,0.3631,0.0000,0.1228,0.0000,0.3624,0.0000,4.7050,7.1709,8.7870,0.0000,4.7037,7.1709,8.7870,
15/03/2015 20:00:02,0.0000,0.0292,0.0087,0.0863,0.0000,0.0294,0.0087,0.0865,0.0000,0.0279,0.0209,0.0843,0.0000,0.0280,0.0210,0.0843,0.0000,0.0704,0.1020,0.2004,0.0000,0.0704,0.1023,0.2004,0.0000,2.8458,0.0000,8.5665,0.0000,2.7873,0.0000,8.3484,0.0000,3.8653,0.0000,11.6084,0.0000,3.8507,0.0000,11.5956,0.0000,14.2297,20.0241,23.9529,0.0000,14.2456,20.0241,24.0437,0.0000,3.0969,1.7455,8.8463,0.0000,3.1103,1.7455,8.8656,0.0000,0.6355,0.0000,2.4615,0.0000,0.6365,0.0000,2.4527,0.0000,0.1325,0.0000,0.3487,0.0000,0.1323,0.0000,0.3480,0.0000,4.9052,7.2023,8.7843,0.0000,4.8984,7.2023,8.7843,
16/03/2015 00:00:02,0.0000,0.0312,0.0134,0.0887,0.0000,0.0315,0.0134,0.0898,0.0000,0.0291,0.0214,0.0854,0.0000,0.0293,0.0214,0.0865,0.0000,0.0725,0.1075,0.2003,0.0000,0.0724,0.1071,0.2003,0.0000,2.8077,0.0000,8.4629,0.0000,2.7553,0.0000,8.2601,0.0000,4.1534,0.0000,11.5944,0.0000,4.1113,0.0000,11.5830,0.0000,14.3275,19.6651,23.3880,0.0000,14.3406,19.6657,23.3880,0.0000,3.0715,1.7552,8.5980,0.0000,3.1136,1.7554,8.5980,0.0000,0.6084,0.0000,2.3520,0.0000,0.6173,0.0000,2.3670,0.0000,0.1370,0.0000,0.3420,0.0000,0.1366,0.0000,0.3411,0.0000,5.0333,7.1895,8.7819,0.0000,5.0237,7.1814,8.7819,
16/03/2015 04:00:01,0.0000,0.0318,0.0167,0.0966,0.0000,0.0321,0.0167,0.0966,0.0000,0.0294,0.0250,0.0844,0.0000,0.0296,0.0250,0.0843,0.0000,0.0754,0.1103,0.2003,0.0000,0.0754,0.1103,0.2003,0.0000,2.6931,0.0000,8.3653,0.0000,2.6241,0.0000,8.0187,0.0000,4.6399,0.0000,11.5939,0.0000,4.5965,0.0000,11.5568,0.0000,14.3585,19.6342,22.9133,0.0000,14.3690,19.6368,22.9133,0.0000,2.7019,1.7538,7.8207,0.0000,2.7415,1.7538,7.8207,0.0000,0.5190,0.0000,2.3018,0.0000,0.5281,0.0000,2.2847,0.0000,0.1411,0.0000,0.3420,0.0000,0.1408,0.0000,0.3405,0.0000,5.1427,7.1568,8.7795,0.0000,5.1346,7.1255,8.7795,
16/03/2015 08:00:02,0.0000,0.0324,0.0226,0.1160,0.0000,0.0326,0.0229,0.1160,0.0000,0.0285,0.0265,0.0840,0.0000,0.0287,0.0266,0.0840,0.0000,0.0747,0.0958,0.2003,0.0000,0.0747,0.0957,0.2003,0.0000,2.6282,0.0000,8.4211,0.0000,2.5479,0.0000,8.1337,0.0000,4.9375,0.0000,11.5939,0.0000,4.9116,0.0000,11.5568,0.0000,14.3772,19.6459,22.8709,0.0000,14.3874,19.6423,22.8709,0.0000,2.4652,1.7589,7.8207,0.0000,2.4836,1.7577,7.8207,0.0000,0.4277,0.0000,2.3018,0.0000,0.4329,0.0000,2.2847,0.0000,0.1378,0.0000,0.3420,0.0000,0.1376,0.0000,0.3405,0.0000,5.2230,7.0348,8.7770,0.0000,5.2131,7.0023,8.7770,
16/03/2015 12:00:02,0.0000,0.0351,0.0207,0.1239,0.0000,0.0351,0.0207,0.1239,0.0000,0.0299,0.0282,0.0882,0.0000,0.0300,0.0282,0.0882,0.0000,0.0730,0.0812,0.2003,0.0000,0.0730,0.0812,0.2003,0.0000,2.5221,0.0000,8.4942,0.0000,2.4597,0.0000,8.2112,0.0000,4.7958,0.0000,11.5939,0.0000,4.7876,0.0000,11.5646,0.0000,15.1515,20.1529,24.3578,0.0000,15.1459,20.1308,24.3578,0.0000,2.6408,1.7646,6.7046,0.0000,2.6426,1.7641,6.6943,0.0000,0.4656,0.0000,2.3018,0.0000,0.4650,0.0000,2.2847,0.0000,0.1346,0.0000,0.3420,0.0000,0.1344,0.0000,0.3405,0.0000,5.3544,7.2050,8.7754,0.0000,5.3533,7.2052,8.7754,
