Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8451,6.1886,6.2090,6.6720,5.8451,6.1886,6.2090,6.6720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.6663,24.6925,24.7341,24.9972,23.6663,24.6925,24.7341,24.9972,31.8658,35.8728,36.2107,36.3809,31.8658,35.8728,36.2107,36.3809,
15/03/2015 04:00:00,0.5739,0.7644,0.7500,0.9072,0.5090,0.7533,0.7696,0.9062,0.0434,0.0591,0.0564,0.0782,0.0409,0.0492,0.0490,0.0699,5.9359,6.2186,6.2451,6.3392,5.6481,6.0846,6.1332,6.3371,4.8892,10.5635,11.5739,14.0108,4.5952,9.7891,10.5201,13.8756,1.6567,2.3260,2.4175,3.3693,1.6556,2.2192,2.0762,3.4435,24.0257,24.4110,24.4682,24.7160,24.1542,24.6759,24.6681,24.9212,34.4133,35.5295,35.6081,36.3753,34.9116,36.1496,36.2286,36.3746,
15/03/2015 08:00:01,0.4714,0.7262,0.7180,0.8898,0.4699,0.7688,0.7795,0.8956,0.0372,0.0539,0.0542,0.0662,0.0371,0.0506,0.0501,0.0661,5.8559,6.1755,6.2045,6.3316,5.0969,6.0460,6.1053,6.3012,4.0172,9.2841,9.8335,12.6281,3.9387,9.8119,10.5693,13.1788,1.6059,2.3568,2.3510,3.3501,1.6446,2.1665,1.9661,3.3515,23.9899,24.3962,24.3778,24.7424,24.0075,24.5600,24.5883,24.8693,35.0663,35.8293,35.8591,36.3727,35.0558,36.0638,36.1668,36.3727,
15/03/2015 12:00:02,0.4621,0.7268,0.7147,0.8796,0.4609,0.7430,0.7519,0.8846,0.0367,0.0514,0.0516,0.0639,0.0366,0.0511,0.0505,0.0639,5.9378,6.2214,6.2466,6.4640,5.2009,6.1211,6.1439,6.4649,4.2693,9.5406,9.7190,12.7530,4.2062,9.5097,10.1263,12.5784,1.2273,2.2090,2.1153,3.1599,1.3808,2.1656,1.9566,3.1669,24.2328,24.5775,24.5672,24.8433,24.2447,24.5609,24.5528,24.8437,35.1941,35.9767,36.0312,36.3808,35.1916,36.0054,36.1045,36.3798,
15/03/2015 16:00:04,0.4465,0.7188,0.7064,0.8733,0.4454,0.7250,0.7171,0.8732,0.0358,0.0505,0.0506,0.0626,0.0357,0.0502,0.0493,0.0626,6.0513,6.2969,6.3078,6.5985,5.1386,6.1342,6.1470,6.6026,4.6049,9.9594,9.9219,13.3635,4.5444,9.4536,9.6517,13.1856,1.1718,2.1256,2.0632,3.0985,1.2900,2.1204,1.9541,3.0990,24.7684,24.9167,24.9114,25.2058,24.4118,24.7346,24.7077,25.2031,35.2629,36.0255,36.0823,36.3939,35.2596,36.0332,36.1260,36.3927,
15/03/2015 20:00:02,0.4449,0.7194,0.7134,0.8682,0.4441,0.7083,0.6961,0.8664,0.0359,0.0505,0.0508,0.0618,0.0359,0.0491,0.0485,0.0616,5.9846,6.2811,6.2808,6.5835,4.8777,6.1248,6.1532,6.5829,4.7706,9.9824,9.9375,13.3859,4.7096,9.3438,9.2622,13.2435,1.2346,2.1027,2.0321,3.0656,1.2894,2.0535,1.9278,3.0632,24.6159,24.8270,24.8103,25.0751,24.4240,24.7998,24.8267,25.0954,35.3351,36.0224,36.0752,36.3994,35.3341,36.0788,36.1572,36.3987,
16/03/2015 00:00:02,0.5025,0.7316,0.7169,0.8650,0.4993,0.7053,0.6965,0.8643,0.0385,0.0518,0.0520,0.0612,0.0384,0.0491,0.0489,0.0611,5.9459,6.2123,6.2242,6.4662,5.1893,6.0765,6.1075,6.4642,5.8224,9.8451,9.8767,12.9083,5.7309,9.1331,9.1494,12.7732,1.5124,2.1816,2.0724,3.0196,1.3969,2.0674,1.9749,3.0154,24.3048,24.6560,24.6493,24.8962,24.3266,24.7172,24.7226,25.0312,35.4064,35.9754,36.0039,36.3768,35.4054,36.0916,36.1403,36.3780,
16/03/2015 04:00:01,0.4559,0.7329,0.7119,0.8587,0.4556,0.6979,0.6874,0.8615,0.0367,0.0524,0.0529,0.0608,0.0366,0.0493,0.0493,0.0607,5.9056,6.1465,6.1620,6.3919,4.8937,6.0056,6.0403,6.3907,4.6609,9.5017,9.5438,12.2455,4.5991,8.6690,8.7615,12.1350,1.5729,2.2473,2.1186,3.1252,1.4084,2.1166,2.0184,3.1163,24.0169,24.5172,24.5106,24.7836,24.0383,24.6180,24.6305,24.9759,35.4403,35.9496,35.9411,36.4004,35.4373,36.0800,36.1202,36.3994,
16/03/2015 08:00:02,0.4569,0.7315,0.7095,0.8495,0.4560,0.6876,0.6790,0.8538,0.0367,0.0521,0.0531,0.0600,0.0366,0.0488,0.0484,0.0599,5.8832,6.0967,6.1238,6.2905,5.0524,5.9636,5.9880,6.2631,4.6155,9.3258,9.3034,11.8315,4.5592,8.3768,8.4521,11.7392,1.5263,2.2056,2.0840,3.0996,1.4392,2.0821,2.0080,3.0989,23.8575,24.3954,24.3835,24.6776,23.8725,24.5154,24.5603,24.9200,35.5060,35.9598,35.9292,36.3956,35.5146,36.0943,36.1536,36.3952,
16/03/2015 12:00:02,0.4551,0.7266,0.7099,0.8422,0.4541,0.6804,0.6757,0.8364,0.0361,0.0510,0.0518,0.0589,0.0360,0.0481,0.0476,0.0589,5.9548,6.1545,6.1889,6.3348,5.0469,5.9381,5.9525,6.3378,4.9639,9.6830,9.6106,12.0622,4.9110,8.3593,8.2748,11.9874,1.3452,2.0977,2.0068,2.8578,1.3283,2.0077,1.9395,2.8613,24.2387,24.5576,24.5606,24.7442,24.2381,24.5615,24.5693,24.8115,35.5803,36.0149,35.9962,36.4030,35.5774,36.1125,36.1761,36.4019,
