Date,NIT (mg/L) Surface MIN,NIT (mg/L) Surface MEAN,NIT (mg/L) Surface MEDIAN,NIT (mg/L) Surface MAX,NIT (mg/L) Bottom MIN,NIT (mg/L) Bottom MEAN,NIT (mg/L) Bottom MEDIAN,NIT (mg/L) Bottom MAX,AMM (mg/L) Surface MIN,AMM (mg/L) Surface MEAN,AMM (mg/L) Surface MEDIAN,AMM (mg/L) Surface MAX,AMM (mg/L) Bottom MIN,AMM (mg/L) Bottom MEAN,AMM (mg/L) Bottom MEDIAN,AMM (mg/L) Bottom MAX,FRP (mg/L) Surface MIN,FRP (mg/L) Surface MEAN,FRP (mg/L) Surface MEDIAN,FRP (mg/L) Surface MAX,FRP (mg/L) Bottom MIN,FRP (mg/L) Bottom MEAN,FRP (mg/L) Bottom MEDIAN,FRP (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,
15/03/2017 00:00:00,0.0000,0.0325,0.0226,0.1091,0.0000,0.0325,0.0226,0.1091,0.0000,0.0406,0.0341,0.0905,0.0000,0.0406,0.0341,0.0905,0.0000,0.0150,0.0117,0.0344,0.0000,0.0150,0.0117,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.1306,23.4547,23.7842,0.0000,23.1306,23.4547,23.7842,0.0000,8.9373,7.3305,16.3937,0.0000,8.9373,7.3305,16.3937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8863,8.0025,8.8388,0.0000,7.8863,8.0025,8.8388,
15/03/2017 04:00:00,0.0000,0.0374,0.0236,0.5022,0.0000,0.0403,0.0240,0.5022,0.0000,0.0464,0.0379,0.2833,0.0000,0.0476,0.0381,0.2833,0.0000,0.0151,0.0119,0.0334,0.0000,0.0159,0.0119,0.0351,0.0000,56.2140,46.7654,109.0143,0.0000,54.7075,45.6896,108.2241,0.0000,5.2930,5.5776,6.1473,0.0000,5.1256,5.4565,6.1406,0.0000,22.6702,22.8910,24.4675,0.0000,22.7588,22.9818,24.4675,0.0000,8.6305,7.2958,15.8319,0.0000,8.9859,7.2960,15.8446,0.0000,3.2342,3.3064,3.6879,0.0000,3.1708,3.2777,3.6794,0.0000,0.1497,0.1481,0.1980,0.0000,0.1476,0.1461,0.1970,0.0000,7.8119,7.9621,8.4435,0.0000,7.6727,7.9545,8.4385,
15/03/2017 08:00:01,0.0000,0.0332,0.0240,0.5027,0.0000,0.0418,0.0253,0.5027,0.0000,0.0463,0.0436,0.2836,0.0000,0.0527,0.0439,0.2836,0.0000,0.0130,0.0117,0.0240,0.0000,0.0159,0.0118,0.0357,0.0000,51.7859,45.4650,100.1397,0.0000,45.0566,41.9606,96.5430,0.0000,5.3677,5.5364,6.1041,0.0000,4.9483,5.1319,6.0749,0.0000,22.3968,22.6637,24.4949,0.0000,22.5878,22.8517,24.4949,0.0000,7.7134,7.1552,12.0104,0.0000,8.9005,7.2037,15.5819,0.0000,3.2673,3.2548,3.6541,0.0000,3.0997,3.2296,3.6247,0.0000,0.1431,0.1359,0.1943,0.0000,0.1377,0.1372,0.1901,0.0000,7.7781,7.9084,8.1590,0.0000,7.4422,7.8751,8.1551,
15/03/2017 12:00:00,0.0000,0.0309,0.0233,0.5034,0.0000,0.0438,0.0265,0.5034,0.0000,0.0470,0.0459,0.2840,0.0000,0.0580,0.0481,0.2840,0.0000,0.0128,0.0116,0.0252,0.0000,0.0166,0.0116,0.0346,0.0000,50.5901,46.6408,86.2031,0.0000,43.4614,41.0982,81.6904,0.0000,5.2987,5.4754,6.0282,0.0000,4.8342,4.9542,5.9826,0.0000,22.9009,23.0767,24.3885,0.0000,22.7096,22.9459,24.3885,0.0000,7.6876,7.1777,12.4492,0.0000,9.0549,7.1992,15.4815,0.0000,3.2550,3.2809,3.5673,0.0000,3.0709,3.2251,3.5259,0.0000,0.1419,0.1369,0.1866,0.0000,0.1371,0.1366,0.1847,0.0000,7.7051,7.7980,8.0941,0.0000,7.2163,7.6337,8.0941,
15/03/2017 16:00:00,0.0000,0.0295,0.0216,0.5039,0.0000,0.0440,0.0301,0.5039,0.0000,0.0472,0.0448,0.2844,0.0000,0.0625,0.0533,0.2844,0.0000,0.0125,0.0114,0.0236,0.0000,0.0177,0.0120,0.0344,0.0000,50.0173,45.2368,81.0783,0.0000,42.9362,40.7476,78.6485,0.0000,5.2821,5.4702,5.9303,0.0000,4.7452,4.8331,5.8994,0.0000,23.7482,23.9011,24.4608,0.0000,23.0514,23.2607,24.4608,0.0000,7.5704,7.1663,11.7167,0.0000,9.3597,7.2767,15.3334,0.0000,3.2501,3.2602,3.5114,0.0000,3.0447,3.2106,3.4926,0.0000,0.1412,0.1359,0.1820,0.0000,0.1380,0.1415,0.1803,0.0000,7.6907,7.7700,8.0182,0.0000,6.9275,7.2604,8.0174,
15/03/2017 20:00:01,0.0000,0.0307,0.0223,0.5044,0.0000,0.0415,0.0282,0.5044,0.0000,0.0527,0.0507,0.2847,0.0000,0.0638,0.0546,0.2847,0.0000,0.0126,0.0112,0.0216,0.0000,0.0169,0.0117,0.0348,0.0000,50.2774,45.3537,77.7178,0.0000,43.6522,41.0909,77.0928,0.0000,5.1451,5.3801,5.8962,0.0000,4.6854,4.7532,5.8903,0.0000,23.2755,23.4759,24.3667,0.0000,23.1213,23.4879,24.3667,0.0000,7.5048,7.2172,10.5056,0.0000,9.0198,7.2629,15.1653,0.0000,3.2559,3.2733,3.4928,0.0000,3.0710,3.2233,3.4857,0.0000,0.1417,0.1371,0.1793,0.0000,0.1381,0.1426,0.1783,0.0000,7.5103,7.6268,7.8527,0.0000,6.8324,7.2668,7.8515,
16/03/2017 00:00:01,0.0000,0.0345,0.0228,0.5049,0.0000,0.0422,0.0293,0.5049,0.0000,0.0583,0.0547,0.2850,0.0000,0.0694,0.0599,0.2850,0.0000,0.0126,0.0114,0.0205,0.0000,0.0176,0.0121,0.0357,0.0000,48.2170,42.6023,75.4218,0.0000,41.7137,39.5554,70.9375,0.0000,5.0417,5.2608,5.8758,0.0000,4.5608,4.5814,5.8008,0.0000,22.9057,23.1334,24.3810,0.0000,22.9212,23.2343,24.3810,0.0000,7.3149,7.0553,9.6463,0.0000,9.1205,7.2468,15.0824,0.0000,3.2382,3.2500,3.4835,0.0000,3.0460,3.2161,3.4365,0.0000,0.1392,0.1345,0.1779,0.0000,0.1369,0.1404,0.1747,0.0000,7.3210,7.4681,7.6203,0.0000,6.5075,6.9730,7.6195,
16/03/2017 04:00:00,0.0000,0.0313,0.0240,0.5056,0.0000,0.0435,0.0314,0.5056,0.0000,0.0611,0.0593,0.2854,0.0000,0.0751,0.0657,0.2854,0.0000,0.0126,0.0114,0.0204,0.0000,0.0183,0.0126,0.0363,0.0000,46.1243,44.4364,71.4423,0.0000,39.6876,37.4823,67.6717,0.0000,4.9543,5.1246,5.8347,0.0000,4.4683,4.4561,5.7829,0.0000,22.4743,22.6973,24.2035,0.0000,22.6649,22.9025,24.2035,0.0000,7.3337,7.1505,9.5035,0.0000,9.2277,7.2367,14.9893,0.0000,3.2312,3.2418,3.4575,0.0000,3.0214,3.1964,3.4113,0.0000,0.1372,0.1332,0.1752,0.0000,0.1355,0.1386,0.1731,0.0000,7.1769,7.3179,7.4976,0.0000,6.2474,6.7528,7.4745,
16/03/2017 08:00:01,0.0000,0.0337,0.0282,0.5061,0.0000,0.0448,0.0349,0.5061,0.0000,0.0677,0.0655,0.2857,0.0000,0.0800,0.0728,0.2857,0.0000,0.0128,0.0114,0.0203,0.0000,0.0181,0.0121,0.0367,0.0000,42.3075,39.2665,66.0436,0.0000,38.2177,36.6168,65.6032,0.0000,4.7419,4.9023,5.7455,0.0000,4.3511,4.2745,5.7377,0.0000,21.9438,22.2046,24.1913,0.0000,22.1766,22.4684,24.1913,0.0000,7.2958,7.1104,9.3251,0.0000,8.9881,7.1823,14.8698,0.0000,3.1909,3.2132,3.4082,0.0000,3.0150,3.1801,3.4029,0.0000,0.1318,0.1289,0.1696,0.0000,0.1324,0.1343,0.1691,0.0000,7.0901,7.2249,8.1805,0.0000,6.2387,6.7348,8.1805,
16/03/2017 12:00:00,0.0000,0.0347,0.0281,0.5067,0.0000,0.0452,0.0371,0.5067,0.0000,0.0695,0.0669,0.2860,0.0000,0.0844,0.0779,0.2860,0.0000,0.0132,0.0121,0.0217,0.0000,0.0198,0.0172,0.0357,0.0000,42.0120,38.9407,64.4849,0.0000,36.8937,35.5713,63.8098,0.0000,4.7329,4.9954,5.7455,0.0000,4.3234,4.2999,5.7059,0.0000,22.7100,22.9292,24.3086,0.0000,22.3752,22.5734,24.3086,0.0000,7.3995,7.1433,10.4180,0.0000,9.4486,8.4821,14.5452,0.0000,3.1745,3.1981,3.3763,0.0000,2.9755,3.1342,3.3632,0.0000,0.1320,0.1289,0.1698,0.0000,0.1337,0.1355,0.1694,0.0000,7.1773,7.2621,8.2547,0.0000,6.0330,6.5520,8.2547,
