Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5652,6.7549,7.3550,0.0000,6.5652,6.7549,7.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.3365,25.7795,26.3693,0.0000,25.3365,25.7795,26.3693,0.0000,29.8271,29.8861,33.5011,0.0000,29.8271,29.8861,33.5011,
15/03/2015 04:00:02,0.0000,1.0082,1.0373,1.1933,0.0000,1.0142,1.0410,1.1872,0.0000,0.1027,0.1063,0.1337,0.0000,0.1063,0.1102,0.1333,0.0000,6.4707,6.5627,7.2659,0.0000,6.4515,6.5628,7.1785,0.0000,13.4777,10.8408,23.6040,0.0000,13.6156,13.5995,23.4709,0.0000,1.8685,1.8513,3.7104,0.0000,1.8158,1.8382,3.7028,0.0000,24.9172,25.3657,26.1382,0.0000,25.3364,25.6550,26.2499,0.0000,28.8051,28.7885,32.4986,0.0000,30.2442,30.8375,33.9461,
15/03/2015 08:00:00,0.0000,1.0058,1.0312,1.1813,0.0000,1.0195,1.0459,1.1795,0.0000,0.1036,0.1063,0.1335,0.0000,0.1072,0.1109,0.1333,0.0000,6.4653,6.5151,7.0750,0.0000,6.3360,6.4670,7.0660,0.0000,12.5308,11.5669,21.5024,0.0000,13.7027,14.8756,21.6139,0.0000,1.8371,1.9002,3.5641,0.0000,1.8106,1.8647,3.5563,0.0000,24.8346,25.1764,25.8993,0.0000,25.1483,25.4650,26.0502,0.0000,29.2176,29.4461,31.9269,0.0000,30.3004,30.7949,33.8106,
15/03/2015 12:00:04,0.0000,0.9913,1.0305,1.1654,0.0000,1.0021,1.0329,1.1626,0.0000,0.1016,0.1072,0.1303,0.0000,0.1041,0.1084,0.1302,0.0000,6.5236,6.6007,7.1008,0.0000,6.3445,6.5235,7.1028,0.0000,12.9941,12.9301,18.9724,0.0000,13.5202,14.1938,19.3879,0.0000,1.8600,1.8780,2.5109,0.0000,1.8141,1.8417,2.4623,0.0000,24.9331,25.2231,25.7446,0.0000,25.0728,25.3481,26.0250,0.0000,29.7986,30.2281,31.8389,0.0000,30.3382,30.7155,33.6312,
15/03/2015 16:00:02,0.0000,0.9762,1.0208,1.1528,0.0000,0.9811,1.0188,1.1503,0.0000,0.0996,0.1066,0.1284,0.0000,0.1012,0.1065,0.1282,0.0000,6.5981,6.6500,7.2192,0.0000,6.3298,6.5947,7.2233,0.0000,13.5432,13.5225,19.2380,0.0000,13.4833,14.2182,18.5135,0.0000,1.8662,1.8492,2.4432,0.0000,1.8270,1.8269,2.4409,0.0000,25.3015,25.5350,26.0146,0.0000,25.2679,25.4338,26.0812,0.0000,30.0688,30.5643,32.0000,0.0000,30.3984,30.7460,33.5335,
15/03/2015 20:00:00,0.0000,0.9696,1.0090,1.1382,0.0000,0.9735,1.0122,1.1360,0.0000,0.0987,0.1059,0.1271,0.0000,0.1000,0.1061,0.1269,0.0000,6.5707,6.6039,7.0953,0.0000,6.2002,6.5687,7.0943,0.0000,13.5525,13.5029,18.9010,0.0000,13.2695,13.8819,18.6974,0.0000,1.8767,1.8330,2.4195,0.0000,1.8314,1.8192,2.4031,0.0000,25.1718,25.3653,25.9214,0.0000,25.2506,25.4206,25.9644,0.0000,30.1836,30.6527,32.2757,0.0000,30.4781,30.7208,33.4533,
16/03/2015 00:00:03,0.0000,0.9764,1.0152,1.1467,0.0000,0.9777,1.0132,1.1433,0.0000,0.1001,0.1069,0.1285,0.0000,0.1009,0.1066,0.1282,0.0000,6.4797,6.5542,6.9038,0.0000,6.0107,6.4041,6.9032,0.0000,13.3282,13.4142,18.1395,0.0000,12.9621,13.5955,17.9906,0.0000,1.8676,1.8446,2.3993,0.0000,1.8221,1.8267,2.3697,0.0000,24.9311,25.1461,25.7004,0.0000,25.1276,25.3648,25.8593,0.0000,30.0834,30.5938,31.9556,0.0000,30.4651,30.7440,33.6720,
16/03/2015 04:00:00,0.0000,0.9924,1.0225,1.1625,0.0000,0.9887,1.0150,1.1534,0.0000,0.1032,0.1077,0.1312,0.0000,0.1031,0.1073,0.1306,0.0000,6.3489,6.4537,6.7217,0.0000,5.8586,6.2930,6.7206,0.0000,13.1269,13.1610,17.1727,0.0000,12.7082,13.2136,16.9662,0.0000,1.8440,1.8634,2.4822,0.0000,1.8097,1.8240,2.4778,0.0000,24.7785,24.9416,25.4943,0.0000,25.0060,25.2880,25.7819,0.0000,29.8840,30.3281,31.8818,0.0000,30.3072,30.6727,33.8670,
16/03/2015 08:00:01,0.0000,0.9956,1.0228,1.2152,0.0000,0.9863,1.0124,1.1603,0.0000,0.1036,0.1079,0.1325,0.0000,0.1028,0.1073,0.1303,0.0000,6.2503,6.3635,6.5716,0.0000,5.7643,6.1632,6.5704,0.0000,12.7948,12.9278,16.1955,0.0000,12.3075,12.7046,16.0445,0.0000,1.8497,1.8644,3.7057,0.0000,1.8116,1.8264,3.7006,0.0000,24.4973,24.6910,25.2819,0.0000,24.8471,25.1635,25.7106,0.0000,29.7718,30.2789,31.9790,0.0000,30.2895,30.6548,33.9754,
16/03/2015 12:00:01,0.0000,0.9712,1.0035,1.1493,0.0000,0.9659,0.9981,1.1469,0.0000,0.0999,0.1058,0.1287,0.0000,0.0994,0.1053,0.1285,0.0000,6.2963,6.4051,6.7976,0.0000,5.8993,6.2531,6.7972,0.0000,12.9464,13.3067,16.2038,0.0000,12.2662,12.6923,16.0592,0.0000,1.8545,1.8188,2.3200,0.0000,1.8211,1.8205,2.3116,0.0000,24.6968,24.8677,25.3482,0.0000,24.8381,25.0821,25.7219,0.0000,30.1922,30.6125,32.5235,0.0000,30.4742,30.6449,33.9397,
