Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4291,6.4379,6.4379,0.0000,6.4291,6.4379,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.1934,24.2217,24.4900,0.0000,24.1934,24.2217,24.4900,0.0000,36.5005,36.5491,36.5491,0.0000,36.5005,36.5491,36.5491,
15/03/2015 04:00:01,0.0000,0.3537,0.3397,0.4036,0.0000,0.3439,0.3393,0.4009,0.0000,0.0216,0.0194,0.0308,0.0000,0.0202,0.0193,0.0307,0.5005,6.4095,6.4187,6.4416,0.5005,6.3927,6.4091,6.4283,0.0000,2.5860,2.4172,3.5667,0.0000,2.4525,2.4045,3.5371,0.0000,0.8520,0.7833,1.2327,0.0000,0.8057,0.7818,1.2126,1.9788,24.0954,24.1373,24.2939,1.9788,24.1408,24.1828,24.2878,2.8487,36.4245,36.5429,36.5467,2.8487,36.4717,36.5432,36.5523,
15/03/2015 08:00:02,0.0000,0.3469,0.3410,0.3888,0.0000,0.3419,0.3391,0.3841,0.0000,0.0207,0.0197,0.0275,0.0000,0.0200,0.0195,0.0267,1.7082,6.4013,6.4056,6.4325,1.7082,6.3816,6.3924,6.4272,0.0000,2.4689,2.3992,3.3101,0.0000,2.3920,2.3647,2.9149,0.0000,0.8243,0.7892,1.1105,0.0000,0.7988,0.7825,1.0301,7.8503,24.0529,24.0886,24.2319,7.8503,24.0953,24.1340,24.2229,9.7324,36.4662,36.5318,36.5458,9.7324,36.4851,36.5377,36.5458,
15/03/2015 12:00:02,0.0000,0.3400,0.3393,0.3566,0.0000,0.3384,0.3385,0.3541,0.0000,0.0197,0.0195,0.0222,0.0000,0.0196,0.0195,0.0220,3.3273,6.4257,6.4203,6.5405,3.3273,6.3914,6.3888,6.5444,0.0000,2.4463,2.4354,2.6631,0.0000,2.3826,2.3743,2.6694,0.0000,0.7916,0.7844,0.8842,0.0000,0.7873,0.7828,0.8763,14.2445,24.1786,24.1949,24.2273,14.2445,24.1443,24.1518,24.2381,18.9106,36.5059,36.5384,36.5472,18.9106,36.5078,36.5372,36.5463,
15/03/2015 16:00:00,0.0000,0.3376,0.3379,0.3425,0.0000,0.3350,0.3359,0.3467,0.0000,0.0195,0.0194,0.0203,0.0000,0.0194,0.0194,0.0210,4.8796,6.4507,6.4452,6.6301,4.8796,6.3985,6.3985,6.6339,0.0000,2.5704,2.5781,2.7145,0.0000,2.4249,2.4168,2.6943,0.0000,0.7846,0.7819,0.8095,0.0000,0.7814,0.7807,0.8372,19.7238,24.4285,24.4330,24.6001,19.7238,24.2502,24.2044,24.6117,27.6740,36.5268,36.5429,36.5528,27.6740,36.5240,36.5368,36.5528,
15/03/2015 20:00:03,0.0000,0.3366,0.3371,0.3409,0.0000,0.3344,0.3356,0.3446,0.0000,0.0195,0.0194,0.0199,0.0000,0.0196,0.0196,0.0214,5.4136,6.4340,6.4341,6.5679,5.4136,6.3580,6.3646,6.5672,0.0000,2.5731,2.5900,2.7207,0.0000,2.4267,2.4161,2.6880,0.0000,0.7826,0.7812,0.7984,0.0000,0.7795,0.7791,0.8396,21.5346,24.3234,24.3371,24.5280,21.5346,24.2678,24.2374,24.5500,30.6989,36.5309,36.5405,36.5567,30.6989,36.5267,36.5338,36.5567,
16/03/2015 00:00:01,0.0000,0.3371,0.3378,0.3516,0.0000,0.3353,0.3361,0.3481,0.0000,0.0197,0.0197,0.0220,0.0000,0.0198,0.0197,0.0218,5.5239,6.3917,6.3972,6.4785,5.5239,6.3335,6.3563,6.4758,0.0000,2.4886,2.5002,2.7966,0.0000,2.3982,2.4171,2.7630,0.0000,0.7861,0.7854,0.8771,0.0000,0.7832,0.7815,0.8670,21.8908,24.2155,24.2169,24.4264,21.8908,24.2054,24.1956,24.4480,31.3766,36.5245,36.5301,36.5578,31.3766,36.5215,36.5282,36.5575,
16/03/2015 04:00:04,0.0000,0.3395,0.3380,0.3716,0.0000,0.3377,0.3372,0.3703,0.0000,0.0203,0.0198,0.0256,0.0000,0.0202,0.0198,0.0255,5.5285,6.3511,6.3556,6.4254,5.5285,6.3186,6.3358,6.4226,0.0000,2.4764,2.4571,3.1473,0.0000,2.4157,2.4195,3.1019,0.0000,0.8032,0.7853,1.0043,0.0000,0.7969,0.7837,1.0021,21.9032,24.1428,24.1469,24.3489,21.9032,24.1545,24.1619,24.3728,31.4060,36.5136,36.5237,36.5614,31.4060,36.5135,36.5228,36.5609,
16/03/2015 08:00:01,0.0000,0.3374,0.3373,0.3626,0.0000,0.3366,0.3368,0.3565,0.0000,0.0201,0.0199,0.0238,0.0000,0.0201,0.0199,0.0231,5.5386,6.3178,6.3183,6.3852,5.5386,6.3052,6.3138,6.3834,0.0000,2.3940,2.3784,2.8504,0.0000,2.3670,2.3570,2.7238,0.0000,0.7924,0.7843,0.9336,0.0000,0.7903,0.7835,0.8996,21.9309,24.0902,24.0852,24.2846,21.9309,24.1026,24.0998,24.3010,31.4749,36.5162,36.5232,36.5549,31.4749,36.5161,36.5229,36.5546,
16/03/2015 12:00:03,0.0000,0.3348,0.3354,0.3434,0.0000,0.3334,0.3345,0.3471,0.0000,0.0198,0.0198,0.0212,0.0000,0.0198,0.0198,0.0218,5.7399,6.3401,6.3338,6.5671,5.7399,6.3057,6.3040,6.5671,0.0000,2.4504,2.4484,2.6023,0.0000,2.3681,2.3816,2.5833,0.0000,0.7816,0.7808,0.8304,0.0000,0.7811,0.7797,0.8507,22.4902,24.1829,24.1710,24.3072,22.4902,24.1462,24.1415,24.3219,32.8235,36.5269,36.5327,36.5545,32.8235,36.5227,36.5287,36.5537,
