Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2017 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4278,7.4333,7.8219,0.0000,7.4278,7.4333,7.8219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.7971,21.8259,21.8308,0.0000,21.7971,21.8259,21.8308,0.0000,29.3310,29.3769,29.3769,0.0000,29.3310,29.3769,29.3769,
15/03/2017 04:00:04,0.0000,1.8360,1.8240,1.9989,0.0000,1.8255,1.8230,1.9943,0.0000,0.0545,0.0522,0.0793,0.0000,0.0530,0.0522,0.0789,0.0000,7.3345,7.3441,7.5095,0.0000,7.3321,7.3414,7.4967,0.0000,12.8582,12.0227,23.8994,0.0000,12.2846,11.9883,23.5761,0.0000,1.1635,1.1440,1.3987,0.0000,1.1498,1.1435,1.3812,0.0000,21.6085,21.6608,21.7484,0.0000,21.6532,21.7142,21.7873,0.0000,29.2705,29.3774,29.3868,0.0000,29.3161,29.3764,29.3859,
15/03/2017 08:00:00,0.0000,1.9657,1.9814,2.0900,0.0000,1.8374,1.8220,2.0685,0.0000,0.0825,0.0856,0.1057,0.0000,0.0563,0.0525,0.1020,0.0000,7.3125,7.3230,7.4345,0.0000,7.2347,7.2422,7.4071,0.0000,22.6481,23.7385,31.2647,0.0000,13.1397,11.8245,29.7108,0.0000,1.4871,1.5384,1.6731,0.0000,1.1875,1.1441,1.6445,0.0000,21.1702,21.1609,21.6607,0.0000,21.5866,21.6475,21.7600,0.0000,27.9502,27.8374,29.3800,0.0000,29.1711,29.3681,29.3932,
15/03/2017 12:00:00,0.0000,2.0194,2.0210,2.2493,0.0000,1.8551,1.8240,2.1496,0.0000,0.0903,0.0911,0.1248,0.0000,0.0600,0.0534,0.1129,1.4606,7.4320,7.4306,7.7048,1.4606,7.1766,7.1431,7.5911,0.0000,25.9813,26.3805,37.4116,0.0000,14.3862,11.9396,33.6582,0.0000,1.5944,1.5890,2.0554,0.0000,1.2292,1.1520,1.8694,4.2997,21.7336,21.7538,21.8836,4.2997,21.6099,21.6416,21.8157,5.5544,27.3941,27.4998,29.3523,5.5544,28.9812,29.3385,29.4120,
15/03/2017 16:00:03,0.0000,2.1584,2.1640,2.2774,0.0000,1.8784,1.8277,2.1709,0.0000,0.1142,0.1148,0.1308,0.0000,0.0652,0.0550,0.1171,6.2900,7.6740,7.6911,7.7673,6.2900,7.1367,7.0490,7.7101,0.0000,35.2013,35.4686,39.7341,0.0000,16.1231,12.2724,35.9152,0.0000,1.8870,1.8978,2.0852,0.0000,1.2886,1.1676,1.9163,18.6437,22.6775,22.6794,22.8980,18.6437,21.7604,21.6803,22.8847,22.7475,25.7360,25.6715,27.4059,22.7475,28.7213,29.2669,29.4385,
15/03/2017 20:00:04,0.0000,2.1056,2.1065,2.2216,0.0000,1.8807,1.8281,2.2183,0.0000,0.1067,0.1069,0.1241,0.0000,0.0663,0.0558,0.1238,7.3014,7.5117,7.5083,7.6127,6.6887,7.0388,6.9482,7.6049,0.0000,32.1108,32.1217,37.3786,0.0000,16.2162,12.3546,37.1222,0.0000,1.7894,1.7953,2.0036,0.0000,1.3000,1.1751,2.0015,21.7929,22.1939,22.1950,22.5802,21.5079,21.7884,21.6803,22.6397,25.0609,26.3572,26.3584,27.4274,25.0594,28.6323,29.2163,29.4030,
16/03/2017 00:00:02,0.0000,2.1147,2.1142,2.1956,0.0000,1.8644,1.8194,2.1586,0.0000,0.1079,0.1078,0.1196,0.0000,0.0644,0.0547,0.1156,7.3067,7.4435,7.4463,7.5149,6.4395,6.8989,6.8384,7.4675,0.0000,31.9784,31.9631,35.4667,0.0000,15.1219,11.6512,33.3119,0.0000,1.8049,1.8062,1.9482,0.0000,1.2746,1.1619,1.8999,21.5449,21.8093,21.8001,22.2941,21.5058,21.7532,21.6766,22.5140,25.3468,26.2253,26.2424,26.9320,25.6078,28.7281,29.2495,29.3801,
16/03/2017 04:00:01,0.0000,2.1168,2.1162,2.2162,0.0000,1.8708,1.8183,2.1647,0.0000,0.1085,0.1079,0.1225,0.0000,0.0662,0.0555,0.1148,7.2553,7.3549,7.3572,7.3965,6.0359,6.8099,6.7323,7.3746,0.0000,31.3259,31.2998,35.0315,0.0000,15.4394,11.6645,32.5571,0.0000,1.8112,1.8033,1.9946,0.0000,1.2933,1.1685,1.8980,21.0194,21.5141,21.4827,22.0648,21.0598,21.7008,21.6473,22.4352,25.3118,26.2066,26.2320,26.8755,25.8679,28.6220,29.2111,29.3823,
16/03/2017 08:00:00,0.0000,2.1245,2.1229,2.2228,0.0000,1.8930,1.8210,2.1883,0.0000,0.1100,0.1096,0.1268,0.0000,0.0700,0.0564,0.1211,7.1486,7.2583,7.2697,7.3342,6.2355,6.7807,6.6468,7.3147,0.0000,30.7578,30.7652,34.7380,0.0000,16.5987,11.8093,33.5275,0.0000,1.8287,1.8254,2.0277,0.0000,1.3393,1.1735,1.9613,20.8240,21.2889,21.2840,21.9276,20.8411,21.6336,21.6362,22.2665,25.3080,26.1913,26.2080,27.1248,25.5706,28.4025,29.1711,29.4734,
16/03/2017 12:00:00,0.0000,2.1091,2.1329,2.2150,0.0000,1.9028,1.8419,2.1763,0.0000,0.1083,0.1118,0.1265,0.0000,0.0722,0.0607,0.1207,6.9474,7.2858,7.3143,7.4078,6.0602,6.7414,6.5922,7.3741,0.0000,30.6511,31.9810,35.4526,0.0000,17.2409,13.2310,33.7717,0.0000,1.8045,1.8466,2.0206,0.0000,1.3657,1.2297,1.9528,21.6852,21.9301,21.9215,22.3068,21.2156,21.6532,21.6441,22.1837,25.3274,26.3176,26.1313,28.1386,25.6319,28.2670,28.9376,29.5812,
