Date,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5667,5.7356,5.7076,5.8967,5.5667,5.7356,5.7076,5.8967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.4754,24.5341,24.5391,24.5525,24.4754,24.5341,24.5391,24.5525,35.2951,35.5814,35.5461,35.7790,35.2951,35.5814,35.5461,35.7790,
15/03/2015 04:00:02,0.7322,0.8204,0.8221,0.9301,0.7269,0.8130,0.8197,0.9297,0.0536,0.0602,0.0599,0.0738,0.0528,0.0596,0.0599,0.0739,5.2258,5.6878,5.7004,5.8320,5.2139,5.6650,5.6846,5.8192,6.5367,7.2661,7.2168,8.7688,6.0141,7.1026,7.1338,8.7201,1.7024,1.7216,1.7217,1.7292,1.6976,1.7183,1.7191,1.7278,22.8370,24.2993,24.3441,24.4194,22.8370,24.3425,24.3837,24.4884,34.5616,35.5045,35.5483,35.7312,34.5567,35.5324,35.5483,35.7403,
15/03/2015 08:00:04,0.7346,0.8129,0.8193,0.8834,0.7331,0.8116,0.8175,0.8821,0.0540,0.0597,0.0599,0.0685,0.0539,0.0596,0.0598,0.0684,5.5480,5.7613,5.7553,6.2601,5.3276,5.7440,5.7404,6.2601,5.7221,6.9659,6.9836,7.8145,5.5983,6.8853,6.9076,7.7549,1.6746,1.7171,1.7178,1.7205,1.6700,1.7148,1.7156,1.7188,22.6567,24.1405,24.1756,24.3077,22.6567,24.1636,24.2026,24.4204,34.9537,35.5410,35.5528,35.7615,34.9531,35.5422,35.5526,35.7582,
15/03/2015 12:00:00,0.7359,0.8010,0.8135,0.8493,0.7337,0.7989,0.8116,0.8488,0.0533,0.0586,0.0596,0.0646,0.0532,0.0585,0.0595,0.0646,5.8148,5.9555,5.9321,6.8633,5.7767,5.9370,5.9144,6.8633,5.7443,7.0714,7.0998,8.0439,5.6582,6.9852,7.0070,8.0416,1.6632,1.7145,1.7152,1.7207,1.6599,1.7122,1.7130,1.7192,22.9788,24.3039,24.3288,24.4247,22.9866,24.2987,24.3305,24.4317,35.1999,35.5901,35.5637,35.8419,35.1944,35.5909,35.5624,35.8432,
15/03/2015 16:00:03,0.7366,0.7923,0.8046,0.8264,0.7349,0.7888,0.8015,0.8223,0.0505,0.0579,0.0589,0.0620,0.0503,0.0575,0.0587,0.0616,5.9415,6.1071,6.0913,7.0943,5.7659,6.0588,6.0509,7.0948,6.2298,7.5652,7.5617,8.9251,6.1555,7.3636,7.3918,8.7656,1.6588,1.7138,1.7142,1.7224,1.6561,1.7095,1.7104,1.7198,23.8034,24.7179,24.7168,24.8370,23.8143,24.6142,24.6131,24.8466,35.3526,35.6243,35.5800,35.8832,35.3708,35.6253,35.5749,35.8775,
15/03/2015 20:00:01,0.7255,0.7884,0.7996,0.8155,0.7239,0.7873,0.7980,0.8146,0.0498,0.0575,0.0586,0.0610,0.0496,0.0574,0.0585,0.0610,5.8892,6.1099,6.1022,6.9968,5.5613,6.0774,6.0896,6.9969,6.2536,7.6969,7.6676,9.3593,6.1890,7.6118,7.5777,9.2818,1.6537,1.7115,1.7117,1.7221,1.6513,1.7086,1.7093,1.7208,23.6657,24.6595,24.6735,24.7899,23.6879,24.6808,24.6960,24.8121,35.4200,35.6479,35.5951,35.8991,35.4196,35.6519,35.5944,35.8984,
16/03/2015 00:00:03,0.7278,0.7914,0.8004,0.8194,0.7260,0.7900,0.7992,0.8170,0.0505,0.0581,0.0590,0.0619,0.0504,0.0580,0.0589,0.0617,5.8382,6.0292,6.0221,6.7058,5.8292,6.0235,6.0171,6.7056,5.9435,7.4407,7.4336,8.5163,5.8730,7.3717,7.3632,8.4518,1.6457,1.7073,1.7081,1.7167,1.6430,1.7052,1.7062,1.7156,22.8721,24.4460,24.4751,24.6196,22.8721,24.4675,24.4970,24.6427,35.3864,35.6259,35.5985,35.8631,35.3961,35.6264,35.5981,35.8629,
16/03/2015 04:00:01,0.7294,0.7988,0.8026,0.8587,0.7272,0.7970,0.8010,0.8575,0.0514,0.0592,0.0593,0.0672,0.0512,0.0591,0.0592,0.0671,5.8242,5.9532,5.9528,6.4272,5.8039,5.9466,5.9450,6.4272,5.4781,7.2612,7.2198,8.2866,5.3069,7.1841,7.1506,8.2296,1.6338,1.7031,1.7044,1.7095,1.6268,1.7009,1.7024,1.7086,21.6922,24.2087,24.2623,24.4569,21.6922,24.2316,24.2879,24.4801,35.0109,35.5709,35.5970,35.8026,35.0126,35.5734,35.5963,35.8019,
16/03/2015 08:00:00,0.7299,0.7961,0.8019,0.8406,0.7279,0.7947,0.8005,0.8395,0.0522,0.0591,0.0594,0.0653,0.0521,0.0590,0.0593,0.0652,5.7587,5.8773,5.8783,6.1524,5.7553,5.8705,5.8715,6.1520,5.1526,7.0640,7.0447,7.6883,5.0836,6.9902,6.9756,7.6376,1.6193,1.6998,1.7008,1.7073,1.6161,1.6976,1.6989,1.7059,21.0691,24.0525,24.0976,24.3319,21.0691,24.0704,24.1151,24.3502,35.1744,35.5917,35.6001,35.8118,35.1749,35.5924,35.5996,35.8110,
16/03/2015 12:00:00,0.7150,0.7875,0.7932,0.8242,0.7135,0.7857,0.7919,0.8230,0.0507,0.0581,0.0587,0.0633,0.0506,0.0579,0.0586,0.0632,5.8291,5.9547,5.9450,6.5401,5.7514,5.9283,5.9205,6.5401,5.4128,7.3464,7.2785,8.7456,5.3704,7.2313,7.1730,8.6279,1.6147,1.6992,1.7000,1.7141,1.6122,1.6965,1.6975,1.7111,21.8671,24.2331,24.3014,24.4285,21.8698,24.2335,24.3029,24.4391,35.2981,35.6466,35.6173,35.8862,35.2979,35.6464,35.6153,35.8847,
