Date,BC BASE Flow Local (ML),BC BASE Flow Local + Upstream (ML),BC BASE TN Local (KG),BC BASE TN Local + Upstream (KG),BC BASE TP Local (KG),BC BASE TP Local + Upstream (KG),BC BASE OXY Local (KG),BC BASE OXY Local + Upstream (KG),BC Capped Flow Local (ML),BC Capped Flow Local + Upstream (ML),BC Capped TN Local (KG),BC Capped TN Local + Upstream (KG),BC Capped TP Local (KG),BC Capped TP Local + Upstream (KG),BC Capped OXY Local (KG),BC Capped OXY Local + Upstream (KG),BC Dry Flow Local (ML),BC Dry Flow Local + Upstream (ML),BC Dry TN Local (KG),BC Dry TN Local + Upstream (KG),BC Dry TP Local (KG),BC Dry TP Local + Upstream (KG),BC Dry OXY Local (KG),BC Dry OXY Local + Upstream (KG),BC Wet Flow Local (ML),BC Wet Flow Local + Upstream (ML),BC Wet TN Local (KG),BC Wet TN Local + Upstream (KG),BC Wet TP Local (KG),BC Wet TP Local + Upstream (KG),BC Wet OXY Local (KG),BC Wet OXY Local + Upstream (KG),BC Targets Flow Local (ML),BC Targets Flow Local + Upstream (ML),BC Targets TN Local (KG),BC Targets TN Local + Upstream (KG),BC Targets TP Local (KG),BC Targets TP Local + Upstream (KG),BC Targets OXY Local (KG),BC Targets OXY Local + Upstream (KG),Field Mean TN (mg/L),Field Mean TP (mg/L),Field Mean TCHLA (ug/L),Field Mean Oxygen (mg/L),Field Mean TEMP (C),Field Mean Salinity (psu),SCERM44_2015_2016_ALL Mean TN (mg/L),SCERM44_2015_2016_ALL Mean TP (mg/L),SCERM44_2015_2016_ALL Mean Oxy (mg/L),SCERM44_2015_2016_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_ALL Mean Salinity (psu),SCERM44_2015_2016_Capped_ALL Mean TN (mg/L),SCERM44_2015_2016_Capped_ALL Mean TP (mg/L,)SCERM44_2015_2016_Capped_ALL Mean Oxy (mg/L),SCERM44_2015_2016_Capped_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_Capped_ALL Mean Salinity (psu),SCERM44_2015_2016_Dry_ALL Mean TN (mg/L),SCERM44_2015_2016_Dry_ALL Mean TP (mg/L),SCERM44_2015_2016_Dry_ALL Mean Oxy (mg/L),SCERM44_2015_2016_Dry_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_Dry_ALL Mean Salinity (psu),SCERM44_2015_2016_Target_ALL Mean TN (mg/L),SCERM44_2015_2016_Target_ALL Mean TP (mg/L),SCERM44_2015_2016_Target_ALL Mean Oxy (mg/L),SCERM44_2015_2016_Target_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_Target_ALL Mean Salinity (psu),SCERM44_2017_2018_ALL Mean TN (mg/L),SCERM44_2017_2018_ALL Mean TP (mg/L),SCERM44_2017_2018_ALL Mean Oxy (mg/L),SCERM44_2017_2018_ALL Mean TCHLA (ug/L),SCERM44_2017_2018_ALL Mean Salinity (psu),SCERM44_2017_2018_Wet_ALL Mean TN (mg/L),SCERM44_2017_2018_Wet_ALL Mean TP (mg/L),SCERM44_2017_2018_Wet_ALL Mean Oxy (mg/L),SCERM44_2017_2018_Wet_ALL Mean TCHLA (ug/L),SCERM44_2017_2018_Wet_ALL Mean Salinity (psu),
01/2008,370.7942,370.7942,263.8806,263.8806,21.3768,21.3768,2779.1379,2779.1379,370.7942,370.7942,163.5800,163.5800,12.3800,12.3800,2779.1379,2779.1379,204.7853,204.7853,128.5921,128.5921,10.2184,10.2184,1578.7953,1578.7953,308.5171,308.5171,213.1150,213.1150,17.2502,17.2502,2334.8015,2334.8015,370.7942,370.7942,260.6894,260.6894,21.3767,21.3767,2779.1379,2779.1379,0.9260,0.1600,8.6800,5.1580,25.8320,29.4902, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
02/2008,1276.3008,1276.3008,1398.9581,1398.9581,106.9142,106.9142,9009.0975,9009.0975,1276.3008,1276.3008,637.3288,637.3288,42.2988,42.2988,9009.0975,9009.0975,544.7002,544.7002,494.8447,494.8447,37.9065,37.9065,3854.1326,3854.1326,2341.2586,2341.2586,2968.8017,2968.8017,223.4391,223.4391,16218.9845,16218.9845,1276.3008,1276.3008,1166.1397,1166.1397,95.4018,95.4018,9009.0975,9009.0975,0.8550,0.1188,6.8750,4.8100,24.3700,27.0379, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
03/2008,536.5526,536.5526,445.6081,445.6081,35.4257,35.4257,3611.2797,3611.2797,536.5526,536.5526,246.7275,246.7275,17.2674,17.2674,3611.2797,3611.2797,320.8896,320.8896,246.9254,246.9254,19.2368,19.2368,2140.5371,2140.5371,422.4960,422.4960,318.5016,318.5016,25.8447,25.8447,2903.7512,2903.7512,536.5526,536.5526,407.2575,407.2575,33.8831,33.8831,3611.2797,3611.2797,0.8975,0.1135,6.4750,5.2133,21.6811,30.7383, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
04/2008,4303.9901,4303.9901,4933.6599,4933.6599,382.8196,382.8196,29643.0580,29643.0580,4303.9901,4303.9901,2291.3675,2291.3675,151.5992,151.5992,29643.0580,29643.0580,1608.2150,1608.2150,1504.6386,1504.6386,115.5101,115.5101,11095.2815,11095.2815,2705.7974,2705.7974,2800.7882,2800.7882,216.5834,216.5834,18643.8811,18643.8811,4303.9901,4303.9901,4073.2952,4073.2952,339.9624,339.9624,29643.0580,29643.0580,0.9180,0.1076,19.9000,4.8020,19.9380,16.8233, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
05/2008,4404.3782,4404.3782,4784.7424,4784.7424,387.7939,387.7939,30176.2740,30176.2740,4404.3782,4404.3782,2392.0441,2392.0441,160.1320,160.1320,30176.2740,30176.2740,1770.6038,1770.6038,1649.8314,1649.8314,125.4583,125.4583,12153.7349,12153.7349,4396.1875,4396.1875,4958.8491,4958.8491,397.1755,397.1755,30183.1308,30183.1308,4404.3782,4404.3782,4195.5802,4195.5802,360.7850,360.7850,30176.2740,30176.2740,0.5925,0.0717,12.5750,6.7687,19.0538,17.9074, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
06/2008,10887.2726,10887.2726,17198.5829,17198.5829,1180.0156,1180.0156,87431.8436,87431.8436,10887.2726,10887.2726,6218.1196,6218.1196,386.4843,386.4843,87431.8436,87431.8436,3869.2771,3869.2771,4261.0159,4261.0159,327.2211,327.2211,30982.6875,30982.6875,10382.6189,10382.6189,16406.6808,16406.6808,1140.2222,1140.2222,83476.8847,83476.8847,10887.2726,10887.2726,12252.7855,12252.7855,1074.9819,1074.9819,87431.8436,87431.8436,0.9050,0.0705,9.3500,5.6938,14.8300,8.9652, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
07/2008,19344.1306,19344.1306,37062.7532,37062.7532,2184.9829,2184.9829,169147.6981,169147.6981,19344.1306,19344.1306,11197.0503,11197.0503,622.7222,622.7222,169147.6981,169147.6981,7152.3994,7152.3994,10084.3016,10084.3016,737.8000,737.8000,62784.7877,62784.7877,22155.2323,22155.2323,43622.4747,43622.4747,2536.1228,2536.1228,193612.0939,193612.0939,19344.1306,19344.1306,24127.5423,24127.5423,1964.8227,1964.8227,169147.6981,169147.6981,1.2680,0.0630,2.7750,6.8383,13.5700,8.3108, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
08/2008,9443.3990,9443.3990,14204.0868,14204.0868,877.4212,877.4212,84416.1158,84416.1158,9443.3990,9443.3990,5099.5495,5099.5495,303.7679,303.7679,84416.1158,84416.1158,4492.6790,4492.6790,6586.6128,6586.6128,456.8406,456.8406,40225.2209,40225.2209,9484.5427,9484.5427,14103.4433,14103.4433,865.5517,865.5517,84726.4526,84726.4526,9443.3990,9443.3990,10076.5257,10076.5257,794.2702,794.2702,84416.1158,84416.1158,1.4300,0.0715,6.6750,8.3630,13.4700,4.0172, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
09/2008,8889.7046,8889.7046,12871.5083,12871.5083,853.4645,853.4645,77013.1606,77013.1606,8889.7046,8889.7046,4758.5249,4758.5249,300.6648,300.6648,77013.1606,77013.1606,4220.4845,4220.4845,4693.3923,4693.3923,363.6525,363.6525,36668.1827,36668.1827,7479.0346,7479.0346,9862.0620,9862.0620,687.3758,687.3758,64955.8417,64955.8417,8889.7046,8889.7046,8982.0403,8982.0403,774.4957,774.4957,77013.1606,77013.1606,0.9725,0.0698,17.0250,7.5713,16.3812,7.0978, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
10/2008,5940.4925,5940.4925,6588.6130,6588.6130,473.2393,473.2393,45085.7887,45085.7887,5940.4925,5940.4925,3057.0634,3057.0634,196.0688,196.0688,45085.7887,45085.7887,2347.1942,2347.1942,2253.0282,2253.0282,177.9805,177.9805,18135.2038,18135.2038,4652.2426,4652.2426,4839.2559,4839.2559,361.3775,361.3775,35602.9097,35602.9097,5940.4925,5940.4925,5329.5659,5329.5659,435.1007,435.1007,45085.7887,45085.7887,1.4280,0.1678,11.4200,6.2570,19.4750,5.3031, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
