Date,NIT (mg/L) Surface MIN,NIT (mg/L) Surface MEAN,NIT (mg/L) Surface MEDIAN,NIT (mg/L) Surface MAX,NIT (mg/L) Bottom MIN,NIT (mg/L) Bottom MEAN,NIT (mg/L) Bottom MEDIAN,NIT (mg/L) Bottom MAX,AMM (mg/L) Surface MIN,AMM (mg/L) Surface MEAN,AMM (mg/L) Surface MEDIAN,AMM (mg/L) Surface MAX,AMM (mg/L) Bottom MIN,AMM (mg/L) Bottom MEAN,AMM (mg/L) Bottom MEDIAN,AMM (mg/L) Bottom MAX,FRP (mg/L) Surface MIN,FRP (mg/L) Surface MEAN,FRP (mg/L) Surface MEDIAN,FRP (mg/L) Surface MAX,FRP (mg/L) Bottom MIN,FRP (mg/L) Bottom MEAN,FRP (mg/L) Bottom MEDIAN,FRP (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,
15/03/2015 00:00:00,0.0000,0.0170,0.0000,0.0593,0.0000,0.0170,0.0000,0.0593,0.0000,0.0224,0.0000,0.0828,0.0000,0.0224,0.0000,0.0828,0.0000,0.0489,0.0000,0.2054,0.0000,0.0489,0.0000,0.2054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4452,0.0000,22.6071,0.0000,6.4452,0.0000,22.6071,0.0000,2.1441,0.0000,10.8847,0.0000,2.1441,0.0000,10.8847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9141,0.0000,7.3506,0.0000,1.9141,0.0000,7.3506,
15/03/2015 04:00:01,0.0000,0.0180,0.0000,0.0756,0.0000,0.0181,0.0000,0.0756,0.0000,0.0236,0.0000,0.0841,0.0000,0.0236,0.0000,0.0841,0.0000,0.0574,0.0000,0.2031,0.0000,0.0575,0.0000,0.2031,0.0000,2.1249,0.0000,8.5936,0.0000,2.0649,0.0000,8.4001,0.0000,2.4555,0.0000,11.6291,0.0000,2.4468,0.0000,11.6177,0.0000,8.7540,0.0000,22.2303,0.0000,8.7555,0.0000,22.2321,0.0000,2.3189,0.0000,10.7176,0.0000,2.3239,0.0000,10.7176,0.0000,0.5440,0.0000,2.9704,0.0000,0.5436,0.0000,2.9609,0.0000,0.0955,0.0000,0.4121,0.0000,0.0953,0.0000,0.4112,0.0000,3.1128,0.0000,8.7937,0.0000,3.1102,0.0000,8.7937,
15/03/2015 08:00:02,0.0000,0.0194,0.0032,0.0859,0.0000,0.0195,0.0032,0.0859,0.0000,0.0244,0.0056,0.0895,0.0000,0.0244,0.0056,0.0895,0.0000,0.0611,0.0145,0.2013,0.0000,0.0612,0.0145,0.2013,0.0000,2.4859,0.0000,8.5986,0.0000,2.4189,0.0000,8.3996,0.0000,3.2523,0.0000,11.6251,0.0000,3.2408,0.0000,11.6135,0.0000,10.0838,2.4587,22.1345,0.0000,10.0848,2.4587,22.1345,0.0000,2.4174,0.4118,10.6200,0.0000,2.4251,0.4118,10.6200,0.0000,0.5764,0.0000,2.7600,0.0000,0.5770,0.0000,2.7545,0.0000,0.1144,0.0000,0.3729,0.0000,0.1143,0.0000,0.3746,0.0000,3.8206,0.8307,8.7913,0.0000,3.8182,0.8307,8.7913,
15/03/2015 12:00:02,0.0000,0.0208,0.0069,0.0801,0.0000,0.0208,0.0069,0.0801,0.0000,0.0253,0.0116,0.0857,0.0000,0.0253,0.0116,0.0857,0.0000,0.0684,0.0461,0.1999,0.0000,0.0684,0.0461,0.1999,0.0000,2.6044,0.0000,8.6027,0.0000,2.5399,0.0000,8.3969,0.0000,3.7685,0.0000,11.6204,0.0000,3.7604,0.0000,11.6086,0.0000,11.9812,19.8437,22.8375,0.0000,11.9791,19.8230,22.8375,0.0000,2.3265,1.7398,10.0241,0.0000,2.3312,1.7398,10.0241,0.0000,0.5315,0.0000,2.6663,0.0000,0.5307,0.0000,2.6575,0.0000,0.1216,0.0000,0.3527,0.0000,0.1213,0.0000,0.3521,0.0000,4.5587,7.1112,8.7890,0.0000,4.5584,7.1112,8.7890,
15/03/2015 16:00:00,0.0000,0.0202,0.0069,0.0802,0.0000,0.0203,0.0069,0.0803,0.0000,0.0235,0.0116,0.0821,0.0000,0.0236,0.0116,0.0821,0.0000,0.0692,0.0462,0.1990,0.0000,0.0693,0.0462,0.1990,0.0000,2.6690,0.0000,8.5983,0.0000,2.6041,0.0000,8.3882,0.0000,4.2261,0.0000,11.6149,0.0000,4.2125,0.0000,11.6028,0.0000,13.4609,20.7480,24.6693,0.0000,13.4498,20.7480,24.6693,0.0000,2.0888,1.7408,7.2554,0.0000,2.0986,1.7408,7.2554,0.0000,0.4341,0.0000,2.5222,0.0000,0.4359,0.0000,2.5144,0.0000,0.1222,0.0000,0.3493,0.0000,0.1220,0.0000,0.3487,0.0000,4.8391,7.1546,8.7867,0.0000,4.8370,7.1546,8.7867,
15/03/2015 20:00:03,0.0000,0.0212,0.0083,0.0897,0.0000,0.0213,0.0083,0.0897,0.0000,0.0232,0.0151,0.0800,0.0000,0.0233,0.0151,0.0800,0.0000,0.0698,0.0496,0.1984,0.0000,0.0699,0.0496,0.1984,0.0000,2.7030,0.0000,8.5817,0.0000,2.6372,0.0000,8.3685,0.0000,4.5714,0.0000,11.6061,0.0000,4.5564,0.0000,11.5937,0.0000,13.5474,19.7488,23.8856,0.0000,13.5552,19.7488,23.8856,0.0000,1.9411,1.7417,6.6222,0.0000,1.9510,1.7417,6.6222,0.0000,0.3674,0.0000,2.0762,0.0000,0.3705,0.0000,2.0813,0.0000,0.1226,0.0000,0.3427,0.0000,0.1224,0.0000,0.3425,0.0000,4.9196,7.2030,8.7842,0.0000,4.9167,7.2030,8.7842,
16/03/2015 00:00:01,0.0000,0.0215,0.0100,0.1147,0.0000,0.0215,0.0100,0.1147,0.0000,0.0225,0.0254,0.0826,0.0000,0.0225,0.0254,0.0826,0.0000,0.0690,0.1046,0.1982,0.0000,0.0690,0.1045,0.1982,0.0000,2.6793,0.0000,8.5797,0.0000,2.6138,0.0000,8.3550,0.0000,4.7444,0.0000,11.6011,0.0000,4.7345,0.0000,11.5882,0.0000,13.3106,19.2329,22.5424,0.0000,13.3132,19.2329,22.5424,0.0000,1.8753,1.7419,6.6341,0.0000,1.8792,1.7419,6.6341,0.0000,0.3021,0.0000,1.4451,0.0000,0.3033,0.0000,1.4386,0.0000,0.1191,0.0000,0.3400,0.0000,0.1189,0.0000,0.3392,0.0000,4.9885,7.1937,8.7818,0.0000,4.9874,7.1937,8.7818,
16/03/2015 04:00:04,0.0000,0.0220,0.0125,0.1341,0.0000,0.0220,0.0125,0.1341,0.0000,0.0224,0.0267,0.0922,0.0000,0.0224,0.0265,0.0922,0.0000,0.0675,0.1006,0.1982,0.0000,0.0675,0.1006,0.1982,0.0000,2.6426,0.0000,8.5630,0.0000,2.5719,0.0000,8.3244,0.0000,4.7989,0.0000,11.5928,0.0000,4.7920,0.0000,11.5790,0.0000,13.0686,19.1985,22.4140,0.0000,13.0673,19.1985,22.4140,0.0000,1.8516,1.7426,6.6411,0.0000,1.8518,1.7426,6.6411,0.0000,0.2750,0.0000,1.4483,0.0000,0.2744,0.0000,1.4419,0.0000,0.1152,0.0000,0.3394,0.0000,0.1149,0.0000,0.3384,0.0000,5.0095,7.1976,8.7794,0.0000,5.0090,7.1976,8.7794,
16/03/2015 08:00:04,0.0000,0.0238,0.0153,0.1537,0.0000,0.0238,0.0153,0.1537,0.0000,0.0236,0.0270,0.1020,0.0000,0.0236,0.0270,0.1020,0.0000,0.0669,0.0912,0.1982,0.0000,0.0669,0.0901,0.1982,0.0000,2.5902,0.0000,8.5572,0.0000,2.5168,0.0000,8.3035,0.0000,4.8035,0.0000,11.5870,0.0000,4.7963,0.0000,11.5722,0.0000,13.1531,19.2096,22.3777,0.0000,13.1505,19.2038,22.3777,0.0000,1.9588,1.7427,6.6359,0.0000,1.9588,1.7427,6.6359,0.0000,0.2777,0.0000,1.4524,0.0000,0.2771,0.0000,1.4466,0.0000,0.1121,0.0000,0.3394,0.0000,0.1118,0.0000,0.3381,0.0000,5.0875,7.1902,8.7770,0.0000,5.0857,7.1902,8.7770,
16/03/2015 12:00:01,0.0000,0.0250,0.0167,0.1513,0.0000,0.0250,0.0167,0.1513,0.0000,0.0241,0.0277,0.1011,0.0000,0.0241,0.0276,0.1011,0.0000,0.0652,0.0817,0.1982,0.0000,0.0652,0.0817,0.1982,0.0000,2.5263,0.0000,8.5335,0.0000,2.4594,0.0000,8.2637,0.0000,4.7998,0.0000,11.5774,0.0000,4.7931,0.0000,11.5619,0.0000,13.8839,19.9598,23.1879,0.0000,13.8790,19.9549,23.1879,0.0000,1.9688,1.7435,6.6556,0.0000,1.9688,1.7435,6.6556,0.0000,0.2837,0.0000,1.4338,0.0000,0.2831,0.0000,1.4261,0.0000,0.1088,0.0000,0.3394,0.0000,0.1085,0.0000,0.3381,0.0000,5.2293,7.4119,8.7747,0.0000,5.2295,7.4119,8.7747,
