Date,NIT (mg/L) Surface MIN,NIT (mg/L) Surface MEAN,NIT (mg/L) Surface MEDIAN,NIT (mg/L) Surface MAX,NIT (mg/L) Bottom MIN,NIT (mg/L) Bottom MEAN,NIT (mg/L) Bottom MEDIAN,NIT (mg/L) Bottom MAX,AMM (mg/L) Surface MIN,AMM (mg/L) Surface MEAN,AMM (mg/L) Surface MEDIAN,AMM (mg/L) Surface MAX,AMM (mg/L) Bottom MIN,AMM (mg/L) Bottom MEAN,AMM (mg/L) Bottom MEDIAN,AMM (mg/L) Bottom MAX,FRP (mg/L) Surface MIN,FRP (mg/L) Surface MEAN,FRP (mg/L) Surface MEDIAN,FRP (mg/L) Surface MAX,FRP (mg/L) Bottom MIN,FRP (mg/L) Bottom MEAN,FRP (mg/L) Bottom MEDIAN,FRP (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,
15/03/2015 00:00:00,0.0173,0.0605,0.0714,0.1141,0.0173,0.0605,0.0714,0.1141,0.0199,0.0317,0.0327,0.0395,0.0199,0.0317,0.0327,0.0395,0.0150,0.0208,0.0188,0.0500,0.0150,0.0208,0.0188,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.6663,24.6925,24.7341,24.9972,23.6663,24.6925,24.7341,24.9972,31.8658,35.8728,36.2107,36.3809,31.8658,35.8728,36.2107,36.3809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8451,6.1886,6.2090,6.6720,5.8451,6.1886,6.2090,6.6720,
15/03/2015 04:00:02,0.0184,0.0495,0.0325,0.1059,0.0160,0.0619,0.0706,0.1093,0.0250,0.0316,0.0291,0.0398,0.0221,0.0324,0.0337,0.0424,0.0165,0.0250,0.0260,0.0339,0.0165,0.0205,0.0204,0.0305,4.9017,10.2116,11.5336,13.7928,4.5623,9.5304,10.3953,13.8091,1.7356,2.4390,2.5442,3.5431,1.7339,2.3069,2.2510,3.5285,23.8889,24.4129,24.4644,24.8919,23.8889,24.6833,24.6760,24.9465,34.3212,35.4567,35.5480,36.3668,34.7786,36.1149,36.1917,36.3691,0.5942,0.7663,0.7510,0.9044,0.5070,0.7497,0.7673,0.9041,0.0457,0.0604,0.0585,0.0794,0.0406,0.0499,0.0496,0.0721,5.8490,6.1964,6.2316,6.3340,5.5858,6.0524,6.0876,6.3225,
15/03/2015 08:00:00,0.0162,0.0477,0.0400,0.0882,0.0161,0.0625,0.0739,0.1030,0.0222,0.0307,0.0300,0.0399,0.0222,0.0337,0.0356,0.0419,0.0177,0.0234,0.0229,0.0302,0.0172,0.0213,0.0206,0.0303,4.1098,9.0001,9.5310,12.5570,3.9685,9.4452,10.5743,12.9972,1.7322,2.4673,2.4753,3.4103,1.7290,2.2549,2.0822,3.4094,23.8641,24.3886,24.3665,24.7598,23.8641,24.5548,24.5887,24.8630,34.9693,35.7574,35.7959,36.3604,34.9647,36.0143,36.1134,36.3604,0.4732,0.7251,0.7216,0.8864,0.4707,0.7617,0.7903,0.8934,0.0377,0.0551,0.0550,0.0678,0.0375,0.0515,0.0509,0.0674,5.8337,6.1625,6.1993,6.3190,5.0085,6.0201,6.0771,6.3190,
15/03/2015 12:00:04,0.0155,0.0529,0.0558,0.0832,0.0153,0.0571,0.0657,0.0946,0.0198,0.0308,0.0308,0.0377,0.0197,0.0322,0.0333,0.0449,0.0179,0.0220,0.0212,0.0288,0.0179,0.0217,0.0210,0.0289,4.4417,9.3701,9.9299,12.5637,4.3491,9.2534,10.2129,12.4845,1.5816,2.3038,2.1953,3.3012,1.5858,2.2533,2.0163,3.3077,24.1218,24.5511,24.5333,24.8153,24.1218,24.5491,24.5442,24.8242,35.1496,35.9118,35.9395,36.3708,35.1448,35.9534,36.0387,36.3708,0.4684,0.7305,0.7284,0.8723,0.4668,0.7434,0.7612,0.8806,0.0372,0.0526,0.0531,0.0648,0.0371,0.0520,0.0514,0.0647,5.9248,6.2118,6.2402,6.4990,5.0656,6.1053,6.1182,6.4990,
15/03/2015 16:00:02,0.0116,0.0521,0.0544,0.0797,0.0112,0.0540,0.0600,0.0883,0.0174,0.0293,0.0295,0.0359,0.0171,0.0308,0.0310,0.0443,0.0177,0.0213,0.0204,0.0281,0.0176,0.0214,0.0208,0.0282,4.6593,9.9067,10.2363,13.2658,4.5890,9.2944,9.8363,13.1074,1.3371,2.2176,2.1158,3.2583,1.4592,2.2057,2.0107,3.2539,24.7236,24.8960,24.8889,25.1679,24.4025,24.7215,24.6967,25.1811,35.2071,35.9649,35.9993,36.3865,35.2051,35.9818,36.0691,36.3854,0.4519,0.7272,0.7218,0.8643,0.4507,0.7284,0.7322,0.8669,0.0360,0.0517,0.0522,0.0632,0.0359,0.0512,0.0504,0.0632,6.0352,6.2901,6.3037,6.6247,4.9642,6.1296,6.1391,6.6297,
15/03/2015 20:00:00,0.0078,0.0513,0.0544,0.0773,0.0077,0.0523,0.0542,0.0829,0.0176,0.0293,0.0297,0.0361,0.0176,0.0303,0.0297,0.0425,0.0179,0.0213,0.0204,0.0278,0.0179,0.0211,0.0204,0.0278,4.7094,9.9201,10.0132,13.3066,4.6472,9.2947,9.4896,13.1644,1.3353,2.1917,2.0895,3.2301,1.4291,2.1358,1.9767,3.2244,24.6190,24.7979,24.7816,25.0144,24.4068,24.7727,24.7988,25.0503,35.2825,35.9637,35.9912,36.3952,35.2816,36.0297,36.1077,36.3945,0.4479,0.7273,0.7208,0.8613,0.4469,0.7156,0.7040,0.8574,0.0359,0.0517,0.0522,0.0627,0.0358,0.0502,0.0495,0.0623,5.9687,6.2741,6.2842,6.6087,5.0195,6.1247,6.1422,6.6085,
16/03/2015 00:00:03,0.0075,0.0504,0.0528,0.0756,0.0075,0.0514,0.0532,0.0799,0.0210,0.0304,0.0304,0.0366,0.0210,0.0308,0.0301,0.0430,0.0185,0.0219,0.0213,0.0277,0.0185,0.0213,0.0205,0.0277,5.4971,9.6468,9.7624,12.8254,5.4240,9.0391,9.2261,12.6903,1.6636,2.2648,2.1496,3.1842,1.4739,2.1494,2.0276,3.1825,24.1839,24.6166,24.6145,24.8562,24.2065,24.6789,24.6922,24.9901,35.3396,35.9153,35.9387,36.3693,35.3393,36.0440,36.0920,36.3701,0.5010,0.7337,0.7185,0.8581,0.5007,0.7111,0.7005,0.8572,0.0387,0.0529,0.0531,0.0618,0.0386,0.0501,0.0499,0.0617,5.9358,6.2026,6.2185,6.4776,5.2092,6.0671,6.0920,6.4772,
16/03/2015 04:00:00,0.0073,0.0480,0.0516,0.0740,0.0073,0.0490,0.0511,0.0791,0.0229,0.0311,0.0309,0.0378,0.0229,0.0314,0.0304,0.0453,0.0193,0.0225,0.0220,0.0281,0.0189,0.0217,0.0210,0.0281,4.5406,9.1989,9.4426,12.2643,4.4326,8.5749,8.7674,12.1453,1.6299,2.3338,2.2001,3.1616,1.5010,2.1994,2.0658,3.1562,23.7856,24.4636,24.4607,24.7139,23.7856,24.5723,24.5937,24.9126,35.3603,35.8903,35.8881,36.3937,35.3555,36.0366,36.0745,36.3937,0.4552,0.7306,0.7109,0.8558,0.4534,0.7038,0.6916,0.8553,0.0365,0.0534,0.0538,0.0613,0.0364,0.0502,0.0501,0.0613,5.8951,6.1358,6.1487,6.3890,4.9059,5.9894,6.0294,6.3881,
16/03/2015 08:00:01,0.0089,0.0480,0.0515,0.0723,0.0088,0.0477,0.0499,0.0779,0.0231,0.0318,0.0315,0.0378,0.0231,0.0316,0.0308,0.0441,0.0194,0.0225,0.0221,0.0284,0.0190,0.0217,0.0209,0.0284,4.4943,9.0226,9.2116,11.6919,4.4079,8.3016,8.5395,11.5731,1.6026,2.2976,2.1718,3.1438,1.4617,2.1639,2.0616,3.1419,23.6845,24.3306,24.3191,24.6231,23.6872,24.4680,24.5222,24.8042,35.4573,35.8978,35.8657,36.3917,35.4573,36.0522,36.1086,36.3914,0.4567,0.7291,0.7110,0.8434,0.4552,0.6944,0.6860,0.8474,0.0366,0.0531,0.0542,0.0605,0.0365,0.0497,0.0493,0.0604,5.8759,6.0867,6.1126,6.2843,4.9785,5.9428,5.9748,6.2716,
16/03/2015 12:00:01,0.0100,0.0489,0.0512,0.0685,0.0093,0.0469,0.0485,0.0727,0.0191,0.0310,0.0308,0.0357,0.0190,0.0312,0.0308,0.0427,0.0182,0.0217,0.0213,0.0271,0.0182,0.0215,0.0207,0.0272,4.8285,9.4949,9.5720,11.8835,4.7600,8.3270,8.3436,11.7941,1.4465,2.1833,2.0803,3.0329,1.3977,2.0899,2.0127,3.0352,24.0244,24.4942,24.4993,24.6951,24.0341,24.5184,24.5388,24.7779,35.5319,35.9559,35.9368,36.4027,35.5296,36.0689,36.1272,36.4016,0.4523,0.7287,0.7165,0.8363,0.4511,0.6889,0.6813,0.8332,0.0356,0.0521,0.0529,0.0592,0.0355,0.0491,0.0487,0.0591,5.9440,6.1473,6.1830,6.3592,4.8191,5.9245,5.9439,6.3627,
