Zone1,Surface
Simulations,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
SCERM44_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3055,6.7905,6.9684,7.9544,8.4724,7.8203,6.2118,4.8318,5.5604,5.9680,5.5027,6.5047,6.1349,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3059,6.7914,6.9690,7.9545,8.4726,7.8205,6.2124,4.8327,5.5607,5.9696,5.5025,6.5049,6.1352,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4048,6.9879,6.9959,7.2259,8.1897,7.2579,6.2720,5.3531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3061,6.7913,7.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1063,6.1190,7.2729,8.0124,8.7617,8.8576,7.7985,6.4523,5.7886,5.8830,6.1466,6.5355,6.7215,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2328,6.0604,7.1671,7.9834,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8109,5.9637,6.9290,8.0019,8.4894,7.8765,6.4115,5.1605,5.7320,5.6199,5.5032,6.1835,6.2154,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2096,6.2412,7.3054,8.1238,8.7686,8.8347,7.8084,6.5641,6.0377,5.8548,6.1748,6.5536,6.8990,


Zone1,Bottom
Simulations,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
SCERM44_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3037,6.7884,6.9673,7.9552,8.4735,7.8224,6.2123,4.8313,5.5601,5.9653,5.5014,6.5021,6.1355,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3041,6.7893,6.9679,7.9553,8.4738,7.8225,6.2130,4.8322,5.5604,5.9668,5.5013,6.5023,6.1357,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4024,6.9856,6.9926,7.2234,8.1899,7.2583,6.2686,5.3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3043,6.7892,7.0570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1051,6.1181,7.2725,8.0144,8.7635,8.8588,7.7984,6.4519,5.7881,5.8817,6.1453,6.5348,6.7214,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2288,6.0563,7.1662,7.9886,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8072,5.9625,6.9283,8.0015,8.4908,7.8775,6.4111,5.1600,5.7316,5.6189,5.5019,6.1817,6.2158,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2086,6.2404,7.3049,8.1241,8.7713,8.8370,7.8083,6.5635,6.0372,5.8545,6.1738,6.5530,6.8989,




Zone2,Surface
Simulations,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
SCERM44_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7262,7.1138,7.3703,7.9708,8.4171,7.7823,6.5258,5.7543,6.4789,5.5786,5.3654,5.6395,6.3060,,,,,,,,,,,,,,,,,,,,,,,,,
