Date,s616027,s616042,s616043,s616047,s616076,s616082,s616084,s616086,s616088,s616091,s616092,s616099,s616107,s616108,s616110,s616117,s616119,s616137,s616189,s616087,s616123,s616131,s616135,s616178,s616014,s616044,s616133,s617165,s616040,s616015,s616029,s616089,s616232,s616045,
01/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0760,,,,,,,
02/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0830,,,,,,,
03/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0900,,,,,,,
04/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1000,,,,,,,
05/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0920,,,,,,,
06/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0950,,,,,,,
07/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0930,,,,,,,
08/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1030,,,,,,,
09/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0950,,,,,,,
10/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0890,,,,,,,
11/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0880,,,,,,,
12/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0790,,,,,,,
13/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0760,,,,,,,
14/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0690,,,,,,,
15/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0860,,,,,,,
16/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1030,,,,,,,
17/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0740,,,,,,,
18/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0830,,,,,,,
19/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0820,,,,,,,
20/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0880,,,,,,,
21/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0930,,,,,,,
22/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0920,,,,,,,
23/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0920,,,,,,,
24/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0930,,,,,,,
25/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0940,,,,,,,
26/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0970,,,,,,,
27/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0750,,,,,,,
28/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0850,,,,,,,
29/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0940,,,,,,,
30/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0890,,,,,,,
31/01/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0860,,,,,,,
01/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0980,,,,,,,
02/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0710,,,,,,,
03/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0810,,,,,,,
04/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0660,,,,,,,
05/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0810,,,,,,,
06/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1100,,,,,,,
07/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1200,,,,,,,
08/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1180,,,,,,,
09/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1060,,,,,,,
10/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0980,,,,,,,
11/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0940,,,,,,,
12/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1000,,,,,,,
13/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0830,,,,,,,
14/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0870,,,,,,,
15/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0820,,,,,,,
16/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1190,,,,,,,
17/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0040,,,,0.1880,,,,,,,
18/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0140,,,,0.1500,,,,,,,
19/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0090,,,,0.1220,,,,,,,
20/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0060,,,,0.1140,,,,,,,
21/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0030,,,,0.1050,,,,,,,
22/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0020,,,,0.0930,,,,,,,
23/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0030,,,,0.0940,,,,,,,
24/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0020,,,,0.0980,,,,,,,
25/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0010,,,,0.1040,,,,,,,
26/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0020,,,,0.1030,,,,,,,
27/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0970,,,,,,,
28/02/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0950,,,,,,,
01/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1010,,,,,,,
02/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0970,,,,,,,
03/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0960,,,,,,,
04/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1210,,,,,,,
05/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1130,,,,,,,
06/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1030,,,,,,,
07/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.1050,,,,,,,
08/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0920,,,,,,,
09/03/1970,,,,,,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,0.0970,,,,,,,
