SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
6160712,6160712,Surface (other),Sampling location,AWRC,Ellen Brook - Avon Confluence,Avon Confluence,23020231 [WIN_ID]; 6160712 [SITE_REF]; EBAC [TEXT_REF],EBAC,50,405778.63,6481775.62,-31.795720000,116.004700000,GDA94
6161013,6161013,Surface (other),Sampling location,AWRC,Susannah Brook Upper - Unnamed,Unnamed,13766 [WIN_ID]; 6161013 [SITE_REF]; SWN6 [TEXT_REF],SWN6,50,417439.00,6479099.00,-31.820768780,116.127634900,GDA94
6161989,6161989,Surface (other),Sampling location,AWRC,Canning River - SWS6 Old McKenzie Gr,SWS6 Old McKenzie Gr,23021113 [WIN_ID]; 6161989 [SITE_REF]; SWS6 [TEXT_REF],SWS6,50,407258.00,6448466.00,-32.096312700,116.017131529,GDA94
6162924,6162924,Surface (other),Sampling location,AWRC,Bickley Brook - Boyle Rd,Boyle Rd,15080084 [WIN_ID]; 6162924 [SITE_REF]; SWS5 [TEXT_REF],SWS5,50,406115.00,6455419.00,-32.033500110,116.005699050,GDA94
6162925,6162925,Surface (other),Sampling location,AWRC,Blackadder Creek - Francis Street,Francis Street,13802340 [WIN_ID]; 6162925 [SITE_REF]; SWN8 [TEXT_REF],SWN8,50,407052.00,6472871.00,-31.876150471,116.017298422,GDA94
6163143,6163143,Surface (other),Sampling location,AWRC,Bennett Brook Main Drain - Benara Rd,Benara Rd,12883471 [WIN_ID]; 6163143 [SITE_REF]; SWN1 [TEXT_REF],SWN1,50,401339.00,6472899.00,-31.875416670,115.956908780,GDA94
6163625,6163625,Surface (other),Sampling location,AWRC,Henley Brook - West Swan Rd,West Swan Rd,22000257 [WIN_ID]; 6163625 [SITE_REF]; SWN2 [TEXT_REF],SWN2,50,405289.10,6481229.05,-31.800609915,115.999476379,GDA94
6163713,6163713,Surface (other),Sampling location,AWRC,Claisebrook Main Drain - Soakway,Soakway,22006176 [WIN_ID]; 6163713 [SITE_REF]; SWD1 [TEXT_REF],SWD1,50,394172.01,6464261.99,-31.952680232,115.880203943,GDA94
6164314,6164314,Surface (other),Sampling location,AWRC,Ellen Brook - Ellenbrook Bridge,Ellenbrook Bridge,23041032 [WIN_ID]; 6164314 [SITE_REF]; SWN9 [TEXT_REF],SWN9,50,405701.00,6482467.00,-31.789476810,116.003946920,GDA94
6164462,6164462,Surface (other),Sampling location,AWRC,South Belmont Main Drain - Unnamed,Unnamed,23043339 [WIN_ID]; 6164462 [SITE_REF]; SWS13 [TEXT_REF],SWS13,50,397903.80,6464704.50,-31.949030721,115.919731725,GDA94

