SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
6160118,6160118,Surface (other),Sampling location,AWRC,Caversham Avenue Jetty - Unnamed,Unnamed,23017348 [WIN_ID]; 6160118 [SITE_REF]; CAV [TEXT_REF]; SR45 [TEXT2],CAV,50,404687.30,6472636.00,-31.878074752,115.992277594,GDA94
6160119,6160119,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,23017349 [WIN_ID]; 6160119 [SITE_REF]; REG [TEXT_REF]; SR43 [TEXT2],REG,50,405311.69,6473712.40,-31.868417000,115.998983300,GDA94
6160121,6160121,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Uprswn - Lilac Hill,Lilac Hill,23017351 [WIN_ID]; 6160121 [SITE_REF]; LIL [TEXT2]; LLH [TEXT_REF],LLH,50,403082.00,6471153.00,-31.891316420,115.975159240,GDA94
6160258,6160258,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Lwrswn - Bla,Bla,22000003 [WIN_ID]; 6160258 [SITE_REF]; BLA [TEXT_REF]; FP8 [TEXT2]; SW2 HIST [TEXT_HIST],BLA,50,385172.00,6457020.00,-32.017126040,115.784128630,GDA94
6160259,6160259,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Lwrswn - Arm,Arm,22000004 [WIN_ID]; 6160259 [SITE_REF]; ARM [TEXT_REF]; SW3 HIST [TEXT_HIST],ARM,50,387504.00,6458161.00,-32.007068687,115.808949832,GDA94
6160262,6160262,Surface (other),Sampling location,AWRC,Swan-Canning - Midswn - Nar,Nar,22000009 [WIN_ID]; 6160262 [SITE_REF]; NAR [TEXT_REF],NAR,50,391215.00,6463014.00,-31.963657372,115.848779930,GDA94
6160263,6160263,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Midswn - NIL,NIL,22000012 [WIN_ID]; 6160263 [SITE_REF]; NIL [TEXT_REF],NIL,50,394660.00,6464027.00,-31.954845289,115.885341118,GDA94
6160764,6160764,Surface (other),Sampling location,AWRC,Maylands - Swimming Pool,Swimming Pool,22000016 [WIN_ID]; 6160764 [SITE_REF]; MAY [TEXT_REF]; SW15 HIST [TEXT_HIST],MAY,50,396801.00,6465716.00,-31.939806945,115.908172832,GDA94
6160930,6160930,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Uprswn - Mulberry Farm,Mulberry Farm,22006209 [WIN_ID]; 6160930 [SITE_REF]; MULB FARM [TEXT_REF]; SR54 [TEXT2],MULB FARM,50,403502.04,6471562.99,-31.887653795,115.979641085,GDA94
6161086,6161086,Surface (other),Sampling location,AWRC,Swan River - Middle Swan Bridge,Middle Swan Bridge,13816 [WIN_ID]; 6161086 [SITE_REF]; MSB [TEXT_REF],MSB,50,406263.00,6474166.00,-31.864403993,116.009082729,GDA94
6161821,6161821,Surface (other),Sampling location,AWRC,Swan River - Kingsley Rd,Kingsley Rd,22000021 [WIN_ID]; 6161821 [SITE_REF]; KIN [TEXT_REF]; SR61 [TEXT2]; SW20 HIST [TEXT_HIST],KIN,50,401768.00,6468783.00,-31.912582148,115.961026387,GDA94
6161854,6161854,Surface (other),Sampling location,AWRC,Swan River Phd - West Midland Pool,West Midland Pool,14289 [WIN_ID]; 6161854 [SITE_REF]; SR41 [TEXT2]; WMP [TEXT_REF],WMP,50,404439.00,6471549.00,-31.887859180,115.989546150,GDA94
6161869,6161869,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Lwrswn - Heathcote,Heathcote,22006314 [WIN_ID]; 6161869 [SITE_REF]; HEA [TEXT_REF],HEA,50,389983.00,6459538.00,-31.994891915,115.835348561,GDA94
6161870,6161870,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Midswn - Unnamed,Unnamed,22000015 [WIN_ID]; 6161870 [SITE_REF]; STJ [TEXT_REF],STJ,50,397308.00,6464439.00,-31.951371817,115.913400409,GDA94
6161878,6161878,Surface (other),Sampling location,AWRC,Ron Courtney Island - Unnamed,Unnamed,22000019 [WIN_ID]; 6161878 [SITE_REF]; RON [TEXT_REF]; SW18 HIST [TEXT_HIST],RON,50,399802.00,6467786.00,-31.921403754,115.940132419,GDA94
6161879,6161879,Surface (other),Sampling location,AWRC,Success Hill - Unnamed,Unnamed,22000022 [WIN_ID]; 6161879 [SITE_REF]; SR58 [TEXT2]; SUC [TEXT_REF]; SW21 HIST [TEXT_HIST],SUC,50,401585.00,6470349.00,-31.898440276,115.959250125,GDA94
6162045,6162045,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Kings Meadow Oval,Kings Meadow Oval,22000743 [WIN_ID]; 6162045 [SITE_REF]; KMO [TEXT_REF]; SR36 [TEXT2],KMO,50,401966.00,6469695.00,-31.904372593,115.963212543,GDA94
6162300,6162300,Surface (other),Sampling location,AWRC,Swan River - Vitox Plant,Vitox Plant,23022756 [WIN_ID]; 6162300 [SITE_REF]; SR35 [TEXT2]; VIT [TEXT_REF],VIT,50,401818.00,6470125.00,-31.900481014,115.961691096,GDA94
6163485,6163485,Surface (other),Sampling location,AWRC,Bayswater CSBP Investgations - Bwr10,Bwr10,23012425 [WIN_ID]; 6163485 [SITE_REF]; BWR10 [TEXT_REF]; SAN [TEXT2],BWR10,50,400826.00,6467654.00,-31.922684343,115.950948938,GDA94
6163500,6163500,Surface (other),Sampling location,AWRC,Upper Swan - Power Lines,Power Lines,23023958 [WIN_ID]; 6163500 [SITE_REF]; POL [TEXT_REF]; SR37 [TEXT2],POL,50,404979.21,6475052.58,-31.856300000,115.995600000,GDA94
6163833,6163833,Surface (other),Sampling location,AWRC,Jane Brook - Confluence,Confluence,23024230 [WIN_ID]; 6163833 [SITE_REF]; JBC [TEXT_REF]; SR39 [TEXT2],JBC,50,405656.13,6474493.45,-31.861400000,116.002700000,GDA94
6163857,6163857,Surface (other),Sampling location,AWRC,Swan - Blackadder Creek,Blackadder Creek,23025846 [WIN_ID]; 6163857 [SITE_REF]; BKAC [TEXT2]; SCS01 [TEXT_REF],SCS01,50,404596.00,6471992.00,-31.883900000,115.991200000,GDA94
6163932,6163932,Surface (other),Sampling location,AWRC,Swan River - Woodbridge Riverpark,Woodbridge Riverpark,23031684 [WIN_ID]; 6163932 [SITE_REF]; WBRP [TEXT_REF],WBRP,50,404597.95,6472299.78,-31.881100000,115.991300000,GDA94
6164323,6164323,Surface (other),Sampling location,AWRC,Ron Courtney Island - Unnamed,Unnamed,23041916 [WIN_ID]; 6164323 [SITE_REF]; RON2 [TEXT_REF],RON2,50,399941.04,6467934.98,-31.920072178,115.941618307,GDA94
6167114,6167114,Surface (other),Sampling location,AWRC,Downstream Meadow Street Bridge,MEAD,6167114 [SITE_REF]; MEAD [TEXT_REF],MEAD,50,402723.28,6470809.16,-31.894387346,115.971332060,GDA94

