SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
6160487,6160487,Surface (other),Sampling location,AWRC,Canning River - Prispt,Prispt,23012728 [WIN_ID]; 6160487 [SITE_REF]; PRISPT [TEXT_REF],PRISPT,50,394702.00,6456440.00,-32.023284812,115.884957815,GDA94
6161836,6161836,Surface (other),Sampling location,AWRC,Canning River - Nicholson Rd Bridge,Nicholson Rd Bridge,14271 [WIN_ID]; 6161836 [SITE_REF]; NIC [TEXT_REF]; SW33 HIST [TEXT_HIST],NIC,50,400105.41,6455783.15,-32.029700000,115.942100000,GDA94
6161837,6161837,Surface (other),Sampling location,AWRC,Canning River - Riverton Bridge RIV,Riverton Bridge RIV,22000031 [WIN_ID]; 6161837 [SITE_REF]; RIV [TEXT_REF]; SW30 HIST [TEXT_HIST],RIV,50,396239.00,6455988.00,-32.027503946,115.901182458,GDA94
6161838,6161838,Surface (other),Sampling location,AWRC,Canning River - Salter Point (SAL),Salter Point (SAL),22000029 [WIN_ID]; 6161838 [SITE_REF]; SAL [TEXT_REF]; SW28 HIST [TEXT_HIST],SAL,50,393509.00,6455593.00,-32.030813080,115.872233129,GDA94
6161892,6161892,Surface (other),Sampling location,AWRC,Wharf St Main Drain - Drain No22,Drain No22,14323 [WIN_ID]; 6161892 [SITE_REF]; WHA [TEXT_REF],WHA,50,398739.00,6456849.00,-32.019964750,115.927743800,GDA94
6162994,6162994,Surface (other),Sampling location,AWRC,Canning River Kent Street Weir - Weir U/S,Weir U/S,23038716 [WIN_ID]; 6162994 [SITE_REF]; KEN [TEXT_REF],KEN,50,398104.00,6456676.00,-32.021467650,115.921002330,GDA94
6162995,6162995,Surface (other),Sampling location,AWRC,Swan-Cannins Estuarylwrcan - Castledare Mid,Castledare Mid,23038717 [WIN_ID]; 6162995 [SITE_REF]; CASMID [TEXT_REF],CASMID,50,397599.00,6456555.00,-32.022513480,115.915642740,GDA94
6163105,6163105,Surface (other),Sampling location,AWRC,Canning River - Bacon St,Bacon St,22000057 [WIN_ID]; 6163105 [SITE_REF]; BAC [TEXT_REF]; SW311 HIST [TEXT_HIST],BAC,50,398643.33,6456555.85,-32.022600000,115.926700000,GDA94
6163119,6163119,Surface (other),Sampling location,AWRC,Canning River - Ellison Pde,Ellison Pde,22000058 [WIN_ID]; 6163119 [SITE_REF]; ELL [TEXT_REF]; SW331 HIST [TEXT_HIST],ELL,50,400846.60,6455324.76,-32.033900000,115.949901000,GDA94
6163124,6163124,Surface (other),Sampling location,AWRC,Canning River - Greenfield St Bridge,Greenfield St Bridge,22000783 [WIN_ID]; 6163124 [SITE_REF]; GRE [TEXT_REF]; SW32 HIST [TEXT_HIST],GRE,50,399251.01,6456529.94,-32.022887914,115.933131206,GDA94
6163126,6163126,Surface (other),Sampling location,AWRC,Canning River - Hester Park,Hester Park,22000781 [WIN_ID]; 6163126 [SITE_REF]; HES [TEXT_REF],HES,50,400308.01,6455778.93,-32.029755855,115.944244756,GDA94
6163132,6163132,Surface (other),Sampling location,AWRC,Canning River - Masons Landing,Masons Landing,22000784 [WIN_ID]; 6163132 [SITE_REF]; MAS [TEXT_REF],MAS,50,399698.01,6456183.93,-32.026048676,115.937827902,GDA94
6163179,6163179,Surface (other),Sampling location,AWRC,Swan-Canning Estury-Lwrcan - South Canning Bridge,South Canning Bridge,23042004 [WIN_ID]; 6163179 [SITE_REF]; SCB [TEXT_REF],SCB,50,391725.00,6457130.00,-32.016779970,115.853516030,GDA94
6163346,6163346,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Lwrcan - Castledare,Castledare,22000059 [WIN_ID]; 6163346 [SITE_REF]; CAS [TEXT_REF]; SW301 HIST [TEXT_HIST],CAS,50,397591.00,6456565.00,-32.022422556,115.915559104,GDA94
6164609,6164609,Surface (other),Sampling location,AWRC,Canning River - Bywater Rd,Bywater Rd,23046245 [WIN_ID]; 6164609 [SITE_REF]; BWR [TEXT_REF],BWR,50,397376.00,6455998.00,-32.027517500,115.913222360,GDA94
6165318,6165318,Surface (other),Sampling location,AWRC,Swan-Canning Estuarylwrcan - Scb2,Scb2,23046290 [WIN_ID]; 6165318 [SITE_REF]; SCB2 [TEXT_REF],SCB2,50,391698.00,6457081.00,-32.017219370,115.853224680,GDA94
6167188,6167188,Surface (other),Sampling location,AWRC,Swan-Canning Estuary - Shelley Bridge Downstream,Shelley  Bridge,6167188 [SITE_REF]; SHELL [TEXT_REF],SHELL,50,396251.01,6456511.61,-32.022782000,115.901366000,GDA94

