Variable Name,Min Date,Max Date,Number of Samples
Cloud,13/09/2005 10:42:00,13/09/2005 10:42:00,1.000
SAL,13/09/2005 10:43:26,24/09/2009 09:38:19,5.000
WQ_OGM_DON,12/10/2006 14:30:00,24/09/2009 09:38:00,4.000
WQ_NIT_NIT,13/09/2005 10:42:00,24/09/2009 09:38:00,4.000
WQ_DIAG_TOT_TKN,13/09/2005 10:42:00,24/09/2009 09:38:00,4.000
WQ_DIAG_TOT_TN,13/09/2005 10:42:00,24/09/2009 09:38:00,5.000
WQ_DIAG_OXY_OXY_SAT,13/09/2005 10:43:26,24/09/2009 09:38:19,5.000
WQ_OXY_OXY,13/09/2005 10:43:26,24/09/2009 09:38:19,5.000
WQ_DIAG_TOT_TP,13/09/2005 10:42:00,24/09/2009 09:38:00,5.000
WQ_CAR_PH,13/09/2005 10:43:26,24/09/2009 09:38:19,5.000
WQ_PHS_FRP,13/09/2005 10:42:00,12/10/2006 14:30:00,2.000
TEMP,13/09/2005 10:43:26,24/09/2009 09:38:19,5.000
TRC_SS1,13/09/2005 10:42:00,24/09/2009 09:38:00,4.000
WQ_NCS_SS1,13/09/2005 10:42:00,24/09/2009 09:38:00,4.000
