Variable Name,Min Date,Max Date,Number of Samples
WQ_OGM_DOC,30/03/2010 12:27:00,03/10/2019 13:16:00,498.000
SAL,30/03/2010 12:27:17,26/06/2019 12:29:37,484.000
WQ_OGM_DON,30/03/2010 12:27:00,03/10/2019 13:16:00,496.000
WQ_NIT_NIT,30/03/2010 12:27:00,03/10/2019 13:16:00,454.000
WQ_DIAG_TOT_TKN,30/03/2010 12:27:00,03/10/2019 13:16:00,498.000
WQ_DIAG_TOT_TN,30/03/2010 12:27:00,03/10/2019 13:16:00,498.000
WQ_NIT_AMM,30/03/2010 12:27:00,03/10/2019 13:16:00,478.000
WQ_DIAG_OXY_OXY_SAT,30/03/2010 12:27:17,26/06/2019 12:29:37,484.000
WQ_OXY_OXY,30/03/2010 12:27:17,26/06/2019 12:29:37,484.000
WQ_DIAG_TOT_TP,30/03/2010 12:27:00,03/10/2019 13:16:00,498.000
WQ_CAR_PH,30/03/2010 12:27:17,26/06/2019 12:29:37,282.000
WQ_PHS_FRP,30/03/2010 12:27:00,03/10/2019 13:16:00,498.000
TEMP,30/03/2010 12:27:17,26/06/2019 12:29:37,484.000
TRC_SS1,30/03/2010 12:27:00,03/10/2019 13:16:00,484.000
WQ_OGM_POC,30/03/2010 12:27:00,03/10/2019 13:16:00,498.000
WQ_NCS_SS1,30/03/2010 12:27:00,03/10/2019 13:16:00,484.000
