Date,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0163,0.2869,26.6503,1.0000,0.0000,4.0000,179.9626,137.2393,0.7419,4.5128,0.7603,1416.6667,375.3333,33.3636,2.5974,2.2772,6.9408
02/01/2017 00:00:00,0.0180,0.2848,26.8590,1.0000,0.0000,4.0000,181.1040,137.8864,0.7309,4.4180,0.7380,1416.6667,375.3333,33.9304,3.9152,2.3078,6.6317
03/01/2017 00:00:00,0.0167,0.2827,27.0677,1.0000,0.0000,4.0000,182.2454,138.5334,0.7006,4.2060,0.7156,1416.6667,375.3333,33.6072,3.4897,2.3384,6.3226
04/01/2017 00:00:00,0.0155,0.2807,27.2764,1.0000,0.0000,4.0000,183.3868,140.9374,0.6704,3.9957,0.6931,1416.6667,375.3333,33.2705,3.0399,2.3690,6.2302
05/01/2017 00:00:00,0.0153,0.2831,27.2700,1.0000,0.0000,4.0000,181.6059,144.4957,0.6839,4.0362,0.7370,1411.7371,374.3474,33.1549,3.1769,2.3222,6.2802
06/01/2017 00:00:00,0.0172,0.2922,26.9513,1.0000,0.0000,4.0000,175.5848,148.0540,0.7662,4.4695,0.8805,1399.6647,371.9329,33.5288,4.5090,2.1634,6.3302
07/01/2017 00:00:00,0.0197,0.3013,26.6326,1.0000,0.0000,4.0000,169.5638,151.6123,0.8543,4.9345,1.0288,1387.5922,369.5184,33.9878,6.0356,2.0044,6.3802
08/01/2017 00:00:00,0.0167,0.3104,26.3138,1.0000,0.0000,4.0000,163.5428,155.1706,0.9038,5.1759,1.1818,1375.5198,367.1040,32.8842,4.4620,1.8456,6.4301
09/01/2017 00:00:00,0.0155,0.3195,25.9951,1.0000,0.0000,4.0000,157.5218,158.7289,0.9639,5.4791,1.3403,1363.4474,364.6895,32.2381,3.7911,1.6866,6.4801
10/01/2017 00:00:00,0.0111,0.3286,25.6764,1.0000,0.0000,4.0000,151.5007,161.6747,0.9855,5.5657,1.5040,1351.3749,362.2750,30.4336,0.7555,1.5278,6.8229
11/01/2017 00:00:00,0.0133,0.3377,25.3577,1.0000,0.0000,4.0000,145.4797,164.2169,1.0825,6.0781,1.6736,1339.3025,359.8605,30.9822,2.5050,1.3688,7.3587
12/01/2017 00:00:00,0.0391,0.3424,25.1062,1.0000,0.0000,4.0361,144.0791,166.7591,1.1544,6.5640,1.7584,1330.3230,358.0646,31.9493,5.3156,1.2926,7.8945
13/01/2017 00:00:00,0.0155,0.3427,24.9204,1.0000,0.0000,4.1076,147.2052,169.3013,1.1268,6.6061,1.7563,1324.3686,356.8737,31.3657,5.0941,1.2972,8.4303
14/01/2017 00:00:00,0.0123,0.3430,24.7346,1.0000,0.0000,4.1790,150.3313,171.8435,1.0766,6.5097,1.7542,1318.4141,355.6828,30.1467,3.5424,1.3018,8.9660
15/01/2017 00:00:00,0.0087,0.3432,24.5488,1.0000,0.0000,4.2505,153.4574,174.3857,1.0121,6.3131,1.7520,1312.4597,354.4919,28.5129,1.1019,1.3064,9.5018
16/01/2017 00:00:00,0.0132,0.3435,24.3630,1.0000,0.0000,4.3219,156.5836,176.9279,1.0631,6.8443,1.7499,1306.5052,353.3010,30.1428,5.5287,1.3110,10.0376
17/01/2017 00:00:00,0.0118,0.3438,24.1773,1.0000,0.0000,4.3934,159.7097,179.4701,1.0338,6.8717,1.7478,1300.5508,352.1102,29.5064,5.1902,1.3156,10.5733
18/01/2017 00:00:00,0.0097,0.3441,23.9915,1.0000,0.0000,4.4648,162.8358,182.0123,0.9911,6.8041,1.7455,1294.5963,350.9193,28.4801,4.0142,1.3204,11.1091
19/01/2017 00:00:00,0.0113,0.3444,23.8057,1.0000,0.0000,4.5363,165.9619,184.5545,1.0016,7.1058,1.7433,1288.6419,349.7284,28.9898,6.1265,1.3250,11.6449
20/01/2017 00:00:00,0.0088,0.3447,23.6199,1.0000,0.0000,4.6078,169.0881,187.0967,0.9533,6.9921,1.7412,1282.6874,348.5375,27.7981,4.5835,1.3296,12.1806
21/01/2017 00:00:00,0.0114,0.3450,23.4341,1.0000,0.0000,4.6792,172.2142,189.6389,0.9754,7.3992,1.7390,1276.7330,347.3466,28.6608,7.4935,1.3342,12.7164
22/01/2017 00:00:00,0.0087,0.3453,23.2483,1.0000,0.0000,4.7507,175.3403,192.1811,0.9249,7.2606,1.7368,1270.7785,346.1557,27.3961,5.7791,1.3388,13.2522
23/01/2017 00:00:00,0.0104,0.3455,23.0626,1.0000,0.0000,4.8221,178.4665,194.7233,0.9352,7.6017,1.7346,1264.8241,344.9648,27.9354,8.0217,1.3434,13.7879
24/01/2017 00:00:00,0.0084,0.3458,22.8768,1.0000,0.0000,4.8936,181.5926,202.0130,0.8941,7.5305,1.7325,1258.8696,343.7739,26.9460,6.8989,1.3480,13.7502
25/01/2017 00:00:00,0.0070,0.3461,22.6910,1.0000,0.0000,4.9650,184.7187,212.4133,0.8566,7.4788,1.7302,1252.9152,342.5830,26.0512,5.9720,1.3526,13.3368
26/01/2017 00:00:00,0.0047,0.3456,22.5345,1.0000,0.0000,5.0000,185.3516,222.8136,0.8636,7.0774,1.7405,1256.0683,343.2137,24.7148,3.0574,1.3336,12.9234
27/01/2017 00:00:00,0.0074,0.3443,22.4061,1.0000,0.0000,5.0000,183.5906,233.2139,1.0345,7.3252,1.7621,1267.9571,345.5914,26.3844,5.9179,1.2922,12.5099
28/01/2017 00:00:00,0.0038,0.3429,22.2777,1.0000,0.0000,5.0000,181.8296,243.6142,1.0576,6.5636,1.7834,1279.8459,347.9692,24.3890,0.6428,1.2508,12.0965
29/01/2017 00:00:00,0.1458,0.3416,22.1493,1.0000,0.0000,5.0000,180.0686,254.0145,1.7382,9.5617,1.8043,1291.7348,350.3470,36.6599,26.7546,1.2094,11.6831
30/01/2017 00:00:00,0.4372,0.3403,22.0209,1.0000,0.0000,5.0000,178.3076,264.4148,2.2269,10.9565,1.8247,1303.6236,352.7247,43.3533,40.3742,1.1680,11.2697
31/01/2017 00:00:00,1.4348,0.3390,21.8925,1.0000,0.0000,5.0000,176.5466,274.8151,3.0472,13.5089,1.8449,1315.5125,355.1025,55.1780,64.9605,1.1266,10.8563
01/02/2017 00:00:00,0.1866,0.3376,21.7641,1.0000,0.0000,5.0000,174.7856,285.2154,2.2619,9.0920,1.8647,1327.4013,357.4803,38.3446,27.4634,1.0852,10.4428
02/02/2017 00:00:00,0.0306,0.3363,21.6357,1.0000,0.0000,5.0000,173.0245,295.6157,2.1238,7.7809,1.8842,1339.2901,359.8580,33.8913,16.9437,1.0438,10.0294
03/02/2017 00:00:00,0.0282,0.3350,21.5073,1.0000,0.0000,5.0000,171.2635,306.0160,2.2283,7.4742,1.9033,1351.1790,362.2358,33.6329,15.4854,1.0024,9.6160
04/02/2017 00:00:00,0.0224,0.3337,21.3789,1.0000,0.0000,5.0000,169.5025,316.4163,2.2751,7.0133,1.9221,1363.0678,364.6136,32.6131,12.4289,0.9610,9.2026
05/02/2017 00:00:00,0.0227,0.3324,21.2505,1.0000,0.0000,5.0000,167.7415,326.8166,2.4054,6.8369,1.9406,1374.9567,366.9913,32.8655,12.0871,0.9194,8.7891
06/02/2017 00:00:00,0.0220,0.3310,21.1221,1.0000,0.0000,5.0000,165.9805,337.2169,2.5182,6.6187,1.9587,1386.8455,369.3691,32.9020,11.2956,0.8780,8.3757
07/02/2017 00:00:00,0.0222,0.3297,20.9937,1.0000,0.0000,5.0000,164.2195,334.8182,2.6107,6.3606,1.9766,1398.7343,371.7469,32.7102,10.0355,0.8366,7.9254
