ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0009,0.3721,28.0838,1.0000,0.0000,6.6577,248.8850,137.2393,8.1895,10.9142,1.1769,1111.8613,314.3723,15.0671,0.0000,2.1130,6.9408
02/01/2017 00:00:00,0.0008,0.3776,28.2545,1.0000,0.0000,6.7525,250.7524,137.8864,8.0882,10.8332,1.1820,1103.9567,312.7913,15.0771,0.0000,2.1084,6.6317
03/01/2017 00:00:00,0.0008,0.3832,28.4252,1.0000,0.0000,6.8474,252.6199,138.5334,7.9952,10.7626,1.1871,1096.0521,311.2104,15.0996,0.0000,2.1038,6.3226
04/01/2017 00:00:00,0.0007,0.3887,28.5960,1.0000,0.0000,6.9422,254.4874,140.9374,7.8980,10.6856,1.1921,1088.1475,309.6295,15.1117,0.0000,2.0992,6.2302
05/01/2017 00:00:00,0.0007,0.3918,28.5584,1.0000,0.0000,7.0000,249.5198,144.4957,7.7969,10.5928,1.1914,1083.3333,308.6667,15.1296,0.0000,2.0946,6.2802
06/01/2017 00:00:00,0.0007,0.3912,28.1962,1.0000,0.0000,7.0000,233.8992,148.0540,7.6960,10.4847,1.1820,1083.3333,308.6667,15.1715,0.0000,2.0900,6.3302
07/01/2017 00:00:00,0.0007,0.3907,27.8340,1.0000,0.0000,7.0000,218.2786,151.6123,7.6246,10.4168,1.1728,1083.3333,308.6667,15.2712,0.0000,2.0854,6.3802
08/01/2017 00:00:00,0.0007,0.3901,27.4718,1.0000,0.0000,7.0000,202.6580,155.1706,7.5400,10.3308,1.1640,1083.3333,308.6667,15.3446,0.0000,2.0806,6.4301
09/01/2017 00:00:00,0.0007,0.3895,27.1096,1.0000,0.0000,7.0000,187.0374,158.7289,7.4420,10.2264,1.1552,1083.3333,308.6667,15.3901,0.0000,2.0760,6.4801
10/01/2017 00:00:00,0.0007,0.3889,26.7473,1.0000,0.0000,7.0000,171.4168,161.6747,7.3124,10.0783,1.1467,1083.3333,308.6667,15.3679,0.0000,2.0714,6.8229
11/01/2017 00:00:00,0.0006,0.3883,26.3851,1.0000,0.0000,7.0000,155.7962,164.2169,7.1958,9.9478,1.1383,1083.3333,308.6667,15.3703,0.0000,2.0668,7.3587
12/01/2017 00:00:00,0.0008,0.3871,26.1546,1.0000,0.0000,6.9650,150.2361,166.7591,7.3833,10.1437,1.1143,1077.5029,307.5006,15.5366,0.0000,2.0916,7.8945
13/01/2017 00:00:00,0.0006,0.3851,26.0617,1.0000,0.0000,6.8936,155.1933,169.3013,7.4426,10.0669,1.0731,1065.5940,305.1188,14.9320,0.0000,2.1470,8.4303
14/01/2017 00:00:00,0.0006,0.3832,25.9688,1.0000,0.0000,6.8221,160.1504,171.8435,7.6440,10.1836,1.0311,1053.6851,302.7370,14.6180,0.0000,2.2022,8.9660
15/01/2017 00:00:00,0.0005,0.3812,25.8759,1.0000,0.0000,6.7507,165.1076,174.3857,7.7980,10.2363,0.9879,1041.7762,300.3552,14.2099,0.0000,2.2576,9.5018
16/01/2017 00:00:00,0.0005,0.3793,25.7830,1.0000,0.0000,6.6792,170.0648,176.9279,7.9986,10.3495,0.9436,1029.8673,297.9735,13.8836,0.0000,2.3128,10.0376
17/01/2017 00:00:00,0.0006,0.3773,25.6901,1.0000,0.0000,6.6078,175.0220,179.4701,8.2179,10.4851,0.8980,1017.9585,295.5917,13.5813,0.0000,2.3682,10.5733
18/01/2017 00:00:00,0.0005,0.3754,25.5972,1.0000,0.0000,6.5363,179.9792,182.0123,8.4119,10.5867,0.8513,1006.0496,293.2099,13.2298,0.0000,2.4236,11.1091
19/01/2017 00:00:00,0.0005,0.3735,25.5043,1.0000,0.0000,6.4648,184.9364,184.5545,8.6237,10.7096,0.8034,994.1407,290.8281,12.9000,0.0000,2.4788,11.6449
20/01/2017 00:00:00,0.0005,0.3715,25.4115,1.0000,0.0000,6.3934,189.8936,187.0967,8.8297,10.8235,0.7540,982.2318,288.4464,12.5544,0.0000,2.5342,12.1806
21/01/2017 00:00:00,0.0005,0.3696,25.3186,1.0000,0.0000,6.3219,194.8507,189.6389,9.0470,10.9498,0.7034,970.3229,286.0646,12.2179,0.0000,2.5894,12.7164
22/01/2017 00:00:00,0.0005,0.3676,25.2257,1.0000,0.0000,6.2505,199.8079,192.1811,9.2647,11.0751,0.6513,958.4140,283.6828,11.8746,0.0000,2.6448,13.2522
23/01/2017 00:00:00,0.0005,0.3657,25.1328,1.0000,0.0000,6.1790,204.7651,194.7233,9.4865,11.2037,0.5976,946.5051,281.3010,11.5293,0.0000,2.7002,13.7879
24/01/2017 00:00:00,0.0005,0.3637,25.0399,1.0000,0.0000,6.1076,209.7223,202.0130,9.7124,11.3355,0.5426,934.5962,278.9192,11.1814,0.0000,2.7554,13.7502
25/01/2017 00:00:00,0.0005,0.3618,24.9470,1.0000,0.0000,6.0361,214.6795,212.4133,9.9062,11.4286,0.4857,922.6873,276.5375,10.7912,0.0000,2.8108,13.3368
26/01/2017 00:00:00,0.0004,0.3605,24.8330,1.0000,0.0000,6.3527,217.6831,222.8136,9.8533,11.2964,0.4810,922.5456,276.5091,10.6036,0.0000,2.8068,12.9234
27/01/2017 00:00:00,0.0004,0.3597,24.6975,1.0000,0.0000,7.0661,218.6864,233.2139,9.6382,11.0380,0.5268,934.4356,278.8871,10.7055,0.0000,2.7424,12.5099
28/01/2017 00:00:00,0.0003,0.3590,24.5619,1.0000,0.0000,7.7795,219.6896,243.6142,9.4215,10.7785,0.5682,946.3257,281.2651,10.7854,0.0000,2.6780,12.0965
29/01/2017 00:00:00,0.0025,0.3583,24.4264,1.0000,0.0000,8.4929,220.6928,254.0145,10.8090,12.3532,0.6058,958.2157,283.6431,12.7356,0.0000,2.6136,11.6831
30/01/2017 00:00:00,0.0035,0.3576,24.2909,1.0000,0.0000,9.2063,221.6960,264.4148,11.0235,12.5856,0.6402,970.1057,286.0211,13.3514,0.0000,2.5490,11.2697
31/01/2017 00:00:00,0.0176,0.3569,24.1553,1.0000,0.0000,9.9197,222.6992,274.8151,13.1390,14.9861,0.6716,981.9957,288.3991,16.3394,0.0000,2.4846,10.8563
01/02/2017 00:00:00,0.0021,0.3562,24.0198,1.0000,0.0000,10.6331,223.7024,285.2154,10.1972,11.6193,0.7005,993.8857,290.7771,13.0062,0.0000,2.4202,10.4428
02/02/2017 00:00:00,0.0008,0.3554,23.8842,1.0000,0.0000,11.3465,224.7056,295.6157,9.2774,10.5610,0.7271,1005.7757,293.1551,12.1242,0.0000,2.3558,10.0294
03/02/2017 00:00:00,0.0008,0.3547,23.7487,1.0000,0.0000,12.0599,225.7088,306.0160,9.1513,10.4076,0.7517,1017.6658,295.5332,12.2421,0.0000,2.2914,9.6160
04/02/2017 00:00:00,0.0007,0.3540,23.6131,1.0000,0.0000,12.7733,226.7121,316.4163,8.9942,10.2192,0.7745,1029.5558,297.9112,12.3054,0.0000,2.2270,9.2026
05/02/2017 00:00:00,0.0007,0.3533,23.4776,1.0000,0.0000,13.4867,227.7153,326.8166,8.8504,10.0466,0.7959,1041.4458,300.2892,12.3738,0.0000,2.1624,8.7891
06/02/2017 00:00:00,0.0007,0.3526,23.3420,1.0000,0.0000,14.2001,228.7185,337.2169,8.7182,9.8875,0.8157,1053.3358,302.6672,12.4459,0.0000,2.0980,8.3757
07/02/2017 00:00:00,0.0006,0.3519,23.2065,1.0000,0.0000,14.9136,229.7217,334.8182,8.5989,9.7435,0.8342,1065.2258,305.0452,12.5254,0.0000,2.0336,7.9254
08/02/2017 00:00:00,0.0006,0.3511,23.0709,1.0000,0.0000,15.6270,230.7249,322.9595,8.4878,9.6090,0.8516,1077.1158,307.4232,12.6062,0.0000,1.9692,7.4477
09/02/2017 00:00:00,0.0019,0.3517,23.0543,1.0000,0.0000,15.6940,230.4327,311.1008,9.1446,10.4945,0.8806,1086.1666,309.2333,13.8867,0.0000,1.9180,6.9701
10/02/2017 00:00:00,0.0654,0.3537,23.1684,1.0000,0.0000,15.0526,228.7179,299.2420,14.0853,16.6555,0.9247,1092.1055,310.4211,21.9578,0.0000,1.8812,6.4925
