Date,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0001,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,2.2851,0.2770,2.1807,4714.3358,1034.8672,22.1264,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0001,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,2.2640,0.2780,2.1840,4724.5398,1036.9080,22.0120,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0001,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,2.2447,0.2792,2.1873,4734.7437,1038.9487,21.9127,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0001,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,2.2249,0.2803,2.1907,4744.9476,1040.9895,21.8081,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0001,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,2.2076,0.2817,2.1940,4755.1516,1043.0303,21.7261,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0001,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,2.1987,0.2841,2.1973,4765.3555,1045.0711,21.7268,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0001,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,2.1995,0.2877,2.2006,4775.5594,1047.1119,21.8229,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0001,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,2.1964,0.2909,2.2039,4785.7634,1049.1527,21.8802,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0001,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,2.1874,0.2933,2.2071,4795.9673,1051.1935,21.8785,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0001,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,2.1654,0.2938,2.2104,4806.1713,1053.2343,21.7460,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0001,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,2.1492,0.2951,2.2137,4816.3752,1055.2750,21.6699,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0001,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,2.2400,0.3113,2.2169,4826.5791,1057.3158,22.6773,0.0000,0.0000,7.8945
