Date,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0000,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,2.0927,0.2536,2.1807,4714.3358,1034.8672,20.2633,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0000,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,2.0846,0.2560,2.1840,4724.5398,1036.9080,20.2676,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0000,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,2.0766,0.2583,2.1873,4734.7437,1038.9487,20.2720,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0000,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,2.0687,0.2606,2.1907,4744.9476,1040.9895,20.2765,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0000,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,2.0608,0.2630,2.1940,4755.1516,1043.0303,20.2811,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0000,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,2.0529,0.2653,2.1973,4765.3555,1045.0711,20.2857,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0000,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,2.0451,0.2675,2.2006,4775.5594,1047.1119,20.2904,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0000,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,2.0373,0.2698,2.2039,4785.7634,1049.1527,20.2952,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0000,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,2.0296,0.2721,2.2071,4795.9673,1051.1935,20.3000,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0000,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,2.0219,0.2744,2.2104,4806.1713,1053.2343,20.3049,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0000,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,2.0143,0.2766,2.2137,4816.3752,1055.2750,20.3099,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0016,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,2.5255,0.3510,2.2169,4826.5791,1057.3158,25.5670,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0000,1.2387,23.5760,1.0000,0.0000,6.2397,76.9731,169.3013,1.9991,0.2811,2.2202,4836.7831,1059.3566,20.3199,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0000,1.2364,23.5791,1.0000,0.0000,6.2090,76.4150,171.8435,1.9916,0.2833,2.2234,4846.9870,1061.3974,20.3251,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0000,1.2341,23.5822,1.0000,0.0000,6.1784,75.8570,174.3857,1.9841,0.2856,2.2267,4857.1909,1063.4382,20.3302,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0000,1.2318,23.5852,1.0000,0.0000,6.1478,75.2990,176.9279,1.9767,0.2878,2.2299,4867.3949,1065.4790,20.3355,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0000,1.2296,23.5883,1.0000,0.0000,6.1172,74.7409,179.4701,1.9693,0.2900,2.2332,4877.5988,1067.5198,20.3407,0.0000,0.0000,10.5733
18/01/2017 00:00:00,0.0000,1.2273,23.5913,1.0000,0.0000,6.0866,74.1829,182.0123,1.9620,0.2922,2.2364,4887.8028,1069.5605,20.3460,0.0000,0.0000,11.1091
19/01/2017 00:00:00,0.0000,1.2250,23.5944,1.0000,0.0000,6.0560,73.6249,184.5545,1.9547,0.2943,2.2396,4898.0067,1071.6013,20.3514,0.0000,0.0000,11.6449
20/01/2017 00:00:00,0.0000,1.2228,23.5975,1.0000,0.0000,6.0254,73.0668,187.0967,1.9474,0.2965,2.2428,4908.2106,1073.6421,20.3568,0.0000,0.0000,12.1806
21/01/2017 00:00:00,0.0000,1.2205,23.6005,1.0000,0.0000,5.9948,72.5088,189.6389,1.9402,0.2987,2.2460,4918.4146,1075.6829,20.3623,0.0000,0.0000,12.7164
22/01/2017 00:00:00,0.0000,1.2182,23.6036,1.0000,0.0000,5.9641,71.9508,192.1811,1.9330,0.3008,2.2492,4928.6185,1077.7237,20.3678,0.0000,0.0000,13.2522
23/01/2017 00:00:00,0.0000,1.2160,23.6066,1.0000,0.0000,5.9335,71.3928,194.7233,1.9259,0.3030,2.2524,4938.8224,1079.7645,20.3733,0.0000,0.0000,13.7879
24/01/2017 00:00:00,0.0000,1.2137,23.6097,1.0000,0.0000,5.9029,70.8347,202.0130,1.9187,0.3051,2.2556,4949.0264,1081.8053,20.3789,0.0000,0.0000,13.7502
25/01/2017 00:00:00,0.0000,1.2114,23.6128,1.0000,0.0000,5.8723,70.2767,212.4133,1.9117,0.3073,2.2588,4959.2303,1083.8461,20.3845,0.0000,0.0000,13.3368
26/01/2017 00:00:00,0.0000,1.2091,23.6158,1.0000,0.0000,5.8417,69.7187,222.8136,1.9046,0.3094,2.2619,4969.4342,1085.8869,20.3901,0.0000,0.0000,12.9234
27/01/2017 00:00:00,0.0000,1.2069,23.6189,1.0000,0.0000,5.8111,69.1606,233.2139,1.8976,0.3115,2.2651,4979.6382,1087.9276,20.3958,0.0000,0.0000,12.5099
28/01/2017 00:00:00,0.0000,1.2046,23.6220,1.0000,0.0000,5.7805,68.6026,243.6142,1.8906,0.3136,2.2683,4989.8421,1089.9684,20.4015,0.0000,0.0000,12.0965
29/01/2017 00:00:00,0.0088,1.2023,23.6250,1.0000,0.0000,5.7499,68.0446,254.0145,2.8190,0.4725,2.2714,5000.0461,1092.0092,30.5393,0.0000,0.0000,11.6831
30/01/2017 00:00:00,0.0356,1.2001,23.6281,1.0000,0.0000,5.7192,67.4866,264.4148,3.3664,0.5700,2.2746,5010.2500,1094.0500,36.6143,0.0000,0.0000,11.2697
31/01/2017 00:00:00,0.1552,1.1978,23.6311,1.0000,0.0000,5.6886,66.9285,274.8151,4.2549,0.7279,2.2777,5020.4539,1096.0908,46.4611,0.0000,0.0000,10.8563
01/02/2017 00:00:00,0.0097,1.1955,23.6342,1.0000,0.0000,5.6580,66.3705,285.2154,2.8194,0.4872,2.2808,5030.6579,1098.1316,30.9085,0.0000,0.0000,10.4428
02/02/2017 00:00:00,0.0000,1.1933,23.6373,1.0000,0.0000,5.6274,65.8125,295.6157,1.8663,0.3258,2.2840,5040.8618,1100.1724,20.5407,0.0000,0.0000,10.0294
03/02/2017 00:00:00,0.0000,1.1910,23.6403,1.0000,0.0000,5.5968,65.2544,306.0160,1.8594,0.3278,2.2871,5051.0657,1102.2131,20.5452,0.0000,0.0000,9.6160
04/02/2017 00:00:00,0.0000,1.1887,23.6434,1.0000,0.0000,5.5662,64.6964,316.4163,1.8525,0.3299,2.2902,5061.2697,1104.2539,20.5499,0.0000,0.0000,9.2026
05/02/2017 00:00:00,0.0000,1.1864,23.6464,1.0000,0.0000,5.5356,64.1384,326.8166,1.8457,0.3319,2.2933,5071.4736,1106.2947,20.5545,0.0000,0.0000,8.7891
06/02/2017 00:00:00,0.0000,1.1842,23.6495,1.0000,0.0000,5.5050,63.5804,337.2169,1.8389,0.3339,2.2964,5081.6776,1108.3355,20.5592,0.0000,0.0000,8.3757
07/02/2017 00:00:00,0.0000,1.1819,23.6526,1.0000,0.0000,5.4744,63.0223,334.8182,1.8321,0.3359,2.2995,5091.8815,1110.3763,20.5640,0.0000,0.0000,7.9254
08/02/2017 00:00:00,0.0000,1.1796,23.6556,1.0000,0.0000,5.4437,62.4643,322.9595,1.8253,0.3379,2.3026,5102.0854,1112.4171,20.5688,0.0000,0.0000,7.4477
09/02/2017 00:00:00,0.0097,1.1774,23.6587,1.0000,0.0000,5.4131,61.9063,311.1008,2.7464,0.5134,2.3057,5112.2894,1114.4579,31.0691,0.0000,0.0000,6.9701
