Date,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0001,1.2659,23.5393,1.0000,0.0000,6.6070,83.6694,137.2393,2.2724,0.2754,2.1807,4714.3358,1034.8672,22.0038,0.0000,0.0000,6.9408
02/01/2017 00:00:00,0.0001,1.2636,23.5424,1.0000,0.0000,6.5764,83.1114,137.8864,2.2626,0.2778,2.1840,4724.5398,1036.9080,21.9983,0.0000,0.0000,6.6317
03/01/2017 00:00:00,0.0001,1.2614,23.5454,1.0000,0.0000,6.5458,82.5533,138.5334,2.2529,0.2802,2.1873,4734.7437,1038.9487,21.9931,0.0000,0.0000,6.3226
04/01/2017 00:00:00,0.0000,1.2591,23.5485,1.0000,0.0000,6.5152,81.9953,140.9374,2.2433,0.2826,2.1907,4744.9476,1040.9895,21.9881,0.0000,0.0000,6.2302
05/01/2017 00:00:00,0.0000,1.2568,23.5515,1.0000,0.0000,6.4845,81.4373,144.4957,2.2337,0.2850,2.1940,4755.1516,1043.0303,21.9834,0.0000,0.0000,6.2802
06/01/2017 00:00:00,0.0000,1.2545,23.5546,1.0000,0.0000,6.4539,80.8793,148.0540,2.2242,0.2874,2.1973,4765.3555,1045.0711,21.9788,0.0000,0.0000,6.3302
07/01/2017 00:00:00,0.0000,1.2523,23.5577,1.0000,0.0000,6.4233,80.3212,151.6123,2.2148,0.2897,2.2006,4775.5594,1047.1119,21.9745,0.0000,0.0000,6.3802
08/01/2017 00:00:00,0.0000,1.2500,23.5607,1.0000,0.0000,6.3927,79.7632,155.1706,2.2055,0.2921,2.2039,4785.7634,1049.1527,21.9704,0.0000,0.0000,6.4301
09/01/2017 00:00:00,0.0000,1.2477,23.5638,1.0000,0.0000,6.3621,79.2052,158.7289,2.1962,0.2944,2.2071,4795.9673,1051.1935,21.9665,0.0000,0.0000,6.4801
10/01/2017 00:00:00,0.0000,1.2455,23.5668,1.0000,0.0000,6.3315,78.6471,161.6747,2.1870,0.2968,2.2104,4806.1713,1053.2343,21.9628,0.0000,0.0000,6.8229
11/01/2017 00:00:00,0.0000,1.2432,23.5699,1.0000,0.0000,6.3009,78.0891,164.2169,2.1779,0.2991,2.2137,4816.3752,1055.2750,21.9592,0.0000,0.0000,7.3587
12/01/2017 00:00:00,0.0018,1.2409,23.5730,1.0000,0.0000,6.2703,77.5311,166.7591,2.5602,0.3558,2.2169,4826.5791,1057.3158,25.9187,0.0000,0.0000,7.8945
13/01/2017 00:00:00,0.0000,1.2387,23.5760,1.0000,0.0000,6.2397,76.9731,169.3013,2.1598,0.3037,2.2202,4836.7831,1059.3566,21.9528,0.0000,0.0000,8.4303
14/01/2017 00:00:00,0.0000,1.2364,23.5791,1.0000,0.0000,6.2090,76.4150,171.8435,2.1508,0.3060,2.2234,4846.9870,1061.3974,21.9498,0.0000,0.0000,8.9660
15/01/2017 00:00:00,0.0000,1.2341,23.5822,1.0000,0.0000,6.1784,75.8570,174.3857,2.1419,0.3083,2.2267,4857.1909,1063.4382,21.9470,0.0000,0.0000,9.5018
16/01/2017 00:00:00,0.0000,1.2318,23.5852,1.0000,0.0000,6.1478,75.2990,176.9279,2.1331,0.3105,2.2299,4867.3949,1065.4790,21.9444,0.0000,0.0000,10.0376
17/01/2017 00:00:00,0.0000,1.2296,23.5883,1.0000,0.0000,6.1172,74.7409,179.4701,2.1244,0.3128,2.2332,4877.5988,1067.5198,21.9419,0.0000,0.0000,10.5733
18/01/2017 00:00:00,0.0000,1.2273,23.5913,1.0000,0.0000,6.0866,74.1829,182.0123,2.1157,0.3150,2.2364,4887.8028,1069.5605,21.9396,0.0000,0.0000,11.1091
